Data;7341 - ï¿½ndice de Confianï¿½a do Empresï¿½rio Industrial (ICEI) - Geral - ï¿½ndice;7342 - ï¿½ndice de Confianï¿½a do Empresï¿½rio Industrial (ICEI) - Condiï¿½ï¿½es - ï¿½ndice;7343 - ï¿½ndice de Confianï¿½a do Empresï¿½rio Industrial (ICEI) - Expectativas - ï¿½ndice
2005-01-01;66.30 ;60.70 ;69.00
2005-04-01;57.10 ;48.00 ;61.70
2005-07-01;51.60 ;42.40 ;56.30
2005-10-01;54.20 ;45.30 ;58.70
2006-01-01;58.50 ;47.50 ;63.90
2006-04-01;56.40 ;47.10 ;61.10
2006-07-01;54.40 ;44.80 ;59.20
2006-10-01;56.60 ;48.40 ;60.60
2007-01-01;60.10 ;51.20 ;64.50
2007-04-01;59.40 ;52.30 ;62.90
2007-07-01;60.30 ;54.00 ;63.60
2007-10-01;60.40 ;55.70 ;62.80
2008-01-01;61.80 ;57.40 ;64.10
2008-04-01;62.00 ;55.50 ;65.20
2008-07-01;58.10 ;51.20 ;61.60
2008-10-01;52.50 ;50.50 ;53.40
2009-01-01;47.40 ;36.00 ;53.10
2009-04-01;49.40 ;33.20 ;57.60
2009-07-01;58.20 ;47.20 ;63.60
2009-10-01;65.90 ;60.50 ;68.70
2010-01-01;67.40 ;60.70 ;70.70
2010-04-01;66.00 ;60.50 ;68.70
2010-07-01;63.30 ;57.90 ;65.90
2010-10-01;61.40 ;55.70 ;64.20
2011-01-01;60.20 ;51.90 ;64.40
2011-04-01;57.60 ;48.10 ;62.30
2011-07-01;56.40 ;48.10 ;60.50
2011-10-01;55.00 ;47.40 ;58.90
2012-01-01;58.60 ;49.00 ;63.40
2012-04-01;56.10 ;46.90 ;60.60
2012-07-01;57.40 ;49.30 ;61.50
2012-10-01;57.40 ;50.00 ;61.10
2013-01-01;57.10 ;48.50 ;61.40
2013-04-01;54.80 ;46.80 ;58.90
2013-07-01;54.20 ;46.20 ;58.20
2013-10-01;54.30 ;46.80 ;58.00
2014-01-01;52.50 ;44.70 ;56.40
2014-04-01;47.50 ;40.20 ;51.30
2014-07-01;46.50 ;38.80 ;50.30
2014-10-01;45.20 ;37.40 ;49.20
2015-01-01;44.40 ;35.70 ;48.70
2015-04-01;38.50 ;29.10 ;43.20
2015-07-01;37.20 ;27.60 ;42.00
2015-10-01;35.00 ;26.50 ;39.30
2016-01-01;36.50 ;27.60 ;40.90
2016-04-01;36.80 ;28.00 ;41.30
2016-07-01;47.30 ;37.40 ;52.30
2016-10-01;52.30 ;43.30 ;56.80
2017-01-01;50.10 ;41.20 ;54.70
2017-04-01;53.10 ;46.00 ;56.60
2017-07-01;50.60 ;44.20 ;53.80
2017-10-01;56.00 ;50.40 ;58.80
2018-01-01;59.00 ;53.10 ;62.00
2018-04-01;56.70 ;51.50 ;59.40
2018-07-01;50.20 ;43.60 ;53.20
2018-10-01;52.80 ;46.70 ;55.90
2019-01-01;64.70 ;54.10 ;69.90
2019-04-01;58.40 ;49.80 ;62.60
2019-07-01;57.40 ;47.00 ;62.10
2019-10-01;62.50 ;56.30 ;65.60
2020-01-01;65.30 ;59.00 ;67.70
2020-04-01;34.50 ;34.10 ;34.70
2020-07-01;47.60 ;34.50 ;54.10
