Data;13951;13952;21303;21942;24077;25382;27983;28148;28149;28150;28151
01/2011;0.55 ;0.57 ;85.16 ;96.6 ;74.78 ;148.85 ;82.59;79.03 ;110.36 ;92.39 ;106.06
02/2011;0.78 ;0.39 ;84.94 ;101.8 ;76.00 ;147.48 ;80.57;79.73 ;106.43 ;93.43 ;91.92
03/2011;0.98 ;0.51 ;84.83 ;97.5 ;79.11 ;145.79 ;78.04;80.12 ;118.67 ;90.85 ;92.13
04/2011;0.70 ;0.67 ;84.61 ;93.0 ;78.10 ;148.86 ;78.92;80.51 ;105.88 ;89.07 ;98.63
05/2011;0.29 ;0.48 ;86.21 ;96.6 ;81.44 ;150.08 ;80.28;82.09 ;105.07 ;89.92 ;98.10
06/2011;0.06 ;0.39 ;85.33 ;95.8 ;81.09 ;150.26 ;82.67;83.42 ;107.91 ;88.68 ;98.89
07/2011;0.36 ;0.18 ;85.90 ;96.8 ;84.54 ;151.16 ;82.09;83.76 ;105.84 ;88.01 ;99.43
08/2011;0.37 ;0.51 ;86.42 ;88.7 ;85.79 ;150.11 ;82.42;84.26 ;106.82 ;87.79 ;100.06
09/2011;0.62 ;0.46 ;84.81 ;98.3 ;83.73 ;153.38 ;83.67;84.82 ;110.61 ;87.84 ;97.60
10/2011;0.48 ;0.27 ;86.62 ;95.2 ;82.90 ;152.08 ;81.54;84.52 ;106.18 ;88.84 ;97.80
11/2011;0.60 ;0.64 ;88.09 ;106.8 ;81.87 ;154.29 ;80.94;84.68 ;107.28 ;89.58 ;100.11
12/2011;0.58 ;0.59 ;90.25 ;107.6 ;91.14 ;156.59 ;86.71;85.45 ;107.76 ;95.90 ;98.96
01/2012;0.60 ;0.51 ;90.17 ;90.7 ;74.52 ;150.84 ;82.49;85.22 ;111.58 ;92.86 ;105.12
02/2012;0.02 ;-0.02 ;90.70 ;95.5 ;79.21 ;152.49 ;83.85;86.18 ;109.24 ;90.28 ;93.82
03/2012;0.26 ;0.20 ;92.18 ;97.4 ;85.11 ;151.95 ;83.84;85.85 ;121.38 ;90.37 ;97.10
04/2012;0.37 ;0.36 ;93.87 ;103.0 ;82.76 ;155.39 ;83.58;85.26 ;109.74 ;91.46 ;97.04
05/2012;0.28 ;0.53 ;91.16 ;109.6 ;85.06 ;158.89 ;83.85;86.17 ;112.83 ;93.50 ;98.37
06/2012;0.11 ;0.39 ;93.80 ;103.7 ;83.32 ;160.44 ;84.98;86.40 ;112.40 ;96.40 ;91.70
07/2012;0.56 ;0.60 ;94.55 ;104.6 ;86.24 ;162.40 ;83.80;85.77 ;112.79 ;93.08 ;95.07
08/2012;0.33 ;0.34 ;95.10 ;102.6 ;89.02 ;161.77 ;85.66;87.41 ;111.00 ;96.81 ;93.89
09/2012;0.59 ;0.65 ;95.00 ;99.3 ;85.65 ;158.27 ;85.41;86.52 ;107.75 ;94.91 ;95.96
10/2012;0.82 ;0.89 ;95.14 ;99.5 ;89.84 ;160.54 ;88.57;87.89 ;105.98 ;97.53 ;96.28
11/2012;0.39 ;0.36 ;93.82 ;96.1 ;90.29 ;159.07 ;89.42;87.82 ;105.87 ;95.81 ;94.37
12/2012;0.95 ;0.85 ;93.42 ;91.4 ;93.12 ;158.42 ;88.69;88.80 ;104.26 ;95.66 ;95.14
01/2013;0.70 ;0.72 ;95.93 ;103.8 ;81.65 ;162.13 ;89.71;88.39 ;101.52 ;96.24 ;95.09
02/2013;0.57 ;0.41 ;95.49 ;102.2 ;82.49 ;162.13 ;87.36;87.93 ;103.61 ;98.83 ;97.77
03/2013;0.47 ;0.68 ;95.89 ;105.6 ;91.91 ;164.11 ;90.23;88.49 ;103.80 ;100.47 ;97.03
04/2013;0.37 ;0.35 ;96.79 ;105.0 ;92.70 ;163.47 ;93.52;88.62 ;103.06 ;102.51 ;94.85
05/2013;0.53 ;0.53 ;96.73 ;102.9 ;92.90 ;162.96 ;91.73;89.83 ;100.82 ;100.06 ;96.05
06/2013;0.12 ;0.05 ;98.70 ;104.5 ;90.57 ;163.76 ;92.28;88.63 ;98.61 ;100.17 ;96.51
07/2013;-0.18 ;-0.36 ;99.62 ;102.9 ;97.16 ;165.43 ;94.62;92.39 ;97.25 ;101.88 ;95.40
08/2013;0.43 ;0.41 ;100.01 ;101.3 ;98.62 ;164.87 ;95.23;94.04 ;98.62 ;100.87 ;97.35
09/2013;0.49 ;0.31 ;100.20 ;101.9 ;94.92 ;163.86 ;94.54;90.84 ;101.03 ;102.55 ;96.91
10/2013;0.72 ;0.77 ;99.88 ;102.5 ;97.48 ;164.64 ;96.48;92.99 ;98.03 ;101.20 ;97.35
11/2013;0.54 ;0.51 ;99.66 ;102.9 ;98.56 ;165.83 ;97.78;97.10 ;101.50 ;100.25 ;98.22
12/2013;0.86 ;0.53 ;100.52 ;107.2 ;101.82 ;167.08 ;97.43;96.69 ;99.24 ;100.83 ;99.01
01/2014;0.33 ;0.44 ;100.58 ;103.4 ;90.23 ;166.78 ;98.22;97.31 ;97.69 ;100.98 ;96.16
02/2014;0.26 ;0.39 ;101.73 ;105.8 ;98.51 ;169.33 ;103.61;99.30 ;99.37 ;102.23 ;99.89
03/2014;1.26 ;1.07 ;101.69 ;106.2 ;102.71 ;167.63 ;100.53;99.46 ;99.54 ;105.14 ;98.51
04/2014;0.76 ;0.88 ;101.68 ;109.3 ;100.41 ;168.29 ;101.43;101.35 ;102.95 ;102.41 ;99.33
05/2014;0.22 ;0.52 ;100.82 ;109.8 ;103.87 ;167.81 ;102.89;99.88 ;99.61 ;99.39 ;99.66
06/2014;0.40 ;0.38 ;99.35 ;108.5 ;97.09 ;166.59 ;98.66;99.01 ;97.52 ;97.69 ;99.40
07/2014;-0.12 ;0.05 ;97.37 ;108.4 ;103.33 ;167.75 ;100.70;100.02 ;99.32 ;100.88 ;99.76
08/2014;0.36 ;0.15 ;99.02 ;111.3 ;100.60 ;166.91 ;97.12;99.04 ;99.11 ;98.67 ;112.85
09/2014;0.59 ;0.59 ;100.24 ;111.0 ;100.18 ;167.37 ;99.56;99.99 ;98.83 ;98.55 ;98.43
10/2014;0.67 ;0.62 ;102.17 ;113.0 ;100.18 ;168.68 ;99.53;101.87 ;107.07 ;98.67 ;100.61
11/2014;0.71 ;0.92 ;99.33 ;114.1 ;98.97 ;168.62 ;98.37;102.21 ;98.37 ;100.39 ;99.43
12/2014;1.17 ;0.98 ;97.41 ;108.0 ;103.90 ;166.79 ;99.55;100.53 ;99.44 ;94.86 ;97.27
01/2015;1.09 ;1.24 ;97.64 ;106.9 ;88.33 ;170.65 ;96.09;102.84 ;97.94 ;92.87 ;97.59
02/2015;0.98 ;0.99 ;95.55 ;108.3 ;87.87 ;169.45 ;93.18;101.12 ;95.88 ;92.28 ;93.98
03/2015;1.41 ;1.93 ;95.30 ;110.0 ;100.31 ;169.61 ;97.66;103.04 ;100.62 ;99.14 ;92.12
04/2015;0.68 ;0.55 ;93.74 ;109.1 ;96.01 ;168.59 ;97.31;101.37 ;94.92 ;90.90 ;95.39
05/2015;0.52 ;0.86 ;94.20 ;109.4 ;97.86 ;167.83 ;97.30;99.92 ;94.51 ;91.08 ;94.69
06/2015;0.52 ;0.40 ;93.34 ;110.8 ;95.80 ;166.50 ;97.05;100.81 ;96.35 ;91.13 ;95.47
07/2015;0.62 ;0.65 ;92.03 ;112.4 ;99.59 ;165.30 ;96.84;100.97 ;96.55 ;90.77 ;92.24
08/2015;0.10 ;0.17 ;91.74 ;113.2 ;102.04 ;166.62 ;98.42;98.48 ;94.56 ;93.90 ;92.86
09/2015;0.69 ;0.70 ;89.75 ;113.4 ;100.94 ;167.80 ;100.21;101.81 ;92.57 ;91.50 ;96.78
10/2015;1.20 ;1.38 ;91.33 ;109.6 ;99.00 ;167.88 ;98.71;100.41 ;95.20 ;89.50 ;89.19
11/2015;1.13 ;1.38 ;89.93 ;110.1 ;95.89 ;166.80 ;95.48;99.01 ;89.48 ;91.99 ;88.43
12/2015;0.97 ;0.83 ;89.41 ;110.7 ;101.79 ;167.06 ;97.29;99.36 ;91.08 ;90.73 ;88.37
01/2016;1.14 ;1.27 ;87.28 ;104.0 ;92.92 ;162.86 ;100.26;99.50 ;91.34 ;89.87 ;90.10
02/2016;0.72 ;0.63 ;87.10 ;110.0 ;91.03 ;162.45 ;96.48;99.85 ;91.36 ;86.49 ;87.57
03/2016;0.38 ;0.38 ;85.40 ;107.3 ;98.35 ;161.10 ;95.39;99.62 ;96.54 ;85.59 ;91.09
04/2016;0.53 ;0.51 ;86.08 ;111.9 ;92.46 ;162.70 ;94.20;101.83 ;87.35 ;82.69 ;92.06
05/2016;0.43 ;0.46 ;84.40 ;113.7 ;92.70 ;165.51 ;92.80;100.16 ;86.45 ;84.27 ;93.28
06/2016;0.30 ;0.54 ;84.34 ;113.0 ;92.50 ;163.25 ;93.37;100.12 ;87.71 ;83.29 ;91.71
07/2016;0.70 ;0.84 ;84.20 ;114.9 ;94.88 ;159.81 ;92.02;98.46 ;86.45 ;82.21 ;92.87
08/2016;0.25 ;0.18 ;82.99 ;108.5 ;93.54 ;162.72 ;89.75;99.69 ;87.42 ;81.24 ;90.71
09/2016;0.25 ;0.21 ;80.87 ;105.9 ;88.69 ;163.93 ;87.85;100.12 ;87.59 ;81.57 ;93.21
10/2016;0.40 ;0.29 ;82.28 ;99.4 ;84.10 ;161.69 ;83.99;96.40 ;88.05 ;78.80 ;91.03
11/2016;0.04 ;-0.08 ;82.13 ;103.5 ;85.25 ;162.54 ;84.98;92.50 ;86.20 ;82.98 ;89.94
12/2016;0.55 ;0.31 ;81.74 ;106.0 ;86.39 ;163.27 ;81.80;87.96 ;84.10 ;83.93 ;90.73
01/2017;0.45 ;0.43 ;83.83 ;111.6 ;80.19 ;161.17 ;86.99;91.57 ;93.45 ;88.32 ;88.24
02/2017;-0.14 ;-0.19 ;83.71 ;112.5 ;83.62 ;169.53 ;89.15;92.19 ;88.93 ;85.41 ;90.49
03/2017;0.14 ;0.32 ;78.89 ;109.5 ;91.22 ;167.65 ;88.14;90.47 ;89.40 ;87.77 ;88.66
04/2017;0.23 ;0.00 ;81.28 ;108.8 ;83.99 ;162.83 ;86.07;89.92 ;86.26 ;88.32 ;83.88
05/2017;0.24 ;0.28 ;82.54 ;112.8 ;87.54 ;166.83 ;88.53;90.43 ;91.70 ;89.87 ;85.60
06/2017;-0.17 ;-0.22 ;82.72 ;113.3 ;87.30 ;168.19 ;87.84;89.82 ;95.53 ;91.96 ;85.38
07/2017;0.23 ;0.09 ;82.04 ;114.4 ;89.22 ;172.18 ;86.18;89.51 ;91.89 ;90.66 ;86.29
08/2017;0.19 ;-0.14 ;81.60 ;114.4 ;90.88 ;166.28 ;86.88;89.28 ;89.34 ;89.49 ;86.76
09/2017;0.16 ;-0.02 ;82.54 ;114.8 ;88.69 ;163.56 ;87.94;87.11 ;90.41 ;89.52 ;86.95
10/2017;0.92 ;0.97 ;81.13 ;117.0 ;88.21 ;163.41 ;88.09;85.86 ;88.20 ;88.87 ;84.03
11/2017;0.69 ;0.79 ;81.23 ;114.3 ;87.55 ;163.47 ;87.25;86.52 ;92.02 ;88.06 ;87.33
12/2017;0.46 ;0.30 ;81.48 ;113.4 ;92.34 ;162.48 ;87.71;89.72 ;90.32 ;89.68 ;85.71
01/2018;-0.01 ;-0.06 ;80.87 ;111.9 ;78.61 ;165.54 ;84.87;86.13 ;88.12 ;89.14 ;89.58
02/2018;0.14 ;-0.01 ;80.37 ;110.9 ;80.13 ;166.40 ;85.65;85.67 ;87.74 ;90.61 ;96.15
03/2018;-0.05 ;-0.12 ;81.73 ;113.6 ;90.11 ;167.62 ;87.05;86.81 ;86.13 ;91.93 ;92.25
04/2018;0.20 ;0.10 ;83.81 ;113.0 ;86.10 ;166.50 ;88.46;85.69 ;87.40 ;93.18 ;94.60
05/2018;0.49 ;0.59 ;82.27 ;94.4 ;84.52 ;164.69 ;86.27;86.21 ;85.69 ;76.89 ;90.29
06/2018;1.16 ;1.23 ;83.31 ;113.0 ;89.60 ;166.26 ;90.10;86.61 ;87.54 ;93.67 ;90.23
07/2018;0.11 ;-0.04 ;82.44 ;111.8 ;91.59 ;164.94 ;88.41;84.88 ;87.66 ;90.91 ;91.67
08/2018;-0.15 ;0.09 ;83.42 ;111.9 ;93.89 ;168.16 ;89.77;84.75 ;88.64 ;94.24 ;91.59
09/2018;0.69 ;0.43 ;82.21 ;111.3 ;88.10 ;168.76 ;87.45;85.79 ;86.00 ;91.51 ;87.71
10/2018;0.53 ;0.52 ;82.45 ;107.7 ;88.21 ;168.75 ;87.81;85.98 ;88.28 ;91.95 ;93.16
11/2018;-0.16 ;-0.05 ;85.04 ;103.2 ;88.82 ;169.07 ;88.33;85.61 ;87.92 ;92.07 ;95.63
12/2018;0.11 ;-0.02 ;83.30 ;113.0 ;93.01 ;170.43 ;88.39;85.88 ;86.47 ;91.64 ;92.44
01/2019;-0.02 ;0.04 ;83.90 ;111.4 ;81.55 ;169.06 ;87.47;85.91 ;87.50 ;90.07 ;91.00
02/2019;0.43 ;0.63 ;83.04 ;109.2 ;80.23 ;167.81 ;85.75;83.68 ;86.27 ;90.64 ;89.43
03/2019;0.52 ;0.53 ;83.11 ;111.8 ;84.78 ;166.59 ;81.87;84.37 ;85.44 ;88.89 ;91.31
04/2019;0.55 ;0.58 ;82.30 ;111.9 ;82.37 ;170.61 ;84.75;85.92 ;89.72 ;88.98 ;92.03
05/2019;0.28 ;0.28 ;82.51 ;107.6 ;82.79 ;173.94 ;85.17;86.72 ;87.88 ;88.09 ;92.91
06/2019;0.04 ;0.00 ;82.08 ;106.8 ;83.55 ;171.62 ;84.14;84.42 ;86.21 ;88.26 ;94.52
07/2019;-0.02 ;-0.09 ;83.08 ;110.3 ;90.88 ;175.38 ;87.57;85.33 ;85.42 ;88.87 ;93.81
08/2019;0.04 ;0.19 ;83.45 ;109.4 ;89.85 ;171.77 ;85.65;84.53 ;86.17 ;88.31 ;93.29
09/2019;0.12 ;0.13 ;85.07 ;110.6 ;86.69 ;172.33 ;86.17;83.79 ;86.38 ;90.66 ;91.42
10/2019;0.06 ;-0.06 ;85.07 ;115.4 ;87.97 ;174.06 ;87.31;83.52 ;85.42 ;92.87 ;92.18
11/2019;0.58 ;0.66 ;85.60 ;111.5 ;87.49 ;173.10 ;86.79;83.44 ;85.95 ;91.06 ;91.53
12/2019;1.46 ;1.48 ;84.10 ;107.1 ;86.33 ;172.09 ;81.65;82.89 ;86.26 ;89.92 ;90.43
01/2020;0.01 ;0.06 ;84.76 ;108.7 ;81.67 ;172.81 ;87.45;82.00 ;86.34 ;91.25 ;90.04
02/2020;0.29 ;0.16 ;86.30 ;110.1 ;82.17 ;176.36 ;87.68;82.23 ;86.74 ;91.64 ;87.35
03/2020;-0.32 ;-0.27 ;79.10 ;106.4 ;79.05 ;170.53 ;76.29;78.96 ;82.09 ;86.26 ;85.33
04/2020;-0.53 ;-0.38 ;68.04 ;106.8 ;73.59 ;164.99 ;75.99;77.38 ;69.10 ;68.98 ;84.24
05/2020;-0.31 ;-0.24 ;79.14 ;110.3 ;71.71 ;167.31 ;74.42;75.41 ;69.99 ;74.21 ;82.66
