Data;14085;14090;14095;15890;15922;15954
01/2011;86447;60894;147341;4.11 ;2.13 ;3.22
02/2011;87233;61988;149222;3.76 ;1.97 ;2.95
03/2011;88179;63559;151738;3.81 ;2.22 ;3.09
04/2011;89389;64409;153798;3.87 ;2.28 ;3.15
05/2011;90648;65212;155860;3.91 ;2.27 ;3.17
06/2011;92148;66082;158230;3.90 ;2.26 ;3.16
07/2011;93422;67625;161047;3.91 ;2.14 ;3.11
08/2011;95003;68644;163647;3.75 ;2.11 ;3.01
09/2011;97268;70667;167935;3.81 ;2.04 ;3.00
10/2011;98922;71406;170328;3.95 ;2.10 ;3.11
11/2011;100847;72391;173239;4.29 ;2.22 ;3.36
12/2011;102942;75612;178554;4.34 ;2.28 ;3.40
01/2012;105718;72698;178416;4.20 ;2.46 ;3.46
02/2012;106360;72974;179334;4.49 ;2.45 ;3.64
03/2012;107567;75120;182687;4.43 ;2.51 ;3.62
04/2012;108094;77679;185773;4.59 ;2.58 ;3.75
05/2012;109963;80619;190582;4.64 ;2.54 ;3.75
06/2012;111878;81868;193747;4.51 ;2.50 ;3.66
07/2012;112923;82760;195682;4.50 ;2.42 ;3.62
08/2012;115246;83633;198879;4.41 ;2.46 ;3.59
09/2012;116222;84616;200838;4.35 ;2.37 ;3.52
10/2012;118202;86366;204568;4.27 ;2.45 ;3.50
11/2012;120044;88363;208406;4.17 ;2.33 ;3.39
12/2012;122630;89977;212608;4.05 ;2.33 ;3.32
01/2013;124077;91953;216031;3.97 ;2.25 ;3.24
02/2013;124930;92525;217455;3.92 ;2.20 ;3.19
03/2013;126313;94315;220627;3.91 ;2.20 ;3.17
04/2013;127989;95457;223445;3.76 ;2.21 ;3.10
05/2013;130337;97648;227985;3.67 ;2.18 ;3.03
06/2013;133070;101851;234921;3.47 ;1.98 ;2.82
07/2013;134711;102048;236760;3.39 ;1.92 ;2.76
08/2013;137067;105767;242833;3.29 ;1.82 ;2.65
09/2013;138865;106744;245608;3.27 ;1.85 ;2.65
10/2013;140763;107475;248238;3.24 ;1.83 ;2.63
11/2013;143366;109775;253141;3.16 ;1.79 ;2.57
12/2013;146691;114968;261659;3.04 ;1.69 ;2.45
01/2014;148850;114660;263510;3.03 ;1.75 ;2.47
02/2014;149776;115066;264842;3.01 ;1.75 ;2.46
03/2014;150827;117027;267855;3.00 ;1.72 ;2.44
04/2014;153507;119812;273319;2.98 ;1.74 ;2.44
05/2014;155352;121905;277257;3.04 ;1.94 ;2.56
06/2014;157409;123507;280916;2.95 ;1.83 ;2.46
07/2014;158583;123223;281807;2.97 ;1.91 ;2.51
08/2014;160832;123715;284547;3.10 ;2.23 ;2.72
09/2014;163080;128327;291407;2.98 ;2.07 ;2.58
10/2014;165509;129405;294915;3.02 ;2.10 ;2.61
11/2014;167655;131322;298977;2.94 ;1.99 ;2.52
12/2014;171473;134782;306255;2.80 ;1.81 ;2.36
01/2015;173540;135199;308739;2.94 ;1.88 ;2.47
02/2015;174379;135697;310075;3.03 ;2.03 ;2.59
03/2015;176364;136858;313222;2.89 ;1.93 ;2.47
04/2015;176945;137052;313997;2.92 ;2.13 ;2.57
05/2015;177918;137648;315565;2.99 ;2.20 ;2.64
06/2015;178898;139659;318557;2.83 ;2.10 ;2.51
07/2015;180295;139975;320270;3.02 ;2.29 ;2.70
08/2015;182393;140098;322491;3.19 ;2.53 ;2.91
09/2015;183639;140936;324575;3.22 ;2.62 ;2.96
10/2015;184135;141313;325448;3.40 ;2.81 ;3.14
11/2015;185898;142304;328202;3.48 ;2.80 ;3.18
12/2015;188094;143727;331821;3.43 ;2.69 ;3.11
01/2016;189177;141081;330257;3.61 ;2.85 ;3.28
02/2016;189718;139464;329183;3.68 ;2.87 ;3.34
03/2016;190085;137610;327695;3.55 ;2.85 ;3.26
04/2016;189687;136789;326476;3.63 ;3.48 ;3.57
05/2016;189834;136688;326521;3.57 ;3.69 ;3.62
06/2016;190259;135545;325804;3.34 ;3.10 ;3.24
07/2016;190230;134169;324399;3.40 ;3.26 ;3.34
08/2016;191087;132760;323847;3.44 ;3.48 ;3.46
09/2016;191712;133115;324827;3.52 ;3.67 ;3.58
10/2016;191498;132809;324307;3.53 ;4.43 ;3.90
11/2016;193747;132487;326234;3.39 ;4.34 ;3.77
12/2016;195527;133673;329200;3.20 ;4.17 ;3.59
01/2017;197057;131950;329007;3.32 ;4.25 ;3.69
02/2017;197937;131541;329478;3.38 ;4.57 ;3.86
03/2017;199487;131616;331103;3.34 ;4.77 ;3.91
04/2017;199992;132971;332963;3.33 ;4.46 ;3.78
05/2017;200834;132099;332932;3.29 ;4.49 ;3.77
06/2017;202046;132687;334733;2.97 ;4.00 ;3.38
07/2017;201966;130304;332270;3.12 ;3.21 ;3.16
08/2017;203658;128606;332265;3.20 ;3.12 ;3.17
09/2017;203979;128711;332691;3.18 ;3.19 ;3.18
10/2017;205990;128664;334655;3.13 ;3.95 ;3.44
11/2017;207968;127776;335744;3.00 ;3.85 ;3.32
12/2017;209953;129343;339296;2.80 ;2.52 ;2.69
01/2018;211867;127874;339741;3.06 ;2.56 ;2.87
02/2018;212609;128409;341019;3.07 ;2.48 ;2.85
03/2018;214142;129961;344103;3.03 ;3.05 ;3.04
04/2018;215347;130186;345533;2.89 ;2.52 ;2.75
05/2018;216277;132346;348624;2.88 ;2.64 ;2.79
06/2018;218420;132797;351218;2.69 ;2.26 ;2.53
07/2018;219422;132294;351716;2.75 ;2.29 ;2.58
08/2018;223307;134221;357528;2.74 ;2.39 ;2.61
09/2018;224429;134807;359236;2.72 ;3.22 ;2.90
10/2018;226754;134091;360846;2.65 ;3.26 ;2.88
11/2018;230383;134766;365149;2.52 ;3.12 ;2.74
12/2018;233083;136572;369655;2.43 ;2.86 ;2.59
01/2019;234322;133316;367638;2.54 ;2.85 ;2.65
02/2019;235885;133757;369643;2.53 ;2.89 ;2.66
03/2019;238423;135115;373538;2.59 ;2.84 ;2.68
04/2019;239849;135312;375160;2.54 ;2.83 ;2.65
05/2019;241581;135585;377165;2.53 ;2.78 ;2.62
06/2019;243967;135952;379919;2.44 ;2.07 ;2.31
07/2019;245445;135338;380784;2.62 ;1.99 ;2.40
08/2019;249576;138224;387800;2.71 ;2.14 ;2.51
09/2019;252921;139470;392391;2.71 ;2.11 ;2.49
10/2019;256045;139965;396010;2.64 ;2.09 ;2.44
11/2019;260206;141855;402062;2.62 ;2.02 ;2.41
12/2019;263616;142984;406600;2.62 ;1.92 ;2.38
01/2020;267376;142982;410358;2.76 ;2.04 ;2.51
02/2020;269475;144577;414052;2.82 ;1.98 ;2.53
03/2020;272485;151439;423924;3.05 ;1.92 ;2.64
04/2020;271269;154945;426213;3.07 ;1.93 ;2.66
05/2020;271621;157309;428930;2.96 ;1.88 ;2.57
