Data;1534;1573;7482;13248;13250;20112;20115;20121;20127;28042;1482;1495;1508
01/2011;97.80 ;96.00 ;255.65 ;0.53 ;0.49 ;89.90 ;63.10 ;105.60 ;88.90 ;81.20;89.60 ;75.90 ;95.30
02/2011;82.20 ;92.70 ;250.48 ;0.82 ;0.42 ;89.10 ;64.20 ;112.40 ;89.30 ;77.70;84.30 ;77.60 ;92.10
03/2011;86.40 ;98.80 ;250.35 ;1.13 ;0.74 ;91.00 ;71.50 ;98.60 ;92.50 ;77.20;87.50 ;80.60 ;98.00
04/2011;88.80 ;101.30 ;248.32 ;0.49 ;0.63 ;90.60 ;69.30 ;79.90 ;86.90 ;77.30;89.30 ;81.80 ;100.20
05/2011;97.60 ;94.70 ;248.93 ;0.02 ;0.15 ;93.80 ;76.70 ;101.80 ;95.20 ;78.10;91.60 ;84.90 ;94.10
06/2011;86.10 ;92.80 ;246.10 ;0.21 ;-0.08 ;89.50 ;72.80 ;100.40 ;92.90 ;79.50;88.00 ;84.40 ;92.00
07/2011;88.20 ;98.00 ;241.89 ;0.60 ;0.54 ;93.90 ;101.40 ;93.40 ;99.20 ;81.20;91.80 ;84.80 ;97.40
08/2011;87.40 ;98.10 ;244.24 ;0.39 ;0.48 ;94.30 ;78.50 ;118.50 ;102.60 ;78.50;92.00 ;89.70 ;97.60
09/2011;85.90 ;94.60 ;241.90 ;0.82 ;0.52 ;92.00 ;75.50 ;94.00 ;102.40 ;79.00;87.30 ;87.40 ;94.10
10/2011;96.40 ;99.90 ;243.11 ;0.67 ;0.51 ;94.10 ;73.30 ;58.30 ;98.90 ;79.00;92.10 ;88.10 ;99.30
11/2011;98.70 ;101.90 ;249.13 ;0.46 ;0.23 ;99.00 ;65.30 ;272.50 ;97.00 ;78.10;97.70 ;85.30 ;101.30
12/2011;126.70 ;124.70 ;247.88 ;0.65 ;0.67 ;116.10 ;82.30 ;336.40 ;91.20 ;80.80;125.30 ;89.70 ;123.50
01/2012;110.60 ;93.60 ;259.59 ;0.77 ;0.43 ;93.40 ;68.40 ;116.40 ;89.20 ;80.60;91.10 ;78.80 ;92.70
02/2012;92.40 ;97.60 ;255.91 ;0.06 ;0.00 ;87.20 ;72.30 ;100.20 ;88.60 ;81.70;88.60 ;82.70 ;96.80
03/2012;106.20 ;109.50 ;253.70 ;0.40 ;0.39 ;101.40 ;85.60 ;122.10 ;98.70 ;80.00;100.00 ;91.00 ;108.50
04/2012;95.60 ;104.30 ;255.50 ;0.45 ;0.32 ;91.90 ;81.20 ;92.50 ;91.90 ;80.70;94.40 ;88.90 ;103.60
05/2012;99.00 ;100.20 ;253.21 ;0.06 ;0.30 ;98.40 ;89.60 ;84.30 ;91.70 ;79.20;95.90 ;88.00 ;100.10
06/2012;95.30 ;100.10 ;259.70 ;0.04 ;0.26 ;104.30 ;89.10 ;81.70 ;90.60 ;81.20;94.00 ;85.60 ;99.60
07/2012;100.40 ;102.30 ;275.58 ;0.50 ;0.38 ;103.10 ;87.20 ;88.30 ;94.70 ;79.60;95.20 ;84.50 ;102.00
08/2012;104.60 ;104.00 ;284.50 ;0.35 ;0.31 ;114.30 ;93.60 ;120.70 ;97.10 ;81.30;98.80 ;87.90 ;103.50
09/2012;94.10 ;101.40 ;281.87 ;0.43 ;0.33 ;90.80 ;85.70 ;91.10 ;93.00 ;79.20;93.30 ;88.10 ;101.10
10/2012;101.00 ;101.90 ;271.55 ;0.74 ;0.78 ;105.70 ;88.80 ;99.50 ;104.60 ;83.10;96.90 ;90.30 ;101.90
11/2012;100.40 ;103.60 ;266.85 ;0.35 ;0.13 ;100.60 ;86.80 ;83.80 ;97.60 ;82.80;96.70 ;85.10 ;103.30
12/2012;124.50 ;125.00 ;275.95 ;1.14 ;0.90 ;118.90 ;101.40 ;162.50 ;86.90 ;81.30;121.50 ;91.20 ;124.20
01/2013;112.00 ;96.90 ;307.14 ;0.46 ;0.49 ;97.10 ;83.40 ;77.50 ;91.00 ;84.40;95.50 ;82.60 ;96.70
02/2013;91.20 ;93.90 ;306.39 ;0.77 ;0.70 ;85.90 ;80.10 ;80.10 ;85.20 ;83.10;86.40 ;78.80 ;93.60
03/2013;104.30 ;109.00 ;310.75 ;0.40 ;0.74 ;100.70 ;91.60 ;82.80 ;94.10 ;85.00;100.80 ;91.60 ;108.40
04/2013;101.10 ;95.10 ;309.68 ;0.44 ;0.46 ;97.60 ;99.90 ;87.40 ;100.70 ;91.50;94.50 ;92.90 ;94.80
05/2013;108.40 ;98.20 ;303.37 ;0.49 ;0.47 ;99.20 ;97.40 ;98.10 ;102.20 ;88.80;97.70 ;93.50 ;98.30
06/2013;101.20 ;95.80 ;312.09 ;0.21 ;0.11 ;94.70 ;97.30 ;87.00 ;96.10 ;87.10;95.60 ;92.10 ;95.90
07/2013;106.40 ;98.80 ;284.45 ;-0.12 ;-0.19 ;103.00 ;102.40 ;98.10 ;114.30 ;87.80;99.10 ;93.70 ;98.90
08/2013;113.40 ;103.70 ;286.49 ;0.46 ;0.31 ;104.00 ;104.20 ;84.60 ;108.10 ;89.60;102.90 ;98.80 ;103.50
09/2013;96.20 ;100.30 ;276.14 ;0.70 ;0.61 ;97.50 ;94.50 ;81.10 ;105.30 ;89.20;96.20 ;96.40 ;100.30
10/2013;105.90 ;102.70 ;284.12 ;0.46 ;0.43 ;105.40 ;99.30 ;88.30 ;110.70 ;92.10;101.80 ;103.20 ;103.10
