Data;14010;14037;14064;15869;15901;15933
01/2011;29926;19692;49619;4.33 ;2.51 ;3.54
02/2011;30245;20106;50351;3.98 ;2.31 ;3.25
03/2011;30616;20756;51372;4.04 ;2.12 ;3.19
04/2011;31059;21068;52127;4.14 ;2.22 ;3.29
05/2011;31563;21246;52809;4.19 ;2.19 ;3.31
06/2011;32315;21515;53830;4.18 ;2.15 ;3.30
07/2011;32815;21732;54547;4.26 ;2.25 ;3.39
08/2011;33307;22129;55435;4.14 ;2.05 ;3.23
09/2011;34124;22940;57064;4.27 ;1.97 ;3.26
10/2011;34782;23174;57956;4.46 ;2.16 ;3.46
11/2011;35463;23224;58687;4.84 ;2.37 ;3.78
12/2011;36173;25592;61765;4.86 ;2.35 ;3.73
01/2012;37117;25351;62468;4.79 ;2.64 ;3.88
02/2012;37359;25408;62767;5.13 ;2.59 ;4.07
03/2012;37801;25994;63795;5.10 ;2.74 ;4.11
04/2012;38040;26435;64475;5.48 ;3.15 ;4.53
05/2012;38729;27950;66680;5.62 ;3.07 ;4.55
06/2012;39484;28504;67987;5.39 ;2.98 ;4.38
07/2012;39878;28628;68505;5.39 ;2.76 ;4.29
08/2012;40447;29073;69520;5.31 ;2.92 ;4.31
09/2012;40710;29535;70244;5.29 ;2.81 ;4.25
10/2012;41485;29803;71288;5.18 ;3.21 ;4.36
11/2012;42118;30504;72622;5.04 ;2.89 ;4.14
12/2012;43014;31245;74259;4.85 ;2.78 ;3.98
01/2013;43569;30996;74565;4.72 ;2.79 ;3.92
02/2013;43896;31577;75473;4.63 ;2.64 ;3.80
03/2013;44465;32267;76733;4.59 ;2.51 ;3.71
04/2013;45038;33335;78373;4.40 ;2.51 ;3.59
05/2013;45865;33517;79382;4.32 ;2.33 ;3.48
06/2013;46822;33264;80087;4.06 ;2.19 ;3.28
07/2013;47290;33440;80730;3.95 ;2.02 ;3.15
08/2013;48025;34225;82250;3.80 ;1.95 ;3.03
09/2013;48683;34870;83553;3.78 ;2.05 ;3.06
10/2013;49403;34920;84323;3.75 ;2.19 ;3.11
11/2013;50312;35369;85680;3.64 ;2.28 ;3.08
12/2013;51412;35960;87372;3.49 ;2.15 ;2.94
01/2014;52172;35815;87987;3.43 ;2.20 ;2.93
02/2014;52550;36313;88862;3.39 ;2.12 ;2.87
03/2014;52981;36885;89866;3.40 ;2.12 ;2.87
04/2014;53909;37479;91388;3.37 ;2.13 ;2.86
05/2014;54799;37867;92666;3.37 ;2.28 ;2.93
06/2014;55626;38123;93750;3.32 ;2.17 ;2.85
07/2014;56011;38109;94120;3.36 ;2.32 ;2.94
08/2014;56679;38009;94688;3.46 ;2.57 ;3.10
