Data;14013;14040;14067;15872;15904;15936
01/2011;12958;9575;22533;3.38 ;1.65 ;2.58
02/2011;13111;9741;22851;3.02 ;1.54 ;2.33
03/2011;13306;9979;23285;3.02 ;1.61 ;2.36
04/2011;13523;10090;23613;3.08 ;1.66 ;2.42
05/2011;13706;10245;23951;3.03 ;1.72 ;2.42
06/2011;14027;10261;24288;2.97 ;1.86 ;2.46
07/2011;14189;10336;24524;3.03 ;1.89 ;2.50
08/2011;14468;10601;25069;3.02 ;1.79 ;2.45
09/2011;14746;10906;25652;2.93 ;1.43 ;2.23
10/2011;14942;11053;25996;3.10 ;1.40 ;2.31
11/2011;15217;11385;26602;3.54 ;1.54 ;2.61
12/2011;15481;11569;27050;3.55 ;1.92 ;2.79
01/2012;15917;11168;27086;3.36 ;1.69 ;2.64
02/2012;16098;11361;27459;3.70 ;1.71 ;2.85
03/2012;16389;12254;28643;3.70 ;1.65 ;2.80
04/2012;16346;12451;28797;3.78 ;1.76 ;2.90
05/2012;16581;12832;29413;3.83 ;1.79 ;2.94
06/2012;16789;13234;30022;3.79 ;1.77 ;2.90
07/2012;16856;13719;30575;3.83 ;1.74 ;2.90
08/2012;17255;13929;31184;3.78 ;1.65 ;2.83
09/2012;17548;14125;31673;3.64 ;1.62 ;2.74
10/2012;17687;15053;32740;3.59 ;1.43 ;2.60
11/2012;18059;15526;33585;3.51 ;1.42 ;2.54
12/2012;18409;15487;33896;3.42 ;1.60 ;2.59
01/2013;18655;15500;34155;3.30 ;1.73 ;2.59
02/2013;18844;15609;34454;3.26 ;1.74 ;2.57
03/2013;19143;16331;35473;3.25 ;1.67 ;2.52
04/2013;19435;16223;35658;3.12 ;1.64 ;2.45
05/2013;19824;16655;36479;3.03 ;1.70 ;2.43
06/2013;20321;17380;37701;2.91 ;1.52 ;2.27
07/2013;20468;17130;37597;2.89 ;1.55 ;2.28
08/2013;20846;17575;38421;2.78 ;1.49 ;2.19
09/2013;21223;17720;38943;2.84 ;1.41 ;2.19
10/2013;21539;17736;39275;2.79 ;1.37 ;2.15
11/2013;21868;18152;40021;2.75 ;1.38 ;2.13
12/2013;22448;19102;41550;2.71 ;1.36 ;2.09
01/2014;22757;18718;41475;2.72 ;1.37 ;2.11
02/2014;22972;18792;41765;2.72 ;1.23 ;2.05
03/2014;23260;18900;42160;2.74 ;1.24 ;2.07
04/2014;23633;18828;42461;2.68 ;1.40 ;2.11
05/2014;24058;18936;42994;2.69 ;1.68 ;2.25
06/2014;24454;18466;42920;2.65 ;1.51 ;2.16
