Data;14012;14039;14066;15871;15903;15935
01/2011;19730;15799;35529;4.36 ;2.47 ;3.46
02/2011;19864;16078;35941;4.07 ;2.34 ;3.25
03/2011;19920;16611;36532;4.13 ;3.15 ;3.66
04/2011;20147;16962;37110;4.11 ;3.19 ;3.66
05/2011;20299;17282;37582;4.12 ;3.16 ;3.65
06/2011;20243;17544;37787;4.11 ;3.11 ;3.62
07/2011;20452;17617;38069;3.92 ;2.56 ;3.25
08/2011;20874;17813;38687;3.51 ;2.52 ;3.03
09/2011;21598;18393;39990;3.48 ;2.37 ;2.94
10/2011;21864;18481;40344;3.49 ;2.35 ;2.94
11/2011;22499;18760;41259;3.68 ;2.46 ;3.09
12/2011;23073;19483;42556;3.64 ;2.35 ;3.01
01/2012;23484;19222;42706;3.66 ;2.45 ;3.10
02/2012;23602;19168;42770;3.91 ;2.36 ;3.20
03/2012;23800;19646;43446;3.79 ;2.56 ;3.22
04/2012;23867;20220;44087;3.83 ;2.37 ;3.16
05/2012;24311;20461;44771;3.74 ;2.22 ;3.04
06/2012;24827;20721;45548;3.61 ;2.30 ;3.02
07/2012;24975;20925;45900;3.60 ;2.57 ;3.13
08/2012;25694;21095;46789;3.53 ;2.56 ;3.09
09/2012;25925;21297;47222;3.54 ;2.39 ;3.02
10/2012;26432;21606;48038;3.44 ;2.38 ;2.97
11/2012;27011;22118;49129;3.34 ;2.39 ;2.91
12/2012;27716;22593;50309;3.25 ;2.36 ;2.85
01/2013;28022;22821;50843;3.28 ;2.14 ;2.77
02/2013;28270;22740;51010;3.24 ;2.20 ;2.78
03/2013;28402;22956;51359;3.29 ;2.41 ;2.90
04/2013;28648;22848;51496;3.17 ;2.35 ;2.81
05/2013;29081;23046;52127;3.06 ;2.51 ;2.82
06/2013;29934;23603;53537;2.84 ;2.37 ;2.63
07/2013;30368;23760;54128;2.83 ;2.22 ;2.56
08/2013;31099;24404;55503;2.78 ;2.09 ;2.47
09/2013;31448;24423;55871;2.72 ;2.05 ;2.43
10/2013;31893;24796;56688;2.71 ;2.07 ;2.43
11/2013;32795;25989;58784;2.65 ;1.79 ;2.27
12/2013;33815;26827;60642;2.53 ;1.67 ;2.15
01/2014;34502;27106;61608;2.54 ;1.68 ;2.16
02/2014;34683;27251;61935;2.56 ;1.85 ;2.25
03/2014;35021;27103;62125;2.54 ;1.83 ;2.23
04/2014;35524;27086;62610;2.49 ;1.90 ;2.24
05/2014;35649;26779;62428;2.71 ;1.90 ;2.36
06/2014;36096;26916;63012;2.47 ;1.80 ;2.18
07/2014;36548;26648;63196;2.45 ;1.85 ;2.20
08/2014;37374;27210;64584;2.77 ;2.05 ;2.47
09/2014;38347;27626;65973;2.66 ;2.02 ;2.39
10/2014;38870;28172;67042;2.60 ;2.08 ;2.38
11/2014;39487;28653;68140;2.42 ;1.94 ;2.22
12/2014;40544;29345;69889;2.33 ;1.81 ;2.11
01/2015;41133;29025;70158;2.56 ;2.09 ;2.37
02/2015;41554;29024;70578;2.62 ;2.23 ;2.46
03/2015;42207;28958;71166;2.43 ;2.13 ;2.31
04/2015;42007;28730;70736;2.39 ;2.41 ;2.40
05/2015;42074;28373;70447;2.43 ;2.43 ;2.43
06/2015;42181;28543;70724;2.32 ;2.47 ;2.38
07/2015;42999;28773;71772;2.74 ;2.75 ;2.74
08/2015;43810;28467;72277;3.08 ;3.16 ;3.11
09/2015;44523;29595;74118;3.08 ;3.25 ;3.15
10/2015;44574;29181;73755;3.20 ;3.55 ;3.34
11/2015;44956;29263;74219;3.27 ;3.56 ;3.39
12/2015;45717;29605;75322;3.05 ;3.20 ;3.11
01/2016;46309;29100;75408;3.36 ;3.63 ;3.47
02/2016;46405;28801;75206;3.41 ;3.69 ;3.52
03/2016;46165;28097;74262;3.14 ;3.94 ;3.44
04/2016;45813;27407;73221;3.17 ;4.11 ;3.52
05/2016;45543;27362;72905;3.02 ;4.45 ;3.55
06/2016;45309;27027;72336;2.74 ;4.43 ;3.37
07/2016;45327;26469;71796;3.07 ;4.77 ;3.70
08/2016;45601;26175;71775;3.24 ;5.48 ;4.05
09/2016;45956;26776;72733;3.26 ;6.40 ;4.42
10/2016;46073;26836;72909;3.17 ;6.05 ;4.23
11/2016;47004;26875;73879;2.99 ;5.79 ;4.01
12/2016;47527;27233;74760;2.85 ;5.11 ;3.68
01/2017;47855;26939;74794;3.26 ;5.05 ;3.91
02/2017;48266;27061;75327;3.29 ;5.43 ;4.06
03/2017;48740;26870;75610;3.35 ;5.47 ;4.10
04/2017;48633;28983;77616;3.30 ;4.11 ;3.60
05/2017;48524;28451;76975;3.12 ;3.70 ;3.34
06/2017;48824;28519;77343;2.75 ;3.25 ;2.94
07/2017;48627;27917;76544;2.92 ;3.47 ;3.12
08/2017;49363;27788;77150;3.25 ;3.63 ;3.38
09/2017;49746;28239;77985;3.15 ;3.47 ;3.27
10/2017;50448;28356;78804;2.93 ;3.75 ;3.23
11/2017;51115;28059;79173;2.72 ;3.80 ;3.10
12/2017;52084;28642;80726;2.53 ;3.70 ;2.95
01/2018;52736;28403;81139;2.68 ;3.56 ;2.99
02/2018;53288;29053;82342;2.68 ;3.48 ;2.96
03/2018;53945;29583;83528;2.64 ;3.48 ;2.94
04/2018;54239;30092;84331;2.40 ;3.88 ;2.93
05/2018;54158;31868;86026;2.37 ;3.56 ;2.81
06/2018;54923;31816;86739;2.00 ;3.05 ;2.39
07/2018;55262;31428;86690;2.27 ;3.21 ;2.61
08/2018;57039;32308;89348;2.29 ;3.07 ;2.57
09/2018;57635;32473;90108;2.30 ;2.70 ;2.44
10/2018;58176;32775;90950;2.23 ;2.81 ;2.44
11/2018;59362;33003;92365;1.97 ;2.57 ;2.19
12/2018;60215;33684;93900;1.90 ;2.37 ;2.07
01/2019;60388;32303;92691;1.97 ;2.26 ;2.07
02/2019;60896;32907;93804;1.96 ;2.13 ;2.02
03/2019;61924;33616;95540;1.98 ;1.79 ;1.92
04/2019;62192;33972;96163;1.90 ;1.69 ;1.82
05/2019;62373;34139;96512;1.90 ;1.58 ;1.78
06/2019;63156;35010;98167;1.83 ;1.54 ;1.72
07/2019;63643;35254;98897;2.17 ;1.40 ;1.89
08/2019;65450;36758;102207;2.40 ;2.17 ;2.32
09/2019;66631;37655;104286;2.35 ;2.22 ;2.30
10/2019;67255;37837;105091;2.26 ;2.19 ;2.23
11/2019;68813;38522;107335;2.14 ;2.23 ;2.17
12/2019;69667;38813;108480;2.14 ;1.84 ;2.03
01/2020;71075;39288;110363;2.26 ;2.00 ;2.17
02/2020;72069;40316;112385;2.28 ;1.97 ;2.17
03/2020;73825;44106;117930;2.41 ;1.81 ;2.19
04/2020;73441;45964;119405;2.33 ;1.82 ;2.13
05/2020;73392;47182;120574;2.26 ;1.59 ;2.00
06/2020;74.144;47206;121350;1.97 ;1.43 ;1.76
