Data;13921;13922;21180;21962;25389;28045;28148;28149;28150;28151
01/2011;0.76 ;0.91 ;81.23 ;96.8 ;139.97 ;90.34;79.03 ;110.36 ;92.39 ;106.06
02/2011;0.63 ;0.52 ;81.68 ;96.3 ;140.17 ;89.19;79.73 ;106.43 ;93.43 ;91.92
03/2011;0.74 ;0.70 ;83.57 ;101.7 ;140.75 ;89.27;80.12 ;118.67 ;90.85 ;92.13
04/2011;0.63 ;0.58 ;83.14 ;97.7 ;140.20 ;89.27;80.51 ;105.88 ;89.07 ;98.63
05/2011;0.53 ;0.65 ;83.24 ;99.9 ;140.70 ;89.29;82.09 ;105.07 ;89.92 ;98.10
06/2011;0.15 ;0.23 ;83.40 ;100.8 ;141.44 ;90.89;83.42 ;107.91 ;88.68 ;98.89
07/2011;0.20 ;-0.03 ;84.51 ;99.2 ;141.46 ;90.66;83.76 ;105.84 ;88.01 ;99.43
08/2011;0.37 ;0.37 ;83.87 ;97.8 ;141.51 ;92.39;84.26 ;106.82 ;87.79 ;100.06
09/2011;0.55 ;0.47 ;83.92 ;100.0 ;142.87 ;92.18;84.82 ;110.61 ;87.84 ;97.60
10/2011;0.13 ;0.12 ;83.29 ;100.2 ;142.83 ;89.81;84.52 ;106.18 ;88.84 ;97.80
11/2011;0.69 ;0.77 ;84.30 ;95.6 ;142.24 ;92.72;84.68 ;107.28 ;89.58 ;100.11
12/2011;0.80 ;0.74 ;85.58 ;96.1 ;142.28 ;95.84;85.45 ;107.76 ;95.90 ;98.96
01/2012;0.32 ;0.24 ;87.75 ;100.8 ;141.65 ;93.25;85.22 ;111.58 ;92.86 ;105.12
02/2012;0.47 ;0.52 ;89.97 ;99.8 ;142.51 ;92.92;86.18 ;109.24 ;90.28 ;93.82
03/2012;0.47 ;0.30 ;89.13 ;98.9 ;142.30 ;93.88;85.85 ;121.38 ;90.37 ;97.10
04/2012;0.51 ;0.48 ;90.84 ;96.8 ;142.21 ;93.22;85.26 ;109.74 ;91.46 ;97.04
05/2012;0.60 ;0.69 ;90.24 ;99.1 ;143.48 ;93.15;86.17 ;112.83 ;93.50 ;98.37
06/2012;0.07 ;0.40 ;92.47 ;97.0 ;145.50 ;94.31;86.40 ;112.40 ;96.40 ;91.70
07/2012;0.47 ;0.00 ;92.79 ;97.0 ;144.07 ;93.17;85.77 ;112.79 ;93.08 ;95.07
08/2012;0.41 ;0.48 ;91.80 ;99.0 ;144.89 ;94.36;87.41 ;111.00 ;96.81 ;93.89
09/2012;0.66 ;0.72 ;92.73 ;99.8 ;144.57 ;94.61;86.52 ;107.75 ;94.91 ;95.96
10/2012;0.82 ;0.86 ;92.69 ;100.0 ;145.93 ;95.73;87.89 ;105.98 ;97.53 ;96.28
11/2012;0.63 ;0.56 ;92.20 ;104.0 ;146.56 ;95.79;87.82 ;105.87 ;95.81 ;94.37
12/2012;0.89 ;0.92 ;93.09 ;105.5 ;146.68 ;98.31;88.80 ;104.26 ;95.66 ;95.14
01/2013;0.90 ;0.95 ;93.00 ;105.4 ;147.41 ;94.04;88.39 ;101.52 ;96.24 ;95.09
02/2013;0.78 ;0.88 ;91.79 ;104.4 ;146.98 ;96.43;87.93 ;103.61 ;98.83 ;97.77
03/2013;0.49 ;0.60 ;93.37 ;100.7 ;146.12 ;96.74;88.49 ;103.80 ;100.47 ;97.03
04/2013;0.65 ;0.67 ;94.28 ;105.0 ;145.20 ;98.61;88.62 ;103.06 ;102.51 ;94.85
05/2013;0.42 ;0.40 ;95.05 ;104.6 ;146.90 ;99.13;89.83 ;100.82 ;100.06 ;96.05
06/2013;0.25 ;0.17 ;95.55 ;106.0 ;146.63 ;98.66;88.63 ;98.61 ;100.17 ;96.51
07/2013;-0.05 ;-0.09 ;97.37 ;104.8 ;147.66 ;99.70;92.39 ;97.25 ;101.88 ;95.40
08/2013;0.09 ;0.02 ;98.75 ;103.5 ;147.78 ;98.23;94.04 ;98.62 ;100.87 ;97.35
09/2013;0.24 ;0.21 ;98.89 ;102.0 ;147.68 ;98.49;90.84 ;101.03 ;102.55 ;96.91
10/2013;0.37 ;0.51 ;98.26 ;97.9 ;147.62 ;98.37;92.99 ;98.03 ;101.20 ;97.35
11/2013;0.54 ;0.61 ;97.85 ;102.8 ;148.94 ;97.82;97.10 ;101.50 ;100.25 ;98.22
12/2013;1.07 ;0.89 ;99.54 ;104.4 ;149.85 ;97.96;96.69 ;99.24 ;100.83 ;99.01
