Data;14084;14089;14094;15889;15921;15953
01/2011;108543;102439;210982;5.19 ;2.00 ;3.36
02/2011;109956;104161;214116;4.57 ;1.99 ;3.08
03/2011;110774;104855;215630;4.64 ;1.99 ;3.12
04/2011;112794;106654;219448;4.80 ;2.06 ;3.23
05/2011;114589;108482;223071;4.92 ;2.23 ;3.38
06/2011;117001;110394;227395;4.90 ;2.00 ;3.24
07/2011;119872;111680;231552;5.03 ;2.20 ;3.42
08/2011;121410;114208;235618;5.09 ;2.12 ;3.40
09/2011;124760;118832;243592;5.17 ;2.07 ;3.40
10/2011;126735;118566;245301;5.47 ;2.11 ;3.56
11/2011;128994;121938;250932;6.16 ;2.17 ;3.89
12/2011;131795;128157;259952;6.16 ;2.13 ;3.84
01/2012;132310;125456;257766;5.56 ;2.31 ;3.84
02/2012;133441;125245;258687;6.13 ;2.50 ;4.26
03/2012;135498;127326;262824;6.06 ;2.46 ;4.21
04/2012;137587;128894;266481;5.86 ;2.53 ;4.25
05/2012;140136;131280;271416;5.94 ;2.50 ;4.27
06/2012;142481;132222;274703;5.85 ;2.44 ;4.21
07/2012;144254;133054;277308;5.84 ;2.49 ;4.23
08/2012;146758;134524;281282;5.79 ;2.52 ;4.22
09/2012;147395;135226;282621;5.75 ;2.46 ;4.17
10/2012;149714;135872;285586;5.70 ;2.46 ;4.16
11/2012;152667;140558;293225;5.60 ;2.35 ;4.04
12/2012;155576;144881;300456;5.61 ;2.37 ;4.05
01/2013;157448;143560;301008;5.47 ;2.44 ;4.02
02/2013;158258;144561;302820;5.48 ;2.54 ;4.08
03/2013;160433;146044;306477;5.55 ;2.55 ;4.12
04/2013;163160;147693;310852;5.41 ;2.56 ;4.06
05/2013;166558;152295;318852;5.38 ;2.82 ;4.16
06/2013;168934;155165;324099;5.27 ;2.49 ;3.94
07/2013;171509;155942;327451;5.18 ;2.42 ;3.86
08/2013;173951;157738;331689;5.07 ;2.34 ;3.77
09/2013;176235;158123;334358;5.10 ;2.37 ;3.81
10/2013;178197;158889;337086;5.04 ;2.39 ;3.79
11/2013;180735;163730;344465;4.90 ;2.25 ;3.64
12/2013;184436;168767;353203;4.75 ;2.11 ;3.49
01/2014;186265;167590;353856;4.68 ;2.11 ;3.46
02/2014;187498;167908;355407;4.66 ;2.04 ;3.42
03/2014;187869;156457;344326;4.71 ;2.25 ;3.59
04/2014;190904;157620;348524;4.71 ;2.25 ;3.60
05/2014;194141;158989;353131;4.74 ;2.32 ;3.65
06/2014;196531;160036;356567;4.71 ;2.33 ;3.64
07/2014;198423;161055;359478;4.73 ;2.36 ;3.67
08/2014;200871;162457;363329;4.77 ;2.52 ;3.76
09/2014;202465;162982;365447;4.49 ;2.48 ;3.59
10/2014;205456;164094;369550;4.52 ;2.52 ;3.63
11/2014;208357;167292;375649;4.41 ;2.48 ;3.55
12/2014;213049;172328;385377;4.13 ;2.33 ;3.32
01/2015;215094;171232;386326;4.21 ;2.44 ;3.43
02/2015;215539;171608;387147;4.26 ;2.52 ;3.49
03/2015;217754;172289;390043;4.13 ;2.57 ;3.44
04/2015;218977;170416;389393;4.22 ;3.05 ;3.71
05/2015;221212;170524;391736;4.34 ;3.11 ;3.80
06/2015;222944;169187;392132;4.22 ;3.03 ;3.71
07/2015;224729;170207;394936;4.32 ;3.03 ;3.77
08/2015;226651;170371;397021;4.44 ;3.25 ;3.93
09/2015;227829;170434;398263;4.53 ;3.26 ;3.99
10/2015;228285;168395;396679;4.71 ;3.52 ;4.20
11/2015;230706;168528;399233;4.84 ;3.68 ;4.35
12/2015;232617;172196;404812;4.86 ;3.44 ;4.26
01/2016;233207;170377;403584;4.87 ;3.52 ;4.30
02/2016;233345;168732;402077;4.94 ;3.63 ;4.39
03/2016;234048;166657;400706;4.87 ;3.82 ;4.43
04/2016;234089;165386;399475;5.04 ;3.97 ;4.60
05/2016;235531;165238;400770;5.01 ;4.11 ;4.64
06/2016;236775;162636;399411;4.73 ;3.85 ;4.37
07/2016;237538;161280;398819;4.48 ;4.01 ;4.29
08/2016;238925;160014;398939;4.47 ;3.93 ;4.25
09/2016;239167;158243;397410;4.57 ;4.01 ;4.35
10/2016;238401;157669;396070;4.60 ;4.24 ;4.46
11/2016;240416;157104;397520;4.46 ;4.14 ;4.33
12/2016;242314;155672;397985;4.24 ;3.97 ;4.13
01/2017;243162;153011;396173;4.29 ;3.66 ;4.05
02/2017;243594;153486;397080;4.31 ;3.86 ;4.14
03/2017;244567;152945;397512;4.27 ;3.93 ;4.14
04/2017;244558;151282;395840;4.46 ;4.04 ;4.30
05/2017;246826;149538;396364;4.52 ;5.13 ;4.75
06/2017;248553;149951;398504;4.04 ;3.69 ;3.91
07/2017;249959;148480;398439;4.20 ;3.94 ;4.10
08/2017;251709;147661;399370;4.14 ;3.77 ;4.00
09/2017;252340;145257;397596;4.13 ;3.52 ;3.91
10/2017;253981;142402;396383;4.15 ;3.74 ;4.00
11/2017;256849;141377;398226;4.06 ;4.14 ;4.09
12/2017;258210;145183;403393;3.78 ;3.68 ;3.75
01/2018;260340;141485;401825;4.05 ;3.59 ;3.89
02/2018;259769;141478;401246;4.07 ;4.39 ;4.18
03/2018;261564;140921;402485;4.05 ;4.26 ;4.13
04/2018;263238;139178;402416;4.07 ;3.57 ;3.90
05/2018;265481;141499;406980;4.07 ;3.92 ;4.02
06/2018;267413;139806;407219;3.92 ;2.91 ;3.58
07/2018;269124;137643;406766;3.95 ;2.97 ;3.62
08/2018;272262;138167;410429;3.84 ;4.44 ;4.04
09/2018;273229;138490;411719;3.80 ;2.83 ;3.48
10/2018;275945;137943;413888;3.69 ;2.98 ;3.45
11/2018;280724;138685;419409;3.62 ;2.90 ;3.38
12/2018;283382;139186;422568;3.53 ;2.60 ;3.22
01/2019;284600;135726;420326;3.65 ;2.62 ;3.32
02/2019;285949;135632;421581;3.61 ;2.67 ;3.31
03/2019;288044;133839;421883;3.74 ;2.72 ;3.42
04/2019;290939;131847;422786;3.72 ;3.68 ;3.71
05/2019;294493;135120;429613;3.82 ;3.52 ;3.73
06/2019;296829;137101;433930;3.78 ;3.15 ;3.58
07/2019;299930;135316;435246;3.90 ;2.48 ;3.46
08/2019;303974;136876;440850;3.93 ;2.63 ;3.53
09/2019;307198;138445;445643;4.00 ;2.82 ;3.63
10/2019;310925;137143;448068;3.98 ;2.66 ;3.58
11/2019;315317;138442;453759;4.00 ;2.56 ;3.56
12/2019;319437;141079;460516;3.97 ;2.94 ;3.65
01/2020;321943;138812;460754;4.15 ;2.64 ;3.69
02/2020;322579;138566;461145;4.19 ;2.79 ;3.77
03/2020;323368;142185;465553;4.62 ;3.05 ;4.14
04/2020;319498;142684;462182;4.84 ;3.02 ;4.28
05/2020;317719;143725;461444;4.83 ;3.29 ;4.35
