Data;1463;14011;14038;14065;15870;15902;15934;28023
01/2011;70.60 ;11290;6455;17745;6.17 ;3.34 ;4.90 ;86.90
02/2011;68.30 ;11459;6609;18069;5.57 ;3.22 ;4.51 ;85.30
03/2011;73.60 ;11548;6694;18241;5.74 ;3.22 ;4.60 ;85.10
04/2011;74.40 ;11768;6753;18521;5.95 ;3.30 ;4.76 ;85.60
05/2011;77.60 ;11932;6917;18849;6.15 ;3.37 ;4.90 ;87.10
06/2011;71.60 ;12223;6872;19095;6.05 ;2.88 ;4.65 ;87.50
07/2011;78.60 ;12539;6913;19452;6.22 ;2.95 ;4.79 ;87.10
08/2011;81.50 ;12727;7013;19740;6.27 ;2.91 ;4.82 ;92.50
09/2011;77.90 ;13057;7250;20307;6.54 ;2.96 ;4.97 ;90.50
10/2011;73.80 ;13236;7341;20576;6.98 ;2.96 ;5.22 ;86.70
11/2011;79.70 ;13439;7667;21106;7.70 ;3.07 ;5.65 ;91.80
12/2011;109.90 ;13692;8633;22325;7.78 ;2.81 ;5.45 ;93.70
01/2012;80.60 ;13882;8610;22491;6.81 ;2.97 ;5.19 ;91.20
02/2012;77.50 ;13999;8763;22763;7.15 ;3.20 ;5.53 ;94.50
03/2012;83.40 ;14169;9074;23242;7.14 ;3.08 ;5.45 ;91.50
04/2012;79.30 ;14365;9002;23367;6.89 ;2.91 ;5.36 ;92.70
05/2012;85.80 ;14573;9396;23969;6.95 ;2.86 ;5.35 ;93.40
06/2012;83.50 ;14776;9468;24244;6.93 ;2.78 ;5.31 ;94.10
07/2012;88.10 ;14936;9549;24485;6.81 ;2.77 ;5.23 ;94.80
08/2012;88.80 ;15150;9689;24839;6.65 ;2.73 ;5.12 ;93.90
09/2012;83.90 ;15190;9835;25025;6.61 ;2.63 ;5.05 ;93.70
10/2012;90.20 ;15381;9863;25243;6.50 ;2.55 ;4.95 ;97.10
11/2012;87.90 ;15694;10102;25796;6.37 ;2.52 ;4.86 ;95.30
12/2012;118.60 ;15917;10318;26235;6.52 ;2.68 ;5.01 ;100.40
01/2013;89.20 ;16127;10320;26447;6.34 ;2.77 ;4.95 ;97.20
02/2013;77.90 ;16264;10409;26673;6.29 ;2.74 ;4.91 ;97.10
03/2013;87.80 ;16474;10500;26974;6.27 ;2.74 ;4.90 ;99.80
04/2013;85.10 ;16757;10683;27440;6.03 ;2.84 ;4.79 ;99.80
05/2013;93.60 ;17036;11145;28180;5.90 ;2.83 ;4.68 ;99.70
06/2013;87.50 ;17291;11522;28813;5.72 ;2.73 ;4.53 ;98.30
07/2013;97.20 ;17573;11489;29062;5.53 ;2.85 ;4.47 ;98.80
08/2013;97.90 ;17805;11586;29391;5.35 ;2.69 ;4.30 ;96.00
09/2013;91.80 ;18019;11596;29615;5.44 ;2.68 ;4.36 ;95.40
10/2013;99.40 ;18225;11633;29858;5.35 ;2.61 ;4.28 ;97.30
11/2013;99.60 ;18457;12035;30492;5.23 ;2.56 ;4.18 ;96.60
12/2013;130.10 ;18770;12465;31235;5.08 ;2.43 ;4.02 ;97.50
01/2014;97.20 ;18983;12134;31116;5.00 ;2.66 ;4.09 ;99.10
02/2014;90.40 ;19155;12067;31222;4.96 ;2.66 ;4.07 ;103.60
03/2014;92.70 ;19206;11944;31150;5.00 ;2.79 ;4.15 ;102.60
04/2014;92.00 ;19525;11882;31407;4.93 ;2.83 ;4.14 ;102.50
05/2014;100.30 ;19815;12037;31852;4.90 ;2.77 ;4.09 ;100.00
06/2014;92.90 ;20064;12257;32321;4.86 ;2.63 ;4.01 ;97.50
07/2014;99.00 ;20298;12188;32486;4.82 ;2.77 ;4.05 ;100.90
08/2014;101.60 ;20570;12208;32779;4.85 ;2.88 ;4.12 ;100.00
09/2014;96.10 ;20720;12386;33106;4.51 ;2.87 ;3.90 ;101.60
10/2014;105.60 ;21046;12617;33664;4.50 ;2.86 ;3.89 ;98.90
11/2014;100.60 ;21328;12863;34191;4.48 ;2.88 ;3.88 ;99.10
12/2014;131.60 ;21720;13390;35110;4.29 ;2.59 ;3.65 ;95.50
01/2015;95.40 ;21950;13325;35275;4.36 ;2.74 ;3.75 ;94.90
02/2015;82.50 ;22085;13227;35313;4.61 ;2.84 ;3.95 ;92.50
03/2015;92.30 ;22329;13278;35606;4.35 ;2.98 ;3.84 ;90.80
04/2015;89.30 ;22529;13347;35876;4.40 ;2.93 ;3.86 ;89.70
05/2015;93.80 ;22687;13537;36225;4.52 ;2.99 ;3.95 ;90.10
06/2015;88.50 ;22793;13507;36300;4.34 ;3.12 ;3.88 ;88.60
07/2015;95.50 ;23030;13468;36498;4.36 ;3.04 ;3.87 ;87.90
