Data;1467;7487;14016;14043;14070;15875;15907;15939;28027
01/2011;73.70 ;200.21 ;8542;3677;12220;4.51 ;3.98 ;4.31 ;84.90
02/2011;72.60 ;203.26 ;8637;3691;12327;3.95 ;2.87 ;3.54 ;84.20
03/2011;74.30 ;203.94 ;8663;3723;12385;3.98 ;2.72 ;3.51 ;82.20
04/2011;75.70 ;198.79 ;8852;3788;12640;4.11 ;2.98 ;3.69 ;84.90
05/2011;79.10 ;200.18 ;9014;3827;12841;4.37 ;3.75 ;4.14 ;83.90
06/2011;78.60 ;206.22 ;9211;3881;13092;4.19 ;2.50 ;3.57 ;85.30
07/2011;81.90 ;204.40 ;9456;3875;13331;4.33 ;2.46 ;3.65 ;86.90
08/2011;81.70 ;202.47 ;9584;4023;13607;4.44 ;2.36 ;3.68 ;87.30
09/2011;79.70 ;196.69 ;9863;4119;13982;4.53 ;2.25 ;3.69 ;86.60
10/2011;80.30 ;195.14 ;10017;4166;14183;4.86 ;2.18 ;3.88 ;83.50
11/2011;82.70 ;198.26 ;10154;4399;14553;5.63 ;2.31 ;4.38 ;87.10
12/2011;117.10 ;204.21 ;10377;4484;14861;5.62 ;2.32 ;4.38 ;87.20
01/2012;82.30 ;212.18 ;10481;4945;15426;5.07 ;2.18 ;4.03 ;88.20
02/2012;78.70 ;212.64 ;10568;4937;15506;5.64 ;2.33 ;4.49 ;87.40
03/2012;85.10 ;214.54 ;10757;4942;15699;5.59 ;2.53 ;4.54 ;89.10
04/2012;77.50 ;216.95 ;10761;5007;15768;5.46 ;2.94 ;4.66 ;87.00
05/2012;88.90 ;225.94 ;10956;5043;15999;5.58 ;2.91 ;4.74 ;89.10
06/2012;85.10 ;229.56 ;11116;5094;16210;5.51 ;3.00 ;4.73 ;91.70
07/2012;85.80 ;233.25 ;11246;5111;16356;5.57 ;3.14 ;4.81 ;86.30
08/2012;84.50 ;233.36 ;11420;5140;16560;5.56 ;3.17 ;4.82 ;90.30
09/2012;89.70 ;233.23 ;11450;5183;16633;5.58 ;3.37 ;4.89 ;86.00
10/2012;94.10 ;232.97 ;11604;5238;16842;5.55 ;3.40 ;4.88 ;90.50
11/2012;95.50 ;235.35 ;11825;5335;17160;5.51 ;3.49 ;4.88 ;89.40
12/2012;123.60 ;237.85 ;12035;5561;17596;5.58 ;3.64 ;4.97 ;92.30
