Data;1468;1485;1498;1524;1550;1563;7490;12675;12676;14018;14045;14072;15877;15909;15941;25418;28028
01/2011;78.30 ;77.90 ;90.70 ;75.80 ;99.20 ;88.80 ;204.85 ;0.55;0.69 ;19061;29984;49045;5.25 ;1.15 ;2.41 ;139.10 ;95.00
02/2011;72.20 ;76.90 ;84.60 ;65.70 ;98.80 ;83.00 ;211.40 ;0.92;0.81 ;19346;30425;49772;4.52 ;1.10 ;2.15 ;140.62 ;93.50
03/2011;75.70 ;82.60 ;93.40 ;67.50 ;94.10 ;91.40 ;209.77 ;0.73;0.67 ;19458;30214;49673;4.53 ;1.30 ;2.31 ;141.04 ;93.00
04/2011;78.30 ;77.50 ;96.90 ;67.80 ;89.70 ;95.00 ;202.03 ;0.62;0.54 ;19788;30345;50133;4.68 ;1.33 ;2.39 ;141.09 ;93.30
05/2011;80.10 ;75.80 ;91.00 ;80.90 ;104.90 ;89.00 ;207.66 ;0.65;0.79 ;20045;30663;50708;4.86 ;1.37 ;2.48 ;141.09 ;94.10
06/2011;78.50 ;79.50 ;89.60 ;66.10 ;90.10 ;87.80 ;213.64 ;0.35;0.37 ;20396;31440;51836;4.90 ;1.27 ;2.42 ;142.97 ;95.20
07/2011;82.50 ;80.40 ;96.60 ;76.60 ;98.20 ;94.50 ;212.55 ;-0.15;-0.20 ;20952;31723;52674;5.01 ;1.44 ;2.57 ;143.53 ;95.70
08/2011;82.20 ;83.30 ;93.70 ;75.50 ;107.20 ;91.70 ;211.09 ;0.38;0.37 ;21156;32254;53410;5.14 ;1.43 ;2.61 ;143.56 ;96.20
09/2011;79.30 ;83.40 ;92.50 ;70.40 ;106.70 ;90.30 ;208.51 ;0.42;0.42 ;21763;34209;55972;5.24 ;1.41 ;2.60 ;145.08 ;94.70
10/2011;83.10 ;89.10 ;94.30 ;74.20 ;94.20 ;92.20 ;206.17 ;0.05;0.10 ;22137;33584;55721;5.46 ;1.47 ;2.74 ;145.73 ;94.80
11/2011;86.00 ;90.90 ;93.30 ;80.20 ;96.30 ;91.30 ;210.52 ;0.62;0.66 ;22459;35010;57470;6.29 ;1.43 ;2.95 ;145.41 ;96.30
12/2011;115.70 ;94.70 ;114.60 ;111.20 ;107.80 ;112.10 ;215.99 ;0.77;0.72 ;22850;36630;59481;6.30 ;1.37 ;2.88 ;145.81 ;99.10
01/2012;85.90 ;85.10 ;96.60 ;89.40 ;100.70 ;95.70 ;223.16 ;0.46;0.42 ;22902;35326;58228;5.77 ;1.45 ;2.95 ;146.17 ;97.10
02/2012;80.00 ;77.40 ;96.40 ;77.10 ;87.20 ;95.50 ;219.42 ;0.81;0.90 ;23064;35105;58169;6.34 ;1.47 ;3.24 ;147.44 ;97.90
03/2012;88.40 ;89.90 ;104.50 ;80.60 ;101.00 ;103.10 ;223.10 ;0.48;0.23 ;23364;35612;58977;6.19 ;1.49 ;3.20 ;146.97 ;99.60
04/2012;83.70 ;81.50 ;100.40 ;75.30 ;85.60 ;98.80 ;223.97 ;0.58;0.55 ;23706;36391;60097;5.93 ;1.51 ;3.25 ;147.40 ;98.90
