Data;1470;7479;14027;14054;14081;15886;15918;15950;28030
01/2011;93.60 ;182.76 ;5561;3728;9289;3.80 ;2.36 ;3.10 ;100.50
02/2011;79.70 ;190.66 ;5631;3832;9463;3.32 ;2.22 ;2.78 ;102.50
03/2011;84.30 ;192.35 ;5708;3846;9554;3.33 ;2.00 ;2.68 ;100.70
04/2011;84.90 ;185.88 ;5830;3904;9734;3.41 ;1.88 ;2.68 ;103.40
05/2011;88.60 ;186.67 ;5957;3907;9863;3.46 ;1.81 ;2.67 ;101.90
06/2011;86.90 ;183.24 ;6052;3935;9987;3.52 ;2.32 ;2.95 ;102.00
07/2011;87.90 ;184.01 ;6174;3934;10108;3.67 ;2.65 ;3.19 ;100.20
08/2011;89.50 ;187.73 ;6273;4071;10344;3.72 ;2.82 ;3.30 ;102.00
09/2011;85.80 ;183.61 ;6418;4153;10571;3.72 ;2.52 ;3.16 ;104.00
10/2011;90.70 ;182.68 ;6506;4087;10592;3.96 ;2.02 ;3.06 ;101.80
11/2011;92.50 ;181.79 ;6623;4217;10841;4.55 ;1.89 ;3.31 ;103.90
12/2011;124.80 ;182.22 ;6755;4643;11398;4.50 ;1.80 ;3.19 ;105.70
01/2012;94.10 ;187.88 ;6681;4573;11255;4.13 ;1.92 ;3.16 ;103.90
02/2012;87.80 ;188.59 ;6746;4638;11384;4.91 ;2.18 ;3.73 ;103.10
03/2012;91.90 ;192.41 ;6846;4662;11508;4.81 ;2.21 ;3.70 ;102.30
04/2012;87.60 ;192.52 ;6967;4741;11709;4.74 ;2.52 ;3.84 ;97.50
05/2012;94.50 ;199.26 ;7103;4819;11922;4.75 ;2.53 ;3.85 ;101.90
06/2012;91.40 ;199.70 ;7236;4850;12086;4.65 ;2.47 ;3.77 ;100.00
07/2012;91.90 ;208.14 ;7329;4862;12191;4.62 ;2.55 ;3.79 ;105.00
08/2012;95.60 ;212.99 ;7445;4928;12373;4.55 ;2.29 ;3.65 ;98.80
