Data;1457;14002;14029;14056;15861;15893;15925;24003
01/2011;70.6;1994;1544;3537;4.91;1.24;3.07;83.4
02/2011;66.8;2012;1543;3555;4.36;1.19;2.78;81.2
03/2011;70.8;2037;1544;3581;4.5;1.18;2.87;84.4
04/2011;70.5;2068;1534;3603;4.45;1.26;2.9;85.5
05/2011;75.7;2094;1549;3643;4.76;1.36;3.11;91.2
06/2011;67.9;2126;1570;3696;4.82;1.49;3.21;87.1
07/2011;75.7;2173;1576;3749;5.04;1.58;3.37;94.0
08/2011;75.8;2193;1584;3777;5.09;1.63;3.43;96.7
09/2011;73.8;2231;1611;3842;5.19;1.63;3.48;92.5
10/2011;71.5;2266;1633;3899;5.4;1.66;3.6;89.9
11/2011;75.2;2290;1659;3948;6.2;1.81;4.09;92.5
12/2011;113.2;2335;1726;4060;6.33;1.78;4.12;106.6
01/2012;78.7;2406;1767;4173;5.65;2.18;4.09;81.5
02/2012;72.4;2428;1761;4188;6.0;2.36;4.4;80.6
03/2012;83.1;2450;1768;4218;5.99;2.57;4.49;83.8
04/2012;79.8;2436;1784;4220;5.84;2.64;4.49;81.4
05/2012;86.0;2470;1812;4282;5.8;2.11;4.24;92.4
06/2012;82.4;2504;1930;4435;5.62;1.88;3.99;86.7
07/2012;89.1;2517;2038;4556;5.58;1.72;3.85;91.0
08/2012;88.2;2543;2085;4628;5.37;2.59;4.12;96.2
09/2012;80.8;2542;2153;4695;5.26;2.83;4.14;89.7
10/2012;87.8;2578;2188;4766;5.17;2.83;4.09;92.5
11/2012;83.2;2601;2234;4835;5.06;4.2;4.66;98.7
12/2012;112.4;2644;2706;5350;5.09;3.99;4.54;103.6
01/2013;82.3;2672;2666;5338;4.92;4.14;4.53;85.0
02/2013;74.9;2695;2672;5368;4.93;4.12;4.53;82.5
03/2013;83.2;2734;2681;5415;4.91;4.18;4.55;87.1
04/2013;81.5;2760;2681;5440;5.09;4.3;4.7;89.6
05/2013;88.8;2825;2659;5484;5.18;1.99;3.63;92.0
06/2013;82.1;2888;2694;5581;4.87;1.63;3.31;94.7
07/2013;88.8;2916;2745;5661;4.75;1.5;3.17;99.1
08/2013;86.3;2950;2756;5707;4.73;1.45;3.15;94.3
