Data;1458;14005;14032;14059;15864;15896;15928;24005;25412;28003
01/2011;88.90 ;7067;8922;15988;5.52 ;2.26 ;3.46 ;81.20 ;162.64 ;80
02/2011;81.00 ;7146;8885;16031;4.73 ;2.15 ;3.11 ;82.50 ;162.20 ;80
03/2011;83.70 ;7193;9197;16391;4.83 ;2.04 ;3.06 ;87.10 ;162.59 ;79
04/2011;83.50 ;7303;9420;16723;4.98 ;2.04 ;3.11 ;86.80 ;164.61 ;81
05/2011;90.30 ;7395;9591;16986;5.24 ;2.14 ;3.27 ;89.50 ;165.83 ;81
06/2011;87.90 ;7549;10141;17690;5.20 ;1.91 ;3.09 ;89.40 ;165.57 ;82
07/2011;90.00 ;7702;9941;17644;5.34 ;1.98 ;3.21 ;90.30 ;168.69 ;81
08/2011;96.20 ;7749;10125;17874;5.44 ;2.00 ;3.26 ;95.60 ;167.31 ;82
09/2011;87.20 ;7902;10809;18710;5.56 ;1.92 ;3.21 ;93.40 ;169.83 ;81
10/2011;92.00 ;8033;11004;19037;5.69 ;1.95 ;3.27 ;93.70 ;173.64 ;82
11/2011;95.10 ;8132;11169;19301;6.49 ;1.93 ;3.54 ;96.60 ;167.44 ;83
12/2011;127.70 ;8240;11446;19686;6.44 ;1.85 ;3.45 ;102.10 ;165.29 ;83
01/2012;89.90 ;8406;10187;18593;5.89 ;2.09 ;3.66 ;86.10 ;165.03 ;83
02/2012;83.80 ;8464;10123;18587;6.21 ;2.10 ;3.86 ;87.30 ;164.88 ;81
03/2012;94.20 ;8527;10220;18747;6.09 ;2.13 ;3.83 ;93.40 ;163.01 ;81
04/2012;90.80 ;8607;10299;18906;6.17 ;3.43 ;4.68 ;90.50 ;163.92 ;79
05/2012;98.90 ;8728;10567;19295;6.31 ;3.47 ;4.75 ;93.00 ;163.99 ;81
06/2012;94.70 ;8830;10789;19619;6.17 ;3.34 ;4.62 ;92.70 ;167.79 ;82
07/2012;95.30 ;8901;10839;19740;6.07 ;2.21 ;3.95 ;90.50 ;158.73 ;82
08/2012;97.20 ;9046;11128;20174;5.96 ;2.23 ;3.90 ;96.10 ;171.86 ;81
09/2012;91.20 ;9109;11435;20545;5.78 ;2.17 ;3.77 ;91.20 ;169.17 ;80
10/2012;93.50 ;9194;11702;20896;5.80 ;2.13 ;3.74 ;99.50 ;165.64 ;82
11/2012;95.00 ;9302;11663;20965;5.85 ;2.21 ;3.82 ;98.30 ;169.95 ;81
12/2012;126.20 ;9461;12259;21719;5.79 ;1.93 ;3.61 ;99.60 ;170.66 ;78
01/2013;92.70 ;9596;12123;21719;5.73 ;1.84 ;3.56 ;87.00 ;168.54 ;80
02/2013;84.50 ;9657;11913;21570;5.69 ;1.91 ;3.60 ;87.10 ;170.50 ;80
03/2013;95.40 ;9725;11795;21519;5.82 ;1.97 ;3.71 ;94.80 ;171.93 ;81
04/2013;91.10 ;9888;11857;21745;5.83 ;2.00 ;3.74 ;98.40 ;172.04 ;81
05/2013;98.20 ;10059;12032;22092;5.94 ;2.00 ;3.79 ;99.20 ;174.26 ;81
06/2013;95.30 ;10179;12356;22535;5.86 ;2.41 ;3.97 ;97.70 ;172.12 ;84
07/2013;99.50 ;10305;12373;22678;5.80 ;2.65 ;4.08 ;98.80 ;174.13 ;82
08/2013;103.20 ;10445;12577;23022;5.69 ;2.90 ;4.16 ;99.10 ;175.47 ;83
09/2013;96.10 ;10574;12586;23160;5.72 ;3.06 ;4.27 ;96.70 ;176.06 ;82
10/2013;101.80 ;10701;12625;23327;5.62 ;3.33 ;4.38 ;102.40 ;177.69 ;83
11/2013;102.50 ;10812;12453;23265;5.65 ;3.30 ;4.39 ;100.60 ;178.31 ;81
12/2013;135.70 ;11003;12911;23914;5.64 ;4.32 ;4.93 ;100.90 ;179.73 ;80
01/2014;99.10 ;11125;12576;23701;5.55 ;4.59 ;5.04 ;96.80 ;178.78 ;81
02/2014;87.60 ;11168;12467;23634;5.66 ;4.64 ;5.12 ;100.10 ;178.99 ;80
03/2014;91.90 ;11112;12378;23491;5.85 ;3.28 ;4.50 ;101.10 ;180.80 ;81
04/2014;90.10 ;11317;12298;23616;5.75 ;2.96 ;4.30 ;100.40 ;175.35 ;80
05/2014;103.80 ;11459;12282;23741;5.93 ;3.06 ;4.45 ;105.10 ;173.50 ;81
06/2014;94.40 ;11578;12257;23835;5.65 ;3.07 ;4.32 ;93.50 ;166.49 ;79
07/2014;96.00 ;11669;12091;23759;5.78 ;2.78 ;4.25 ;98.10 ;172.11 ;80
