Data;1460;7480;13076;13077;14015;14042;14069;15874;15906;15938;24006;25410
01/2011;77.80 ;228.55 ;0.86 ;1.00 ;12503;10537;23040;5.36 ;2.89 ;4.04;85.10 ;155.60
02/2011;70.10 ;228.94 ;0.46 ;0.36 ;12602;10592;23195;4.52 ;2.83 ;3.61;85.80 ;151.76
03/2011;75.60 ;232.76 ;0.34 ;0.43 ;12728;10834;23562;4.57 ;2.81 ;3.63;85.70 ;149.16
04/2011;78.70 ;231.40 ;0.40 ;0.39 ;12953;10981;23933;4.72 ;2.58 ;3.57;87.10 ;151.87
05/2011;82.00 ;229.62 ;0.55 ;0.66 ;13146;11263;24408;4.83 ;2.52 ;3.59;90.70 ;153.72
06/2011;79.90 ;232.63 ;0.24 ;0.24 ;13455;11393;24848;4.72 ;2.37 ;3.47;90.10 ;156.27
07/2011;83.60 ;233.14 ;-0.06 ;-0.22 ;14048;11310;25358;4.60 ;2.57 ;3.54;92.80 ;159.05
08/2011;86.20 ;235.66 ;0.41 ;0.38 ;14303;11545;25848;4.67 ;2.52 ;3.56;98.10 ;157.53
09/2011;82.00 ;235.75 ;0.15 ;0.01 ;14637;12106;26743;4.71 ;2.40 ;3.50;93.70 ;157.44
10/2011;87.40 ;237.85 ;0.17 ;0.22 ;14840;12268;27108;5.01 ;2.37 ;3.62;95.40 ;156.32
11/2011;83.80 ;242.82 ;0.67 ;0.73 ;15060;12583;27643;5.81 ;2.34 ;3.98;96.20 ;159.53
12/2011;132.50 ;243.75 ;0.45 ;0.47 ;15343;12920;28263;5.79 ;2.45 ;4.03;105.40 ;161.49
01/2012;84.90 ;248.77 ;0.61 ;0.50 ;15557;12861;28417;5.22 ;2.55 ;3.92;91.50 ;152.10
02/2012;77.20 ;248.84 ;0.61 ;0.56 ;15705;13001;28706;5.55 ;2.63 ;4.15;90.20 ;153.75
03/2012;87.20 ;245.07 ;0.39 ;0.38 ;15910;13137;29047;5.43 ;2.57 ;4.06;94.20 ;157.35
04/2012;84.50 ;248.41 ;0.77 ;0.73 ;16171;13442;29614;5.40 ;2.98 ;4.30;91.60 ;160.88
05/2012;92.70 ;250.61 ;0.43 ;0.58 ;16510;13579;30089;5.42 ;3.08 ;4.36;100.30 ;162.74
06/2012;87.70 ;252.97 ;0.23 ;0.18 ;16836;13876;30712;5.37 ;7.18 ;6.19;100.20 ;162.48
07/2012;90.30 ;259.89 ;0.22 ;0.21 ;17140;14254;31394;5.36 ;6.39 ;5.83;99.20 ;162.27
08/2012;92.80 ;262.33 ;0.72 ;0.74 ;17440;14474;31914;5.27 ;7.23 ;6.16;101.20 ;163.98
09/2012;87.60 ;262.40 ;0.71 ;0.80 ;17513;14959;32472;5.26 ;6.01 ;5.60;96.40 ;163.28
10/2012;94.50 ;268.58 ;1.02 ;1.08 ;17778;15153;32930;5.27 ;6.07 ;5.64;104.00 ;165.19
11/2012;87.90 ;270.22 ;1.27 ;1.24 ;18079;15487;33566;5.22 ;3.61 ;4.48;95.50 ;163.50
12/2012;134.40 ;271.58 ;1.03 ;1.06 ;18358;15017;33375;5.26 ;3.74 ;4.58;102.30 ;165.53
01/2013;91.40 ;280.51 ;1.06 ;1.17 ;18613;14539;33153;5.14 ;4.04 ;4.66;94.50 ;165.62
02/2013;78.90 ;286.70 ;0.58 ;0.62 ;18742;14548;33290;5.11 ;4.11 ;4.67;89.30 ;165.53
03/2013;91.90 ;291.86 ;0.79 ;0.77 ;18972;14354;33326;5.33 ;4.26 ;4.87;95.30 ;161.58
04/2013;87.90 ;307.18 ;0.64 ;0.68 ;19315;14606;33921;5.31 ;3.88 ;4.69;100.90 ;156.93
05/2013;97.60 ;308.77 ;-0.16 ;-0.14 ;19720;14830;34550;5.45 ;3.75 ;4.72;101.20 ;158.80
06/2013;91.90 ;309.01 ;-0.07 ;-0.10 ;20051;15023;35074;5.46 ;3.69 ;4.70;100.10 ;164.91
