Data;1456;14023;14050;14077;15882;15914;15946;24007
01/2011;68.10 ;4951;2820;7771;4.29 ;4.01 ;4.17 ;83.30
02/2011;66.70 ;5010;2757;7767;3.80 ;4.13 ;3.94 ;83.90
03/2011;72.10 ;5103;2804;7907;3.90 ;4.17 ;4.01 ;92.30
04/2011;73.40 ;5184;2779;7963;3.96 ;2.90 ;3.53 ;90.00
05/2011;80.90 ;5271;2838;8110;4.01 ;3.05 ;3.63 ;94.50
06/2011;73.80 ;5389;2949;8338;3.96 ;3.02 ;3.58 ;91.00
07/2011;83.90 ;5492;2981;8473;4.03 ;3.09 ;3.65 ;92.40
08/2011;80.90 ;5560;3035;8595;4.03 ;3.04 ;3.63 ;91.30
09/2011;77.50 ;5659;3158;8817;4.03 ;3.01 ;3.61 ;87.40
10/2011;77.50 ;5740;3206;8946;4.26 ;3.06 ;3.77 ;87.20
11/2011;79.70 ;5822;3253;9075;4.87 ;3.16 ;4.17 ;92.60
12/2011;115.80 ;5934;3280;9214;4.95 ;3.87 ;4.51 ;102.90
01/2012;72.10 ;6091;3358;9449;4.51 ;4.84 ;4.64 ;91.90
02/2012;69.50 ;6141;3317;9458;4.80 ;5.16 ;4.93 ;91.20
03/2012;76.80 ;6229;3302;9531;4.83 ;4.52 ;4.72 ;101.30
04/2012;75.60 ;6245;3323;9568;5.08 ;6.39 ;5.54 ;96.30
05/2012;83.60 ;6354;3324;9678;5.05 ;6.74 ;5.63 ;97.20
06/2012;80.90 ;6461;3361;9821;4.94 ;6.57 ;5.50 ;94.40
07/2012;86.20 ;6551;3371;9922;4.82 ;4.57 ;4.73 ;92.50
08/2012;87.50 ;6672;3403;10075;4.75 ;4.39 ;4.63 ;91.50
09/2012;84.00 ;6738;3436;10175;4.85 ;3.62 ;4.44 ;87.60
10/2012;86.30 ;6857;3408;10264;4.75 ;3.93 ;4.48 ;94.60
11/2012;83.00 ;6903;3476;10379;4.66 ;3.92 ;4.41 ;109.30
12/2012;119.00 ;7099;3489;10588;4.64 ;4.07 ;4.45 ;103.50
01/2013;78.50 ;7165;3446;10611;4.48 ;4.12 ;4.36 ;99.80
02/2013;74.40 ;7226;3447;10673;4.53 ;4.09 ;4.39 ;90.90
03/2013;84.40 ;7343;3520;10864;4.84 ;4.08 ;4.59 ;99.00
04/2013;82.20 ;7446;3565;11011;4.70 ;4.46 ;4.62 ;97.30
05/2013;93.70 ;7594;3912;11506;4.70 ;4.42 ;4.60 ;100.50
06/2013;86.50 ;7708;4026;11735;4.39 ;4.18 ;4.32 ;100.00
