Data;1459;14024;14051;14078;15883;15915;15947;24008
01/2011;65.90 ;1541;1344;2886;6.06 ;9.44 ;7.86 ;84.60
02/2011;59.00 ;1554;1369;2922;5.65 ;10.66 ;8.33 ;85.40
03/2011;66.30 ;1569;1460;3030;5.79 ;10.50 ;8.36 ;84.30
04/2011;64.00 ;1593;1470;3063;6.03 ;10.51 ;8.47 ;87.80
05/2011;65.70 ;1612;1479;3091;6.22 ;10.81 ;8.70 ;93.00
06/2011;65.00 ;1629;1498;3127;6.32 ;1.38 ;3.64 ;96.50
07/2011;68.00 ;1655;1502;3157;6.63 ;1.37 ;3.79 ;99.50
08/2011;72.40 ;1672;1512;3183;6.61 ;1.25 ;3.73 ;101.10
09/2011;73.20 ;1699;1534;3233;6.88 ;1.30 ;3.88 ;93.10
10/2011;71.40 ;1714;1542;3256;7.40 ;1.34 ;4.15 ;92.60
11/2011;73.40 ;1732;1561;3293;7.85 ;1.34 ;4.36 ;92.20
12/2011;90.30 ;1748;1574;3322;8.04 ;1.36 ;4.46 ;100.50
01/2012;81.50 ;1832;1572;3404;6.77 ;1.50 ;4.21 ;92.20
02/2012;80.70 ;1849;1571;3420;7.24 ;2.04 ;4.76 ;86.40
03/2012;86.10 ;1874;1589;3463;7.09 ;1.92 ;4.63 ;103.50
04/2012;79.30 ;1874;1603;3477;7.10 ;1.67 ;4.60 ;100.20
05/2012;83.60 ;1880;1615;3495;6.87 ;1.60 ;4.44 ;107.40
06/2012;83.70 ;1901;1634;3535;6.79 ;1.63 ;4.41 ;103.90
07/2012;88.30 ;1912;1635;3546;6.73 ;1.83 ;4.47 ;106.50
08/2012;93.30 ;1927;1646;3573;6.71 ;1.84 ;4.47 ;105.10
09/2012;93.70 ;1938;1653;3591;6.69 ;1.95 ;4.51 ;101.40
10/2012;92.40 ;1966;1661;3627;6.63 ;1.86 ;4.44 ;107.30
11/2012;91.10 ;1946;1683;3629;6.55 ;1.93 ;4.41 ;97.10
12/2012;103.60 ;1994;2281;4276;6.54 ;1.21 ;3.69 ;111.80
01/2013;84.80 ;2017;2218;4234;6.50 ;1.13 ;3.69 ;96.40
02/2013;82.30 ;2031;2223;4254;6.34 ;1.00 ;3.55 ;92.40
03/2013;92.00 ;2053;2254;4307;6.28 ;1.00 ;3.52 ;101.00
04/2013;91.70 ;2088;2265;4353;6.22 ;1.12 ;3.56 ;101.30
05/2013;94.80 ;2114;2275;4389;6.17 ;0.86 ;3.42 ;104.30
06/2013;88.90 ;2140;2309;4448;5.99 ;0.81 ;3.31 ;104.80
07/2013;90.00 ;2147;2302;4450;5.82 ;0.70 ;3.17 ;110.40
08/2013;91.50 ;2179;2587;4766;5.66 ;0.63 ;2.93 ;102.40
09/2013;88.40 ;2205;2600;4806;5.54 ;0.63 ;2.88 ;100.60
10/2013;90.30 ;2221;2616;4837;5.42 ;0.70 ;2.87 ;106.00
11/2013;89.90 ;2246;2625;4871;5.36 ;0.85 ;2.93 ;100.20
12/2013;107.40 ;2280;2651;4932;5.13 ;0.85 ;2.83 ;102.40
01/2014;85.50 ;2303;2650;4954;5.11 ;0.90 ;2.86 ;101.80
02/2014;83.50 ;2324;2652;4976;5.00 ;0.85 ;2.79 ;99.90
03/2014;85.30 ;2324;2658;4982;5.14 ;0.91 ;2.88 ;101.80
04/2014;96.30 ;2399;2670;5069;4.95 ;0.91 ;2.82 ;104.50
05/2014;100.90 ;2422;2673;5096;4.92 ;0.95 ;2.84 ;106.20
06/2014;96.90 ;2444;2685;5130;4.80 ;0.86 ;2.74 ;96.00
07/2014;99.00 ;2453;2677;5130;4.80 ;0.83 ;2.73 ;103.90
08/2014;98.90 ;2486;1890;4376;4.68 ;1.55 ;3.33 ;100.90
09/2014;101.20 ;2501;1920;4421;4.64 ;1.54 ;3.29 ;96.00
10/2014;109.20 ;2531;1921;4452;4.58 ;1.71 ;3.34 ;97.50
11/2014;106.50 ;2573;1934;4507;4.87 ;1.48 ;3.42 ;93.90
12/2014;136.90 ;2612;1937;4549;4.02 ;1.55 ;2.97 ;97.40
01/2015;108.30 ;2632;1919;4550;4.08 ;1.72 ;3.08 ;92.00
02/2015;93.40 ;2645;1919;4563;4.22 ;1.76 ;3.19 ;86.70
03/2015;104.50 ;2684;1873;4557;4.09 ;1.93 ;3.20 ;95.20
04/2015;100.60 ;2722;1873;4594;4.05 ;2.39 ;3.37 ;92.70
05/2015;109.30 ;2749;1870;4619;4.46 ;2.34 ;3.60 ;104.10
06/2015;100.30 ;2765;1858;4623;4.17 ;2.20 ;3.38 ;95.20
07/2015;105.60 ;2787;1849;4636;4.29 ;2.32 ;3.51 ;97.70
08/2015;104.50 ;2817;1844;4661;4.42 ;2.45 ;3.64 ;106.60
09/2015;102.60 ;2849;1847;4696;4.46 ;2.51 ;3.69 ;100.50
10/2015;108.40 ;2853;1846;4699;4.51 ;2.40 ;3.68 ;104.60
11/2015;110.60 ;2886;1845;4731;4.75 ;2.57 ;3.90 ;104.20
12/2015;132.10 ;2909;1841;4750;4.79 ;2.62 ;3.95 ;109.70
01/2016;102.00 ;2913;1813;4726;4.79 ;2.46 ;3.90 ;102.30
02/2016;95.20 ;2919;1796;4714;4.52 ;2.66 ;3.81 ;95.20
03/2016;103.10 ;2932;1800;4732;4.48 ;2.69 ;3.80 ;102.10
04/2016;100.80 ;2944;1788;4732;4.71 ;2.90 ;4.03 ;98.70
05/2016;99.70 ;2955;1767;4722;4.70 ;2.87 ;4.01 ;97.10
06/2016;100.60 ;2981;1762;4744;4.43 ;2.62 ;3.76 ;101.90
07/2016;109.00 ;3000;1754;4754;4.18 ;2.48 ;3.55 ;101.70
08/2016;113.60 ;3026;1744;4770;4.04 ;2.46 ;3.46 ;100.20
09/2016;111.90 ;3037;1735;4771;4.01 ;2.47 ;3.45 ;100.00
10/2016;114.00 ;3033;1721;4754;4.09 ;2.86 ;3.64 ;97.60
11/2016;112.50 ;3048;1714;4762;4.01 ;3.01 ;3.65 ;96.70
12/2016;133.90 ;3055;1700;4755;3.91 ;2.88 ;3.54 ;101.10
01/2017;86.80 ;3083;1674;4757;3.84 ;2.56 ;3.39 ;83.40
02/2017;86.50 ;3088;1664;4751;3.76 ;2.59 ;3.35 ;80.90
03/2017;93.40 ;3130;1657;4787;3.75 ;2.53 ;3.33 ;83.00
04/2017;91.20 ;3139;1661;4800;3.85 ;2.62 ;3.42 ;82.10
05/2017;97.30 ;3187;1645;4833;3.90 ;2.62 ;3.46 ;80.60
06/2017;97.20 ;3193;1650;4843;3.48 ;2.61 ;3.18 ;87.20
07/2017;104.40 ;3216;1629;4844;3.67 ;2.63 ;3.32 ;84.40
08/2017;108.70 ;3251;1630;4881;3.67 ;2.51 ;3.28 ;95.60
09/2017;106.90 ;3267;1633;4899;3.82 ;2.43 ;3.36 ;93.30
10/2017;103.80 ;3296;1629;4925;3.86 ;2.28 ;3.33 ;91.00
11/2017;106.20 ;3320;1616;4937;4.04 ;2.17 ;3.43 ;92.60
12/2017;119.50 ;3330;1624;4953;3.91 ;1.97 ;3.28 ;115.50
01/2018;99.40 ;3359;1608;4967;4.23 ;2.38 ;3.63 ;75.40
02/2018;96.90 ;3372;1594;4966;4.29 ;2.52 ;3.72 ;83.70
03/2018;105.40 ;3388;1593;4982;5.75 ;2.04 ;4.56 ;93.60
04/2018;97.40 ;3420;1582;5002;5.22 ;2.21 ;4.26 ;88.80
05/2018;108.20 ;3455;1572;5027;5.25 ;1.86 ;4.19 ;87.90
06/2018;99.70 ;3475;1575;5050;5.12 ;1.63 ;4.03 ;94.90
07/2018;101.50 ;3486;1568;5054;5.73 ;1.76 ;4.50 ;90.80
08/2018;106.50 ;3523;1568;5091;5.77 ;1.55 ;4.47 ;96.10
09/2018;102.90 ;3534;1575;5108;5.78 ;1.34 ;4.41 ;85.80
10/2018;109.60 ;3557;1564;5121;7.31 ;1.23 ;5.46 ;82.60
11/2018;110.30 ;3592;1569;5160;7.22 ;1.39 ;5.45 ;94.70
12/2018;128.30 ;3585;1566;5151;7.15 ;1.13 ;5.32 ;90.20
01/2019;102.30 ;3607;1554;5161;4.18 ;1.28 ;3.31 ;83.90
02/2019;93.90 ;3619;1542;5161;4.01 ;1.21 ;3.18 ;80.20
03/2019;100.80 ;3640;1541;5181;4.07 ;1.19 ;3.21 ;87.90
04/2019;105.00 ;3663;1523;5186;3.93 ;0.98 ;3.07 ;85.80
05/2019;110.70 ;3699;1518;5217;4.13 ;0.92 ;3.20 ;91.50
06/2019;108.70 ;3715;1552;5268;4.04 ;0.88 ;3.11 ;86.40
07/2019;113.00 ;3745;1541;5287;4.02 ;0.95 ;3.12 ;89.10
08/2019;112.50 ;3791;1535;5325;3.93 ;0.94 ;3.07 ;101.30
09/2019;110.00 ;3837;1541;5378;4.01 ;0.94 ;3.13 ;94.60
10/2019;117.80 ;3878;1545;5423;3.98 ;0.88 ;3.10 ;81.90
11/2019;130.40 ;3917;1545;5463;3.87 ;0.97 ;3.05 ;91.40
12/2019;130.30 ;3944;1557;5501;3.88 ;0.97 ;3.06 ;102.30
01/2020;105.80 ;3987;1538;5525;4.02 ;0.90 ;3.15 ;77.60
02/2020;100.40 ;4004;1534;5538;3.86 ;1.17 ;3.12 ;82.20
03/2020;94.30 ;4018;1533;5551;4.14 ;1.33 ;3.36 ;81.40
04/2020;85.10 ;3992;1537;5529;4.22 ;1.36 ;3.43 ;67.80
