Data;1462;14028;14055;14082;15887;15919;15951;24009
01/2011;64.30 ;4310;2287;6597;4.15 ;3.98 ;4.08 ;84.10
02/2011;63.20 ;4343;2295;6638;3.83 ;3.89 ;3.86 ;82.00
03/2011;68.20 ;4412;2311;6723;3.86 ;3.80 ;3.84 ;82.90
04/2011;72.10 ;4507;2336;6843;3.91 ;3.96 ;3.93 ;83.60
05/2011;76.70 ;4581;2378;6960;4.08 ;3.79 ;3.97 ;84.00
06/2011;75.30 ;4690;2424;7114;4.24 ;3.88 ;4.10 ;86.80
07/2011;82.30 ;4776;2418;7194;4.34 ;2.46 ;3.62 ;89.20
08/2011;82.90 ;4852;2453;7304;4.34 ;2.35 ;3.58 ;90.60
09/2011;78.60 ;4951;2610;7560;4.50 ;2.31 ;3.64 ;87.00
10/2011;79.30 ;5025;2654;7679;4.79 ;2.30 ;3.81 ;88.30
11/2011;79.00 ;5117;2735;7853;5.43 ;2.35 ;4.22 ;86.60
12/2011;114.90 ;5227;2886;8113;5.40 ;3.53 ;4.65 ;91.50
01/2012;78.10 ;5393;2964;8357;5.01 ;3.59 ;4.48 ;84.60
02/2012;75.70 ;5444;2968;8413;5.31 ;3.51 ;4.65 ;82.60
03/2012;83.50 ;5503;2984;8487;5.33 ;3.50 ;4.66 ;86.80
04/2012;82.10 ;5584;3044;8628;5.40 ;2.55 ;4.40 ;91.10
05/2012;87.90 ;5683;3103;8786;5.54 ;2.79 ;4.57 ;88.80
06/2012;85.90 ;5784;3185;8969;5.44 ;3.15 ;4.63 ;90.10
07/2012;91.50 ;5842;3197;9039;5.38 ;4.41 ;5.04 ;88.00
08/2012;93.80 ;5936;3244;9180;5.22 ;4.38 ;4.92 ;87.90
09/2012;87.10 ;5966;3355;9322;5.21 ;3.63 ;4.64 ;82.40
10/2012;94.70 ;6086;3412;9498;5.10 ;3.54 ;4.54 ;88.40
11/2012;98.20 ;6151;3500;9651;5.00 ;3.46 ;4.45 ;100.90
12/2012;123.30 ;6287;4048;10335;4.97 ;3.79 ;4.51 ;95.80
01/2013;84.60 ;6363;4029;10391;4.85 ;2.99 ;4.13 ;88.00
02/2013;76.00 ;6431;4036;10467;4.77 ;3.00 ;4.09 ;87.40
03/2013;89.50 ;6531;4081;10611;4.99 ;2.74 ;4.13 ;97.40
04/2013;90.40 ;6649;4142;10791;5.01 ;3.60 ;4.47 ;100.50
05/2013;90.40 ;6745;4158;10903;5.09 ;2.95 ;4.28 ;97.60
06/2013;89.10 ;6899;4251;11150;4.96 ;2.64 ;4.07 ;97.60
07/2013;93.00 ;6985;4272;11257;4.86 ;2.66 ;4.02 ;102.50
08/2013;97.70 ;7038;4313;11351;4.77 ;2.68 ;3.97 ;98.70
09/2013;96.00 ;7114;4594;11709;4.84 ;2.52 ;3.93 ;93.40
10/2013;99.60 ;7183;4657;11840;4.71 ;2.57 ;3.87 ;97.10
11/2013;105.20 ;7268;4759;12027;4.55 ;2.51 ;3.74 ;96.30
12/2013;123.50 ;7379;4788;12167;4.39 ;2.35 ;3.59 ;102.40
01/2014;93.60 ;7461;4750;12211;4.29 ;2.24 ;3.49 ;95.50
02/2014;88.50 ;7514;4800;12314;4.29 ;2.08 ;3.43 ;90.20
03/2014;93.10 ;7573;4808;12382;4.36 ;2.18 ;3.51 ;98.10
04/2014;94.80 ;7699;4843;12542;4.28 ;2.25 ;3.49 ;102.60
05/2014;104.60 ;7806;4807;12614;4.27 ;2.39 ;3.55 ;98.60
06/2014;90.80 ;7924;4802;12725;4.06 ;2.31 ;3.40 ;97.30
07/2014;96.70 ;7995;4908;12903;4.03 ;2.13 ;3.31 ;98.50
08/2014;97.80 ;8115;4938;13053;4.18 ;2.28 ;3.46 ;102.70
09/2014;97.80 ;8167;5020;13187;4.08 ;2.20 ;3.36 ;101.10
10/2014;106.30 ;8287;5228;13515;4.04 ;2.28 ;3.36 ;103.30
11/2014;110.40 ;8375;5305;13680;3.98 ;2.24 ;3.31 ;101.80
12/2014;125.50 ;8516;5456;13972;3.78 ;2.21 ;3.17 ;110.30
01/2015;91.30 ;8609;5396;14004;3.80 ;2.28 ;3.22 ;98.70
02/2015;85.20 ;8626;5432;14058;4.17 ;2.16 ;3.39 ;94.40
03/2015;96.00 ;8684;5523;14207;3.82 ;2.01 ;3.12 ;96.90
04/2015;94.40 ;8755;5520;14275;3.78 ;2.36 ;3.23 ;95.50
05/2015;99.90 ;8782;5569;14352;3.89 ;3.17 ;3.61 ;98.20
06/2015;95.30 ;8859;5639;14499;3.76 ;3.87 ;3.80 ;96.40
07/2015;99.20 ;8926;5653;14579;3.90 ;5.22 ;4.41 ;105.30
08/2015;94.20 ;8979;5881;14861;4.00 ;8.01 ;5.59 ;102.20
09/2015;89.90 ;9020;5993;15013;4.30 ;8.06 ;5.80 ;97.80
10/2015;93.80 ;9042;6035;15078;4.43 ;8.72 ;6.15 ;100.40
11/2015;102.00 ;9098;6029;15128;4.49 ;9.08 ;6.32 ;104.30
12/2015;114.40 ;9165;6404;15569;4.33 ;8.65 ;6.11 ;109.00
01/2016;85.00 ;9199;6365;15563;4.51 ;8.88 ;6.30 ;92.40
02/2016;81.90 ;9242;6318;15561;4.55 ;9.22 ;6.45 ;96.70
03/2016;88.60 ;9354;5840;15194;4.50 ;3.26 ;4.03 ;105.90
04/2016;84.70 ;9353;5779;15132;4.66 ;3.18 ;4.10 ;101.60
05/2016;85.80 ;9354;5804;15158;4.51 ;3.37 ;4.07 ;99.00
06/2016;82.80 ;9397;5732;15129;3.97 ;2.92 ;3.57 ;99.40
07/2016;88.20 ;9428;5688;15116;3.82 ;3.19 ;3.58 ;102.70
08/2016;88.00 ;9426;5674;15100;3.92 ;3.39 ;3.72 ;97.80
09/2016;81.00 ;9455;5661;15116;4.04 ;3.39 ;3.80 ;94.90
10/2016;83.30 ;9437;5592;15029;4.26 ;3.51 ;3.98 ;93.90
11/2016;96.70 ;9480;5586;15066;4.29 ;3.51 ;4.00 ;83.80
12/2016;110.60 ;9509;5500;15009;4.05 ;3.07 ;3.69 ;88.70
01/2017;78.10 ;9598;5425;15023;4.11 ;3.34 ;3.83 ;68.60
02/2017;69.70 ;9642;5377;15019;4.31 ;3.67 ;4.08 ;72.30
03/2017;93.40 ;9727;5363;15090;4.37 ;3.99 ;4.23 ;101.40
04/2017;79.80 ;9761;5354;15115;4.55 ;4.04 ;4.37 ;100.10
05/2017;86.90 ;9769;5278;15047;4.42 ;3.57 ;4.13 ;92.30
06/2017;87.20 ;9828;5241;15069;3.95 ;3.37 ;3.75 ;90.70
07/2017;86.60 ;9859;5184;15042;4.10 ;3.68 ;3.95 ;85.60
08/2017;93.00 ;9944;5159;15102;4.16 ;3.49 ;3.93 ;91.40
09/2017;90.10 ;9969;5142;15112;4.29 ;3.43 ;4.00 ;83.20
10/2017;93.50 ;10051;5122;15173;4.34 ;3.22 ;3.96 ;83.10
11/2017;100.30 ;10151;5116;15267;4.19 ;3.26 ;3.88 ;82.10
12/2017;110.60 ;10202;5140;15342;4.14 ;3.59 ;3.96 ;72.60
01/2018;79.60 ;10370;5032;15402;4.35 ;3.98 ;4.23 ;62.60
02/2018;84.00 ;10406;5068;15475;4.40 ;3.48 ;4.10 ;65.40
03/2018;98.40 ;10455;5080;15535;4.24 ;2.73 ;3.75 ;90.50
04/2018;90.80 ;10523;4927;15450;4.10 ;3.08 ;3.77 ;103.50
05/2018;92.90 ;10524;4854;15378;3.94 ;2.66 ;3.54 ;79.40
06/2018;92.00 ;10584;4888;15472;3.70 ;2.11 ;3.20 ;82.50
07/2018;95.30 ;10623;4828;15451;3.62 ;2.76 ;3.35 ;81.80
08/2018;96.10 ;10770;4858;15628;3.65 ;2.95 ;3.43 ;87.90
09/2018;92.00 ;10841;4878;15719;3.78 ;3.06 ;3.56 ;81.10
10/2018;96.40 ;10956;4843;15799;3.88 ;3.01 ;3.62 ;75.00
11/2018;106.80 ;11106;4915;16022;3.70 ;2.73 ;3.40 ;67.50
12/2018;110.50 ;11200;4927;16127;3.62 ;2.75 ;3.36 ;69.60
01/2019;75.50 ;11290;4839;16128;3.71 ;2.63 ;3.38 ;62.40
02/2019;87.90 ;11343;4856;16199;3.62 ;4.08 ;3.76 ;74.20
03/2019;100.30 ;11448;4909;16357;3.73 ;4.62 ;4.00 ;90.10
04/2019;97.20 ;11526;4887;16413;3.52 ;4.64 ;3.85 ;84.70
05/2019;103.40 ;11569;4858;16426;3.50 ;3.13 ;3.39 ;85.20
06/2019;95.80 ;11669;4917;16586;3.42 ;3.24 ;3.37 ;83.60
07/2019;101.70 ;11744;4892;16636;3.48 ;3.37 ;3.45 ;99.00
08/2019;103.60 ;11951;4910;16861;3.50 ;3.38 ;3.46 ;95.00
09/2019;100.90 ;12089;4942;17032;3.74 ;2.86 ;3.49 ;84.10
10/2019;105.20 ;12234;4987;17220;3.65 ;2.89 ;3.43 ;80.30
11/2019;112.40 ;12370;5112;17483;3.60 ;2.84 ;3.38 ;73.80
12/2019;120.00 ;12558;5096;17655;3.44 ;2.29 ;3.11 ;66.90
01/2020;81.00 ;12751;5098;17849;3.60 ;2.38 ;3.25 ;68.90
02/2020;98.20 ;12848;5154;18002;3.67 ;2.40 ;3.31 ;73.40
03/2020;103.80 ;12952;5305;18257;3.89 ;2.68 ;3.54 ;85.60
04/2020;84.50 ;12958;5328;18286;3.85 ;2.38 ;3.42 ;78.50
