Data;13585;13586;13604;13606;13607;13608;20140;20141;20142;20143;20144;21182;21943;25395;28043;28142;28143;28144;28145;28146
01/2011;0.95 ;1.15 ;83.53 ;94.28 ;101.08 ;83.34 ;72.91 ;138.23 ;69.12 ;70.47;78.51 ;85.48 ;103.8 ;142.27 ;88.57 ;95.46 ;82.06 ;90.95 ;87.03 ;109.07
02/2011;0.87 ;0.56 ;80.43 ;75.79 ;108.86 ;80.08 ;69.25 ;118.00 ;66.47 ;67.31;78.39 ;85.71 ;105.9 ;142.93 ;89.25 ;99.13 ;82.00 ;94.86 ;87.89 ;110.44
03/2011;0.77 ;0.58 ;87.83 ;79.94 ;113.80 ;87.38 ;76.32 ;100.19 ;85.97 ;75.38;83.37 ;86.87 ;106.5 ;143.10 ;89.07 ;101.65 ;83.51 ;94.45 ;86.65 ;111.00
04/2011;0.74 ;0.75 ;90.61 ;78.95 ;107.66 ;90.43 ;75.58 ;86.75 ;69.85 ;75.53;79.52 ;86.92 ;102.0 ;142.05 ;90.34 ;102.84 ;84.45 ;95.01 ;86.89 ;108.95
05/2011;0.46 ;0.53 ;84.83 ;90.46 ;122.30 ;84.40 ;78.99 ;93.33 ;85.42 ;79.40;97.78 ;87.76 ;105.5 ;142.82 ;90.29 ;102.29 ;83.69 ;96.27 ;88.60 ;110.85
06/2011;0.19 ;0.20 ;83.13 ;80.19 ;111.73 ;82.73 ;76.70 ;84.37 ;116.35 ;76.70;95.48 ;87.56 ;103.1 ;142.77 ;90.97 ;104.74 ;85.14 ;95.33 ;89.60 ;110.42
07/2011;0.12 ;-0.02 ;88.68 ;84.63 ;110.76 ;88.37 ;79.26 ;89.52 ;82.67 ;78.01;98.17 ;87.86 ;103.3 ;143.36 ;91.67 ;104.88 ;85.69 ;95.98 ;89.28 ;110.72
08/2011;0.42 ;0.54 ;87.80 ;86.58 ;116.06 ;87.40 ;80.63 ;100.83 ;89.14 ;80.38;102.57 ;87.56 ;103.4 ;143.12 ;91.78 ;102.14 ;87.27 ;97.88 ;87.82 ;111.48
09/2011;0.51 ;0.46 ;86.44 ;87.71 ;112.72 ;86.11 ;80.18 ;89.41 ;87.92 ;77.55;99.99 ;88.40 ;100.4 ;143.30 ;90.82 ;101.20 ;87.92 ;96.41 ;85.92 ;106.81
10/2011;0.42 ;0.36 ;90.60 ;93.02 ;106.78 ;90.44 ;79.48 ;92.25 ;83.42 ;84.37;96.97 ;88.49 ;99.2 ;143.10 ;89.87 ;102.15 ;86.24 ;94.06 ;86.15 ;106.61
11/2011;0.47 ;0.49 ;88.51 ;100.14 ;116.06 ;88.28 ;79.04 ;96.10 ;91.00 ;82.16;102.16 ;89.41 ;100.9 ;144.32 ;91.58 ;106.00 ;87.33 ;99.08 ;86.99 ;106.60
12/2011;0.47 ;0.48 ;110.80 ;134.56 ;117.96 ;110.90 ;88.44 ;138.98 ;165.82 ;127.28;83.47 ;89.92 ;102.5 ;143.60 ;91.83 ;100.19 ;86.31 ;97.61 ;88.99 ;106.94
01/2012;0.69 ;0.72 ;89.20 ;104.70 ;107.96 ;89.48 ;77.18 ;158.89 ;89.72 ;81.14;92.35 ;91.71 ;96.3 ;141.76 ;92.13 ;101.45 ;86.64 ;98.57 ;88.17 ;110.71
02/2012;0.52 ;0.39 ;90.19 ;84.27 ;98.48 ;90.40 ;76.06 ;123.65 ;86.83 ;69.86;86.36 ;92.72 ;98.8 ;144.31 ;92.97 ;100.71 ;89.46 ;97.79 ;87.73 ;108.41
03/2012;0.11 ;0.05 ;98.38 ;96.71 ;123.07 ;98.62 ;85.55 ;101.31 ;105.25 ;80.63;98.79 ;93.50 ;98.9 ;144.41 ;93.40 ;100.60 ;88.89 ;99.06 ;90.66 ;111.07
04/2012;0.67 ;0.70 ;93.88 ;88.78 ;102.50 ;93.89 ;81.36 ;83.73 ;86.94 ;76.71;92.06 ;93.59 ;98.6 ;144.93 ;92.60 ;100.74 ;86.30 ;99.15 ;90.79 ;108.84
05/2012;0.27 ;0.46 ;92.09 ;95.85 ;121.13 ;91.78 ;87.81 ;93.59 ;99.95 ;84.13;98.90 ;93.95 ;98.2 ;145.81 ;93.77 ;103.23 ;90.05 ;99.69 ;89.65 ;109.91
06/2012;0.07 ;0.20 ;93.01 ;90.87 ;133.84 ;93.05 ;84.57 ;91.91 ;91.97 ;79.76;93.75 ;94.71 ;98.0 ;146.97 ;94.38 ;101.75 ;88.83 ;99.49 ;92.83 ;109.84
07/2012;0.41 ;0.37 ;93.88 ;95.14 ;128.74 ;93.93 ;87.51 ;93.86 ;93.84 ;80.81;101.48 ;96.02 ;101.8 ;148.73 ;94.41 ;100.27 ;90.06 ;100.57 ;91.53 ;110.44
08/2012;0.35 ;0.39 ;96.02 ;99.56 ;146.21 ;96.08 ;89.70 ;105.85 ;101.50 ;86.44;109.30 ;95.94 ;102.0 ;148.08 ;95.40 ;103.60 ;91.88 ;99.18 ;94.52 ;106.15
09/2012;0.57 ;0.60 ;94.98 ;91.56 ;102.56 ;95.31 ;84.43 ;92.03 ;89.94 ;79.32;99.06 ;95.65 ;100.8 ;146.49 ;95.01 ;104.10 ;89.41 ;99.33 ;94.44 ;107.90
10/2012;0.50 ;0.63 ;96.31 ;104.16 ;129.71 ;96.44 ;87.34 ;100.02 ;96.98 ;93.43;110.57 ;95.93 ;103.6 ;148.61 ;95.01 ;100.66 ;90.35 ;99.50 ;95.79 ;103.98
11/2012;0.52 ;0.44 ;96.00 ;105.94 ;117.79 ;96.20 ;83.79 ;105.99 ;92.83 ;95.62;105.26 ;95.49 ;100.6 ;147.85 ;95.07 ;103.77 ;91.29 ;98.77 ;94.62 ;104.80
12/2012;0.75 ;0.64 ;119.53 ;149.56 ;124.08 ;120.27 ;90.42 ;146.42 ;136.40 ;137.31;92.94 ;96.33 ;101.7 ;148.41 ;97.22 ;102.37 ;92.68 ;101.49 ;94.08 ;110.15
01/2013;0.88 ;0.93 ;92.60 ;109.37 ;113.06 ;92.66 ;83.24 ;167.66 ;94.76 ;90.21;101.52 ;95.33 ;102.1 ;148.25 ;96.73 ;100.09 ;93.08 ;100.49 ;95.36 ;106.31
02/2013;0.60 ;0.41 ;88.78 ;84.76 ;101.07 ;88.90 ;78.60 ;130.54 ;93.98 ;70.89;87.15 ;95.57 ;99.2 ;147.19 ;96.61 ;100.49 ;93.38 ;100.42 ;94.80 ;107.02
