Data;14086;14091;14096;15891;15923;15955
01/2011;360396;556244;916640;4.17 ;1.64 ;2.49
02/2011;364724;565173;929897;3.59 ;1.54 ;2.23
03/2011;367855;569841;937695;3.67 ;1.53 ;2.26
04/2011;373970;576541;950511;3.81 ;1.65 ;2.39
05/2011;380245;584129;964374;3.91 ;1.73 ;2.47
06/2011;388210;593032;981242;3.85 ;1.70 ;2.44
07/2011;396085;598324;994409;3.91 ;1.71 ;2.47
08/2011;401495;606994;1008488;3.94 ;1.73 ;2.50
09/2011;410892;623225;1034116;3.99 ;1.81 ;2.57
10/2011;418494;624724;1043219;4.13 ;1.92 ;2.69
11/2011;425012;639535;1064546;4.76 ;1.92 ;2.91
12/2011;431963;654625;1086588;4.76 ;1.84 ;2.85
01/2012;441955;646906;1088861;4.50 ;1.96 ;2.92
02/2012;445513;648163;1093676;4.98 ;2.01 ;3.16
03/2012;450564;662736;1113299;4.87 ;1.99 ;3.10
04/2012;456752;668649;1125400;5.04 ;2.06 ;3.27
05/2012;464583;677443;1142026;5.16 ;2.02 ;3.30
06/2012;470703;687410;1158113;5.13 ;1.98 ;3.26
07/2012;476628;691978;1168606;5.17 ;2.08 ;3.34
08/2012;484588;695666;1180254;5.13 ;2.09 ;3.34
09/2012;486229;706451;1192680;4.99 ;1.98 ;3.21
10/2012;494055;715449;1209504;4.92 ;2.02 ;3.21
11/2012;500622;724369;1224992;4.88 ;1.98 ;3.17
12/2012;508990;745457;1254446;4.83 ;1.99 ;3.15
01/2013;513701;737369;1251070;4.77 ;1.99 ;3.13
02/2013;515544;743789;1259333;4.75 ;2.02 ;3.14
03/2013;521456;758329;1279785;4.77 ;1.98 ;3.12
04/2013;529113;761639;1290752;4.66 ;1.99 ;3.08
05/2013;537699;768692;1306390;4.64 ;1.99 ;3.08
06/2013;544561;782934;1327495;4.44 ;1.87 ;2.92
07/2013;551797;782564;1334362;4.37 ;1.88 ;2.91
08/2013;558689;790558;1349247;4.23 ;1.84 ;2.83
09/2013;563993;797262;1361255;4.19 ;1.79 ;2.78
10/2013;567641;799971;1367612;4.10 ;1.82 ;2.76
11/2013;574223;814553;1388776;4.01 ;1.78 ;2.70
12/2013;583764;836837;1420600;3.92 ;1.66 ;2.59
01/2014;588972;832978;1421951;3.91 ;1.67 ;2.60
02/2014;592050;841500;1433550;3.90 ;1.71 ;2.62
03/2014;596294;862455;1458749;3.92 ;1.67 ;2.59
04/2014;603015;871172;1474187;3.96 ;1.69 ;2.61
05/2014;610907;878955;1489862;4.00 ;1.82 ;2.71
06/2014;617219;888668;1505887;3.95 ;1.75 ;2.65
07/2014;621337;888062;1509399;3.97 ;1.80 ;2.69
08/2014;627475;895626;1523101;3.99 ;1.85 ;2.73
09/2014;630739;909534;1540273;3.83 ;1.82 ;2.64
10/2014;639283;912891;1552174;3.83 ;1.83 ;2.66
11/2014;644740;925672;1570413;3.78 ;1.78 ;2.60
12/2014;655070;948021;1603091;3.60 ;1.70 ;2.47
01/2015;659661;942862;1602523;3.70 ;1.77 ;2.57
02/2015;659903;948822;1608725;3.76 ;1.84 ;2.63
03/2015;665164;963429;1628593;3.65 ;1.90 ;2.61
04/2015;668103;964238;1632341;3.69 ;1.97 ;2.67
05/2015;672030;973811;1645841;3.79 ;1.99 ;2.72
06/2015;676129;982439;1658568;3.64 ;1.91 ;2.62
07/2015;678723;986194;1664917;3.75 ;1.95 ;2.69
08/2015;681504;998252;1679756;3.86 ;2.04 ;2.78
09/2015;682842;1014133;1696976;3.91 ;1.87 ;2.69
10/2015;684635;1008967;1693602;4.01 ;1.88 ;2.74
11/2015;689500;1017862;1707361;4.16 ;2.03 ;2.89
12/2015;693213;1039056;1732269;4.16 ;1.93 ;2.82
01/2016;691958;1027702;1719660;4.20 ;2.03 ;2.90
02/2016;692640;1018921;1711561;4.27 ;2.17 ;3.02
03/2016;694363;1003557;1697920;4.20 ;2.23 ;3.03
04/2016;694331;991064;1685395;4.31 ;2.40 ;3.19
05/2016;697879;993942;1691821;4.33 ;2.46 ;3.23
06/2016;700250;982007;1682257;4.11 ;2.36 ;3.09
07/2016;701643;973265;1674908;3.90 ;2.37 ;3.01
08/2016;705241;968415;1673656;3.84 ;2.52 ;3.07
09/2016;705700;963964;1669664;3.83 ;2.49 ;3.06
10/2016;704752;955045;1659796;3.84 ;2.83 ;3.26
11/2016;707908;950018;1657926;3.82 ;2.68 ;3.17
12/2016;710785;939177;1649962;3.74 ;2.68 ;3.14
01/2017;711892;917836;1629728;3.79 ;2.72 ;3.18
02/2017;712490;916580;1629070;3.82 ;2.89 ;3.30
03/2017;715825;914987;1630811;3.78 ;3.28 ;3.50
04/2017;715951;905887;1621838;3.87 ;3.46 ;3.64
05/2017;721796;898442;1620237;3.91 ;3.66 ;3.77
06/2017;725390;899364;1624754;3.64 ;3.25 ;3.42
07/2017;729553;880534;1610088;3.71 ;2.97 ;3.30
08/2017;733668;872047;1605715;3.66 ;3.07 ;3.34
09/2017;734628;872512;1607140;3.60 ;2.87 ;3.20
10/2017;739818;865434;1605252;3.59 ;2.92 ;3.23
11/2017;745455;866495;1611949;3.54 ;2.87 ;3.18
12/2017;747499;870556;1618056;3.37 ;2.67 ;2.99
01/2018;751758;848155;1599913;3.54 ;2.89 ;3.20
02/2018;750282;842501;1592784;3.52 ;2.80 ;3.14
03/2018;755324;849351;1604675;3.44 ;2.54 ;2.96
04/2018;761084;846448;1607532;3.45 ;2.65 ;3.03
05/2018;765957;845090;1611047;3.42 ;2.71 ;3.05
06/2018;769921;853915;1623836;3.31 ;2.34 ;2.80
07/2018;775709;843538;1619247;3.30 ;2.15 ;2.70
08/2018;783067;852161;1635227;3.23 ;2.04 ;2.61
09/2018;784642;856532;1641174;3.20 ;2.26 ;2.71
10/2018;792862;838798;1631660;3.16 ;2.30 ;2.71
11/2018;804576;845462;1650039;3.10 ;2.26 ;2.67
12/2018;812168;870464;1682631;3.09 ;2.05 ;2.55
01/2019;816286;847068;1663354;3.18 ;2.15 ;2.66
02/2019;818729;846671;1665400;3.14 ;2.02 ;2.57
03/2019;825160;852686;1677846;3.22 ;2.05 ;2.62
04/2019;832846;838421;1671268;3.21 ;2.04 ;2.62
05/2019;841713;835803;1677516;3.25 ;2.11 ;2.69
06/2019;847489;830773;1678262;3.19 ;2.13 ;2.67
07/2019;856626;814277;1670902;3.26 ;2.30 ;2.79
08/2019;865210;822896;1688107;3.29 ;2.28 ;2.80
09/2019;873006;833308;1706314;3.34 ;2.10 ;2.73
10/2019;883060;819684;1702744;3.32 ;2.07 ;2.72
11/2019;893191;829298;1722489;3.33 ;1.98 ;2.68
12/2019;905500;846540;1752040;3.30 ;1.74 ;2.55
01/2020;912738;825785;1738523;3.43 ;1.91 ;2.71
02/2020;914899;832332;1747231;3.48 ;1.90 ;2.73
03/2020;916560;894103;1810664;3.80 ;2.04 ;2.93
04/2020;904997;905796;1810793;3.94 ;2.13 ;3.04
05/2020;904851;913565;1818416;3.83 ;2.11 ;2.97
