Data;13565;13567;13573;20107;20326;20327;20328;20329;20330;20331;20332;20333;20334;20335;21280;21281;21421;21935;25403;28044;28148;28149;28150;28151
01/2011;0.63 ;0.48 ;80.91 ;79.42 ;88.35 ;84.45 ;84.74 ;70.42 ;83.65 ;69.01;135.37 ;76.88 ;62.16 ;74.61 ;82.56 ;84.11 ;78.24 ;104.4 ;141.50 ;91.02;79.03 ;110.36 ;92.39 ;106.06
02/2011;0.81 ;0.69 ;75.04 ;79.40 ;80.85 ;78.41 ;78.47 ;67.10 ;74.91 ;64.96;152.45 ;80.44 ;57.05 ;71.51 ;82.76 ;87.12 ;89.09 ;104.6 ;140.59 ;90.24;79.73 ;106.43 ;93.43 ;91.92
03/2011;0.93 ;1.05 ;81.61 ;86.36 ;89.84 ;84.76 ;85.00 ;78.77 ;75.03 ;75.07;111.89 ;92.14 ;71.99 ;79.73 ;83.86 ;88.35 ;96.61 ;105.9 ;141.43 ;90.53;80.12 ;118.67 ;90.85 ;92.13
04/2011;1.13 ;1.02 ;83.47 ;84.20 ;81.15 ;91.36 ;91.68 ;93.42 ;73.97 ;70.71;97.59 ;85.30 ;68.98 ;74.20 ;84.02 ;87.79 ;87.89 ;105.3 ;141.16 ;89.32;80.51 ;105.88 ;89.07 ;98.63
05/2011;0.50 ;0.55 ;83.61 ;87.95 ;82.06 ;80.32 ;80.35 ;104.74 ;86.30 ;77.53;100.20 ;122.16 ;74.36 ;82.79 ;85.85 ;89.25 ;97.01 ;104.7 ;141.41 ;90.07;82.09 ;105.07 ;89.92 ;98.10
06/2011;0.01 ;0.17 ;82.42 ;85.84 ;81.47 ;82.57 ;82.76 ;98.35 ;76.35 ;75.56;91.41 ;132.72 ;73.19 ;80.61 ;86.73 ;89.35 ;93.31 ;106.2 ;141.79 ;90.30;83.42 ;107.91 ;88.68 ;98.89
07/2011;0.24 ;0.14 ;86.06 ;87.90 ;85.84 ;88.71 ;88.87 ;89.64 ;82.08 ;76.69;93.84 ;128.16 ;72.15 ;79.14 ;87.96 ;89.60 ;93.60 ;106.3 ;142.18 ;90.14;83.76 ;105.84 ;88.01 ;99.43
08/2011;0.16 ;0.08 ;86.37 ;89.39 ;90.28 ;86.46 ;86.54 ;87.80 ;84.52 ;77.46;102.80 ;135.67 ;73.05 ;82.20 ;87.97 ;87.91 ;96.76 ;105.0 ;142.47 ;90.25;84.26 ;106.82 ;87.79 ;100.06
09/2011;0.67 ;0.61 ;83.80 ;86.92 ;86.62 ;85.61 ;85.78 ;82.20 ;81.73 ;75.31;91.43 ;134.58 ;65.71 ;79.82 ;87.95 ;88.26 ;94.51 ;103.1 ;143.62 ;91.08;84.82 ;110.61 ;87.84 ;97.60
