Data;14087;14092;14097;15892;15924;15956
01/2011;144161;153131;297292;3.31 ;1.98 ;2.57
02/2011;145900;154954;300853;2.97 ;1.95 ;2.40
03/2011;147440;155880;303320;3.02 ;1.96 ;2.43
04/2011;149829;158319;308147;3.09 ;1.98 ;2.47
05/2011;151988;160849;312837;3.12 ;2.09 ;2.54
06/2011;154017;163456;317474;3.09 ;2.07 ;2.53
07/2011;156034;165989;322024;3.19 ;2.15 ;2.61
08/2011;159109;168205;327315;3.20 ;2.09 ;2.59
09/2011;162844;173110;335955;3.26 ;2.05 ;2.59
10/2011;165942;175227;341170;3.41 ;2.10 ;2.68
11/2011;169057;179196;348253;3.81 ;2.11 ;2.87
12/2011;172339;183212;355551;3.73 ;2.08 ;2.81
01/2012;175704;183853;359557;3.64 ;2.17 ;2.86
02/2012;177223;184128;361351;3.99 ;2.21 ;3.06
03/2012;180201;188135;368336;3.94 ;2.12 ;2.98
04/2012;182315;191226;373541;4.08 ;2.73 ;3.39
05/2012;184646;194427;379073;4.11 ;2.37 ;3.22
06/2012;186720;197004;383723;4.03 ;2.34 ;3.16
07/2012;187302;198155;385458;4.03 ;2.39 ;3.19
08/2012;191744;200359;392102;3.95 ;2.43 ;3.17
09/2012;193704;203592;397297;3.90 ;2.32 ;3.09
10/2012;197370;205901;403270;3.81 ;2.72 ;3.25
11/2012;201193;207126;408318;3.69 ;2.77 ;3.23
12/2012;204754;211846;416599;3.58 ;2.28 ;2.92
01/2013;207006;210021;417028;3.53 ;2.31 ;2.91
02/2013;208543;214160;422704;3.50 ;2.28 ;2.88
03/2013;211629;218174;429803;3.51 ;2.30 ;2.90
04/2013;214970;219284;434253;3.40 ;2.63 ;3.01
05/2013;218505;221645;440150;3.34 ;2.28 ;2.81
06/2013;221268;225952;447220;3.19 ;2.12 ;2.65
07/2013;222457;225641;448099;3.15 ;2.11 ;2.63
08/2013;226441;228366;454807;3.07 ;2.08 ;2.57
09/2013;230204;228825;459030;3.10 ;2.10 ;2.60
10/2013;233762;229953;463714;3.00 ;2.11 ;2.56
11/2013;237692;233682;471375;2.91 ;2.04 ;2.48
12/2013;242531;240803;483334;2.81 ;1.92 ;2.37
01/2014;245095;238534;483628;2.79 ;1.96 ;2.38
02/2014;247029;239884;486912;2.80 ;1.97 ;2.39
03/2014;249247;241757;491003;2.82 ;1.97 ;2.40
04/2014;252843;242536;495380;2.79 ;2.00 ;2.40
05/2014;256161;243272;499434;2.80 ;2.06 ;2.44
06/2014;258856;246485;505341;2.71 ;2.06 ;2.39
07/2014;259467;246283;505750;2.74 ;2.01 ;2.39
08/2014;263210;248486;511696;2.80 ;2.11 ;2.47
09/2014;266855;250555;517410;2.72 ;2.14 ;2.44
10/2014;271103;249627;520731;2.76 ;2.22 ;2.50
11/2014;274647;252740;527387;2.69 ;2.18 ;2.45
12/2014;279717;258208;537925;2.51 ;2.09 ;2.31
01/2015;281804;255512;537316;2.60 ;2.21 ;2.41
02/2015;282148;256110;538257;2.68 ;2.37 ;2.53
03/2015;283816;258378;542194;2.64 ;2.35 ;2.50
04/2015;285559;256972;542531;2.65 ;2.45 ;2.56
05/2015;286985;257383;544368;2.72 ;2.53 ;2.63
06/2015;287822;256045;543868;2.58 ;2.45 ;2.52
07/2015;286870;253544;540414;2.69 ;2.60 ;2.65
08/2015;290638;253943;544581;2.80 ;2.80 ;2.80
09/2015;292787;255156;547943;2.87 ;2.94 ;2.90
10/2015;293670;253108;546778;3.01 ;3.07 ;3.04
11/2015;296196;253236;549433;3.10 ;3.20 ;3.15
12/2015;299153;256570;555723;3.08 ;3.13 ;3.10
01/2016;299322;253135;552456;3.11 ;3.31 ;3.20
02/2016;300322;250133;550456;3.18 ;3.50 ;3.32
03/2016;301922;248257;550180;3.10 ;3.61 ;3.33
04/2016;302152;247491;549643;3.16 ;3.79 ;3.44
05/2016;302846;244861;547707;3.10 ;3.86 ;3.44
06/2016;301900;243364;545264;2.89 ;3.66 ;3.23
07/2016;300866;242484;543351;2.82 ;3.66 ;3.20
08/2016;303965;240598;544563;2.80 ;3.62 ;3.16
09/2016;305864;240094;545958;2.83 ;3.57 ;3.15
10/2016;305727;238235;543963;2.86 ;3.61 ;3.19
11/2016;309009;239525;548534;2.79 ;3.70 ;3.19
12/2016;312257;240908;553165;2.65 ;3.50 ;3.02
01/2017;313419;235658;549077;2.69 ;3.56 ;3.06
02/2017;313945;235337;549282;2.77 ;3.75 ;3.19
03/2017;316017;235253;551270;2.66 ;3.67 ;3.09
04/2017;316910;233890;550799;2.76 ;3.80 ;3.20
05/2017;318369;231930;550299;2.73 ;3.90 ;3.22
06/2017;318673;232795;551469;2.48 ;3.55 ;2.93
07/2017;317842;228768;546610;2.62 ;3.80 ;3.12
08/2017;321559;227217;548775;2.63 ;3.79 ;3.11
09/2017;323319;225904;549224;2.63 ;3.60 ;3.03
10/2017;325897;228145;554042;2.67 ;3.70 ;3.10
11/2017;328926;228424;557351;2.58 ;3.47 ;2.95
12/2017;332203;232706;564909;2.41 ;3.01 ;2.66
01/2018;334483;226344;560827;2.59 ;3.26 ;2.86
02/2018;334709;228361;563070;2.59 ;3.43 ;2.93
03/2018;336414;230778;567192;2.56 ;3.18 ;2.81
04/2018;337632;232668;570301;2.49 ;3.21 ;2.78
05/2018;338355;233947;572302;2.45 ;3.16 ;2.74
06/2018;338606;237800;576406;2.34 ;2.85 ;2.55
07/2018;338259;236797;575056;2.36 ;2.88 ;2.57
08/2018;343694;240597;584291;2.35 ;2.74 ;2.51
09/2018;346594;242553;589147;2.41 ;2.68 ;2.52
10/2018;351268;240611;591879;2.41 ;2.52 ;2.45
11/2018;356893;243522;600415;2.33 ;2.28 ;2.31
12/2018;361708;251546;613254;2.25 ;2.12 ;2.20
01/2019;363567;245569;609136;2.37 ;2.15 ;2.28
02/2019;365434;245696;611130;2.36 ;2.13 ;2.27
03/2019;368181;248413;616594;2.40 ;2.15 ;2.30
04/2019;370835;248157;618993;2.35 ;2.05 ;2.23
05/2019;373068;249211;622279;2.36 ;1.93 ;2.19
06/2019;373708;251680;625388;2.28 ;1.98 ;2.16
07/2019;374738;249260;623998;2.38 ;2.33 ;2.36
08/2019;380326;251901;632227;2.45 ;2.21 ;2.36
09/2019;384752;255544;640296;2.53 ;2.11 ;2.36
10/2019;389759;255588;645347;2.56 ;2.06 ;2.36
11/2019;394924;259170;654093;2.56 ;2.01 ;2.35
12/2019;401493;264896;666389;2.50 ;1.80 ;2.22
01/2020;404244;261378;665622;2.63 ;1.76 ;2.29
02/2020;406015;264479;670495;2.66 ;1.81 ;2.32
03/2020;406336;280003;686339;2.93 ;1.75 ;2.45
04/2020;402749;287432;690182;2.96 ;1.78 ;2.47
05/2020;402546;290637;693183;2.80 ;1.78 ;2.37
