Data;14017;14044;14071;15876;15908;15940
01/2011;52993;54405;107399;3.46 ;2.16 ;2.74
02/2011;53803;55208;109011;3.11 ;2.10 ;2.55
03/2011;54403;56000;110403;3.13 ;2.10 ;2.56
04/2011;55284;56830;112114;3.22 ;2.16 ;2.64
05/2011;56036;57222;113257;3.25 ;2.27 ;2.71
06/2011;56872;58267;115139;3.20 ;2.27 ;2.69
07/2011;57930;59448;117378;3.27 ;2.29 ;2.73
08/2011;59085;60743;119828;3.25 ;2.18 ;2.66
09/2011;60605;62330;122935;3.31 ;2.16 ;2.68
10/2011;61552;63437;124988;3.45 ;2.17 ;2.75
11/2011;62532;65300;127832;3.88 ;2.23 ;2.97
12/2011;63763;66391;130154;3.83 ;2.21 ;2.94
01/2012;64801;66449;131250;3.74 ;2.30 ;2.98
02/2012;65513;66524;132037;4.11 ;2.39 ;3.22
03/2012;66706;68604;135309;4.03 ;2.33 ;3.14
04/2012;67304;69669;136973;4.16 ;2.49 ;3.31
05/2012;68074;70525;138599;4.19 ;2.58 ;3.37
06/2012;68881;72002;140883;4.13 ;2.55 ;3.32
07/2012;69255;72514;141769;4.14 ;2.59 ;3.34
08/2012;70876;73405;144282;4.04 ;2.54 ;3.27
09/2012;71585;75128;146713;3.97 ;2.45 ;3.19
10/2012;73020;75732;148751;3.88 ;2.47 ;3.17
11/2012;74392;77017;151409;3.76 ;2.46 ;3.10
12/2012;75886;79231;155117;3.68 ;2.39 ;3.02
01/2013;76847;78188;155036;3.63 ;2.37 ;3.00
02/2013;77556;79864;157420;3.58 ;2.35 ;2.96
03/2013;78881;81343;160224;3.57 ;2.33 ;2.94
04/2013;80160;82375;162535;3.46 ;2.28 ;2.86
05/2013;81535;83405;164940;3.39 ;2.31 ;2.84
06/2013;82754;85272;168027;3.22 ;2.13 ;2.67
07/2013;83463;85023;168486;3.19 ;2.14 ;2.66
08/2013;84879;86130;171009;3.08 ;2.08 ;2.57
09/2013;86380;85344;171723;3.10 ;2.12 ;2.62
10/2013;87687;85635;173322;3.00 ;2.15 ;2.58
11/2013;89103;88030;177134;2.91 ;2.10 ;2.51
12/2013;91152;91224;182376;2.84 ;2.00 ;2.42
01/2014;92291;90038;182328;2.82 ;1.98 ;2.41
02/2014;93084;91461;184545;2.83 ;1.96 ;2.39
03/2014;93979;92176;186155;2.80 ;1.97 ;2.39
04/2014;95358;92085;187443;2.77 ;2.02 ;2.40
05/2014;96597;91966;188563;2.76 ;2.00 ;2.39
06/2014;98063;93167;191231;2.73 ;2.01 ;2.38
07/2014;98501;93445;191946;2.79 ;1.99 ;2.40
08/2014;99794;94282;194077;2.85 ;2.04 ;2.45
09/2014;101135;95233;196367;2.76 ;2.06 ;2.42
10/2014;102763;94858;197621;2.77 ;2.09 ;2.44
11/2014;103951;95709;199660;2.68 ;2.04 ;2.38
12/2014;106116;98366;204483;2.53 ;1.97 ;2.26
01/2015;107145;96687;203832;2.63 ;2.07 ;2.36
02/2015;107344;97323;204666;2.73 ;2.15 ;2.46
03/2015;107833;97794;205627;2.68 ;2.02 ;2.37
04/2015;108464;96947;205411;2.69 ;2.18 ;2.45
05/2015;108992;97382;206374;2.77 ;2.28 ;2.54
06/2015;109434;97799;207234;2.70 ;2.26 ;2.49
07/2015;109467;96834;206300;2.80 ;2.52 ;2.67
08/2015;110751;96893;207644;2.92 ;2.65 ;2.79
09/2015;111587;97658;209245;2.98 ;2.93 ;2.96
10/2015;111862;96745;208607;3.11 ;3.24 ;3.17
11/2015;112847;96882;209728;3.20 ;3.45 ;3.32
12/2015;113928;97438;211366;3.19 ;3.41 ;3.29
01/2016;114131;95604;209734;3.20 ;3.59 ;3.38
02/2016;114630;94715;209345;3.24 ;3.70 ;3.45
03/2016;115288;93507;208795;3.14 ;3.80 ;3.44
04/2016;115530;92858;208388;3.18 ;4.07 ;3.58
05/2016;115683;90762;206445;3.17 ;4.26 ;3.65
06/2016;115940;90745;206685;2.95 ;3.74 ;3.30
07/2016;115816;89178;204994;2.88 ;3.76 ;3.26
08/2016;116462;88845;205307;2.84 ;3.34 ;3.06
