Data;14022;14049;14076;15881;15913;15945
01/2011;56820;53453;110273;3.13 ;1.83 ;2.45
02/2011;57361;53846;111208;2.77 ;1.79 ;2.25
03/2011;58001;54427;112429;2.79 ;1.80 ;2.27
04/2011;58972;54983;113955;2.82 ;1.76 ;2.26
05/2011;59903;55733;115637;2.83 ;1.96 ;2.38
06/2011;60489;56675;117164;2.83 ;1.96 ;2.37
07/2011;60798;57349;118147;2.93 ;2.13 ;2.51
08/2011;62139;57482;119621;2.94 ;2.03 ;2.47
09/2011;63609;59189;122798;3.00 ;2.00 ;2.48
10/2011;65002;59649;124651;3.15 ;2.04 ;2.58
11/2011;66433;60909;127342;3.58 ;2.01 ;2.77
12/2011;67722;62403;130125;3.44 ;1.97 ;2.67
01/2012;69452;62205;131657;3.36 ;2.04 ;2.71
02/2012;69911;62420;132331;3.69 ;2.04 ;2.88
03/2012;71199;63538;134736;3.64 ;2.02 ;2.85
04/2012;72141;65094;137235;3.83 ;2.24 ;3.07
05/2012;73164;66658;139822;3.85 ;2.33 ;3.13
06/2012;73827;67542;141369;3.74 ;2.26 ;3.03
07/2012;73746;67800;141546;3.75 ;2.33 ;3.07
08/2012;75787;67838;143625;3.68 ;2.51 ;3.13
09/2012;76692;68530;145222;3.65 ;2.43 ;3.07
10/2012;78154;68936;147090;3.58 ;2.42 ;3.04
11/2012;79882;69136;149018;3.48 ;2.43 ;2.99
12/2012;81089;70413;151502;3.36 ;2.37 ;2.90
01/2013;81957;70296;152254;3.29 ;2.42 ;2.89
02/2013;82533;71712;154245;3.29 ;2.37 ;2.86
03/2013;83689;73221;156910;3.33 ;2.41 ;2.90
04/2013;85079;72959;158038;3.19 ;2.31 ;2.78
05/2013;86496;74122;160619;3.14 ;2.42 ;2.81
06/2013;87298;75847;163145;3.01 ;2.31 ;2.68
07/2013;87351;75564;162915;2.97 ;2.28 ;2.65
08/2013;89228;76310;165538;2.93 ;2.26 ;2.62
09/2013;90682;76940;167622;2.95 ;2.29 ;2.65
10/2013;92122;77070;169192;2.88 ;2.43 ;2.67
11/2013;93865;78226;172092;2.79 ;2.34 ;2.59
12/2013;95710;79887;175597;2.65 ;2.18 ;2.43
01/2014;96665;79050;175715;2.63 ;2.20 ;2.44
02/2014;97397;79201;176598;2.66 ;2.24 ;2.47
03/2014;98260;79895;178155;2.72 ;2.22 ;2.50
04/2014;99672;80629;180301;2.71 ;2.24 ;2.50
05/2014;101004;80948;181952;2.72 ;2.38 ;2.57
06/2014;101547;81899;183445;2.57 ;2.39 ;2.49
07/2014;101331;81694;183025;2.60 ;2.26 ;2.45
08/2014;103042;82097;185139;2.70 ;2.39 ;2.56
09/2014;104573;82607;187180;2.66 ;2.48 ;2.58
