Data;14025;14052;14079;15884;15916;15948
01/2011;34347;45273;79621;3.39 ;1.94 ;2.50
02/2011;34735;45899;80634;3.11 ;1.95 ;2.40
03/2011;35036;45452;80488;3.21 ;1.99 ;2.47
04/2011;35572;46506;82078;3.33 ;2.02 ;2.53
05/2011;36049;47894;83943;3.40 ;2.02 ;2.55
06/2011;36656;48514;85170;3.38 ;1.97 ;2.52
07/2011;37306;49193;86499;3.49 ;2.01 ;2.58
08/2011;37886;49980;87866;3.56 ;2.06 ;2.64
09/2011;38630;51592;90222;3.63 ;1.97 ;2.61
10/2011;39389;52142;91531;3.79 ;2.09 ;2.75
11/2011;40093;52987;93080;4.11 ;2.07 ;2.86
12/2011;40854;54418;95272;4.07 ;2.06 ;2.83
01/2012;41451;55199;96650;3.96 ;2.16 ;2.90
02/2012;41799;55183;96982;4.30 ;2.20 ;3.07
03/2012;42297;55994;98291;4.29 ;1.99 ;2.95
04/2012;42870;56463;99333;4.38 ;3.59 ;3.93
05/2012;43408;57244;100652;4.41 ;2.17 ;3.14
06/2012;44011;57459;101470;4.36 ;2.18 ;3.13
07/2012;44301;57842;102142;4.33 ;2.23 ;3.15
08/2012;45081;59116;104196;4.27 ;2.21 ;3.10
09/2012;45427;59934;105362;4.21 ;2.03 ;2.97
10/2012;46196;61233;107429;4.07 ;3.36 ;3.66
11/2012;46918;60973;107891;3.94 ;3.57 ;3.73
12/2012;47779;62202;109981;3.81 ;2.01 ;2.79
01/2013;48202;61537;109738;3.75 ;2.10 ;2.82
02/2013;48454;62584;111039;3.72 ;2.09 ;2.80
03/2013;49059;63610;112669;3.74 ;2.14 ;2.84
04/2013;49731;63950;113681;3.67 ;3.45 ;3.54
05/2013;50474;64118;114592;3.59 ;2.10 ;2.76
06/2013;51216;64833;116049;3.46 ;1.90 ;2.59
07/2013;51644;65054;116698;3.39 ;1.88 ;2.55
08/2013;52334;65926;118260;3.31 ;1.87 ;2.51
09/2013;53143;66542;119684;3.35 ;1.85 ;2.52
10/2013;53952;67248;121200;3.19 ;1.69 ;2.36
11/2013;54724;67426;122150;3.11 ;1.61 ;2.28
12/2013;55669;69692;125361;3.02 ;1.54 ;2.20
01/2014;56139;69446;125585;3.01 ;1.65 ;2.26
02/2014;56547;69222;125770;2.99 ;1.67 ;2.27
03/2014;57009;69685;126694;2.99 ;1.69 ;2.28
04/2014;57813;69821;127635;2.96 ;1.69 ;2.26
05/2014;58560;70359;128919;3.00 ;1.77 ;2.33
06/2014;59246;71419;130665;2.90 ;1.74 ;2.27
07/2014;59635;71144;130779;2.92 ;1.77 ;2.29
08/2014;60373;72107;132481;2.91 ;1.89 ;2.35
