Data;4192;4380;4381;4382;4385;4386;24364
01/1990;422.967 ;0,2 ;0,2 ;0,7 ;37.961 ;37.961 ;-
02/1990;430.216 ;0,4 ;0,7 ;1,1 ;36.937 ;74.898 ;-
03/1990;435.954 ;0,8 ;1,4 ;1,8 ;37.177 ;112.075 ;-
04/1990;436.197 ;0,7 ;2,1 ;2,5 ;33.833 ;145.908 ;-
05/1990;438.825 ;0,8 ;2,9 ;3,3 ;38.343 ;184.252 ;-
06/1990;439.963 ;0,8 ;3,7 ;4,0 ;39.533 ;223.785 ;-
07/1990;444.061 ;0,9 ;4,5 ;4,9 ;40.227 ;264.012 ;-
08/1990;449.573 ;1,0 ;5,6 ;5,9 ;42.868 ;306.879 ;-
09/1990;454.900 ;1,1 ;6,7 ;7,0 ;42.315 ;349.194 ;-
10/1990;460.221 ;1,4 ;8,1 ;8,3 ;42.440 ;391.634 ;-
11/1990;465.811 ;1,7 ;9,7 ;9,9 ;41.336 ;432.970 ;-
12/1990;469.318 ;1,8 ;11,5 ;11,5 ;36.348 ;469.318 ;-
01/1991;461.808 ;2,1 ;2,1 ;13,4 ;30.451 ;30.451 ;-
02/1991;454.114 ;2,4 ;4,5 ;15,4 ;29.244 ;59.695 ;-
03/1991;446.584 ;2,5 ;7,0 ;17,1 ;29.646 ;89.341 ;-
04/1991;445.579 ;3,1 ;10,1 ;19,5 ;32.828 ;122.169 ;-
05/1991;441.822 ;3,6 ;13,6 ;22,3 ;34.587 ;156.756 ;-
06/1991;437.374 ;4,1 ;17,7 ;25,6 ;35.085 ;191.841 ;-
07/1991;433.691 ;4,6 ;22,3 ;29,3 ;36.544 ;228.385 ;-
08/1991;428.626 ;5,3 ;27,5 ;33,5 ;37.802 ;266.187 ;-
09/1991;422.212 ;5,6 ;33,1 ;37,9 ;35.901 ;302.088 ;-
10/1991;416.659 ;7,5 ;40,6 ;44,0 ;36.887 ;338.975 ;-
11/1991;410.404 ;9,2 ;49,8 ;51,6 ;35.081 ;374.056 ;-
12/1991;405.679 ;10,5 ;60,3 ;60,3 ;31.623 ;405.679 ;-
01/1992;404.863 ;13,1 ;13,1 ;71,3 ;29.634 ;29.634 ;-
02/1992;405.937 ;16,3 ;29,4 ;85,2 ;30.318 ;59.952 ;-
03/1992;407.185 ;19,6 ;49,0 ;102,3 ;30.894 ;90.846 ;-
04/1992;405.493 ;23,6 ;72,6 ;122,8 ;31.137 ;121.983 ;-
05/1992;403.118 ;30,1 ;102,7 ;149,3 ;32.212 ;154.195 ;-
06/1992;400.905 ;37,5 ;140,2 ;182,8 ;32.871 ;187.067 ;-
07/1992;398.092 ;46,1 ;186,3 ;224,3 ;33.731 ;220.798 ;-
08/1992;393.916 ;56,7 ;243,0 ;275,7 ;33.627 ;254.424 ;-
09/1992;391.568 ;70,8 ;313,8 ;341,0 ;33.553 ;287.977 ;-
10/1992;388.523 ;89,0 ;402,8 ;422,5 ;33.842 ;321.819 ;-
11/1992;387.285 ;110,4 ;513,3 ;523,8 ;33.843 ;355.662 ;-
12/1992;387.295 ;127,7 ;641,0 ;641,0 ;31.633 ;387.295 ;-
01/1993;389.882 ;164,0 ;164,0 ;791,9 ;32.222 ;32.222 ;-
02/1993;391.463 ;206,9 ;371,0 ;982,5 ;31.898 ;64.120 ;-
03/1993;395.814 ;294,6 ;665,6 ;1.257,5 ;35.245 ;99.365 ;-
04/1993;400.087 ;368,1 ;1.033,7 ;1.602,1 ;35.410 ;134.775 ;-
05/1993;403.957 ;481,6 ;1.515,3 ;2.053,6 ;36.082 ;170.857 ;-
06/1993;407.229 ;613,5 ;2.128,8 ;2.629,5 ;36.143 ;207.000 ;-
07/1993;410.781 ;841,4 ;2.970,2 ;3.424,9 ;37.284 ;244.284 ;-
08/1993;415.045 ;1.149,5 ;4.119,7 ;4.517,7 ;37.890 ;282.174 ;-
09/1993;419.187 ;1.578,4 ;5.698,1 ;6.025,3 ;37.695 ;319.869 ;-
10/1993;422.617 ;2.071,3 ;7.769,4 ;8.007,5 ;37.272 ;357.141 ;-
11/1993;426.087 ;2.792,8 ;10.562,2 ;10.689,9 ;37.313 ;394.454 ;-
12/1993;429.685 ;3.534,9 ;14.097,1 ;14.097,1 ;35.231 ;429.685 ;-
01/1994;437.921 ;4.562,8 ;4.562,8 ;18.495,9 ;40.458 ;40.458 ;-
02/1994;445.346 ;5.793,0 ;10.355,8 ;24.082,0 ;39.323 ;79.781 ;-
03/1994;453.636 ;8.520,4 ;18.876,3 ;32.307,8 ;43.535 ;123.316 ;-
04/1994;460.559 ;12.828,8 ;31.705,1 ;44.768,5 ;42.333 ;165.649 ;-
05/1994;468.700 ;20.504,2 ;52.209,2 ;64.791,0 ;44.223 ;209.872 ;-
06/1994;477.493 ;33.126,6 ;85.335,8 ;97.304,2 ;44.936 ;254.808 ;-
07/1994;485.687 ;40.788,0 ;126.123,9 ;137.250,8 ;45.478 ;300.286 ;-
08/1994;496.352 ;43.873,4 ;169.997,2 ;179.974,6 ;48.555 ;348.840 ;-
09/1994;507.560 ;43.836,2 ;213.833,5 ;222.232,5 ;48.904 ;397.744 ;-
10/1994;519.575 ;45.234,9 ;259.068,3 ;265.396,1 ;49.287 ;447.031 ;-
11/1994;531.271 ;45.926,2 ;304.994,5 ;308.529,4 ;49.009 ;496.040 ;-
12/1994;543.087 ;44.210,2 ;349.204,7 ;349.204,7 ;47.047 ;543.087 ;-
01/1995;563.586 ;47.028,6 ;47.028,6 ;391.670,5 ;60.958 ;60.958 ;-
02/1995;583.908 ;49.954,5 ;96.983,2 ;435.832,0 ;59.644 ;120.602 ;-
03/1995;605.916 ;60.024,3 ;157.007,5 ;487.335,9 ;65.544 ;186.146 ;-
04/1995;627.387 ;57.789,5 ;214.797,0 ;532.296,6 ;63.804 ;249.949 ;-
05/1995;647.133 ;56.350,5 ;271.147,5 ;568.142,9 ;63.969 ;313.918 ;-
