Data;28473 - Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados - Índice;28474 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Dados dessazonalizados - Índice;28475 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Brasil - Dados dessazonalizados - Índice;28476 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Dados dessazonalizados - Índice;28477 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil - Dados dessazonalizados - Índice;28478 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados - Índice;28479 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Dados dessazonalizados - Índice;28480 - Artigos farmacêuticos, médicos, ortopédicos, perfumaria e cosméticos - Dados dessazonalizados - Índice;28481 - Livros, jornais, revistas e papelaria - Dados dessazonalizados - Índice;28482 - Equipamentos e materiais para escritório e comunicação - Dados dessazonalizados - Índice;28483 - Outros artigos de uso pessoal e doméstico - Dados dessazonalizados - Índice;28484 - Material de construção - Dados dessazonalizados - Índice;28485 - Comércio ampliado - Dados dessazonalizados - Índice
01/2000;49,50 ;82,10 ;56,40 ;56,00 ;62,50 ;27,00 ;53,40 ;-;-;-;;;
02/2000;50,00 ;81,60 ;56,90 ;56,30 ;64,00 ;27,10 ;55,70 ;-;-;-;;;
03/2000;50,30 ;81,50 ;57,20 ;56,60 ;66,50 ;27,50 ;55,50 ;-;-;-;;;
04/2000;50,30 ;81,50 ;57,10 ;56,70 ;68,00 ;27,80 ;56,00 ;-;-;-;;;
05/2000;50,70 ;79,30 ;57,80 ;57,10 ;66,60 ;28,20 ;57,30 ;-;-;-;;;
06/2000;50,60 ;79,10 ;58,90 ;58,10 ;68,60 ;28,70 ;56,90 ;-;-;-;;;
07/2000;50,70 ;77,50 ;58,50 ;58,10 ;69,40 ;29,30 ;60,10 ;-;-;-;;;
08/2000;50,30 ;73,50 ;58,30 ;57,80 ;65,80 ;29,70 ;60,40 ;-;-;-;;;
09/2000;50,30 ;75,10 ;58,50 ;58,10 ;66,00 ;29,30 ;58,10 ;-;-;-;;;
10/2000;49,70 ;75,40 ;57,60 ;57,30 ;64,90 ;29,30 ;59,20 ;-;-;-;;;
11/2000;50,50 ;74,70 ;58,30 ;57,80 ;66,80 ;29,80 ;59,80 ;-;-;-;;;
12/2000;50,60 ;75,10 ;59,00 ;58,60 ;66,30 ;29,70 ;60,20 ;-;-;-;;;
01/2001;50,50 ;75,50 ;59,30 ;58,70 ;67,40 ;29,30 ;60,60 ;-;-;-;;;
02/2001;50,30 ;76,00 ;59,20 ;58,90 ;68,70 ;29,30 ;59,80 ;-;-;-;;;
03/2001;50,20 ;74,60 ;59,00 ;58,70 ;67,10 ;29,10 ;60,80 ;-;-;-;;;
04/2001;49,90 ;76,30 ;58,90 ;58,20 ;67,20 ;28,60 ;61,20 ;-;-;-;;;
05/2001;49,50 ;77,10 ;57,60 ;56,90 ;68,50 ;28,60 ;58,10 ;-;-;-;;;
06/2001;49,40 ;77,20 ;58,30 ;57,90 ;68,60 ;27,60 ;58,10 ;-;-;-;;;
07/2001;49,30 ;75,90 ;58,00 ;57,70 ;66,50 ;27,80 ;57,30 ;-;-;-;;;
08/2001;49,30 ;76,10 ;57,70 ;57,40 ;68,00 ;27,40 ;52,70 ;-;-;-;;;
09/2001;49,50 ;76,10 ;58,60 ;58,50 ;67,10 ;28,10 ;49,50 ;-;-;-;;;
10/2001;49,70 ;75,20 ;58,30 ;58,10 ;68,00 ;28,30 ;50,40 ;-;-;-;;;
11/2001;49,20 ;75,90 ;57,90 ;57,90 ;67,60 ;27,60 ;49,50 ;-;-;-;;;
12/2001;49,60 ;74,70 ;58,20 ;58,20 ;66,90 ;28,60 ;48,10 ;-;-;-;;;
01/2002;49,70 ;78,90 ;58,30 ;58,20 ;67,10 ;29,80 ;48,70 ;-;-;-;;;
02/2002;49,60 ;81,20 ;57,70 ;57,90 ;66,40 ;29,10 ;46,90 ;-;-;-;;;
03/2002;49,80 ;80,10 ;58,30 ;58,20 ;66,00 ;29,50 ;47,90 ;-;-;-;;;
04/2002;49,80 ;79,70 ;58,10 ;58,20 ;65,10 ;29,40 ;49,50 ;-;-;-;;;
05/2002;49,80 ;78,60 ;58,90 ;58,60 ;64,20 ;28,90 ;45,80 ;-;-;-;;;
