Data;4393 - Índice de Confiança do Consumidor - Índice;4394 - Índice de Condições Econômicas Atuais - Índice;4395 - Índice de Expectativas Futuras - Índice
03/1999;75,72 ;52,27 ;91,36
04/1999;75,86 ;49,01 ;93,76
05/1999;77,29 ;50,86 ;94,91
06/1999;91,51 ;60,45 ;112,22
07/1999;99,11 ;66,07 ;121,14
08/1999;98,17 ;64,59 ;120,56
09/1999;99,03 ;64,57 ;122,00
10/1999;95,52 ;61,94 ;117,91
11/1999;93,87 ;64,52 ;113,43
12/1999;94,62 ;64,17 ;114,92
01/2000;100,91 ;71,17 ;120,73
02/2000;107,34 ;86,37 ;121,31
03/2000;100,09 ;79,93 ;113,53
04/2000;93,93 ;70,42 ;109,61
05/2000;89,44 ;69,29 ;102,87
06/2000;94,54 ;74,58 ;107,86
07/2000;98,31 ;74,01 ;114,50
08/2000;91,20 ;68,83 ;106,11
09/2000;92,02 ;72,96 ;104,73
10/2000;98,51 ;79,11 ;111,45
11/2000;99,37 ;73,14 ;116,86
12/2000;100,82 ;77,35 ;116,47
01/2001;111,34 ;104,53 ;115,88
02/2001;113,47 ;104,07 ;119,74
03/2001;108,55 ;90,60 ;120,51
04/2001;105,22 ;88,88 ;116,11
05/2001;102,40 ;83,55 ;114,97
06/2001;79,44 ;64,82 ;89,18
07/2001;87,20 ;68,72 ;99,52
08/2001;86,38 ;68,80 ;98,10
09/2001;90,74 ;70,18 ;104,44
10/2001;80,65 ;62,66 ;92,65
11/2001;78,31 ;65,50 ;86,86
12/2001;86,28 ;71,36 ;96,22
01/2002;87,04 ;70,70 ;97,93
02/2002;90,66 ;74,34 ;101,54
03/2002;91,30 ;77,69 ;100,37
04/2002;96,00 ;74,39 ;110,41
05/2002;96,15 ;74,99 ;110,25
06/2002;84,40 ;66,60 ;96,27
07/2002;93,81 ;77,16 ;104,91
08/2002;89,80 ;69,76 ;103,16
09/2002;99,22 ;76,92 ;114,09
10/2002;94,91 ;70,85 ;110,95
11/2002;98,68 ;69,21 ;118,33
12/2002;102,92 ;74,45 ;121,89
01/2003;102,97 ;74,59 ;121,88
02/2003;103,53 ;75,49 ;122,22
03/2003;101,89 ;71,92 ;121,87
04/2003;107,66 ;78,81 ;126,89
05/2003;112,04 ;79,29 ;133,87
06/2003;116,81 ;82,37 ;139,77
07/2003;111,47 ;75,02 ;135,77
08/2003;109,37 ;74,55 ;132,59
09/2003;106,41 ;75,49 ;127,03
10/2003;104,72 ;76,84 ;123,31
11/2003;108,68 ;79,68 ;128,02
12/2003;115,33 ;85,59 ;135,15
01/2004;124,16 ;95,66 ;143,15
02/2004;123,40 ;93,94 ;143,04
03/2004;113,29 ;85,92 ;131,54
04/2004;108,01 ;82,90 ;124,76
05/2004;124,23 ;100,38 ;140,14
06/2004;117,07 ;93,86 ;132,55
07/2004;118,50 ;98,00 ;132,17
08/2004;120,72 ;94,22 ;138,39
09/2004;128,43 ;95,30 ;150,52
10/2004;141,92 ;112,37 ;161,62
11/2004;144,96 ;112,38 ;166,68
12/2004;140,41 ;120,05 ;153,99
01/2005;145,02 ;124,12 ;158,95
02/2005;146,48 ;124,11 ;161,39
03/2005;144,95 ;124,81 ;158,37
04/2005;141,75 ;121,18 ;155,46
05/2005;133,62 ;115,20 ;145,90
06/2005;132,74 ;113,50 ;145,56
07/2005;133,21 ;114,57 ;145,63
08/2005;124,89 ;116,31 ;130,62
09/2005;109,24 ;103,08 ;113,35
10/2005;107,65 ;99,51 ;113,07
11/2005;117,23 ;115,68 ;118,26
12/2005;130,16 ;126,32 ;132,73
01/2006;131,52 ;125,79 ;135,33
02/2006;138,03 ;128,10 ;144,65
03/2006;137,75 ;130,20 ;142,79
04/2006;132,38 ;128,72 ;134,82
05/2006;138,20 ;131,57 ;142,62
06/2006;134,40 ;124,52 ;140,98
07/2006;134,17 ;127,95 ;138,32
08/2006;128,24 ;120,06 ;133,69
09/2006;131,36 ;125,03 ;135,58
10/2006;132,29 ;123,59 ;138,10
11/2006;134,62 ;125,09 ;140,97
12/2006;127,50 ;121,31 ;131,63
01/2007;133,89 ;136,75 ;131,98
02/2007;134,39 ;138,17 ;131,86
03/2007;127,87 ;132,37 ;124,87
04/2007;127,97 ;135,81 ;122,74
05/2007;126,49 ;136,67 ;119,71
06/2007;129,77 ;138,41 ;124,00
07/2007;130,12 ;140,19 ;123,40
08/2007;130,30 ;136,44 ;126,21
09/2007;131,81 ;141,09 ;125,63
10/2007;133,34 ;147,02 ;124,23
11/2007;136,25 ;150,14 ;127,00
12/2007;139,90 ;145,79 ;135,97
01/2008;142,61 ;153,64 ;135,26
02/2008;146,90 ;153,55 ;142,47
03/2008;147,72 ;153,75 ;143,70
04/2008;148,56 ;157,13 ;142,86
05/2008;147,36 ;155,13 ;142,19
06/2008;142,59 ;152,22 ;136,17
07/2008;131,23 ;140,16 ;125,28
08/2008;137,05 ;140,48 ;134,76
09/2008;141,28 ;138,99 ;142,81
10/2008;140,46 ;139,59 ;141,04
11/2008;133,85 ;131,73 ;135,27
12/2008;128,66 ;120,39 ;134,18
01/2009;125,16 ;119,62 ;128,85
02/2009;134,12 ;130,38 ;136,62
03/2009;130,88 ;117,53 ;139,77
04/2009;126,33 ;118,16 ;131,77
05/2009;128,95 ;120,69 ;134,45
06/2009;139,99 ;128,53 ;147,63
07/2009;145,01 ;134,55 ;151,99
08/2009;145,61 ;134,83 ;152,80
09/2009;148,81 ;141,86 ;153,44
10/2009;157,15 ;148,45 ;162,94
11/2009;155,79 ;146,55 ;161,95
12/2009;156,63 ;150,53 ;160,69
01/2010;160,47 ;154,75 ;164,28
02/2010;161,43 ;160,75 ;161,87
03/2010;159,92 ;159,98 ;159,88
04/2010;154,66 ;146,53 ;160,08
05/2010;155,77 ;152,48 ;157,96
06/2010;160,55 ;155,73 ;163,76
07/2010;157,16 ;153,99 ;159,27
08/2010;164,50 ;163,38 ;165,25
09/2010;162,62 ;164,11 ;161,62
10/2010;155,37 ;155,58 ;155,23
11/2010;160,06 ;159,91 ;160,16
12/2010;164,26 ;162,82 ;165,22
01/2011;160,83 ;156,53 ;163,71
02/2011;164,21 ;161,27 ;166,17
03/2011;160,29 ;157,08 ;162,43
04/2011;159,44 ;154,09 ;163,01
05/2011;153,00 ;149,10 ;155,60
06/2011;153,81 ;149,91 ;156,42
07/2011;152,93 ;150,63 ;154,47
08/2011;152,71 ;149,82 ;154,64
09/2011;154,08 ;152,27 ;155,29
10/2011;151,91 ;148,99 ;153,85
11/2011;155,36 ;149,08 ;159,55
12/2011;158,17 ;150,52 ;163,28
01/2012;158,33 ;151,92 ;162,60
02/2012;170,18 ;167,90 ;171,70
03/2012;164,42 ;162,37 ;165,79
04/2012;164,99 ;163,22 ;166,17
05/2012;163,05 ;156,18 ;167,62
06/2012;162,35 ;159,71 ;164,11
07/2012;160,56 ;158,34 ;162,04
08/2012;156,30 ;155,62 ;156,75
09/2012;158,29 ;157,20 ;159,01
10/2012;161,38 ;159,44 ;162,68
11/2012;159,69 ;152,40 ;164,56
12/2012;161,81 ;160,11 ;162,94
01/2013;160,55 ;156,08 ;163,54
02/2013;165,85 ;165,95 ;165,78
03/2013;159,96 ;155,64 ;162,84
04/2013;155,62 ;153,02 ;157,35
05/2013;145,97 ;145,14 ;146,53
06/2013;145,04 ;147,48 ;143,42
07/2013;136,73 ;136,41 ;136,94
08/2013;133,04 ;133,09 ;133,01
09/2013;136,74 ;139,47 ;134,92
10/2013;139,24 ;139,39 ;139,15
11/2013;138,01 ;136,92 ;138,74
12/2013;136,57 ;138,16 ;135,51
01/2014;131,74 ;130,19 ;132,78
02/2014;136,39 ;142,61 ;132,24
03/2014;125,78 ;132,36 ;121,39
04/2014;120,25 ;126,93 ;115,80
05/2014;109,48 ;111,80 ;107,94
06/2014;107,37 ;110,92 ;105,01
07/2014;109,55 ;109,23 ;109,76
08/2014;110,54 ;110,11 ;110,83
09/2014;118,92 ;113,85 ;122,30
10/2014;115,82 ;107,09 ;121,64
11/2014;115,99 ;103,39 ;124,39
12/2014;112,95 ;108,70 ;115,79
01/2015;112,69 ;110,72 ;114,01
02/2015;112,89 ;109,65 ;115,05
03/2015;106,86 ;103,26 ;109,26
04/2015;101,56 ;95,17 ;105,82
05/2015;91,77 ;81,35 ;98,71
06/2015;90,58 ;74,14 ;101,54
07/2015;84,55 ;61,30 ;100,04
08/2015;84,66 ;59,31 ;101,56
09/2015;85,53 ;59,83 ;102,66
10/2015;88,77 ;56,05 ;110,57
11/2015;85,55 ;54,31 ;106,38
12/2015;87,17 ;57,95 ;106,65
01/2016;89,04 ;57,08 ;110,34
02/2016;95,23 ;66,52 ;114,36
03/2016;89,31 ;53,50 ;113,19
04/2016;87,68 ;51,88 ;111,54
05/2016;90,85 ;47,35 ;119,85
06/2016;98,05 ;52,36 ;128,50
07/2016;97,67 ;51,30 ;128,59
08/2016;100,05 ;54,69 ;130,29
09/2016;106,95 ;58,68 ;139,13
10/2016;105,98 ;59,11 ;137,23
11/2016;110,30 ;60,10 ;143,76
12/2016;110,73 ;72,63 ;136,13
01/2017;102,25 ;68,19 ;124,95
02/2017;113,80 ;74,55 ;139,96
03/2017;109,38 ;66,79 ;137,77
04/2017;109,01 ;71,32 ;134,14
05/2017;103,49 ;66,45 ;128,18
06/2017;100,06 ;70,81 ;119,56
07/2017;104,78 ;73,52 ;125,62
08/2017;101,48 ;69,31 ;122,93
09/2017;99,67 ;70,12 ;119,38
10/2017;102,81 ;73,00 ;122,69
11/2017;103,96 ;72,38 ;125,01
12/2017;109,46 ;82,84 ;127,20
01/2018;116,96 ;89,99 ;134,94
02/2018;120,57 ;99,09 ;134,89
03/2018;115,64 ;92,09 ;131,35
04/2018;109,94 ;85,20 ;126,44
05/2018;113,50 ;83,82 ;133,29
06/2018;104,00 ;77,95 ;121,36
07/2018;103,48 ;76,45 ;121,50
08/2018;104,38 ;83,02 ;118,61
09/2018;106,79 ;80,38 ;124,40
10/2018;107,91 ;78,74 ;127,36
11/2018;114,50 ;84,00 ;134,83
12/2018;127,80 ;95,90 ;149,07
01/2019;128,64 ;96,27 ;150,22
02/2019;139,39 ;112,24 ;157,48
03/2019;125,53 ;97,44 ;144,25
04/2019;121,71 ;99,29 ;136,66
05/2019;117,01 ;96,27 ;130,83
06/2019;107,38 ;84,12 ;122,89
07/2019;110,92 ;87,32 ;126,65
08/2019;114,58 ;91,69 ;129,85
09/2019;112,19 ;92,43 ;125,36
10/2019;111,82 ;95,24 ;122,87
11/2019;118,64 ;99,11 ;131,66
12/2019;121,26 ;110,61 ;128,36
01/2020;121,27 ;105,78 ;131,60
02/2020;131,79 ;120,93 ;139,03
03/2020;124,58 ;108,82 ;135,08
04/2020;111,97 ;95,71 ;122,82
05/2020;96,82 ;63,83 ;118,82
Fonte;Fecomercio;Fecomercio;Fecomercio
