Data;1453 - Indicador de Movimento do Comercio a Prazo - IMC - unidades;1454 - Indicador de Movimento de Cheques - unidades;28549 - Vendas do setor supermercadista - Dados dessazonalizados - indice;28550 - Indicador de Movimento do Comercio a Prazo - IMC - Dados dessazonalizados - unidades;28551 - Indicador de Movimento de Cheques - Dados dessazonalizados - unidades
12/1986;1.105.816 ;700.003 ;-;-;-
01/1987;574.143 ;391.709 ;-;-;-
02/1987;555.309 ;411.978 ;-;-;-
03/1987;579.508 ;458.582 ;-;-;-
04/1987;675.866 ;516.413 ;-;-;-
05/1987;863.382 ;600.506 ;-;-;-
06/1987;805.964 ;610.930 ;-;-;-
07/1987;916.112 ;699.249 ;-;-;-
08/1987;895.961 ;740.735 ;-;-;-
09/1987;809.699 ;680.449 ;-;-;-
10/1987;903.338 ;743.542 ;-;-;-
11/1987;862.624 ;748.985 ;-;-;-
12/1987;1.143.928 ;1.030.887 ;-;-;-
01/1988;600.202 ;465.416 ;-;-;-
02/1988;649.853 ;513.626 ;-;-;-
03/1988;811.493 ;647.992 ;-;-;-
04/1988;788.830 ;589.980 ;-;-;-
05/1988;906.932 ;598.396 ;-;-;-
06/1988;983.183 ;643.059 ;-;-;-
07/1988;954.050 ;686.483 ;-;-;-
08/1988;902.688 ;698.086 ;-;-;-
09/1988;829.472 ;655.184 ;-;-;-
10/1988;860.208 ;690.811 ;-;-;-
11/1988;908.038 ;734.315 ;-;-;-
12/1988;1.162.235 ;970.256 ;-;-;-
01/1989;590.978 ;562.644 ;-;-;-
02/1989;609.152 ;557.167 ;-;-;-
03/1989;747.443 ;675.483 ;-;-;-
04/1989;748.069 ;640.155 ;-;-;-
05/1989;935.848 ;688.178 ;-;-;-
06/1989;954.691 ;652.892 ;-;-;-
07/1989;873.579 ;662.294 ;-;-;-
08/1989;896.828 ;713.852 ;-;-;-
09/1989;840.292 ;670.559 ;-;-;-
10/1989;816.699 ;671.159 ;-;-;-
11/1989;797.505 ;694.832 ;-;-;-
12/1989;919.866 ;919.895 ;-;-;-
01/1990;539.340 ;600.798 ;-;-;-
02/1990;470.536 ;582.230 ;-;-;-
03/1990;577.214 ;543.931 ;-;-;-
04/1990;755.277 ;510.010 ;-;-;-
05/1990;781.003 ;582.754 ;-;-;-
06/1990;649.102 ;520.900 ;-;-;-
07/1990;729.089 ;522.201 ;-;-;-
08/1990;762.764 ;553.166 ;-;-;-
09/1990;673.020 ;494.696 ;-;-;-
10/1990;681.771 ;512.581 ;-;-;-
11/1990;647.127 ;511.890 ;-;-;-
12/1990;779.353 ;713.966 ;-;-;-
01/1991;445.639 ;458.573 ;-;-;-
02/1991;467.982 ;471.326 ;-;-;-
03/1991;574.087 ;531.087 ;-;-;-
04/1991;681.853 ;567.505 ;-;-;-
05/1991;800.141 ;596.271 ;-;-;-
06/1991;776.954 ;582.499 ;-;-;-
07/1991;843.978 ;632.708 ;-;-;-
08/1991;853.901 ;649.364 ;-;-;-
09/1991;701.611 ;613.784 ;-;-;-
10/1991;732.268 ;668.499 ;-;-;-
11/1991;589.838 ;680.101 ;-;-;-
12/1991;732.977 ;954.773 ;-;-;-
01/1992;463.225 ;621.079 ;-;-;-
02/1992;497.175 ;690.161 ;-;-;-
03/1992;500.749 ;662.562 ;-;-;-
04/1992;531.409 ;695.359 ;-;-;-
05/1992;615.859 ;730.718 ;-;-;-
06/1992;637.528 ;749.091 ;-;-;-
07/1992;683.652 ;793.893 ;-;-;-
08/1992;652.729 ;769.743 ;-;-;-
09/1992;625.132 ;726.887 ;-;-;-
10/1992;676.189 ;771.175 ;-;-;-
11/1992;657.725 ;770.847 ;-;-;-
12/1992;840.752 ;986.898 ;-;-;-
01/1993;475.662 ;620.860 ;-;-;-
02/1993;486.140 ;638.357 ;-;-;-
03/1993;601.545 ;764.204 ;-;-;-
04/1993;552.304 ;725.638 ;-;-;-
05/1993;626.673 ;793.100 ;-;-;-
06/1993;634.604 ;787.521 ;-;-;-
07/1993;636.420 ;823.828 ;-;-;-
08/1993;618.114 ;761.651 ;-;-;-
09/1993;611.103 ;751.138 ;-;-;-
10/1993;627.315 ;818.532 ;-;-;-
11/1993;616.376 ;793.629 ;-;-;-
12/1993;798.527 ;1.068.779 ;-;-;-
01/1994;442.512 ;693.397 ;-;-;-
02/1994;443.243 ;678.419 ;-;-;-
03/1994;533.770 ;819.118 ;-;-;-
04/1994;534.686 ;724.867 ;-;-;-
05/1994;596.868 ;755.139 ;-;-;-
06/1994;580.201 ;715.895 ;-;-;-
07/1994;742.066 ;641.897 ;-;-;-
08/1994;906.915 ;735.394 ;-;-;-
09/1994;833.928 ;704.602 ;-;-;-
10/1994;799.080 ;691.110 ;-;-;-
11/1994;743.472 ;685.383 ;-;-;-
12/1994;1.108.661 ;889.328 ;-;-;-
01/1995;663.599 ;614.612 ;-;-;-
02/1995;645.221 ;628.979 ;-;-;-
03/1995;742.424 ;739.264 ;-;-;-
04/1995;705.907 ;685.062 ;-;-;-
05/1995;781.232 ;821.139 ;-;-;-
06/1995;756.139 ;832.777 ;-;-;-
07/1995;804.340 ;943.862 ;-;-;-
08/1995;824.541 ;949.753 ;-;-;-
09/1995;826.083 ;962.179 ;-;-;-
10/1995;850.881 ;997.978 ;-;-;-
11/1995;860.589 ;1.005.292 ;-;-;-
12/1995;1.157.559 ;1.319.181 ;-;-;-
01/1996;687.291 ;865.347 ;-;-;-
02/1996;668.482 ;869.240 ;-;-;-
03/1996;837.759 ;976.301 ;-;-;-
04/1996;880.529 ;939.004 ;-;-;-
05/1996;1.092.585 ;1.060.190 ;-;-;-
06/1996;1.021.553 ;968.386 ;-;-;-
07/1996;1.211.362 ;1.115.506 ;-;-;-
08/1996;1.194.764 ;1.072.689 ;-;-;-
09/1996;1.087.598 ;975.597 ;-;-;-
10/1996;1.187.536 ;1.078.046 ;-;-;-
11/1996;1.222.241 ;1.116.081 ;-;-;-
12/1996;1.478.007 ;1.369.878 ;-;-;-
01/1997;1.061.804 ;1.005.710 ;-;-;-
02/1997;991.531 ;947.602 ;-;-;-
03/1997;1.197.358 ;1.148.796 ;-;-;-
04/1997;1.290.649 ;1.166.410 ;-;-;-
05/1997;1.371.087 ;1.250.983 ;-;-;-
06/1997;1.308.484 ;1.221.991 ;-;-;-
07/1997;1.461.681 ;1.447.852 ;-;-;-
08/1997;1.456.316 ;1.456.492 ;-;-;-
09/1997;1.493.119 ;1.468.549 ;-;-;-
10/1997;1.652.004 ;1.646.344 ;-;-;-
11/1997;1.369.359 ;1.552.126 ;-;-;-
12/1997;1.673.981 ;2.085.486 ;-;-;-
01/1998;1.227.254 ;1.493.526 ;-;-;-
02/1998;1.084.616 ;1.373.296 ;-;-;-
03/1998;1.339.373 ;1.593.850 ;-;-;-
04/1998;1.284.711 ;1.555.414 ;-;-;-
05/1998;1.436.952 ;1.738.196 ;-;-;-
06/1998;1.312.239 ;1.546.219 ;-;-;-
07/1998;1.368.887 ;1.625.757 ;-;-;-
08/1998;1.406.943 ;1.670.546 ;-;-;-
09/1998;1.309.808 ;1.579.029 ;-;-;-
10/1998;1.453.765 ;1.729.439 ;-;-;-
11/1998;1.442.963 ;1.599.048 ;-;-;-
12/1998;1.716.203 ;2.160.602 ;-;-;-
01/1999;1.080.834 ;1.412.010 ;-;-;-
02/1999;982.925 ;1.267.466 ;-;-;-
03/1999;1.238.015 ;1.436.259 ;-;-;-
04/1999;1.112.750 ;1.323.703 ;-;-;-
05/1999;1.459.485 ;1.534.747 ;-;-;-
06/1999;1.417.575 ;1.445.887 ;-;-;-
07/1999;1.368.102 ;1.486.937 ;-;-;-
08/1999;1.437.716 ;1.493.648 ;-;-;-
09/1999;1.380.768 ;1.429.452 ;-;-;-
10/1999;1.453.605 ;1.510.673 ;-;-;-
11/1999;1.443.210 ;1.503.654 ;-;-;-
12/1999;1.724.594 ;1.961.455 ;-;-;-
01/2000;1.198.602 ;1.303.162 ;-;-;-
02/2000;1.268.978 ;1.395.497 ;-;-;-
03/2000;1.346.106 ;1.455.637 ;-;-;-
04/2000;1.249.781 ;1.455.754 ;-;-;-
05/2000;1.480.989 ;1.638.495 ;-;-;-
06/2000;1.501.091 ;1.623.429 ;-;-;-
07/2000;1.510.096 ;1.642.394 ;-;-;-
08/2000;1.540.235 ;1.723.035 ;-;-;-
09/2000;1.409.249 ;1.575.551 ;-;-;-
10/2000;1.522.723 ;1.570.823 ;-;-;-
11/2000;1.520.898 ;1.679.977 ;-;-;-
12/2000;1.924.383 ;2.017.352 ;-;-;-
01/2001;1.497.927 ;1.417.592 ;73,20 ;-;-
02/2001;1.342.129 ;1.396.098 ;73,65 ;-;-
03/2001;1.537.852 ;1.606.760 ;71,54 ;-;-
04/2001;1.335.403 ;1.476.134 ;71,67 ;-;-
05/2001;1.632.795 ;1.708.975 ;71,26 ;-;-
06/2001;1.477.408 ;1.699.800 ;75,00 ;-;-
07/2001;1.557.517 ;1.661.274 ;70,18 ;-;-
08/2001;1.558.607 ;1.717.361 ;69,94 ;-;-
09/2001;1.291.428 ;1.630.545 ;70,69 ;-;-
10/2001;1.419.503 ;1.598.981 ;69,99 ;-;-
11/2001;1.449.857 ;1.678.460 ;70,11 ;-;-
12/2001;1.829.871 ;2.126.224 ;69,74 ;-;-
01/2002;1.420.905 ;1.557.001 ;69,80 ;-;-
02/2002;1.338.033 ;1.434.850 ;68,52 ;-;-
03/2002;1.380.596 ;1.576.014 ;71,25 ;-;-
04/2002;1.393.909 ;1.691.926 ;71,08 ;-;-
05/2002;1.571.495 ;1.812.923 ;73,11 ;-;-
06/2002;1.468.053 ;1.811.286 ;69,91 ;-;-
07/2002;1.699.150 ;1.951.258 ;71,86 ;-;-
08/2002;1.565.228 ;2.029.528 ;72,25 ;-;-
09/2002;1.456.621 ;1.882.867 ;73,41 ;-;-
10/2002;1.396.133 ;2.003.833 ;73,99 ;-;-
11/2002;1.386.648 ;1.951.594 ;73,01 ;-;-
12/2002;1.797.574 ;2.148.707 ;69,33 ;-;-
