Data;22078 - Massa salarial ampliada - PNADC (media movel trimestral) - R$ (milhoes);22079 - Massa Salarial Ampliada Disponivel - PNADC (media movel trimestral) - R$ (milhoes);22080 - Massa Salarial Ampliada Disponivel - PNADC (acumulada em 12 meses) - R$ (milhoes);24381 - Rendimento medio real efetivo de todos os trabalhos - PNADC - R$;24382 - Rendimento medio real habitual das pessoas ocupadas - PNADC - R$;24383 - Rendimento medio real habitual das pessoas ocupadas - Com carteira - PNADC - R$;24384 - Rendimento medio real habitual das pessoas ocupadas - Sem carteira - PNADC - R$;24385 - Rendimento medio real habitual das pessoas ocupadas - Setor privado - PNADC - R$;24386 - Rendimento medio real habitual das pessoas ocupadas - Setor publico - PNADC - R$;24387 - Rendimento medio real habitual das pessoas ocupadas - Conta propria - PNADC - R$;24388 - Rendimento medio real habitual das pessoas ocupadas - Empregadores - PNADC - R$;24399 - Rendimento medio real habitual das pessoas ocupadas - Setor privado e publico - PNADC - R$;28544 - Massa de rendimento real efetivo de todos os trabalhos - R$ (milhoes);28545 - Massa de rendimento real habitual de todos os trabalhos - R$ (milhoes)
mar/04;68.017,00;63.673,10;-;-;-;-;-;-;-;-;-;-;-;-
abr/04;68.688,10;63.990,20;-;-;-;-;-;-;-;-;-;-;-;-
mai/04;69.830,30;64.965,20;-;-;-;-;-;-;-;-;-;-;-;-
jun/04;71.915,00;66.997,80;-;-;-;-;-;-;-;;-;-;-;-
jul/04;73.249,50;68.492,60;-;-;-;-;-;-;-;-;-;-;-;-
ago/04;74.203,20;69.447,80;-;-;-;-;-;-;-;-;-;-;-;-
set/04;73.814,10;69.019,90;-;-;-;-;-;-;-;-;-;-;-;-
out/04;73.968,10;69.385,20;-;-;-;-;-;-;-;-;-;-;-;-
nov/04;73.986,10;69.267,60;-;-;-;-;-;-;-;-;-;-;-;-
dez/04;79.496,10;73.631,30;819.966,30;-;-;-;-;-;-;-;-;-;-;-
jan/05;80.275,10;74.281,50;828.448,30;-;-;-;-;-;-;-;-;-;-;-
fev/05;81.261,00;75.393,40;837.222,00;-;-;-;-;-;-;-;-;-;-;-
mar/05;76.718,60;71.767,70;844.250,10;-;-;-;-;-;-;-;-;-;-;-
abr/05;77.376,50;71.885,30;852.133,80;-;-;-;-;-;-;-;-;-;-;-
mai/05;78.239,40;72.483,50;859.776,90;-;-;-;-;-;-;-;-;-;-;-
jun/05;80.576,00;74.836,50;867.766,20;-;-;-;-;-;-;-;-;-;-;-
jul/05;82.226,60;76.802,20;877.062,60;-;-;-;-;-;-;-;-;-;-;-
ago/05;83.032,40;77.544,40;884.066,70;-;-;-;-;-;-;-;-;-;-;-
set/05;82.142,40;76.805,70;891.123,60;-;-;-;-;-;-;-;-;-;-;-
out/05;81.812,70;76.214,00;897.548,90;-;-;-;-;-;-;-;-;-;-;-
nov/05;84.094,90;78.225,70;910.940,80;-;-;-;-;-;-;-;-;-;-;-
dez/05;90.119,20;82.859,20;918.807,30;-;-;-;-;-;-;-;-;-;-;-
jan/06;91.577,50;84.669,70;928.713,70;-;-;-;-;-;-;-;-;-;-;-
fev/06;90.237,50;83.738,00;935.974,50;-;-;-;-;-;-;-;-;-;-;-
mar/06;85.117,90;79.769,20;942.812,00;-;-;-;-;-;-;-;-;-;-;-
abr/06;85.442,90;79.160,20;950.538,40;-;-;-;-;-;-;-;-;-;-;-
mai/06;87.063,30;80.602,30;960.330,90;-;-;-;-;-;-;-;-;-;-;-
jun/06;89.318,00;82.619,50;966.160,90;-;-;-;-;-;-;-;-;-;-;-
jul/06;90.654,70;84.506,80;973.652,40;-;-;-;-;-;-;-;-;-;-;-
ago/06;90.961,70;84.563,10;981.387,20;-;-;-;-;-;-;-;-;-;-;-
set/06;92.781,50;86.385,10;994.899,10;-;-;-;-;-;-;-;-;-;-;-
out/06;92.621,80;86.237,20;1.003.722,00;-;-;-;-;-;-;-;-;-;-;-
nov/06;94.476,00;87.935,00;1.010.515,30;-;-;-;-;-;-;-;-;-;-;-
dez/06;97.480,30;89.295,90;1.014.209,20;-;-;-;-;-;-;-;-;-;-;-
jan/07;98.386,70;90.447,00;1.021.053,70;-;-;-;-;-;-;-;-;-;-;-
fev/07;97.916,70;90.163,80;1.029.792,90;-;-;-;-;-;-;-;-;-;-;-
mar/07;94.277,00;88.066,20;1.039.099,90;-;-;-;-;-;-;-;-;-;-;-
abr/07;94.973,90;87.684,50;1.046.626,60;-;-;-;-;-;-;-;-;-;-;-
mai/07;96.262,30;88.782,90;1.054.334,70;-;-;-;-;-;-;-;-;-;-;-
jun/07;97.513,20;90.040,20;1.061.362,20;-;-;-;-;-;-;-;-;-;-;-
jul/07;98.485,70;91.537,20;1.067.717,50;-;-;-;-;-;-;-;-;-;-;-
ago/07;98.924,50;91.927,80;1.076.428,70;-;-;-;-;-;-;-;-;-;-;-
set/07;100.667,70;93.498,80;1.082.703,30;-;-;-;-;-;-;-;-;-;-;-
out/07;100.912,00;93.692,80;1.090.084,20;-;-;-;-;-;-;-;-;-;-;-
nov/07;102.580,60;94.982,90;1.097.572,20;-;-;-;-;-;-;-;-;-;-;-
dez/07;108.615,80;99.945,20;1.114.651,20;-;-;-;-;-;-;-;-;-;-;-
jan/08;110.501,00;101.573,10;1.123.462,70;-;-;-;-;-;-;-;-;-;-;-
fev/08;110.493,00;101.794,90;1.132.465,50;-;-;-;-;-;-;-;-;-;-;-
