Data;22078;22079;22080;24381;24382;24383;24384;24385;24386;24387;24388;24399;28544;28545
03/2004;68.017,0 ;63.673,1 ;-;-;-;-;-;-;-;-;;;;
04/2004;68.688,1 ;63.990,2 ;-;-;-;-;-;-;-;-;;;;
05/2004;69.830,3 ;64.965,2 ;-;-;-;-;-;-;-;-;;;;
06/2004;71.915,0 ;66.997,8 ;-;-;-;-;-;-;-;-;;;;
07/2004;73.249,5 ;68.492,6 ;-;-;-;-;-;-;-;-;;;;
08/2004;74.203,2 ;69.447,8 ;-;-;-;-;-;-;-;-;;;;
09/2004;73.814,1 ;69.019,9 ;-;-;-;-;-;-;-;-;;;;
10/2004;73.968,1 ;69.385,2 ;-;-;-;-;-;-;-;-;;;;
11/2004;73.986,1 ;69.267,6 ;-;-;-;-;-;-;-;-;;;;
12/2004;79.496,1 ;73.631,3 ;819.966,3 ;-;-;-;-;-;-;-;;;;
01/2005;80.275,1 ;74.281,5 ;828.448,3 ;-;-;-;-;-;-;-;;;;
02/2005;81.261,0 ;75.393,4 ;837.222,0 ;-;-;-;-;-;-;-;;;;
03/2005;76.718,6 ;71.767,7 ;844.250,1 ;-;-;-;-;-;-;-;;;;
04/2005;77.376,5 ;71.885,3 ;852.133,8 ;-;-;-;-;-;-;-;;;;
05/2005;78.239,4 ;72.483,5 ;859.776,9 ;-;-;-;-;-;-;-;;;;
06/2005;80.576,0 ;74.836,5 ;867.766,2 ;-;-;-;-;-;-;-;;;;
07/2005;82.226,6 ;76.802,2 ;877.062,6 ;-;-;-;-;-;-;-;;;;
08/2005;83.032,4 ;77.544,4 ;884.066,7 ;-;-;-;-;-;-;-;;;;
09/2005;82.142,4 ;76.805,7 ;891.123,6 ;-;-;-;-;-;-;-;;;;
10/2005;81.812,7 ;76.214,0 ;897.548,9 ;-;-;-;-;-;-;-;;;;
11/2005;84.094,9 ;78.225,7 ;910.940,8 ;-;-;-;-;-;-;-;;;;
12/2005;90.119,2 ;82.859,2 ;918.807,3 ;-;-;-;-;-;-;-;;;;
01/2006;91.577,5 ;84.669,7 ;928.713,7 ;-;-;-;-;-;-;-;;;;
02/2006;90.237,5 ;83.738,0 ;935.974,5 ;-;-;-;-;-;-;-;;;;
03/2006;85.117,9 ;79.769,2 ;942.812,0 ;-;-;-;-;-;-;-;;;;
04/2006;85.442,9 ;79.160,2 ;950.538,4 ;-;-;-;-;-;-;-;;;;
05/2006;87.063,3 ;80.602,3 ;960.330,9 ;-;-;-;-;-;-;-;;;;
06/2006;89.318,0 ;82.619,5 ;966.160,9 ;-;-;-;-;-;-;-;;;;
07/2006;90.654,7 ;84.506,8 ;973.652,4 ;-;-;-;-;-;-;-;;;;
08/2006;90.961,7 ;84.563,1 ;981.387,2 ;-;-;-;-;-;-;-;;;;
09/2006;92.781,5 ;86.385,1 ;994.899,1 ;-;-;-;-;-;-;-;;;;
10/2006;92.621,8 ;86.237,2 ;1.003.722,0 ;-;-;-;-;-;-;-;;;;
11/2006;94.476,0 ;87.935,0 ;1.010.515,3 ;-;-;-;-;-;-;-;;;;
12/2006;97.480,3 ;89.295,9 ;1.014.209,2 ;-;-;-;-;-;-;-;;;;
01/2007;98.386,7 ;90.447,0 ;1.021.053,7 ;-;-;-;-;-;-;-;;;;
02/2007;97.916,7 ;90.163,8 ;1.029.792,9 ;-;-;-;-;-;-;-;;;;
03/2007;94.277,0 ;88.066,2 ;1.039.099,9 ;-;-;-;-;-;-;-;;;;
04/2007;94.973,9 ;87.684,5 ;1.046.626,6 ;-;-;-;-;-;-;-;;;;
05/2007;96.262,3 ;88.782,9 ;1.054.334,7 ;-;-;-;-;-;-;-;;;;
06/2007;97.513,2 ;90.040,2 ;1.061.362,2 ;-;-;-;-;-;-;-;;;;
07/2007;98.485,7 ;91.537,2 ;1.067.717,5 ;-;-;-;-;-;-;-;;;;
08/2007;98.924,5 ;91.927,8 ;1.076.428,7 ;-;-;-;-;-;-;-;;;;
09/2007;100.667,7 ;93.498,8 ;1.082.703,3 ;-;-;-;-;-;-;-;;;;
10/2007;100.912,0 ;93.692,8 ;1.090.084,2 ;-;-;-;-;-;-;-;;;;
11/2007;102.580,6 ;94.982,9 ;1.097.572,2 ;-;-;-;-;-;-;-;;;;
12/2007;108.615,8 ;99.945,2 ;1.114.651,2 ;-;-;-;-;-;-;-;;;;
01/2008;110.501,0 ;101.573,1 ;1.123.462,7 ;-;-;-;-;-;-;-;;;;
02/2008;110.493,0 ;101.794,9 ;1.132.465,5 ;-;-;-;-;-;-;-;;;;
03/2008;104.570,0 ;96.718,8 ;1.140.609,2 ;-;-;-;-;-;-;-;;;;
04/2008;105.705,1 ;97.136,4 ;1.151.818,3 ;-;-;-;-;-;-;-;;;;
05/2008;108.317,1 ;99.536,0 ;1.164.724,9 ;-;-;-;-;-;-;-;;;;
06/2008;110.786,4 ;102.024,8 ;1.176.562,9 ;-;-;-;-;-;-;-;;;;
07/2008;112.832,7 ;104.584,6 ;1.190.960,5 ;-;-;-;-;-;-;-;;;;
08/2008;114.850,1 ;106.677,2 ;1.208.973,3 ;-;-;-;-;-;-;-;;;;
09/2008;116.677,4 ;108.291,4 ;1.220.940,9 ;-;-;-;-;-;-;-;;;;
10/2008;116.405,4 ;108.034,2 ;1.233.984,9 ;-;-;-;-;-;-;-;;;;
11/2008;118.082,9 ;109.134,8 ;1.251.428,9 ;-;-;-;-;-;-;-;;;;
12/2008;123.599,7 ;113.625,9 ;1.261.982,9 ;-;-;-;-;-;-;-;;;;
01/2009;125.869,4 ;115.361,8 ;1.275.350,9 ;-;-;-;-;-;-;-;;;;
02/2009;124.667,2 ;114.947,6 ;1.290.887,0 ;-;-;-;-;-;-;-;;;;
03/2009;118.917,8 ;110.171,4 ;1.302.340,7 ;-;-;-;-;-;-;-;;;;
04/2009;119.036,3 ;110.019,3 ;1.313.999,6 ;-;-;-;-;-;-;-;;;;
05/2009;120.731,6 ;111.261,3 ;1.326.062,8 ;-;-;-;-;-;-;-;;;;
06/2009;122.972,0 ;113.474,9 ;1.336.690,8 ;-;-;-;-;-;-;-;;;;
07/2009;124.656,4 ;115.848,3 ;1.347.790,9 ;-;-;-;-;-;-;-;;;;
08/2009;126.444,7 ;117.608,3 ;1.358.856,1 ;-;-;-;-;-;-;-;;;;
09/2009;127.820,9 ;119.152,0 ;1.369.272,5 ;-;-;-;-;-;-;-;;;;
10/2009;127.508,1 ;118.799,0 ;1.380.085,1 ;-;-;-;-;-;-;-;;;;
11/2009;128.909,8 ;119.727,8 ;1.390.635,2 ;-;-;-;-;-;-;-;;;;
12/2009;133.767,1 ;123.240,7 ;1.398.117,0 ;-;-;-;-;-;-;-;;;;
01/2010;135.329,5 ;124.225,7 ;1.406.677,0 ;-;-;-;-;-;-;-;;;;
02/2010;135.310,7 ;124.721,5 ;1.419.956,6 ;-;-;-;-;-;-;-;;;;
03/2010;132.155,4 ;122.412,1 ;1.434.839,0 ;-;-;-;-;-;-;-;;;;
04/2010;133.771,8 ;123.322,9 ;1.446.587,9 ;-;-;-;-;-;-;-;;;;
05/2010;135.248,9 ;124.305,7 ;1.459.089,8 ;-;-;-;-;-;-;-;;;;
06/2010;136.815,9 ;125.871,6 ;1.472.029,2 ;-;-;-;-;-;-;-;;;;
07/2010;139.276,2 ;129.233,7 ;1.486.744,0 ;-;-;-;-;-;-;-;;;;
08/2010;142.589,2 ;132.487,8 ;1.503.728,3 ;-;-;-;-;-;-;-;;;;
09/2010;145.265,3 ;135.056,8 ;1.519.743,6 ;-;-;-;-;-;-;-;;;;
10/2010;145.754,1 ;135.510,1 ;1.536.877,3 ;-;-;-;-;-;-;-;;;;
11/2010;146.797,0 ;135.851,2 ;1.552.098,8 ;-;-;-;-;-;-;-;;;;
12/2010;152.315,6 ;140.081,2 ;1.570.265,0 ;-;-;-;-;-;-;-;;;;
01/2011;153.779,6 ;140.736,9 ;1.586.410,6 ;-;-;-;-;-;-;-;;;;
02/2011;154.209,7 ;141.831,6 ;1.603.429,2 ;-;-;-;-;-;-;-;;;;
03/2011;148.073,6 ;136.429,4 ;1.612.317,1 ;-;-;-;-;-;-;-;;;;
04/2011;151.053,1 ;138.594,6 ;1.632.225,5 ;-;-;-;-;-;-;-;;;;
05/2011;152.914,0 ;139.950,1 ;1.650.362,2 ;-;-;-;-;-;-;-;;;;
06/2011;156.796,0 ;143.915,1 ;1.666.447,4 ;-;-;-;-;-;-;-;;;;
07/2011;158.465,5 ;146.741,3 ;1.684.748,4 ;-;-;-;-;-;-;-;;;;
08/2011;160.132,7 ;148.570,0 ;1.698.608,7 ;-;-;-;-;-;-;-;;;;
09/2011;161.451,0 ;149.868,0 ;1.710.881,0 ;-;-;-;-;-;-;-;;;;
10/2011;160.035,2 ;148.498,5 ;1.723.713,7 ;-;-;-;-;-;-;-;;;;
11/2011;162.776,3 ;150.507,4 ;1.742.577,1 ;-;-;-;-;-;-;-;;;;
12/2011;169.667,5 ;156.104,0 ;1.758.949,5 ;-;-;-;-;-;-;-;;;;
01/2012;173.126,8 ;158.593,3 ;1.786.093,1 ;-;-;-;-;-;-;-;;;;
02/2012;174.940,7 ;161.151,1 ;1.810.952,2 ;-;-;-;-;-;-;-;-;-;195.406,00 ;-
03/2012;167.090,8 ;154.170,2 ;1.822.401,3 ;2.221,00 ;2.156,00 ;2.127,00 ;1.347,00 ;1.934,49 ;3.392,00 ;1.731,00;5.904,00 ;2.222,77 ;189.766,00 ;188.785,00
04/2012;169.193,9 ;155.565,0 ;1.837.183,6 ;2.216,00 ;2.168,00 ;2.140,00 ;1.338,00 ;1.942,93 ;3.380,00 ;1.708,00;6.137,00 ;2.227,97 ;189.876,00 ;190.990,00
05/2012;170.682,4 ;156.433,8 ;1.860.449,4 ;2.221,00 ;2.161,00 ;2.138,00 ;1.299,00 ;1.931,93 ;3.375,00 ;1.700,00;6.166,00 ;2.217,78 ;190.578,00 ;190.890,00
06/2012;172.927,8 ;158.883,9 ;1.867.217,7 ;2.231,00 ;2.166,00 ;2.146,00 ;1.308,00 ;1.941,00 ;3.399,00 ;1.695,00;6.093,00 ;2.230,65 ;191.557,00 ;191.589,00
07/2012;175.334,2 ;162.533,1 ;1.879.381,2 ;2.241,00 ;2.176,00 ;2.153,00 ;1.314,00 ;1.947,77 ;3.379,00 ;1.730,00;6.083,00 ;2.233,56 ;192.901,00 ;192.656,00
08/2012;177.768,1 ;165.188,6 ;1.903.999,7 ;2.241,00 ;2.183,00 ;2.149,00 ;1.309,00 ;1.943,51 ;3.365,00 ;1.732,00;6.273,00 ;2.228,48 ;193.553,00 ;193.797,00
09/2012;180.599,7 ;167.939,4 ;1.914.455,7 ;2.243,00 ;2.178,00 ;2.131,00 ;1.307,00 ;1.928,58 ;3.365,00 ;1.735,00;6.340,00 ;2.214,16 ;194.102,00 ;194.142,00
10/2012;180.050,6 ;167.436,9 ;1.932.385,1 ;2.239,00 ;2.175,00 ;2.135,00 ;1.304,00 ;1.931,36 ;3.354,00 ;1.743,00;6.242,00 ;2.212,87 ;194.184,00 ;194.343,00
11/2012;182.766,5 ;169.266,1 ;1.956.118,7 ;2.260,00 ;2.173,00 ;2.145,00 ;1.293,00 ;1.937,25 ;3.372,00 ;1.752,00;6.008,00 ;2.219,37 ;195.934,00 ;194.554,00
12/2012;189.296,1 ;174.597,6 ;1.966.773,3 ;2.371,00 ;2.171,00 ;2.147,00 ;1.266,00 ;1.936,55 ;3.399,00 ;1.770,00;5.819,00 ;2.221,49 ;204.820,00 ;194.232,00
01/2013;191.306,5 ;175.666,4 ;1.983.604,4 ;2.379,00 ;2.177,00 ;2.151,00 ;1.264,00 ;1.940,66 ;3.446,00 ;1.769,00;5.828,00 ;2.229,72 ;204.637,00 ;193.826,00
02/2013;189.188,9 ;174.553,3 ;1.996.325,1 ;2.365,00 ;2.192,00 ;2.154,00 ;1.271,00 ;1.945,28 ;3.451,00 ;1.794,00;5.957,00 ;2.233,37 ;203.081,00 ;194.364,00
03/2013;183.356,5 ;169.753,9 ;2.013.524,3 ;2.263,00 ;2.207,00 ;2.161,00 ;1.298,00 ;1.955,25 ;3.470,00 ;1.788,00;6.119,00 ;2.247,43 ;195.297,00 ;195.110,00
04/2013;186.103,6 ;171.572,9 ;2.031.628,3 ;2.267,00 ;2.213,00 ;2.159,00 ;1.324,00 ;1.960,58 ;3.467,00 ;1.769,00;6.172,00 ;2.255,21 ;196.442,00 ;196.584,00
05/2013;189.168,4 ;173.922,4 ;2.048.790,9 ;2.288,00 ;2.216,00 ;2.165,00 ;1.325,00 ;1.966,83 ;3.470,00 ;1.768,00;6.219,00 ;2.260,68 ;198.858,00 ;197.654,00
06/2013;192.283,8 ;176.862,4 ;2.067.460,0 ;2.306,00 ;2.234,00 ;2.180,00 ;1.345,00 ;1.983,06 ;3.457,00 ;1.786,00;6.260,00 ;2.273,26 ;201.125,00 ;199.913,00
07/2013;193.997,5 ;180.099,5 ;2.084.327,4 ;2.319,00 ;2.250,00 ;2.198,00 ;1.339,00 ;1.997,64 ;3.456,00 ;1.813,00;6.257,00 ;2.285,24 ;202.658,00 ;201.959,00
08/2013;196.436,3 ;182.870,5 ;2.101.836,9 ;2.318,00 ;2.264,00 ;2.211,00 ;1.364,00 ;2.011,99 ;3.470,00 ;1.829,00;6.251,00 ;2.298,92 ;203.118,00 ;203.682,00
09/2013;200.495,1 ;187.000,6 ;2.124.643,6 ;2.327,00 ;2.265,00 ;2.199,00 ;1.367,00 ;2.004,21 ;3.453,00 ;1.837,00;6.461,00 ;2.287,68 ;204.225,00 ;204.197,00
10/2013;200.483,4 ;186.998,4 ;2.143.011,9 ;2.324,00 ;2.271,00 ;2.208,00 ;1.362,00 ;2.011,73 ;3.458,00 ;1.838,00;6.453,00 ;2.293,71 ;204.706,00 ;205.056,00
11/2013;203.133,7 ;188.669,5 ;2.160.047,1 ;2.328,00 ;2.264,00 ;2.198,00 ;1.361,00 ;2.004,84 ;3.473,00 ;1.811,00;6.412,00 ;2.290,67 ;205.406,00 ;205.111,00
