Data;24369 - Taxa de desocupacao - PNADC - %
03/2012;7,9
04/2012;7,7
05/2012;7,6
06/2012;7,5
07/2012;7,4
08/2012;7,3
09/2012;7,1
10/2012;6,9
11/2012;6,8
12/2012;6,9
01/2013;7,2
02/2013;7,7
03/2013;8,0
04/2013;7,8
05/2013;7,6
06/2013;7,4
07/2013;7,3
08/2013;7,1
09/2013;6,9
10/2013;6,7
11/2013;6,5
12/2013;6,2
01/2014;6,4
02/2014;6,7
03/2014;7,2
04/2014;7,1
05/2014;7,0
06/2014;6,8
07/2014;6,9
08/2014;6,9
09/2014;6,8
10/2014;6,6
11/2014;6,5
12/2014;6,5
01/2015;6,8
02/2015;7,4
03/2015;7,9
04/2015;8,0
05/2015;8,1
06/2015;8,3
07/2015;8,5
08/2015;8,7
09/2015;8,9
10/2015;8,9
11/2015;9,0
12/2015;8,9
01/2016;9,5
02/2016;10,2
03/2016;10,9
04/2016;11,2
05/2016;11,2
06/2016;11,3
07/2016;11,6
08/2016;11,8
09/2016;11,8
10/2016;11,8
11/2016;11,8
12/2016;12,0
01/2017;12,6
02/2017;13,2
03/2017;13,7
04/2017;13,6
05/2017;13,3
06/2017;13,0
07/2017;12,8
08/2017;12,6
09/2017;12,4
10/2017;12,2
11/2017;12,0
12/2017;11,8
01/2018;12,2
02/2018;12,6
03/2018;13,1
04/2018;12,9
05/2018;12,7
06/2018;12,4
07/2018;12,3
08/2018;12,1
09/2018;11,9
10/2018;11,7
11/2018;11,6
12/2018;11,6
01/2019;12,0
02/2019;12,4
03/2019;12,7
04/2019;12,5
05/2019;12,3
06/2019;12,0
07/2019;11,8
08/2019;11,8
09/2019;11,8
10/2019;11,6
11/2019;11,2
12/2019;11,0
01/2020;11,2
02/2020;11,6
03/2020;12,2
04/2020;12,6
Fonte;IBGE
