Data;7460 - �ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas - Var. % mensal;7461 - �ndice Nacional de Custo da Constru��o (INCC-DI) - M�o-de-obra - Var. % mensal;7462 - �ndice Nacional de Custo da Constru��o (INCC-DI) - Materiais e servi�os - Var. % mensal
01/1994;45,57 ;-;-
02/1994;45,65 ;-;-
03/1994;48,94 ;-;-
04/1994;36,88 ;-;-
05/1994;38,23 ;-;-
06/1994;48,17 ;-;-
07/1994;41,97 ;-;-
08/1994;13,36 ;-;-
09/1994;5,21 ;-;-
10/1994;5,99 ;-;-
11/1994;2,00 ;-;-
12/1994;-2,83 ;-;-
01/1995;0,78 ;-;-
02/1995;0,23 ;-;-
03/1995;2,23 ;-;-
04/1995;1,88 ;-;-
05/1995;-7,64 ;-;-
06/1995;0,55 ;-;-
07/1995;3,38 ;-;-
08/1995;4,64 ;-;-
09/1995;-9,58 ;-;-
10/1995;-2,37 ;-;-
11/1995;3,94 ;-;-
12/1995;-2,67 ;-;-
01/1996;3,67 ;-;-
02/1996;1,42 ;-;-
03/1996;0,10 ;-;-
04/1996;0,48 ;-;-
05/1996;3,67 ;-;-
06/1996;2,04 ;-;-
07/1996;3,91 ;-;-
08/1996;-1,03 ;-;-
09/1996;0,58 ;-;-
10/1996;0,32 ;-;-
11/1996;0,02 ;-;-
12/1996;1,04 ;-;-
01/1997;4,40 ;0,19 ;0,45
02/1997;0,32 ;0,14 ;0,80
03/1997;4,55 ;1,14 ;0,38
04/1997;0,79 ;0,52 ;-0,03
05/1997;0,08 ;1,42 ;0,37
06/1997;0,11 ;1,80 ;0,49
07/1997;-1,33 ;0,91 ;0,14
08/1997;-0,50 ;2,17 ;0,26
09/1997;2,39 ;0,31 ;0,22
10/1997;0,83 ;0,14 ;0,17
11/1997;2,59 ;0,54 ;0,55
12/1997;2,38 ;0,18 ;0,28
01/1998;1,71 ;0,28 ;0,38
02/1998;-0,62 ;0,35 ;0,61
03/1998;0,20 ;0,56 ;0,38
04/1998;-0,70 ;-1,26 ;0,21
05/1998;0,16 ;1,58 ;0,41
06/1998;0,15 ;0,64 ;0,16
07/1998;-1,38 ;0,64 ;0,05
08/1998;0,35 ;0,42 ;0,02
09/1998;0,82 ;0,08 ;-0,05
10/1998;-0,39 ;0,03 ;-0,02
11/1998;-0,10 ;0,00 ;-0,10
12/1998;4,76 ;0,05 ;0,04
01/1999;1,10 ;0,48 ;0,61
02/1999;9,12 ;0,57 ;1,37
03/1999;2,31 ;0,15 ;0,94
04/1999;-3,30 ;0,21 ;0,81
05/1999;-4,04 ;1,70 ;0,08
06/1999;2,34 ;0,67 ;0,15
07/1999;1,53 ;0,47 ;0,45
08/1999;2,15 ;0,19 ;1,18
09/1999;2,83 ;0,11 ;1,57
10/1999;3,50 ;0,14 ;1,83
11/1999;6,70 ;0,19 ;1,58
12/1999;2,91 ;0,53 ;1,51
01/2000;1,11 ;0,34 ;1,73
02/2000;-1,13 ;0,53 ;0,99
03/2000;-1,58 ;0,35 ;0,74
04/2000;-0,82 ;0,83 ;0,39
05/2000;0,63 ;2,40 ;0,42
06/2000;3,40 ;1,27 ;0,25
07/2000;3,51 ;0,24 ;0,35
08/2000;4,55 ;0,17 ;0,58
09/2000;2,03 ;0,01 ;0,48
10/2000;0,80 ;0,26 ;0,40
11/2000;-0,07 ;0,44 ;0,39
12/2000;0,17 ;0,22 ;1,02
01/2001;-0,62 ;0,55 ;0,61
02/2001;0,30 ;0,17 ;0,51
03/2001;3,03 ;0,00 ;0,53
04/2001;3,80 ;0,45 ;0,28
05/2001;-0,64 ;3,38 ;0,93
06/2001;2,93 ;1,65 ;0,70
07/2001;2,01 ;0,08 ;0,94
08/2001;1,33 ;0,00 ;1,22
09/2001;-0,21 ;0,00 ;1,07
10/2001;1,74 ;1,04 ;0,83
11/2001;0,93 ;0,69 ;0,78
12/2001;0,48 ;0,08 ;0,58
01/2002;0,37 ;0,00 ;0,70
02/2002;-0,44 ;0,69 ;0,47
03/2002;-0,49 ;0,75 ;0,35
04/2002;-0,71 ;0,35 ;0,31
05/2002;0,85 ;4,70 ;0,51
06/2002;4,57 ;0,69 ;0,45
07/2002;4,39 ;0,00 ;0,58
08/2002;5,48 ;0,69 ;1,31
09/2002;5,86 ;0,00 ;1,39
10/2002;8,65 ;0,44 ;1,79
11/2002;8,42 ;0,80 ;3,99
12/2002;3,03 ;0,00 ;3,25
01/2003;1,16 ;0,00 ;2,84
02/2003;1,20 ;1,03 ;1,71
03/2003;0,32 ;0,99 ;1,71
04/2003;-0,99 ;0,00 ;1,67
05/2003;-3,08 ;5,14 ;0,91
06/2003;-1,04 ;1,84 ;0,37
07/2003;-0,42 ;1,57 ;0,49
08/2003;1,77 ;2,73 ;0,30
09/2003;3,55 ;0,11 ;0,31
10/2003;1,30 ;1,00 ;0,35
11/2003;0,26 ;1,81 ;0,33
12/2003;0,58 ;0,00 ;0,31
01/2004;-0,34 ;0,00 ;0,62
02/2004;-0,76 ;0,97 ;1,02
03/2004;1,48 ;0,91 ;1,38
04/2004;0,80 ;0,00 ;1,12
05/2004;2,71 ;2,05 ;1,63
06/2004;0,52 ;0,59 ;0,80
07/2004;0,26 ;1,01 ;1,23
08/2004;0,53 ;0,00 ;1,53
09/2004;-0,64 ;0,00 ;1,09
10/2004;-2,73 ;0,28 ;1,99
11/2004;0,14 ;0,00 ;1,33
12/2004;0,75 ;0,23 ;0,75
01/2005;-0,63 ;0,62 ;0,87
02/2005;1,29 ;0,00 ;0,82
03/2005;3,59 ;0,55 ;0,78
04/2005;-1,60 ;0,80 ;0,65
05/2005;-2,76 ;4,14 ;0,36
06/2005;-0,98 ;1,47 ;0,15
07/2005;-1,60 ;0,13 ;0,10
08/2005;-2,47 ;0,00 ;0,03
09/2005;-3,17 ;0,18 ;0,30
10/2005;0,80 ;0,00 ;0,36
11/2005;0,62 ;0,24 ;0,32
12/2005;0,61 ;0,57 ;0,20
01/2006;0,64 ;0,00 ;0,65
02/2006;-0,77 ;0,04 ;0,31
03/2006;-3,23 ;0,34 ;0,09
04/2006;-0,85 ;0,47 ;0,26
05/2006;-0,25 ;2,40 ;0,38
06/2006;1,66 ;1,32 ;0,53
07/2006;0,45 ;0,72 ;0,25
08/2006;1,19 ;0,14 ;0,32
09/2006;1,20 ;0,04 ;0,18
10/2006;5,18 ;0,04 ;0,35
11/2006;2,39 ;0,12 ;0,33
12/2006;-0,66 ;0,25 ;0,46
01/2007;1,07 ;0,32 ;0,57
02/2007;1,08 ;0,00 ;0,40
03/2007;-0,18 ;0,36 ;0,19
04/2007;-2,44 ;0,44 ;0,47
05/2007;-1,94 ;1,81 ;0,57
06/2007;0,67 ;1,57 ;0,34
07/2007;1,79 ;0,20 ;0,40
08/2007;6,15 ;0,27 ;0,25
09/2007;5,27 ;0,26 ;0,73
10/2007;2,73 ;0,11 ;0,87
11/2007;4,32 ;0,14 ;0,56
12/2007;4,27 ;0,67 ;0,51
01/2008;1,60 ;0,13 ;0,60
02/2008;-0,19 ;0,01 ;0,75
03/2008;0,46 ;0,32 ;0,96
04/2008;0,08 ;0,88 ;0,86
05/2008;2,47 ;2,50 ;1,61
06/2008;3,88 ;2,25 ;1,64
07/2008;1,14 ;1,14 ;1,74
08/2008;-5,09 ;0,11 ;2,13
09/2008;-0,46 ;0,27 ;1,53
10/2008;-0,02 ;0,12 ;1,34
11/2008;-0,64 ;0,22 ;0,73
12/2008;-1,30 ;0,00 ;0,32
01/2009;2,07 ;0,28 ;0,38
02/2009;-0,36 ;0,23 ;0,30
03/2009;-2,37 ;0,10 ;-0,55
04/2009;1,36 ;0,58 ;-0,57
05/2009;0,58 ;3,49 ;-0,41
06/2009;0,34 ;1,51 ;-0,01
07/2009;-2,57 ;0,65 ;-0,09
08/2009;0,01 ;0,15 ;-0,24
09/2009;-0,76 ;0,12 ;0,17
10/2009;-0,25 ;0,02 ;0,10
11/2009;0,06 ;0,40 ;0,19
12/2009;-1,21 ;-0,01 ;0,19
01/2010;-0,32 ;0,68 ;0,60
02/2010;1,46 ;0,21 ;0,50
03/2010;2,33 ;1,05 ;0,48
04/2010;1,51 ;1,07 ;0,63
05/2010;0,19 ;3,13 ;0,60
06/2010;0,46 ;1,30 ;0,90
07/2010;-0,10 ;0,46 ;0,43
08/2010;2,68 ;0,03 ;0,23
09/2010;5,15 ;0,01 ;0,39
10/2010;4,13 ;0,20 ;0,19
11/2010;5,56 ;0,55 ;0,20
12/2010;0,18 ;1,28 ;0,09
01/2011;1,90 ;0,12 ;0,69
02/2011;2,60 ;0,02 ;0,53
03/2011;1,08 ;0,37 ;0,49
04/2011;-0,66 ;1,74 ;0,42
05/2011;-3,19 ;5,48 ;0,51
06/2011;-1,11 ;0,36 ;0,38
07/2011;-0,31 ;0,59 ;0,30
08/2011;1,64 ;0,04 ;0,22
09/2011;1,85 ;0,01 ;0,28
10/2011;-0,62 ;0,16 ;0,30
11/2011;0,54 ;1,19 ;0,24
12/2011;-0,47 ;0,01 ;0,21
01/2012;1,07 ;1,34 ;0,45
02/2012;0,01 ;0,10 ;0,50
03/2012;1,22 ;0,69 ;0,32
04/2012;1,04 ;0,97 ;0,52
05/2012;0,67 ;3,38 ;0,35
06/2012;0,99 ;1,03 ;0,41
07/2012;5,31 ;0,82 ;0,51
08/2012;5,19 ;0,13 ;0,39
09/2012;1,98 ;0,00 ;0,46
10/2012;-1,34 ;0,01 ;0,42
11/2012;0,48 ;0,41 ;0,25
12/2012;1,27 ;0,13 ;0,19
01/2013;-1,62 ;0,66 ;0,63
02/2013;-0,48 ;0,77 ;0,44
03/2013;-0,72 ;0,52 ;0,48
04/2013;-2,69 ;0,95 ;0,50
05/2013;-0,75 ;3,77 ;0,64
06/2013;1,46 ;1,74 ;0,50
07/2013;-0,27 ;0,55 ;0,40
08/2013;0,36 ;0,00 ;0,66
09/2013;2,04 ;0,00 ;0,91
10/2013;0,42 ;0,00 ;0,55
11/2013;0,20 ;0,45 ;0,24
12/2013;0,39 ;0,00 ;0,21
01/2014;-1,57 ;1,19 ;0,54
02/2014;1,72 ;0,06 ;0,62
03/2014;5,58 ;0,01 ;0,57
04/2014;1,30 ;0,99 ;0,77
05/2014;-2,46 ;3,42 ;0,57
06/2014;-2,97 ;0,99 ;0,30
07/2014;-2,81 ;1,11 ;0,34
08/2014;0,39 ;0,00 ;0,16
09/2014;-0,40 ;0,00 ;0,33
10/2014;2,25 ;0,00 ;0,37
11/2014;2,93 ;0,46 ;0,42
12/2014;0,72 ;0,00 ;0,18
01/2015;0,70 ;0,87 ;0,97
02/2015;1,12 ;0,21 ;0,42
03/2015;2,10 ;0,53 ;0,73
04/2015;0,03 ;0,11 ;0,84
05/2015;-1,15 ;1,18 ;0,70
06/2015;0,15 ;3,28 ;0,23
07/2015;1,02 ;0,80 ;0,26
08/2015;0,58 ;0,87 ;0,27
09/2015;3,40 ;0,00 ;0,47
10/2015;2,75 ;0,00 ;0,77
11/2015;2,48 ;0,00 ;0,72
12/2015;1,51 ;0,02 ;0,20
01/2016;2,58 ;0,27 ;0,53
02/2016;2,02 ;0,56 ;0,51
03/2016;1,28 ;0,97 ;0,26
04/2016;1,14 ;0,72 ;0,35
05/2016;3,31 ;0,09 ;0,07
06/2016;5,58 ;3,43 ;0,23
07/2016;-2,01 ;0,90 ;0,02
08/2016;0,88 ;0,30 ;0,29
09/2016;-1,56 ;0,48 ;0,15
10/2016;-0,40 ;0,39 ;0,00
11/2016;-1,87 ;0,37 ;-0,09
12/2016;-1,16 ;0,54 ;0,12
01/2017;-2,05 ;0,28 ;0,57
02/2017;-0,67 ;0,78 ;0,50
03/2017;-2,09 ;0,33 ;-0,04
04/2017;-4,10 ;0,00 ;-0,05
05/2017;-0,72 ;1,16 ;0,00
06/2017;-2,88 ;1,70 ;-0,01
07/2017;-1,42 ;0,49 ;0,07
08/2017;-1,81 ;0,33 ;0,39
09/2017;0,75 ;-0,08 ;0,24
10/2017;0,37 ;0,01 ;0,67
11/2017;0,85 ;0,05 ;0,63
12/2017;0,81 ;0,05 ;0,11
01/2018;-0,52 ;0,00 ;0,69
02/2018;0,59 ;0,00 ;0,28
03/2018;3,39 ;0,03 ;0,50
04/2018;2,18 ;0,27 ;0,31
05/2018;1,50 ;0,10 ;0,39
06/2018;1,19 ;1,12 ;0,79
07/2018;-0,69 ;0,23 ;1,08
08/2018;1,90 ;0,00 ;0,33
09/2018;2,11 ;0,06 ;0,44
10/2018;-1,08 ;0,16 ;0,57
11/2018;-2,41 ;0,00 ;0,29
12/2018;-0,73 ;0,06 ;0,23
01/2019;-0,88 ;0,40 ;0,60
02/2019;4,38 ;0,04 ;0,15
03/2019;3,02 ;0,12 ;0,54
04/2019;-0,41 ;0,20 ;0,58
05/2019;-2,28 ;0,01 ;0,06
06/2019;2,24 ;1,57 ;0,09
07/2019;-2,08 ;0,84 ;0,26
08/2019;0,93 ;0,69 ;0,10
09/2019;1,06 ;0,64 ;0,26
10/2019;1,53 ;0,00 ;0,40
11/2019;4,50 ;0,00 ;0,08
12/2019;4,39 ;0,32 ;0,07
01/2020;-0,88 ;0,06 ;0,76
02/2020;1,88 ;0,21 ;0,47
03/2020;3,96 ;0,21 ;0,31
04/2020;1,62 ;0,00 ;0,48
05/2020;1,56 ;0,00 ;0,44
Fonte;FGV;FGV;FGV
