Data;188;193;194;433;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;1645;1646;1647;1648;1649;1650;1651;1652;4447;4448;4449;4451;4452;4453;4454;4458;4460;4461;7465;7466;7467;7468;7469;7470;7471;7472;7473;7474;7475;10841;10842;10843;27863;27864
02/1939;-;-1,52 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/1939;-;2,48 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/1939;-;1,81 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/1939;-;0,00 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/1939;-;-0,30 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/1939;-;-0,89 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/1939;-;0,70 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/1939;-;-0,99 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/1939;-;1,31 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/1939;-;0,30 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/1939;-;-1,38 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/1940;-;4,81 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/1940;-;-0,67 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/1940;-;1,73 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/1940;-;-0,09 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/1940;-;0,28 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/1940;-;1,04 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/1940;-;-0,56 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/1940;-;0,28 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/1940;-;0,09 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/1940;-;1,59 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/1940;-;2,30 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/1940;-;-1,71 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/1941;-;2,66 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/1941;-;4,29 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/1941;-;-3,34 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/1941;-;1,24 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/1941;-;3,76 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/1941;-;2,53 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/1941;-;-1,56 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/1941;-;1,34 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/1941;-;0,82 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/1941;-;-1,39 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/1941;-;1,99 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/1941;-;-1,30 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/1942;-;-0,91 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/1942;-;0,50 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/1942;-;-0,17 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/1942;-;4,81 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/1942;-;1,90 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/1942;-;3,57 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/1942;-;2,92 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/1942;-;1,31 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/1942;-;2,08 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/1942;-;-1,20 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/1942;-;0,28 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/1942;-;-0,21 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/1943;-;1,85 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/1943;-;1,40 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/1943;-;-0,14 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/1943;-;3,11 ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
