Data;7495 - SINAPI - Var. % mensal
01/1990;52,63
02/1990;70,39
03/1990;80,16
04/1990;15,92
05/1990;-1,56
06/1990;5,14
07/1990;9,05
08/1990;15,36
09/1990;8,55
10/1990;9,29
11/1990;9,96
12/1990;14,02
01/1991;13,81
02/1991;20,51
03/1991;8,11
04/1991;6,76
05/1991;8,97
06/1991;13,83
07/1991;13,03
08/1991;17,96
09/1991;18,47
10/1991;23,53
11/1991;25,73
12/1991;26,89
01/1992;20,59
02/1992;32,01
03/1992;25,57
04/1992;20,70
05/1992;20,13
06/1992;24,64
07/1992;20,00
08/1992;19,92
09/1992;30,54
10/1992;19,63
11/1992;22,84
12/1992;23,23
01/1993;33,88
02/1993;26,87
03/1993;25,22
04/1993;28,89
05/1993;27,55
06/1993;33,26
07/1993;29,61
08/1993;26,87
09/1993;34,69
10/1993;33,73
11/1993;37,25
12/1993;34,60
01/1994;42,64
02/1994;40,48
03/1994;51,31
04/1994;47,43
05/1994;42,63
06/1994;46,16
07/1994;2,83
08/1994;-0,69
09/1994;-1,13
10/1994;0,14
11/1994;0,85
12/1994;1,96
01/1995;1,60
02/1995;1,86
03/1995;2,03
04/1995;2,90
05/1995;2,18
06/1995;5,44
07/1995;1,82
08/1995;0,70
09/1995;0,31
10/1995;0,29
11/1995;0,34
12/1995;0,78
01/1996;0,73
02/1996;0,31
03/1996;0,49
04/1996;0,24
05/1996;0,37
06/1996;1,70
07/1996;0,23
08/1996;0,22
09/1996;0,11
10/1996;-0,17
11/1996;0,38
12/1996;0,22
01/1997;0,54
02/1997;0,62
03/1997;0,34
04/1997;0,53
05/1997;0,39
06/1997;1,07
07/1997;0,04
08/1997;0,19
09/1997;-0,21
10/1997;0,11
11/1997;0,21
12/1997;0,33
01/1998;-0,11
02/1998;-0,01
03/1998;0,16
04/1998;0,51
05/1998;0,53
06/1998;0,11
07/1998;0,25
08/1998;0,01
09/1998;-0,05
10/1998;0,14
11/1998;-0,14
12/1998;0,17
01/1999;0,04
02/1999;1,00
03/1999;0,69
04/1999;0,54
05/1999;0,99
06/1999;0,17
07/1999;0,29
08/1999;0,35
09/1999;0,43
10/1999;0,70
11/1999;1,51
12/1999;0,91
01/2000;1,02
02/2000;0,20
03/2000;0,95
04/2000;0,32
05/2000;0,30
06/2000;0,87
07/2000;0,77
08/2000;0,49
09/2000;0,25
10/2000;0,15
11/2000;0,35
12/2000;0,34
01/2001;0,86
02/2001;0,28
03/2001;0,67
04/2001;0,39
05/2001;0,43
06/2001;1,43
07/2001;1,11
08/2001;0,62
09/2001;0,80
10/2001;0,73
11/2001;0,49
12/2001;0,79
01/2002;0,64
02/2002;0,38
03/2002;0,87
04/2002;0,42
05/2002;1,04
06/2002;1,14
07/2002;0,55
08/2002;0,76
09/2002;1,25
10/2002;0,86
11/2002;1,86
12/2002;2,91
01/2003;1,84
02/2003;1,21
03/2003;1,19
04/2003;1,21
05/2003;2,04
06/2003;1,53
07/2003;0,94
08/2003;1,02
09/2003;0,42
10/2003;0,60
11/2003;1,11
12/2003;0,36
01/2004;0,49
02/2004;0,82
03/2004;0,80
04/2004;0,57
05/2004;1,43
06/2004;0,74
07/2004;0,94
08/2004;1,07
09/2004;0,69
10/2004;0,74
11/2004;1,07
12/2004;1,08
01/2005;0,71
02/2005;0,65
03/2005;0,47
04/2005;0,79
05/2005;1,47
06/2005;0,68
07/2005;0,52
08/2005;0,34
09/2005;0,14
10/2005;0,26
11/2005;0,26
12/2005;0,48
01/2006;0,43
02/2006;0,31
03/2006;0,20
04/2006;0,42
05/2006;1,20
06/2006;0,52
07/2006;0,41
08/2006;0,28
09/2006;0,24
10/2006;0,22
11/2006;0,35
12/2006;0,45
01/2007;0,27
02/2007;0,41
03/2007;0,62
04/2007;0,41
05/2007;0,90
06/2007;0,53
07/2007;0,41
08/2007;0,29
09/2007;0,42
10/2007;0,43
11/2007;0,48
12/2007;0,76
01/2008;0,44
02/2008;0,43
03/2008;0,84
04/2008;0,37
05/2008;1,87
06/2008;1,24
07/2008;1,03
08/2008;1,28
09/2008;1,30
10/2008;0,95
11/2008;0,81
12/2008;0,62
01/2009;0,39
02/2009;0,32
03/2009;0,94
04/2009;0,32
05/2009;1,30
06/2009;0,35
07/2009;0,48
08/2009;0,20
09/2009;0,20
10/2009;0,33
11/2009;0,33
12/2009;0,54
01/2010;0,42
02/2010;0,43
03/2010;0,76
04/2010;0,37
05/2010;1,61
06/2010;0,66
07/2010;0,74
08/2010;0,31
09/2010;0,35
10/2010;0,51
11/2010;0,69
12/2010;0,26
01/2011;0,27
02/2011;0,39
03/2011;0,52
04/2011;0,48
05/2011;1,50
06/2011;0,60
07/2011;0,55
08/2011;0,14
09/2011;0,19
10/2011;0,38
11/2011;0,37
12/2011;0,12
01/2012;0,59
02/2012;0,31
03/2012;0,31
