Data;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice
01/2003;100,43
02/2003;102,03
03/2003;102,06
04/2003;100,92
05/2003;99,79
06/2003;100,31
07/2003;99,05
08/2003;99,77
09/2003;101,71
10/2003;101,87
11/2003;101,98
12/2003;101,54
01/2004;103,55
02/2004;104,52
03/2004;105,97
04/2004;106,42
05/2004;106,30
06/2004;107,26
07/2004;107,82
08/2004;108,20
09/2004;109,43
10/2004;108,75
11/2004;109,63
12/2004;108,75
01/2005;109,54
02/2005;110,20
03/2005;110,46
04/2005;110,97
05/2005;110,92
06/2005;110,63
07/2005;110,66
08/2005;111,25
09/2005;110,91
10/2005;111,08
11/2005;111,81
12/2005;112,32
01/2006;113,34
02/2006;113,63
03/2006;113,57
04/2006;114,29
05/2006;115,63
06/2006;114,73
07/2006;116,94
08/2006;116,64
09/2006;116,82
10/2006;118,06
11/2006;118,85
12/2006;119,92
01/2007;119,64
02/2007;120,17
03/2007;119,44
04/2007;121,20
05/2007;122,35
06/2007;123,41
07/2007;124,25
08/2007;124,34
09/2007;125,34
10/2007;126,26
11/2007;126,15
12/2007;126,89
01/2008;127,23
02/2008;126,74
03/2008;126,45
04/2008;127,81
05/2008;129,42
06/2008;131,13
07/2008;130,94
08/2008;131,08
09/2008;130,86
10/2008;128,14
11/2008;124,93
12/2008;120,85
01/2009;120,90
02/2009;122,19
03/2009;122,97
04/2009;123,66
05/2009;124,89
06/2009;125,89
07/2009;126,26
08/2009;128,14
09/2009;129,12
10/2009;129,84
11/2009;129,99
12/2009;131,27
01/2010;133,60
02/2010;135,18
03/2010;136,53
04/2010;137,16
05/2010;136,44
06/2010;136,19
07/2010;136,95
08/2010;137,75
09/2010;139,31
10/2010;138,71
11/2010;140,07
12/2010;138,23
01/2011;140,17
02/2011;140,73
03/2011;141,12
04/2011;140,89
05/2011;141,25
06/2011;142,16
07/2011;142,21
08/2011;141,97
09/2011;141,82
10/2011;141,61
11/2011;142,25
12/2011;140,49
01/2012;138,90
02/2012;140,41
03/2012;140,07
04/2012;141,01
05/2012;142,64
06/2012;143,56
07/2012;143,89
08/2012;144,36
09/2012;143,73
10/2012;144,85
11/2012;144,60
12/2012;144,16
01/2013;144,97
02/2013;143,86
03/2013;144,96
04/2013;146,25
05/2013;146,84
06/2013;146,33
07/2013;146,96
08/2013;147,17
09/2013;148,06
10/2013;148,05
11/2013;148,37
12/2013;148,71
01/2014;148,30
02/2014;147,96
03/2014;147,83
04/2014;146,98
05/2014;146,26
06/2014;143,52
07/2014;144,65
08/2014;145,64
09/2014;146,14
10/2014;145,49
11/2014;145,64
12/2014;146,21
01/2015;145,30
02/2015;144,36
03/2015;144,01
04/2015;142,48
05/2015;141,17
06/2015;139,87
07/2015;138,83
08/2015;139,11
09/2015;137,89
10/2015;138,85
11/2015;136,92
12/2015;136,41
01/2016;135,65
02/2016;135,55
03/2016;134,63
04/2016;134,69
05/2016;134,04
06/2016;134,65
07/2016;134,34
08/2016;133,82
09/2016;133,71
10/2016;133,25
11/2016;133,08
12/2016;132,30
01/2017;133,65
02/2017;135,99
03/2017;135,78
04/2017;135,81
05/2017;134,86
06/2017;135,98
07/2017;136,41
08/2017;135,72
09/2017;135,58
10/2017;135,64
11/2017;135,94
12/2017;137,71
01/2018;137,26
02/2018;137,29
03/2018;137,22
04/2018;138,34
05/2018;132,91
06/2018;137,30
07/2018;138,09
08/2018;139,23
09/2018;138,15
10/2018;137,86
11/2018;138,38
12/2018;138,75
01/2019;139,18
02/2019;137,61
03/2019;137,41
04/2019;137,17
05/2019;138,01
06/2019;138,39
07/2019;138,11
08/2019;138,70
09/2019;139,35
10/2019;139,72
11/2019;139,62
12/2019;139,18
01/2020;139,35
02/2020;139,84
03/2020;131,26
04/2020;118,86
05/2020;120,42
Fonte;BCB-Depec
