Data;28555 - Vendas industriais reais (2016=100) - CNI - Dados dessazonalizados - Índice;28559 - Salário real na indústria de transformação (2016=100) - Dados dessazonalizados - Índice;28560 - Massa salarial real – indústria de transformação (2016=100) - Dados dessazonalizados - Índice
01/2012;121,10 ;109,80 ;124,90
02/2012;120,40 ;111,00 ;125,80
03/2012;123,10 ;112,50 ;127,30
04/2012;120,40 ;111,20 ;126,30
05/2012;122,50 ;112,50 ;127,50
06/2012;124,80 ;110,90 ;126,00
07/2012;123,70 ;113,00 ;127,70
08/2012;127,50 ;112,10 ;127,20
09/2012;124,40 ;111,60 ;126,70
10/2012;126,30 ;111,30 ;126,50
11/2012;127,10 ;111,90 ;127,20
12/2012;130,40 ;112,40 ;127,60
01/2013;127,80 ;110,20 ;125,20
02/2013;122,40 ;111,70 ;126,60
03/2013;128,00 ;112,60 ;127,80
04/2013;132,00 ;113,30 ;129,40
05/2013;128,60 ;114,50 ;130,20
06/2013;131,30 ;113,20 ;129,60
07/2013;129,30 ;113,90 ;130,10
08/2013;132,40 ;113,40 ;130,00
09/2013;130,10 ;114,50 ;131,80
10/2013;127,60 ;113,40 ;130,60
11/2013;128,20 ;115,00 ;131,80
12/2013;127,30 ;114,10 ;130,90
01/2014;129,40 ;115,50 ;132,80
02/2014;132,50 ;117,00 ;134,40
03/2014;124,10 ;116,30 ;133,10
04/2014;128,80 ;114,60 ;131,40
05/2014;128,60 ;114,30 ;130,80
06/2014;121,50 ;113,30 ;129,50
07/2014;123,30 ;114,90 ;130,40
08/2014;123,90 ;115,20 ;130,30
09/2014;126,00 ;115,30 ;129,60
10/2014;128,20 ;115,60 ;129,40
11/2014;126,00 ;116,10 ;129,00
12/2014;123,90 ;115,50 ;128,40
01/2015;121,90 ;116,70 ;129,80
02/2015;121,70 ;118,20 ;130,00
03/2015;123,10 ;116,50 ;127,30
04/2015;116,60 ;115,10 ;125,10
05/2015;116,90 ;113,60 ;122,80
06/2015;114,50 ;114,70 ;123,20
07/2015;114,60 ;113,90 ;121,20
08/2015;114,60 ;115,20 ;120,80
09/2015;114,70 ;114,10 ;119,20
10/2015;112,10 ;114,20 ;117,80
11/2015;107,70 ;116,80 ;118,70
12/2015;106,80 ;117,90 ;118,90
01/2016;108,10 ;115,50 ;116,30
02/2016;107,40 ;114,50 ;114,40
03/2016;106,50 ;114,40 ;113,70
04/2016;107,30 ;115,30 ;114,20
05/2016;101,50 ;114,60 ;113,10
06/2016;104,00 ;113,70 ;112,00
07/2016;101,20 ;112,60 ;110,90
08/2016;96,50 ;112,70 ;110,50
09/2016;95,90 ;116,30 ;114,10
10/2016;94,00 ;114,30 ;110,90
11/2016;97,30 ;114,50 ;110,20
12/2016;96,90 ;113,30 ;109,60
01/2017;97,70 ;113,40 ;109,20
02/2017;98,00 ;113,00 ;108,20
03/2017;102,50 ;115,00 ;109,70
04/2017;97,70 ;116,00 ;110,30
05/2017;101,90 ;116,40 ;111,10
06/2017;98,50 ;118,10 ;112,60
07/2017;102,40 ;115,60 ;111,00
08/2017;101,10 ;117,80 ;112,40
09/2017;101,60 ;115,00 ;110,40
10/2017;103,70 ;115,40 ;110,40
11/2017;103,60 ;114,70 ;109,70
12/2017;103,70 ;112,80 ;108,80
01/2018;102,40 ;113,00 ;109,20
02/2018;101,50 ;114,30 ;110,10
03/2018;103,10 ;115,40 ;110,40
04/2018;103,80 ;115,20 ;110,30
05/2018;85,00 ;113,20 ;108,60
06/2018;109,30 ;113,00 ;108,20
07/2018;104,60 ;112,40 ;108,00
08/2018;105,60 ;112,50 ;107,50
09/2018;103,80 ;112,00 ;107,40
10/2018;101,20 ;112,80 ;107,50
11/2018;102,50 ;111,60 ;106,40
12/2018;104,10 ;114,80 ;110,50
01/2019;101,60 ;111,50 ;107,90
02/2019;101,90 ;110,90 ;106,70
03/2019;99,10 ;111,50 ;106,90
04/2019;101,50 ;112,60 ;108,00
05/2019;98,90 ;113,20 ;108,30
06/2019;99,40 ;112,40 ;107,10
07/2019;100,40 ;112,00 ;107,10
08/2019;101,00 ;111,60 ;106,20
09/2019;101,70 ;111,50 ;106,30
10/2019;103,30 ;111,50 ;105,60
11/2019;102,70 ;111,50 ;105,60
12/2019;101,10 ;109,80 ;105,20
01/2020;103,20 ;109,60 ;105,10
02/2020;103,60 ;109,30 ;104,40
03/2020;99,30 ;115,80 ;109,90
04/2020;76,00 ;107,70 ;99,90
05/2020;84,70 ;100,70 ;91,80
Fonte;CNI;CNI;CNI
