Data;191 - Índice de preços ao consumidor-Brasil (IPC-Br) - Var. % mensal;225 - Índice de preços ao produtor amplo - Var. % mensal
02/1944;-;0,00
03/1944;-;-0,52
04/1944;-;2,95
05/1944;-;0,16
06/1944;-;1,86
07/1944;-;1,48
08/1944;-;1,79
09/1944;-;2,56
10/1944;-;0,00
11/1944;-;-0,32
12/1944;-;0,47
01/1945;-;4,05
02/1945;-;1,94
03/1945;-;-0,44
04/1945;-;-0,73
05/1945;-;2,37
06/1945;-;0,87
07/1945;-;1,72
08/1945;-;-0,85
09/1945;-;0,00
10/1945;-;0,85
11/1945;-;-0,15
12/1945;-;0,00
01/1946;-;1,98
02/1946;-;0,97
03/1946;-;1,79
04/1946;-;1,62
05/1946;-;1,45
06/1946;-;3,01
07/1946;-;2,41
08/1946;-;1,86
09/1946;-;0,37
10/1946;-;1,21
11/1946;-;0,00
12/1946;-;1,45
01/1947;-;1,89
02/1947;-;0,69
03/1947;-;0,11
04/1947;-;-1,03
05/1947;-;0,24
06/1947;-;-0,24
07/1947;-;-1,39
08/1947;-;-0,94
09/1947;-;0,36
10/1947;-;0,94
11/1947;-;2,00
12/1947;-;0,11
01/1948;-;1,84
02/1948;-;3,85
03/1948;-;0,00
04/1948;-;-1,20
05/1948;-;-0,66
06/1948;-;1,33
07/1948;-;-0,76
08/1948;-;2,31
09/1948;-;-0,11
10/1948;-;0,32
11/1948;-;0,43
12/1948;-;-0,32
01/1949;-;2,57
02/1949;-;0,64
03/1949;-;-0,63
04/1949;-;0,32
05/1949;-;-1,67
06/1949;-;-0,43
07/1949;-;0,75
08/1949;-;0,84
09/1949;-;1,47
10/1949;-;0,62
11/1949;-;1,03
12/1949;-;-0,41
01/1950;-;-1,02
02/1950;-;-2,16
03/1950;-;-1,90
04/1950;-;-1,40
05/1950;-;0,22
06/1950;-;1,19
07/1950;-;3,66
08/1950;-;3,21
09/1950;-;1,51
10/1950;-;3,96
11/1950;-;1,90
12/1950;-;1,87
01/1951;-;2,76
02/1951;-;0,89
03/1951;-;1,77
04/1951;-;2,61
05/1951;-;1,70
06/1951;-;-0,83
07/1951;-;-1,68
08/1951;-;1,71
09/1951;-;0,84
10/1951;-;3,33
11/1951;-;1,61
12/1951;-;1,59
01/1952;-;4,69
02/1952;-;-2,24
03/1952;-;-0,76
04/1952;-;2,31
05/1952;-;-0,75
06/1952;-;0,00
07/1952;-;2,28
08/1952;-;0,74
09/1952;-;-1,47
10/1952;-;1,49
11/1952;-;2,94
12/1952;-;0,00
01/1953;-;0,71
02/1953;-;1,41
03/1953;-;0,70
04/1953;-;-0,69
05/1953;-;0,00
06/1953;-;2,10
07/1953;-;10,96
08/1953;-;0,00
09/1953;-;1,24
10/1953;-;1,22
11/1953;-;3,02
12/1953;-;2,34
01/1954;-;0,08
02/1954;-;1,05
03/1954;-;0,00
04/1954;-;3,63
05/1954;-;1,50
06/1954;-;3,45
07/1954;-;1,43
08/1954;-;1,88
09/1954;-;2,30
10/1954;-;0,90
11/1954;-;2,23
12/1954;-;1,75
01/1955;-;3,00
02/1955;-;-0,83
03/1955;-;0,84
04/1955;-;2,08
05/1955;-;-0,41
06/1955;-;0,82
07/1955;-;1,63
08/1955;-;2,40
09/1955;-;2,34
10/1955;-;1,15
11/1955;-;1,13
12/1955;-;1,12
01/1956;-;-0,37
02/1956;-;1,85
03/1956;-;1,82
04/1956;-;2,50
05/1956;-;2,79
06/1956;-;3,39
07/1956;-;2,29
08/1956;-;2,24
09/1956;-;2,51
10/1956;-;2,45
11/1956;-;1,19
12/1956;-;0,59
01/1957;-;4,99
02/1957;-;-0,28
03/1957;-;-0,28
04/1957;-;-1,97
05/1957;-;-0,29
06/1957;-;-0,57
07/1957;-;0,87
08/1957;-;1,15
09/1957;-;-0,57
10/1957;-;-0,57
11/1957;-;0,86
12/1957;-;0,57
01/1958;-;1,13
02/1958;-;0,28
03/1958;-;1,11
04/1958;-;2,20
05/1958;-;2,70
06/1958;-;1,05
07/1958;-;1,82
08/1958;-;3,83
09/1958;-;3,69
10/1958;-;4,98
11/1958;-;6,32
12/1958;-;1,91
01/1959;-;3,33
02/1959;-;6,85
03/1959;-;0,38
04/1959;-;2,26
05/1959;-;1,65
06/1959;-;1,45
07/1959;-;0,89
08/1959;-;4,59
09/1959;-;2,87
10/1959;-;2,13
11/1959;-;3,22
12/1959;-;1,56
01/1960;-;2,15
02/1960;-;4,20
03/1960;-;1,44
04/1960;-;1,14
05/1960;-;0,14
06/1960;-;0,70
07/1960;-;1,81
08/1960;-;4,92
09/1960;-;3,78
10/1960;-;5,15
11/1960;-;2,51
12/1960;-;2,21
01/1961;-;2,17
02/1961;-;-0,33
03/1961;-;2,35
04/1961;-;5,47
05/1961;-;1,45
06/1961;-;2,35
07/1961;-;0,90
08/1961;-;5,94
09/1961;-;5,05
10/1961;-;10,50
11/1961;-;4,35
12/1961;-;3,63
01/1962;-;4,10
02/1962;-;1,93
03/1962;-;0,70
04/1962;-;0,21
05/1962;-;3,82
06/1962;-;2,68
07/1962;-;4,89
08/1962;-;1,74
09/1962;-;2,45
10/1962;-;2,95
11/1962;-;7,74
12/1962;-;5,18
01/1963;-;9,85
02/1963;-;6,92
03/1963;-;6,18
04/1963;-;0,42
05/1963;-;4,62
06/1963;-;6,27
07/1963;-;2,67
08/1963;-;4,11
09/1963;-;6,10
10/1963;-;6,08
11/1963;-;3,46
12/1963;-;5,69
01/1964;-;8,35
02/1964;-;5,62
03/1964;-;5,81
04/1964;-;3,78
05/1964;-;2,93
06/1964;-;4,71
07/1964;-;6,38
08/1964;-;3,18
09/1964;-;4,29
10/1964;-;4,63
11/1964;-;8,38
12/1964;-;4,75
01/1965;-;5,05
02/1965;-;1,76
03/1965;-;4,32
04/1965;-;1,82
05/1965;-;1,65
06/1965;-;1,36
07/1965;-;2,39
08/1965;-;1,46
09/1965;-;1,24
10/1965;-;2,81
11/1965;-;1,62
12/1965;-;2,23
01/1966;-;9,11
02/1966;-;1,97
03/1966;-;1,79
04/1966;-;5,20
05/1966;-;3,05
06/1966;-;1,84
07/1966;-;3,87
08/1966;-;2,19
09/1966;-;2,75
10/1966;-;2,69
11/1966;-;0,78
12/1966;-;0,35
01/1967;-;4,10
02/1967;-;2,65
03/1967;-;1,31
04/1967;-;2,00
05/1967;-;-0,02
06/1967;-;0,56
07/1967;-;3,51
08/1967;-;0,37
09/1967;-;1,41
10/1967;-;1,92
11/1967;-;1,68
12/1967;-;0,65
01/1968;-;3,67
02/1968;-;2,57
03/1968;-;2,34
04/1968;-;1,13
05/1968;-;0,81
06/1968;-;2,09
07/1968;-;1,53
08/1968;-;1,04
09/1968;-;2,50
10/1968;-;2,26
11/1968;-;1,77
12/1968;-;0,22
01/1969;-;1,88
02/1969;-;1,07
03/1969;-;-0,67
04/1969;-;1,06
05/1969;-;0,96
06/1969;-;2,93
07/1969;-;2,64
08/1969;-;1,98
09/1969;-;2,49
10/1969;-;2,25
11/1969;-;1,32
12/1969;-;-0,09
01/1970;-;1,57
02/1970;-;1,37
03/1970;-;1,69
04/1970;-;-0,33
05/1970;-;1,50
06/1970;-;2,38
07/1970;-;1,76
08/1970;-;2,21
09/1970;-;1,93
10/1970;-;1,36
11/1970;-;0,75
12/1970;-;0,93
01/1971;-;1,79
02/1971;-;1,59
03/1971;-;2,55
04/1971;-;1,84
05/1971;-;1,92
06/1971;-;2,79
07/1971;-;1,34
08/1971;-;0,80
09/1971;-;1,53
10/1971;-;1,26
11/1971;-;1,20
12/1971;-;0,99
01/1972;-;1,83
02/1972;-;2,01
03/1972;-;1,32
04/1972;-;1,01
05/1972;-;0,36
06/1972;-;1,04
07/1972;-;1,44
08/1972;-;1,44
09/1972;-;1,22
10/1972;-;1,06
11/1972;-;1,21
12/1972;-;0,94
01/1973;-;1,84
02/1973;-;1,15
03/1973;-;1,38
04/1973;-;1,12
05/1973;-;0,98
06/1973;-;1,04
07/1973;-;1,14
08/1973;-;1,04
09/1973;-;1,08
10/1973;-;1,45
11/1973;-;1,24
12/1973;-;1,07
01/1974;-;2,59
02/1974;-;2,72
03/1974;-;4,63
04/1974;-;5,74
05/1974;-;3,94
06/1974;-;1,74
07/1974;-;0,86
08/1974;-;1,21
09/1974;-;1,73
10/1974;-;1,63
11/1974;-;1,61
12/1974;-;2,41
01/1975;-;1,95
02/1975;-;2,54
03/1975;-;1,03
04/1975;-;1,59
05/1975;-;2,03
06/1975;-;2,44
07/1975;-;2,05
08/1975;-;2,85
09/1975;-;2,54
10/1975;-;2,64
11/1975;-;2,10
12/1975;-;2,25
01/1976;-;2,71
02/1976;-;3,68
03/1976;-;3,68
04/1976;-;3,51
05/1976;-;3,01
06/1976;-;2,21
07/1976;-;4,31
08/1976;-;4,84
09/1976;-;3,52
10/1976;-;2,22
11/1976;-;1,72
12/1976;-;2,30
01/1977;-;3,07
02/1977;-;2,83
03/1977;-;4,30
04/1977;-;4,30
05/1977;-;3,36
06/1977;-;1,58
07/1977;-;1,89
08/1977;-;0,88
09/1977;-;1,55
10/1977;-;2,29
11/1977;-;2,61
12/1977;-;2,18
01/1978;-;3,02
02/1978;-;3,54
03/1978;-;3,50
04/1978;-;3,46
05/1978;-;3,50
06/1978;-;3,61
07/1978;-;2,47
08/1978;-;2,83
09/1978;-;2,69
10/1978;-;3,22
11/1978;-;3,06
12/1978;-;1,39
01/1979;-;3,42
02/1979;-;3,67
03/1979;-;5,98
04/1979;-;3,78
05/1979;-;2,01
06/1979;-;3,57
07/1979;-;4,30
08/1979;-;6,23
09/1979;-;8,25
10/1979;-;6,41
11/1979;-;5,64
12/1979;-;7,22
01/1980;-;7,26
02/1980;-;3,64
03/1980;-;6,50
04/1980;-;6,65
05/1980;-;7,14
06/1980;-;6,41
07/1980;-;9,65
08/1980;-;6,83
09/1980;-;5,23
10/1980;-;9,37
11/1980;-;8,51
12/1980;-;5,12
01/1981;-;6,12
02/1981;-;8,16
03/1981;-;7,90
04/1981;-;5,34
05/1981;-;6,95
06/1981;-;4,43
07/1981;-;4,52
08/1981;-;5,57
09/1981;-;4,99
10/1981;-;5,05
11/1981;-;5,91
12/1981;-;3,45
01/1982;-;6,27
02/1982;-;6,43
03/1982;-;7,15
04/1982;-;5,54
05/1982;-;5,51
06/1982;-;9,25
07/1982;-;5,66
08/1982;-;4,56
09/1982;-;3,36
10/1982;-;5,23
11/1982;-;5,26
12/1982;-;6,02
01/1983;-;9,82
02/1983;-;5,60
03/1983;-;10,75
04/1983;-;10,31
05/1983;-;6,58
06/1983;-;13,73
07/1983;-;14,45
08/1983;-;10,10
09/1983;-;14,42
10/1983;-;15,57
11/1983;-;8,69
12/1983;-;7,40
01/1984;-;10,19
02/1984;-;11,93
03/1984;-;10,11
04/1984;-;9,60
05/1984;-;8,82
06/1984;-;9,08
07/1984;-;10,75
08/1984;-;9,20
09/1984;-;11,17
10/1984;-;13,67
11/1984;-;10,36
12/1984;-;10,84
01/1985;-;12,93
02/1985;-;9,22
03/1985;-;13,58
04/1985;-;7,25
05/1985;-;6,47
06/1985;-;7,08
07/1985;-;7,61
08/1985;-;14,51
09/1985;-;9,06
10/1985;-;9,54
11/1985;-;15,07
12/1985;-;12,27
01/1986;-;18,98
02/1986;-;16,11
03/1986;-;4,16
04/1986;-;-1,46
05/1986;-;0,09
06/1986;-;0,37
07/1986;-;0,58
08/1986;-;1,34
09/1986;-;0,67
10/1986;-;1,16
11/1986;-;2,13
12/1986;-;7,65
01/1987;-;10,50
02/1987;-;10,35
03/1987;-;14,05
04/1987;-;20,98
05/1987;-;30,72
06/1987;-;26,26
07/1987;-;9,89
08/1987;-;3,72
09/1987;-;7,55
10/1987;-;11,68
11/1987;-;14,98
12/1987;-;16,05
01/1988;-;18,39
02/1988;-;17,86
03/1988;-;17,52
04/1988;-;21,32
05/1988;-;19,27
06/1988;-;21,23
07/1988;-;22,25
08/1988;-;23,71
09/1988;-;26,15
10/1988;-;26,88
11/1988;-;27,59
12/1988;-;29,46
01/1989;-;36,12
02/1989;-;10,74
03/1989;-;3,11
04/1989;-;4,88
05/1989;-;11,22
06/1989;-;25,42
