Data;28553 - Trafego de veiculos pesados nas estradas pedagiadas - ABCR - Dados dessazonalizados - Indice
01/1999;103,09
02/1999;102,48
03/1999;102,05
04/1999;95,95
05/1999;103,92
06/1999;98,44
07/1999;91,93
08/1999;100,69
09/1999;98,10
10/1999;100,10
11/1999;100,51
12/1999;103,28
01/2000;103,86
02/2000;100,78
03/2000;101,43
04/2000;103,45
05/2000;99,51
06/2000;101,30
07/2000;100,94
08/2000;98,89
09/2000;100,37
10/2000;100,37
11/2000;102,24
12/2000;107,62
01/2001;104,29
02/2001;105,27
03/2001;105,40
04/2001;107,56
05/2001;107,60
06/2001;107,45
07/2001;108,04
08/2001;108,41
09/2001;107,03
10/2001;107,16
11/2001;108,02
12/2001;107,94
01/2002;109,56
02/2002;111,52
03/2002;111,58
04/2002;110,70
05/2002;110,29
06/2002;112,67
07/2002;113,14
08/2002;114,45
09/2002;117,09
10/2002;116,51
11/2002;114,24
12/2002;112,54
01/2003;110,67
02/2003;108,85
03/2003;112,66
04/2003;112,47
05/2003;113,81
06/2003;113,58
07/2003;112,86
08/2003;113,29
09/2003;114,99
10/2003;115,89
11/2003;117,57
12/2003;115,23
01/2004;116,40
02/2004;117,93
03/2004;118,51
04/2004;120,17
05/2004;121,42
06/2004;120,86
07/2004;121,31
08/2004;124,43
09/2004;122,48
10/2004;120,65
11/2004;121,35
12/2004;122,25
01/2005;122,25
02/2005;122,89
03/2005;122,38
04/2005;121,19
05/2005;123,06
06/2005;125,25
07/2005;122,00
08/2005;121,76
09/2005;119,76
10/2005;118,76
11/2005;121,35
12/2005;123,41
01/2006;123,53
02/2006;122,69
03/2006;121,26
04/2006;122,14
05/2006;121,27
06/2006;121,19
07/2006;123,37
08/2006;123,25
09/2006;123,30
10/2006;123,96
11/2006;125,93
12/2006;128,09
01/2007;127,28
02/2007;126,30
03/2007;128,30
04/2007;126,55
05/2007;125,91
06/2007;128,96
07/2007;128,79
08/2007;132,15
09/2007;131,97
10/2007;134,69
11/2007;133,38
12/2007;131,77
01/2008;136,60
02/2008;135,30
03/2008;133,47
04/2008;136,30
05/2008;133,09
06/2008;141,15
07/2008;140,05
08/2008;136,32
09/2008;139,38
10/2008;136,88
11/2008;135,61
12/2008;127,87
01/2009;127,05
02/2009;129,20
03/2009;129,84
04/2009;132,00
05/2009;131,58
06/2009;132,43
07/2009;130,35
08/2009;130,20
09/2009;132,56
10/2009;134,61
11/2009;139,80
12/2009;138,41
01/2010;139,35
02/2010;143,45
03/2010;148,00
04/2010;144,75
05/2010;149,42
06/2010;147,40
07/2010;146,52
08/2010;150,42
09/2010;149,44
10/2010;150,51
11/2010;150,72
12/2010;153,30
01/2011;152,69
02/2011;153,61
03/2011;154,28
04/2011;155,65
05/2011;158,86
06/2011;156,23
07/2011;159,84
08/2011;158,14
09/2011;157,55
10/2011;156,11
11/2011;158,41
12/2011;160,78
01/2012;158,61
02/2012;157,91
03/2012;160,63
04/2012;158,33
05/2012;157,24
06/2012;159,12
07/2012;160,04
08/2012;165,96
09/2012;162,01
10/2012;163,49
11/2012;163,19
12/2012;160,46
01/2013;165,31
02/2013;161,79
03/2013;162,81
04/2013;169,79
05/2013;163,35
06/2013;168,15
07/2013;166,42
08/2013;167,63
09/2013;168,48
10/2013;167,31
11/2013;164,89
12/2013;162,28
01/2014;165,08
02/2014;169,41
03/2014;163,02
04/2014;162,40
05/2014;160,28
06/2014;154,54
07/2014;158,82
08/2014;159,55
09/2014;160,44
10/2014;162,17
11/2014;162,06
12/2014;158,31
01/2015;158,10
02/2015;150,13
03/2015;159,93
04/2015;149,57
05/2015;151,03
06/2015;149,64
07/2015;149,50
08/2015;150,92
09/2015;149,32
10/2015;149,33
11/2015;149,77
12/2015;149,04
01/2016;146,30
02/2016;147,01
03/2016;146,18
04/2016;145,53
05/2016;140,86
06/2016;144,52
07/2016;142,13
08/2016;138,82
09/2016;138,67
10/2016;133,83
11/2016;138,05
12/2016;144,00
01/2017;140,91
02/2017;143,37
03/2017;142,15
04/2017;138,04
05/2017;143,56
06/2017;143,38
07/2017;144,67
08/2017;144,32
09/2017;145,37
10/2017;144,48
11/2017;144,43
12/2017;150,28
01/2018;146,37
02/2018;145,51
03/2018;148,26
04/2018;148,49
05/2018;107,22
06/2018;157,75
07/2018;148,79
08/2018;149,81
09/2018;147,15
10/2018;147,06
11/2018;148,22
12/2018;149,60
01/2019;150,91
02/2019;149,56
03/2019;149,51
04/2019;150,78
05/2019;149,14
06/2019;149,03
07/2019;152,09
08/2019;150,86
09/2019;153,40
10/2019;155,24
11/2019;153,83
12/2019;151,23
01/2020;151,74
02/2020;153,12
03/2020;146,99
04/2020;119,23
05/2020;130,25
Fonte;BCB-Depec
