Data,28556 - Numero de horas trabalhadas  industria de transformacao (2016=100) - Dados dessazonalizados - Indice,
01/2011,-2.146.826.246,0
02/2011,-2.146.826.246,0
03/2011,-2.146.826.246,0
04/2011,-2.146.826.246,0
05/2011,-2.146.826.246,0
06/2011,-2.146.826.246,0
07/2011,-2.146.826.246,0
08/2011,-2.146.826.246,0
09/2011,-2.146.826.246,0
10/2011,-2.146.826.246,0
11/2011,-2.146.826.246,0
12/2011,-2.146.826.246,0
01/2012,108,20
02/2012,108,90
03/2012,109,50
04/2012,108,0
05/2012,107,60
06/2012,108,60
07/2012,107,90
08/2012,108,20
09/2012,107,50
10/2012,108,30
11/2012,108,30
12/2012,109,40
01/2013,109,10
02/2013,106,80
03/2013,108,60
04/2013,108,90
05/2013,107,50
06/2013,109,10
07/2013,107,60
08/2013,108,40
09/2013,108,0
10/2013,108,0
11/2013,108,10
12/2013,108,0
01/2014,107,60
02/2014,108,70
03/2014,105,40
04/2014,106,10
05/2014,105,70
06/2014,102,70
07/2014,104,30
08/2014,103,0
09/2014,103,50
10/2014,102,10
11/2014,101,10
12/2014,99,50
01/2015,99,20
02/2015,98,20
03/2015,97,30
04/2015,95,70
05/2015,95,60
06/2015,94,70
07/2015,92,60
08/2015,92,40
09/2015,90,90
10/2015,91,10
11/2015,89,50
12/2015,88,0
01/2016,88,50
02/2016,87,60
03/2016,88,30
04/2016,88,30
05/2016,86,50
06/2016,87,30
07/2016,87,20
08/2016,85,60
09/2016,85,70
10/2016,84,90
11/2016,85,0
12/2016,84,90
01/2017,84,20
02/2017,84,10
03/2017,84,90
04/2017,83,30
05/2017,85,20
06/2017,84,10
07/2017,84,60
08/2017,84,70
09/2017,85,0
10/2017,84,70
11/2017,85,10
12/2017,85,50
01/2018,85,10
02/2018,84,20
03/2018,84,90
04/2018,85,60
05/2018,84,60
06/2018,85,30
07/2018,85,10
08/2018,85,0
09/2018,84,70
10/2018,84,90
11/2018,84,70
12/2018,85,40
01/2019,84,70
02/2019,85,30
03/2019,84,90
04/2019,84,90
05/2019,84,80
06/2019,84,40
07/2019,84,0
08/2019,84,40
09/2019,84,20
10/2019,84,0
11/2019,84,10
12/2019,83,40
01/2020,84,0
02/2020,84,20
03/2020,82,50
04/2020,66,50
Fonte,CNI,
