Data;28559 - Salario real na industria de transformacao (2016=100) - Dados dessazonalizados – Indice;
01/2011;-2.146.826.246;0
02/2011;-2.146.826.246;0
03/2011;-2.146.826.246;0
04/2011;-2.146.826.246;0
05/2011;-2.146.826.246;0
06/2011;-2.146.826.246;0
07/2011;-2.146.826.246;0
08/2011;-2.146.826.246;0
09/2011;-2.146.826.246;0
10/2011;-2.146.826.246;0
11/2011;-2.146.826.246;0
12/2011;-2.146.826.246;0
01/2012;109;80
02/2012;111;0
03/2012;112;50
04/2012;111;10
05/2012;112;40
06/2012;110;90
07/2012;113;0
08/2012;112;10
09/2012;111;60
10/2012;111;30
11/2012;111;90
12/2012;112;40
01/2013;110;20
02/2013;111;70
03/2013;112;60
04/2013;113;20
05/2013;114;40
06/2013;113;20
07/2013;113;90
08/2013;113;40
09/2013;114;50
10/2013;113;40
11/2013;115;10
12/2013;114;20
01/2014;115;50
02/2014;117;0
03/2014;116;20
04/2014;114;60
05/2014;114;30
06/2014;113;30
07/2014;114;80
08/2014;115;20
09/2014;115;30
10/2014;115;60
11/2014;116;20
12/2014;115;60
01/2015;116;70
02/2015;118;20
03/2015;116;40
04/2015;115;0
05/2015;113;50
06/2015;114;70
07/2015;113;90
08/2015;115;20
09/2015;114;10
10/2015;114;20
11/2015;116;80
12/2015;117;90
01/2016;115;50
02/2016;114;50
03/2016;114;30
04/2016;115;20
05/2016;114;50
06/2016;113;70
07/2016;112;60
08/2016;112;70
09/2016;116;30
10/2016;114;30
11/2016;114;50
12/2016;113;40
01/2017;113;40
02/2017;113;0
03/2017;115;0
04/2017;116;0
05/2017;116;40
06/2017;118;10
07/2017;115;50
08/2017;117;70
09/2017;115;0
10/2017;115;40
11/2017;114;70
12/2017;112;80
01/2018;113;10
02/2018;114;30
03/2018;115;40
04/2018;115;20
05/2018;113;20
06/2018;113;0
07/2018;112;40
08/2018;112;50
09/2018;112;0
10/2018;112;80
11/2018;111;60
12/2018;114;80
01/2019;111;50
02/2019;111;0
03/2019;111;50
04/2019;112;60
05/2019;113;20
06/2019;112;40
07/2019;112;0
08/2019;111;60
09/2019;111;50
10/2019;111;50
11/2019;111;40
12/2019;110;0
01/2020;109;50
02/2020;109;40
03/2020;115;90
04/2020;108;40
Fonte;CNI;
