Data;28560 - Massa salarial real  industria de transformacao (2016=100) - Dados dessazonalizados - Indice;
01/2011;-2.146.826.246;0
02/2011;-2.146.826.246;0
03/2011;-2.146.826.246;0
04/2011;-2.146.826.246;0
05/2011;-2.146.826.246;0
06/2011;-2.146.826.246;0
07/2011;-2.146.826.246;0
08/2011;-2.146.826.246;0
09/2011;-2.146.826.246;0
10/2011;-2.146.826.246;0
11/2011;-2.146.826.246;0
12/2011;-2.146.826.246;0
01/2012;125;0
02/2012;125;80
03/2012;127;30
04/2012;126;30
05/2012;127;50
06/2012;126;0
07/2012;127;70
08/2012;127;20
09/2012;126;70
10/2012;126;60
11/2012;127;20
12/2012;127;60
01/2013;125;20
02/2013;126;60
03/2013;127;80
04/2013;129;30
05/2013;130;20
06/2013;129;60
07/2013;130;10
08/2013;130;0
09/2013;131;80
10/2013;130;60
11/2013;131;80
12/2013;130;90
01/2014;132;80
02/2014;134;40
03/2014;133;10
04/2014;131;30
05/2014;130;80
06/2014;129;40
07/2014;130;40
08/2014;130;30
09/2014;129;60
10/2014;129;40
11/2014;129;10
12/2014;128;40
01/2015;129;90
02/2015;130;10
03/2015;127;30
04/2015;125;0
05/2015;122;80
06/2015;123;10
07/2015;121;20
08/2015;120;80
09/2015;119;20
10/2015;117;80
11/2015;118;70
12/2015;119;0
01/2016;116;40
02/2016;114;50
03/2016;113;60
04/2016;114;0
05/2016;112;90
06/2016;111;90
07/2016;110;90
08/2016;110;40
09/2016;114;10
10/2016;111;0
11/2016;110;30
12/2016;109;70
01/2017;109;50
02/2017;108;60
03/2017;109;40
04/2017;109;80
05/2017;110;70
06/2017;112;30
07/2017;110;70
08/2017;112;30
09/2017;110;40
10/2017;110;50
11/2017;109;90
12/2017;109;20
01/2018;109;70
02/2018;110;70
03/2018;110;0
04/2018;109;60
05/2018;108;0
06/2018;107;70
07/2018;107;70
08/2018;107;30
09/2018;107;40
10/2018;107;70
11/2018;106;80
12/2018;111;10
01/2019;108;70
02/2019;107;70
03/2019;106;30
04/2019;106;70
05/2019;107;30
06/2019;106;40
07/2019;106;60
08/2019;106;0
09/2019;106;40
10/2019;106;0
11/2019;106;20
12/2019;106;50
01/2020;106;50
02/2020;106;10
03/2020;108;70
04/2020;98;40
Fonte;CNI;
