Data;7495 - SINAPI - Var. % mensal;27574 - �ndice de Commodities - Brasil - �ndice;27575 - �ndice de Commodities - Brasil - Agropecu�ria - �ndice;27576 - �ndice de Commodities - Brasil - Metal - �ndice;27577 - �ndice de Commodities - Brasil - Energia - �ndice
01/1990;52,63 ;-;-;-;-
02/1990;70,39 ;-;-;-;-
03/1990;80,16 ;-;-;-;-
04/1990;15,92 ;-;-;-;-
05/1990;-1,56 ;-;-;-;-
06/1990;5,14 ;-;-;-;-
07/1990;9,05 ;-;-;-;-
08/1990;15,36 ;-;-;-;-
09/1990;8,55 ;-;-;-;-
10/1990;9,29 ;-;-;-;-
11/1990;9,96 ;-;-;-;-
12/1990;14,02 ;-;-;-;-
01/1991;13,81 ;-;-;-;-
02/1991;20,51 ;-;-;-;-
03/1991;8,11 ;-;-;-;-
04/1991;6,76 ;-;-;-;-
05/1991;8,97 ;-;-;-;-
06/1991;13,83 ;-;-;-;-
07/1991;13,03 ;-;-;-;-
08/1991;17,96 ;-;-;-;-
09/1991;18,47 ;-;-;-;-
10/1991;23,53 ;-;-;-;-
11/1991;25,73 ;-;-;-;-
12/1991;26,89 ;-;-;-;-
01/1992;20,59 ;-;-;-;-
02/1992;32,01 ;-;-;-;-
03/1992;25,57 ;-;-;-;-
04/1992;20,70 ;-;-;-;-
05/1992;20,13 ;-;-;-;-
06/1992;24,64 ;-;-;-;-
07/1992;20,00 ;-;-;-;-
08/1992;19,92 ;-;-;-;-
09/1992;30,54 ;-;-;-;-
10/1992;19,63 ;-;-;-;-
11/1992;22,84 ;-;-;-;-
12/1992;23,23 ;-;-;-;-
01/1993;33,88 ;-;-;-;-
02/1993;26,87 ;-;-;-;-
03/1993;25,22 ;-;-;-;-
04/1993;28,89 ;-;-;-;-
05/1993;27,55 ;-;-;-;-
06/1993;33,26 ;-;-;-;-
07/1993;29,61 ;-;-;-;-
08/1993;26,87 ;-;-;-;-
09/1993;34,69 ;-;-;-;-
10/1993;33,73 ;-;-;-;-
11/1993;37,25 ;-;-;-;-
12/1993;34,60 ;-;-;-;-
01/1994;42,64 ;-;-;-;-
02/1994;40,48 ;-;-;-;-
03/1994;51,31 ;-;-;-;-
04/1994;47,43 ;-;-;-;-
05/1994;42,63 ;-;-;-;-
06/1994;46,16 ;-;-;-;-
07/1994;2,83 ;-;-;-;-
08/1994;-0,69 ;-;-;-;-
09/1994;-1,13 ;-;-;-;-
10/1994;0,14 ;-;-;-;-
11/1994;0,85 ;-;-;-;-
12/1994;1,96 ;-;-;-;-
01/1995;1,60 ;-;-;-;-
02/1995;1,86 ;-;-;-;-
03/1995;2,03 ;-;-;-;-
04/1995;2,90 ;-;-;-;-
05/1995;2,18 ;-;-;-;-
06/1995;5,44 ;-;-;-;-
07/1995;1,82 ;-;-;-;-
08/1995;0,70 ;-;-;-;-
09/1995;0,31 ;-;-;-;-
10/1995;0,29 ;-;-;-;-
11/1995;0,34 ;-;-;-;-
12/1995;0,78 ;-;-;-;-
01/1996;0,73 ;-;-;-;-
02/1996;0,31 ;-;-;-;-
03/1996;0,49 ;-;-;-;-
04/1996;0,24 ;-;-;-;-
05/1996;0,37 ;-;-;-;-
06/1996;1,70 ;-;-;-;-
07/1996;0,23 ;-;-;-;-
08/1996;0,22 ;-;-;-;-
09/1996;0,11 ;-;-;-;-
10/1996;-0,17 ;-;-;-;-
11/1996;0,38 ;-;-;-;-
12/1996;0,22 ;-;-;-;-
01/1997;0,54 ;-;-;-;-
02/1997;0,62 ;-;-;-;-
03/1997;0,34 ;-;-;-;-
04/1997;0,53 ;-;-;-;-
05/1997;0,39 ;-;-;-;-
06/1997;1,07 ;-;-;-;-
07/1997;0,04 ;-;-;-;-
08/1997;0,19 ;-;-;-;-
09/1997;-0,21 ;-;-;-;-
10/1997;0,11 ;-;-;-;-
11/1997;0,21 ;-;-;-;-
12/1997;0,33 ;-;-;-;-
01/1998;-0,11 ;39,19 ;46,84 ;30,66 ;18,63
02/1998;-0,01 ;38,98 ;46,62 ;30,64 ;18,25
03/1998;0,16 ;38,16 ;45,40 ;30,70 ;18,11
04/1998;0,51 ;38,10 ;44,87 ;30,92 ;19,57
05/1998;0,53 ;38,21 ;45,28 ;30,18 ;19,34
06/1998;0,11 ;36,67 ;43,31 ;29,57 ;18,48
07/1998;0,25 ;36,11 ;42,52 ;29,76 ;18,03
08/1998;0,01 ;35,77 ;42,09 ;29,85 ;17,64
09/1998;-0,05 ;35,21 ;41,03 ;29,79 ;18,53
10/1998;0,14 ;35,70 ;41,88 ;29,12 ;18,75
11/1998;-0,14 ;35,75 ;42,29 ;28,93 ;17,66
12/1998;0,17 ;34,84 ;41,29 ;28,44 ;16,76
01/1999;0,04 ;43,05 ;51,13 ;34,58 ;20,76
02/1999;1,00 ;53,12 ;62,55 ;44,54 ;25,85
