Data;7341 - Índice de Confiança do Empresário Industrial (ICEI) - Geral - Índice;7342 - Índice de Confiança do Empresário Industrial (ICEI) - Condições - Índice;7343 - Índice de Confiança do Empresário Industrial (ICEI) - Expectativas - Índice
3° Trim.1998;51,48 ;40,00 ;57,20
4° Trim.1998;42,92 ;36,50 ;46,20
1° Trim.1999;45,20 ;37,60 ;49,00
2° Trim.1999;51,00 ;34,50 ;59,30
3° Trim.1999;56,62 ;44,50 ;62,70
4° Trim.1999;57,26 ;48,40 ;61,70
1° Trim.2000;63,76 ;55,00 ;68,10
2° Trim.2000;64,69 ;55,70 ;69,20
3° Trim.2000;64,39 ;56,10 ;68,50
4° Trim.2000;63,48 ;57,00 ;66,70
1° Trim.2001;65,31 ;59,10 ;68,40
2° Trim.2001;60,67 ;50,40 ;65,80
3° Trim.2001;48,03 ;39,90 ;52,10
4° Trim.2001;47,34 ;38,10 ;51,90
1° Trim.2002;59,86 ;50,10 ;64,70
2° Trim.2002;58,97 ;47,90 ;64,50
3° Trim.2002;48,50 ;37,90 ;53,80
4° Trim.2002;49,50 ;41,00 ;53,80
1° Trim.2003;58,90 ;47,50 ;64,60
2° Trim.2003;57,20 ;45,10 ;63,20
3° Trim.2003;51,90 ;37,30 ;59,30
4° Trim.2003;55,70 ;43,40 ;61,90
1° Trim.2004;64,00 ;55,00 ;68,50
2° Trim.2004;57,40 ;46,70 ;62,90
3° Trim.2004;61,90 ;53,50 ;66,10
4° Trim.2004;65,30 ;60,50 ;67,70
1° Trim.2005;66,30 ;60,70 ;69,00
2° Trim.2005;57,10 ;48,00 ;61,70
3° Trim.2005;51,60 ;42,40 ;56,30
4° Trim.2005;54,20 ;45,30 ;58,70
1° Trim.2006;58,50 ;47,50 ;63,90
2° Trim.2006;56,40 ;47,10 ;61,10
3° Trim.2006;54,40 ;44,80 ;59,20
4° Trim.2006;56,60 ;48,40 ;60,60
1° Trim.2007;60,10 ;51,20 ;64,50
2° Trim.2007;59,40 ;52,30 ;62,90
3° Trim.2007;60,30 ;54,00 ;63,60
4° Trim.2007;60,40 ;55,70 ;62,80
1° Trim.2008;61,80 ;57,40 ;64,10
2° Trim.2008;62,00 ;55,50 ;65,20
3° Trim.2008;58,10 ;51,20 ;61,60
4° Trim.2008;52,50 ;50,50 ;53,40
1° Trim.2009;47,40 ;36,00 ;53,10
2° Trim.2009;49,40 ;33,20 ;57,60
3° Trim.2009;58,20 ;47,20 ;63,60
4° Trim.2009;65,90 ;60,50 ;68,70
1° Trim.2010;67,40 ;60,70 ;70,70
2° Trim.2010;66,00 ;60,50 ;68,70
3° Trim.2010;63,30 ;57,90 ;65,90
4° Trim.2010;61,40 ;55,70 ;64,20
1° Trim.2011;60,20 ;51,90 ;64,40
2° Trim.2011;57,60 ;48,10 ;62,30
3° Trim.2011;56,40 ;48,10 ;60,50
4° Trim.2011;55,00 ;47,40 ;58,90
1° Trim.2012;58,60 ;49,00 ;63,40
2° Trim.2012;56,10 ;46,90 ;60,60
3° Trim.2012;57,40 ;49,30 ;61,50
4° Trim.2012;57,40 ;50,00 ;61,10
1° Trim.2013;57,10 ;48,50 ;61,40
2° Trim.2013;54,80 ;46,80 ;58,90
3° Trim.2013;54,20 ;46,20 ;58,20
4° Trim.2013;54,30 ;46,80 ;58,00
1° Trim.2014;52,50 ;44,70 ;56,40
2° Trim.2014;47,50 ;40,20 ;51,30
3° Trim.2014;46,50 ;38,80 ;50,30
4° Trim.2014;45,20 ;37,40 ;49,20
1° Trim.2015;44,40 ;35,70 ;48,70
2° Trim.2015;38,50 ;29,10 ;43,20
3° Trim.2015;37,20 ;27,60 ;42,00
4° Trim.2015;35,00 ;26,50 ;39,30
1° Trim.2016;36,50 ;27,60 ;40,90
2° Trim.2016;36,80 ;28,00 ;41,30
3° Trim.2016;47,30 ;37,40 ;52,30
4° Trim.2016;52,30 ;43,30 ;56,80
1° Trim.2017;50,10 ;41,20 ;54,70
2° Trim.2017;53,10 ;46,00 ;56,60
3° Trim.2017;50,60 ;44,20 ;53,80
4° Trim.2017;56,00 ;50,40 ;58,80
1° Trim.2018;59,00 ;53,10 ;62,00
2° Trim.2018;56,70 ;51,50 ;59,40
3° Trim.2018;50,20 ;43,60 ;53,20
4° Trim.2018;52,80 ;46,70 ;55,90
1° Trim.2019;64,70 ;54,10 ;69,90
2° Trim.2019;58,40 ;49,80 ;62,60
3° Trim.2019;57,40 ;47,00 ;62,10
4° Trim.2019;62,50 ;56,30 ;65,60
1° Trim.2020;65,30 ;59,00 ;67,70
2° Trim.2020;34,50 ;34,10 ;34,70
Fonte;CNI;CNI;CNI
