Data;13951;13952;21303;21942;24077;25382;27983;28148;28149;28150;28151
01/1991;20,64 ;20,33 ;-;-;-;-;-;;;;
02/1991;19,13 ;19,15 ;-;-;-;-;-;;;;
03/1991;8,23 ;8,24 ;-;-;-;-;-;;;;
04/1991;4,58 ;4,56 ;-;-;-;-;-;;;;
05/1991;9,00 ;8,47 ;-;-;-;-;-;;;;
06/1991;11,17 ;10,76 ;-;-;-;-;-;;;;
07/1991;12,75 ;12,40 ;-;-;-;-;-;;;;
08/1991;16,83 ;15,90 ;-;-;-;-;-;;;;
09/1991;16,83 ;15,90 ;-;-;-;-;-;;;;
10/1991;19,44 ;20,16 ;-;-;-;-;-;;;;
11/1991;23,03 ;23,21 ;-;-;-;-;-;;;;
12/1991;25,04 ;25,65 ;-;-;-;-;-;;;;
01/1992;24,49 ;23,38 ;-;-;-;-;-;;;;
02/1992;22,28 ;23,42 ;-;-;-;-;-;;;;
03/1992;21,56 ;21,86 ;-;-;-;-;-;;;;
04/1992;18,82 ;18,85 ;-;-;-;-;-;;;;
05/1992;24,84 ;25,77 ;-;-;-;-;-;;;;
06/1992;19,76 ;20,62 ;-;-;-;-;-;;;;
07/1992;22,01 ;22,32 ;-;-;-;-;-;;;;
08/1992;23,47 ;22,86 ;-;-;-;-;-;;;;
09/1992;25,71 ;24,46 ;-;-;-;-;-;;;;
10/1992;25,50 ;25,66 ;-;-;-;-;-;;;;
11/1992;22,14 ;22,08 ;-;-;-;-;-;;;;
12/1992;24,15 ;24,08 ;-;-;-;-;-;;;;
01/1993;31,07 ;29,85 ;-;-;-;-;-;;;;
02/1993;25,66 ;25,83 ;-;-;-;-;-;;;;
03/1993;26,72 ;26,68 ;-;-;-;-;-;;;;
04/1993;27,99 ;28,87 ;-;-;-;-;-;;;;
05/1993;28,24 ;27,69 ;-;-;-;-;-;;;;
06/1993;29,33 ;29,57 ;-;-;-;-;-;;;;
07/1993;31,77 ;32,52 ;-;-;-;-;-;;;;
08/1993;33,15 ;34,10 ;-;-;-;-;-;;;;
09/1993;36,18 ;35,88 ;-;-;-;-;-;;;;
10/1993;33,64 ;33,53 ;-;-;-;-;-;;;;
11/1993;35,07 ;35,75 ;-;-;-;-;-;;;;
12/1993;36,17 ;36,87 ;-;-;-;-;-;;;;
01/1994;42,30 ;42,25 ;-;-;-;-;-;;;;
02/1994;40,88 ;40,64 ;-;-;-;-;-;;;;
03/1994;42,94 ;43,78 ;-;-;-;-;-;;;;
04/1994;42,84 ;42,59 ;-;-;-;-;-;;;;
05/1994;45,48 ;44,74 ;-;-;-;-;-;;;;
06/1994;45,68 ;47,93 ;-;-;-;-;-;;;;
07/1994;5,71 ;6,12 ;-;-;-;-;-;;;;
08/1994;1,58 ;1,37 ;-;-;-;-;-;;;;
09/1994;1,84 ;1,49 ;-;-;-;-;-;;;;
10/1994;2,42 ;2,71 ;-;-;-;-;-;;;;
11/1994;2,74 ;3,08 ;-;-;-;-;-;;;;
12/1994;1,64 ;1,67 ;-;-;-;-;-;;;;
01/1995;1,76 ;1,29 ;-;-;-;-;-;;;;
02/1995;0,74 ;1,03 ;-;-;-;-;-;;;;
03/1995;1,06 ;1,32 ;-;-;-;-;-;;;;
04/1995;2,13 ;2,47 ;-;-;-;-;-;;;;
05/1995;3,11 ;2,31 ;-;-;-;-;-;;;;
06/1995;2,16 ;1,93 ;-;-;-;-;-;;;;
07/1995;1,59 ;1,83 ;-;-;-;-;-;;;;
08/1995;1,26 ;1,49 ;-;-;-;-;-;;;;
09/1995;0,95 ;1,13 ;-;-;-;-;-;;;;
10/1995;1,61 ;1,49 ;-;-;-;-;-;;;;
11/1995;1,41 ;1,36 ;-;-;-;-;-;;;;
12/1995;1,37 ;1,60 ;-;-;-;-;-;;;;
01/1996;0,69 ;0,73 ;-;-;-;-;-;;;;
02/1996;0,97 ;0,65 ;-;-;-;-;-;;;;
03/1996;0,06 ;-0,09 ;-;-;-;-;-;;;;
04/1996;1,11 ;0,75 ;-;-;-;-;-;;;;
05/1996;1,20 ;1,24 ;-;-;-;-;-;;;;
06/1996;0,99 ;1,23 ;-;-;-;-;-;;;;
07/1996;0,85 ;0,89 ;-;-;-;-;-;;;;
08/1996;0,90 ;1,21 ;-;-;-;-;-;;;;
09/1996;0,24 ;0,28 ;-;-;-;-;-;;;;
10/1996;0,12 ;0,04 ;-;-;-;-;-;;;;
11/1996;0,27 ;0,24 ;-;-;-;-;-;;;;
12/1996;0,37 ;0,18 ;-;-;-;-;-;;;;
01/1997;0,62 ;0,35 ;-;-;-;-;-;;;;
02/1997;0,12 ;-0,15 ;-;-;-;-;-;;;;
03/1997;0,57 ;0,76 ;-;-;-;-;-;;;;
04/1997;0,97 ;0,69 ;-;-;-;-;-;;;;
05/1997;0,36 ;0,00 ;-;-;-;-;-;;;;
06/1997;0,42 ;0,35 ;-;-;-;-;-;;;;
07/1997;0,58 ;0,75 ;-;-;-;-;-;;;;
08/1997;0,18 ;0,16 ;-;-;-;-;-;;;;
09/1997;0,05 ;0,09 ;-;-;-;-;-;;;;
10/1997;0,36 ;0,46 ;-;-;-;-;-;;;;
11/1997;0,07 ;0,18 ;-;-;-;-;-;;;;
12/1997;0,34 ;0,31 ;-;-;-;-;-;;;;
01/1998;0,53 ;0,60 ;-;-;-;-;-;;;;
02/1998;0,31 ;0,49 ;-;-;-;-;-;;;;
03/1998;0,18 ;0,30 ;-;-;-;-;-;;;;
04/1998;0,33 ;0,95 ;-;-;-;-;-;;;;
05/1998;0,82 ;0,99 ;-;-;-;-;-;;;;
06/1998;-0,14 ;-0,12 ;-;-;-;-;-;;;;
07/1998;-0,35 ;-0,51 ;-;-;-;-;-;;;;
08/1998;-0,23 ;-0,34 ;-;-;-;-;-;;;;
09/1998;-0,04 ;-0,05 ;-;-;-;-;-;;;;
10/1998;0,17 ;0,24 ;-;-;-;-;-;;;;
11/1998;-0,25 ;-0,26 ;-;-;-;-;-;;;;
12/1998;0,36 ;0,31 ;-;-;-;-;-;;;;
01/1999;0,66 ;0,62 ;-;-;-;-;-;;;;
02/1999;1,02 ;1,17 ;-;-;-;-;-;;;;
03/1999;1,10 ;1,12 ;-;-;-;-;-;;;;
04/1999;0,46 ;0,48 ;-;-;-;-;-;;;;
05/1999;0,31 ;-0,05 ;-;-;-;-;-;;;;
06/1999;0,25 ;0,09 ;-;-;-;-;-;;;;
07/1999;1,71 ;1,01 ;-;-;-;-;-;;;;
08/1999;-0,01 ;0,38 ;-;-;-;-;-;;;;
09/1999;0,82 ;0,99 ;-;-;-;-;-;;;;
10/1999;1,36 ;1,22 ;-;-;-;-;-;;;;
11/1999;1,00 ;1,01 ;-;-;-;-;-;;;;
12/1999;0,66 ;0,62 ;-;-;-;-;-;;;;
01/2000;0,77 ;0,61 ;51,10 ;-;-;-;-;;;;
02/2000;0,25 ;-0,01 ;51,55 ;-;-;-;-;;;;
03/2000;0,18 ;0,11 ;52,48 ;-;-;-;-;;;;
04/2000;0,54 ;0,17 ;52,73 ;-;-;-;-;;;;
05/2000;0,07 ;-0,05 ;53,03 ;-;-;-;-;;;;
06/2000;0,35 ;0,46 ;52,63 ;-;-;-;-;;;;
07/2000;1,59 ;1,32 ;52,12 ;-;-;-;-;;;;
08/2000;1,72 ;1,44 ;50,76 ;-;-;-;-;;;;
09/2000;0,12 ;0,31 ;50,99 ;-;-;-;-;;;;
10/2000;0,40 ;0,81 ;51,13 ;-;-;-;-;;;;
11/2000;0,24 ;0,19 ;51,65 ;-;-;-;-;;;;
12/2000;0,50 ;0,19 ;51,33 ;-;-;-;-;;;;
01/2001;0,55 ;0,65 ;50,60 ;-;-;-;-;;;;
02/2001;0,78 ;0,76 ;50,68 ;-;-;-;-;;;;
03/2001;0,38 ;0,62 ;50,12 ;-;-;-;-;;;;
04/2001;0,69 ;0,97 ;50,01 ;-;-;-;-;;;;
05/2001;0,36 ;0,58 ;49,70 ;-;-;-;-;;;;
06/2001;0,35 ;0,25 ;50,57 ;-;-;-;-;;;;
07/2001;1,15 ;0,99 ;50,08 ;-;-;-;-;;;;
08/2001;0,78 ;0,82 ;49,73 ;-;-;-;-;;;;
09/2001;0,55 ;0,77 ;50,04 ;-;-;-;-;;;;
10/2001;1,27 ;1,47 ;48,74 ;-;-;-;-;;;;
11/2001;0,56 ;0,71 ;48,58 ;-;-;-;-;;;;
12/2001;0,56 ;0,62 ;48,90 ;-;-;-;-;;;;
01/2002;0,19 ;1,03 ;50,65 ;61,4 ;-;-;-;;;;
02/2002;0,49 ;0,38 ;50,25 ;64,5 ;-;-;-;;;;
03/2002;0,65 ;0,80 ;50,38 ;63,2 ;-;-;-;;;;
04/2002;0,69 ;0,51 ;50,37 ;64,0 ;-;-;-;;;;
05/2002;0,45 ;0,33 ;50,56 ;64,3 ;-;-;-;;;;
06/2002;0,57 ;0,60 ;48,47 ;63,7 ;-;-;-;;;;
07/2002;1,09 ;1,19 ;49,58 ;67,2 ;-;-;-;;;;
08/2002;0,68 ;0,70 ;50,47 ;64,6 ;-;-;-;;;;
09/2002;0,99 ;1,29 ;50,40 ;63,7 ;-;-;-;;;;
10/2002;1,76 ;1,87 ;50,38 ;64,5 ;-;-;-;;;;
11/2002;3,80 ;4,32 ;47,71 ;67,4 ;-;-;-;;;;
12/2002;2,04 ;2,37 ;47,16 ;68,2 ;-;-;-;;;;
01/2003;2,08 ;1,95 ;46,78 ;69,0 ;-;101,58 ;-;;;;
02/2003;2,13 ;1,73 ;47,22 ;67,9 ;-;102,88 ;-;;;;
03/2003;1,37 ;1,83 ;46,70 ;70,1 ;-;101,99 ;-;;;;
04/2003;0,97 ;1,43 ;46,74 ;69,5 ;-;101,85 ;-;;;;
05/2003;0,27 ;0,79 ;46,02 ;67,1 ;-;102,29 ;-;;;;
06/2003;-0,43 ;-0,12 ;46,70 ;68,6 ;-;102,77 ;-;;;;
07/2003;0,31 ;0,34 ;47,82 ;62,2 ;-;101,71 ;-;;;;
08/2003;0,48 ;0,35 ;48,44 ;68,6 ;-;103,15 ;-;;;;
09/2003;1,04 ;0,87 ;47,95 ;68,3 ;-;103,10 ;-;;;;
10/2003;0,52 ;0,89 ;49,47 ;68,6 ;-;104,01 ;-;;;;
11/2003;0,57 ;0,63 ;50,28 ;66,6 ;-;103,87 ;-;;;;
12/2003;0,59 ;0,51 ;50,29 ;65,6 ;-;101,22 ;-;;;;
01/2004;0,76 ;0,79 ;48,91 ;72,4 ;-;106,08 ;-;;;;
