Data;14085 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas físicas - R$ (milhões);14090 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas jurídicas - R$ (milhões);14095 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - R$ (milhões);15890 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas físicas - %;15922 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas jurídicas - %;15954 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - %
01/2004;17.803 ;16.247 ;34.050 ;3,84 ;1,25 ;2,54
02/2004;18.256 ;16.621 ;34.877 ;3,81 ;1,33 ;2,57
03/2004;18.537 ;17.024 ;35.560 ;3,68 ;1,49 ;2,58
04/2004;18.926 ;17.053 ;35.979 ;3,59 ;1,31 ;2,46
05/2004;19.200 ;17.041 ;36.241 ;3,40 ;1,32 ;2,37
06/2004;19.466 ;17.322 ;36.788 ;3,24 ;1,29 ;2,27
07/2004;19.641 ;17.596 ;37.237 ;3,23 ;1,26 ;2,25
08/2004;20.142 ;18.505 ;38.647 ;3,18 ;1,20 ;2,18
09/2004;20.950 ;18.886 ;39.836 ;3,14 ;1,19 ;2,17
10/2004;21.668 ;19.623 ;41.291 ;3,23 ;1,01 ;2,13
11/2004;22.548 ;20.145 ;42.693 ;3,16 ;1,15 ;2,17
12/2004;23.535 ;20.289 ;43.825 ;3,03 ;1,16 ;2,12
01/2005;24.261 ;20.349 ;44.611 ;3,11 ;1,23 ;2,21
02/2005;24.738 ;20.546 ;45.284 ;3,16 ;1,26 ;2,25
03/2005;25.148 ;20.654 ;45.802 ;3,20 ;1,49 ;2,39
04/2005;25.643 ;20.728 ;46.371 ;3,27 ;1,67 ;2,51
05/2005;26.078 ;20.408 ;46.486 ;3,45 ;1,58 ;2,58
06/2005;26.335 ;20.373 ;46.709 ;3,39 ;1,61 ;2,57
07/2005;26.600 ;20.461 ;47.060 ;3,61 ;1,73 ;2,74
08/2005;26.789 ;20.843 ;47.632 ;4,13 ;1,92 ;3,10
09/2005;27.242 ;20.956 ;48.198 ;4,86 ;1,92 ;3,51
10/2005;27.830 ;21.235 ;49.065 ;5,83 ;2,02 ;4,09
11/2005;28.701 ;21.834 ;50.535 ;6,30 ;2,08 ;4,37
12/2005;29.734 ;22.040 ;51.774 ;6,29 ;1,99 ;4,35
01/2006;30.437 ;21.965 ;52.402 ;6,54 ;2,08 ;4,56
02/2006;31.070 ;22.202 ;53.272 ;6,78 ;2,20 ;4,75
03/2006;31.596 ;22.280 ;53.876 ;6,97 ;2,23 ;4,89
04/2006;32.237 ;22.551 ;54.788 ;7,15 ;2,49 ;5,11
05/2006;32.811 ;22.765 ;55.577 ;6,83 ;2,48 ;4,94
06/2006;33.275 ;22.477 ;55.752 ;6,85 ;2,49 ;4,98
07/2006;33.593 ;22.617 ;56.210 ;7,32 ;2,64 ;5,31
08/2006;33.980 ;22.965 ;56.945 ;8,17 ;2,85 ;5,87
09/2006;34.834 ;23.575 ;58.409 ;8,67 ;2,99 ;6,22
10/2006;35.641 ;24.052 ;59.694 ;8,59 ;3,03 ;6,20
11/2006;36.397 ;25.206 ;61.603 ;6,37 ;2,73 ;4,77
12/2006;37.148 ;25.557 ;62.705 ;4,70 ;2,53 ;3,76
01/2007;38.132 ;25.358 ;63.490 ;4,66 ;2,59 ;3,77
02/2007;38.862 ;25.632 ;64.494 ;4,43 ;2,56 ;3,63
03/2007;39.531 ;26.083 ;65.615 ;4,20 ;2,53 ;3,49
04/2007;39.998 ;26.294 ;66.292 ;4,33 ;2,47 ;3,54
05/2007;40.897 ;26.707 ;67.604 ;4,63 ;2,38 ;3,68
06/2007;41.704 ;27.535 ;69.239 ;3,84 ;2,33 ;3,20
07/2007;42.559 ;28.089 ;70.648 ;4,07 ;2,30 ;3,32
08/2007;43.556 ;29.139 ;72.695 ;4,10 ;2,12 ;3,25
09/2007;44.530 ;29.489 ;74.019 ;3,97 ;1,98 ;3,12
10/2007;45.517 ;30.457 ;75.974 ;4,06 ;1,86 ;3,11
11/2007;46.935 ;31.648 ;78.583 ;4,25 ;1,69 ;3,15
12/2007;48.024 ;32.626 ;80.650 ;4,00 ;1,56 ;2,94
01/2008;49.151 ;33.055 ;82.206 ;4,16 ;1,61 ;3,06
02/2008;50.109 ;33.722 ;83.831 ;3,98 ;1,56 ;2,93
03/2008;50.805 ;35.547 ;86.351 ;3,77 ;1,39 ;2,72
04/2008;52.065 ;36.583 ;88.648 ;3,86 ;1,36 ;2,76
05/2008;53.434 ;37.490 ;90.924 ;4,35 ;1,40 ;3,05
06/2008;54.810 ;38.677 ;93.487 ;4,14 ;1,25 ;2,86
07/2008;55.878 ;39.660 ;95.539 ;4,13 ;1,29 ;2,87
08/2008;56.782 ;41.241 ;98.023 ;4,38 ;1,42 ;3,04
09/2008;58.089 ;42.950 ;101.039 ;3,98 ;1,39 ;2,80
10/2008;59.600 ;44.480 ;104.080 ;4,34 ;1,44 ;3,01
11/2008;60.258 ;45.773 ;106.031 ;4,56 ;1,48 ;3,13
12/2008;61.142 ;46.277 ;107.420 ;4,23 ;1,61 ;3,02
01/2009;61.856 ;46.851 ;108.707 ;4,84 ;1,89 ;3,47
02/2009;61.806 ;47.023 ;108.829 ;4,95 ;2,09 ;3,61
03/2009;62.382 ;47.771 ;110.153 ;5,04 ;2,34 ;3,78
04/2009;62.862 ;48.190 ;111.052 ;5,65 ;2,73 ;4,29
05/2009;63.376 ;48.319 ;111.695 ;5,20 ;2,94 ;4,15
06/2009;64.325 ;48.921 ;113.247 ;5,41 ;2,94 ;4,26
07/2009;65.054 ;49.468 ;114.522 ;5,75 ;3,18 ;4,55
08/2009;65.997 ;49.926 ;115.923 ;6,70 ;3,32 ;5,13
09/2009;67.012 ;50.319 ;117.331 ;6,68 ;3,63 ;5,27
10/2009;68.276 ;50.449 ;118.725 ;6,67 ;3,93 ;5,42
11/2009;69.157 ;51.004 ;120.160 ;6,34 ;3,89 ;5,22
12/2009;69.815 ;52.042 ;121.857 ;5,77 ;3,15 ;4,56
01/2010;71.610 ;52.061 ;123.672 ;5,87 ;3,08 ;4,60
02/2010;71.888 ;51.943 ;123.832 ;6,26 ;2,84 ;4,70
03/2010;72.453 ;52.033 ;124.486 ;5,88 ;2,68 ;4,44
04/2010;73.729 ;52.395 ;126.124 ;5,60 ;2,60 ;4,25
05/2010;74.611 ;53.056 ;127.668 ;5,35 ;2,46 ;4,06
06/2010;75.428 ;53.737 ;129.165 ;4,94 ;2,25 ;3,72
07/2010;76.206 ;54.333 ;130.539 ;4,89 ;2,61 ;3,86
08/2010;77.541 ;55.659 ;133.200 ;4,74 ;2,47 ;3,72
09/2010;79.306 ;56.480 ;135.786 ;4,57 ;2,32 ;3,56
10/2010;81.011 ;58.009 ;139.020 ;4,69 ;2,41 ;3,66
11/2010;82.769 ;59.274 ;142.043 ;4,30 ;2,17 ;3,34
12/2010;84.870 ;60.414 ;145.284 ;4,07 ;2,21 ;3,24
01/2011;86.447 ;60.894 ;147.341 ;4,11 ;2,13 ;3,22
02/2011;87.233 ;61.988 ;149.222 ;3,76 ;1,97 ;2,95
03/2011;88.179 ;63.559 ;151.738 ;3,81 ;2,22 ;3,09
04/2011;89.389 ;64.409 ;153.798 ;3,87 ;2,28 ;3,15
05/2011;90.648 ;65.212 ;155.860 ;3,91 ;2,27 ;3,17
06/2011;92.148 ;66.082 ;158.230 ;3,90 ;2,26 ;3,16
07/2011;93.422 ;67.625 ;161.047 ;3,91 ;2,14 ;3,11
08/2011;95.003 ;68.644 ;163.647 ;3,75 ;2,11 ;3,01
09/2011;97.268 ;70.667 ;167.935 ;3,81 ;2,04 ;3,00
10/2011;98.922 ;71.406 ;170.328 ;3,95 ;2,10 ;3,11
11/2011;100.847 ;72.391 ;173.239 ;4,29 ;2,22 ;3,36
12/2011;102.942 ;75.612 ;178.554 ;4,34 ;2,28 ;3,40
01/2012;105.718 ;72.698 ;178.416 ;4,20 ;2,46 ;3,46
02/2012;106.360 ;72.974 ;179.334 ;4,49 ;2,45 ;3,64
03/2012;107.567 ;75.120 ;182.687 ;4,43 ;2,51 ;3,62
04/2012;108.094 ;77.679 ;185.773 ;4,59 ;2,58 ;3,75
05/2012;109.963 ;80.619 ;190.582 ;4,64 ;2,54 ;3,75
06/2012;111.878 ;81.868 ;193.747 ;4,51 ;2,50 ;3,66
07/2012;112.923 ;82.760 ;195.682 ;4,50 ;2,42 ;3,62
08/2012;115.246 ;83.633 ;198.879 ;4,41 ;2,46 ;3,59
09/2012;116.222 ;84.616 ;200.838 ;4,35 ;2,37 ;3,52
10/2012;118.202 ;86.366 ;204.568 ;4,27 ;2,45 ;3,50
11/2012;120.044 ;88.363 ;208.406 ;4,17 ;2,33 ;3,39
12/2012;122.630 ;89.977 ;212.608 ;4,05 ;2,33 ;3,32
01/2013;124.077 ;91.953 ;216.031 ;3,97 ;2,25 ;3,24
02/2013;124.930 ;92.525 ;217.455 ;3,92 ;2,20 ;3,19
03/2013;126.313 ;94.315 ;220.627 ;3,91 ;2,20 ;3,17
04/2013;127.989 ;95.457 ;223.445 ;3,76 ;2,21 ;3,10
05/2013;130.337 ;97.648 ;227.985 ;3,67 ;2,18 ;3,03
06/2013;133.070 ;101.851 ;234.921 ;3,47 ;1,98 ;2,82
07/2013;134.711 ;102.048 ;236.760 ;3,39 ;1,92 ;2,76
08/2013;137.067 ;105.767 ;242.833 ;3,29 ;1,82 ;2,65
09/2013;138.865 ;106.744 ;245.608 ;3,27 ;1,85 ;2,65
10/2013;140.763 ;107.475 ;248.238 ;3,24 ;1,83 ;2,63
11/2013;143.366 ;109.775 ;253.141 ;3,16 ;1,79 ;2,57
12/2013;146.691 ;114.968 ;261.659 ;3,04 ;1,69 ;2,45
01/2014;148.850 ;114.660 ;263.510 ;3,03 ;1,75 ;2,47
02/2014;149.776 ;115.066 ;264.842 ;3,01 ;1,75 ;2,46
03/2014;150.827 ;117.027 ;267.855 ;3,00 ;1,72 ;2,44
04/2014;153.507 ;119.812 ;273.319 ;2,98 ;1,74 ;2,44
05/2014;155.352 ;121.905 ;277.257 ;3,04 ;1,94 ;2,56
06/2014;157.409 ;123.507 ;280.916 ;2,95 ;1,83 ;2,46
07/2014;158.583 ;123.223 ;281.807 ;2,97 ;1,91 ;2,51
08/2014;160.832 ;123.715 ;284.547 ;3,10 ;2,23 ;2,72
09/2014;163.080 ;128.327 ;291.407 ;2,98 ;2,07 ;2,58
