Data;14008 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - R$ (milhões);14035 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas jurídicas - R$ (milhões);14062 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Total - R$ (milhões);15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15899 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas jurídicas - %;15931 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Total - %
01/2004;3.425 ;6.374 ;9.800 ;6,08 ;1,13 ;2,71
02/2004;3.502 ;6.556 ;10.058 ;5,93 ;1,20 ;2,70
03/2004;3.610 ;6.840 ;10.449 ;5,59 ;1,02 ;2,46
04/2004;3.699 ;6.827 ;10.526 ;5,55 ;0,94 ;2,42
05/2004;3.797 ;6.778 ;10.576 ;5,51 ;0,89 ;2,41
06/2004;3.844 ;6.701 ;10.545 ;5,33 ;0,93 ;2,40
07/2004;3.929 ;6.725 ;10.654 ;5,27 ;0,75 ;2,27
08/2004;3.984 ;7.303 ;11.287 ;5,15 ;0,70 ;2,14
09/2004;4.066 ;7.258 ;11.324 ;5,08 ;0,70 ;2,15
10/2004;4.101 ;7.716 ;11.818 ;5,23 ;0,68 ;2,12
11/2004;4.276 ;7.866 ;12.142 ;5,12 ;0,69 ;2,13
12/2004;4.449 ;7.717 ;12.165 ;4,93 ;0,88 ;2,24
01/2005;4.579 ;7.683 ;12.263 ;4,87 ;0,78 ;2,18
02/2005;4.687 ;7.684 ;12.371 ;4,86 ;0,83 ;2,22
03/2005;4.784 ;7.611 ;12.395 ;4,94 ;1,10 ;2,46
04/2005;4.888 ;7.608 ;12.496 ;5,02 ;1,21 ;2,57
05/2005;5.016 ;7.628 ;12.645 ;5,23 ;1,03 ;2,54
06/2005;5.117 ;7.525 ;12.642 ;5,10 ;1,00 ;2,51
