Data;1534;1573;7482;13248;13250;20112;20115;20121;20127;28042;1482;1495;1508
01/2000;29,50 ;73,40 ;106,66 ;1,06 ;1,34 ;-;-;-;-;-;53,90 ;63,20 ;74,60
02/2000;26,60 ;76,20 ;109,93 ;0,40 ;0,37 ;-;-;-;-;-;54,90 ;69,40 ;78,10
03/2000;28,20 ;80,00 ;108,68 ;0,16 ;0,07 ;-;-;-;-;-;57,10 ;70,50 ;82,20
04/2000;26,70 ;82,70 ;110,47 ;0,45 ;0,11 ;-;-;-;-;-;57,90 ;70,50 ;83,70
05/2000;32,60 ;79,20 ;107,29 ;0,33 ;0,19 ;-;-;-;-;-;59,60 ;73,50 ;80,00
06/2000;28,70 ;80,20 ;105,39 ;0,02 ;0,02 ;-;-;-;-;-;58,70 ;69,90 ;81,50
07/2000;32,50 ;82,80 ;105,42 ;1,30 ;1,00 ;-;-;-;-;-;59,90 ;68,60 ;83,80
08/2000;30,90 ;85,50 ;108,66 ;1,89 ;1,56 ;-;-;-;-;-;59,80 ;66,50 ;86,50
09/2000;32,50 ;83,20 ;109,55 ;0,32 ;0,42 ;-;-;-;-;-;58,30 ;64,60 ;83,90
10/2000;32,80 ;84,20 ;116,33 ;0,14 ;0,18 ;-;-;-;-;-;58,30 ;64,70 ;84,60
11/2000;35,00 ;83,00 ;112,55 ;0,18 ;0,02 ;-;-;-;-;-;59,40 ;64,50 ;83,20
12/2000;50,30 ;100,50 ;112,01 ;0,65 ;0,32 ;-;-;-;-;-;79,10 ;67,20 ;100,30
01/2001;32,90 ;75,70 ;114,06 ;0,14 ;-0,05 ;-;-;-;-;-;54,30 ;57,10 ;76,20
02/2001;26,40 ;76,20 ;113,44 ;0,82 ;0,00 ;-;-;-;-;-;52,40 ;54,50 ;77,00
03/2001;32,50 ;82,00 ;114,00 ;0,56 ;1,04 ;-;-;-;-;-;59,10 ;66,40 ;82,80
04/2001;26,40 ;82,60 ;117,56 ;0,64 ;0,92 ;-;-;-;-;-;56,70 ;64,30 ;82,80
05/2001;30,90 ;76,10 ;118,64 ;0,37 ;0,39 ;-;-;-;-;-;57,00 ;67,50 ;76,60
06/2001;25,80 ;88,80 ;116,06 ;0,29 ;0,31 ;-;-;-;-;-;62,40 ;80,80 ;87,50
07/2001;27,90 ;86,00 ;116,34 ;1,26 ;1,02 ;-;-;-;-;-;58,60 ;66,10 ;85,50
08/2001;27,10 ;90,60 ;116,66 ;0,79 ;0,91 ;-;-;-;-;-;60,90 ;70,10 ;90,20
09/2001;24,10 ;88,90 ;116,54 ;0,71 ;0,90 ;-;-;-;-;-;57,60 ;67,50 ;88,20
