Data;14010 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - R$ (milhões);14037 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas jurídicas - R$ (milhões);14064 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Total - R$ (milhões);15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %;15901 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas jurídicas - %;15933 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Total - %
01/2004;5.715 ;3.889 ;9.604 ;4,22 ;1,83 ;3,19
02/2004;5.843 ;4.012 ;9.855 ;4,19 ;1,96 ;3,22
03/2004;5.907 ;4.067 ;9.974 ;4,04 ;2,18 ;3,22
04/2004;5.999 ;4.096 ;10.095 ;3,91 ;2,03 ;3,09
05/2004;6.096 ;4.119 ;10.215 ;3,73 ;2,26 ;3,10
06/2004;6.211 ;4.324 ;10.535 ;3,51 ;2,24 ;2,95
07/2004;6.179 ;4.428 ;10.607 ;3,55 ;2,12 ;2,91
08/2004;6.340 ;4.651 ;10.991 ;3,47 ;2,08 ;2,85
09/2004;6.603 ;4.796 ;11.398 ;3,33 ;2,08 ;2,77
10/2004;6.862 ;4.840 ;11.703 ;3,49 ;1,75 ;2,72
11/2004;7.098 ;4.996 ;12.094 ;3,37 ;1,81 ;2,69
12/2004;7.448 ;5.094 ;12.542 ;3,17 ;1,76 ;2,56
01/2005;7.719 ;5.086 ;12.806 ;3,26 ;1,76 ;2,62
02/2005;7.890 ;5.138 ;13.028 ;3,28 ;1,85 ;2,67
03/2005;8.017 ;5.186 ;13.203 ;3,27 ;1,96 ;2,72
04/2005;8.177 ;5.219 ;13.395 ;3,36 ;2,33 ;2,93
05/2005;8.366 ;5.160 ;13.526 ;3,54 ;2,29 ;3,03
06/2005;8.519 ;5.138 ;13.657 ;3,41 ;2,39 ;3,00
07/2005;8.637 ;5.177 ;13.815 ;3,54 ;2,34 ;3,06
08/2005;8.695 ;5.209 ;13.904 ;4,37 ;2,76 ;3,72
09/2005;8.818 ;5.419 ;14.238 ;4,72 ;2,67 ;3,88
10/2005;9.018 ;5.475 ;14.494 ;6,31 ;2,74 ;4,86
11/2005;9.306 ;5.577 ;14.883 ;7,60 ;2,82 ;5,68
12/2005;9.592 ;5.623 ;15.215 ;7,36 ;2,57 ;5,46
01/2006;9.847 ;5.555 ;15.403 ;7,53 ;2,64 ;5,63
02/2006;10.070 ;5.661 ;15.731 ;7,60 ;2,80 ;5,74
03/2006;10.235 ;5.765 ;16.000 ;7,83 ;2,88 ;5,90
04/2006;10.415 ;5.938 ;16.353 ;7,90 ;3,21 ;6,06
05/2006;10.543 ;6.096 ;16.639 ;7,32 ;3,22 ;5,70
06/2006;10.717 ;6.222 ;16.938 ;6,91 ;3,01 ;5,36
07/2006;10.809 ;6.361 ;17.171 ;6,83 ;3,13 ;5,35
08/2006;10.949 ;6.518 ;17.467 ;7,50 ;3,33 ;5,81
09/2006;11.293 ;6.625 ;17.918 ;7,75 ;3,39 ;6,00
10/2006;11.654 ;6.857 ;18.511 ;7,86 ;3,44 ;6,09
11/2006;11.945 ;7.031 ;18.976 ;5,63 ;3,27 ;4,68
12/2006;12.190 ;7.293 ;19.483 ;4,32 ;3,20 ;3,86
01/2007;12.527 ;7.150 ;19.677 ;4,31 ;3,15 ;3,85
02/2007;12.755 ;7.401 ;20.156 ;4,25 ;2,98 ;3,74
03/2007;12.892 ;7.710 ;20.602 ;4,19 ;2,82 ;3,63
04/2007;13.042 ;7.965 ;21.007 ;4,31 ;2,79 ;3,69
05/2007;13.394 ;8.203 ;21.597 ;4,42 ;2,68 ;3,70
06/2007;13.749 ;8.529 ;22.278 ;3,82 ;2,59 ;3,31
07/2007;14.002 ;8.868 ;22.870 ;3,90 ;2,34 ;3,24
08/2007;14.300 ;9.343 ;23.643 ;3,96 ;2,21 ;3,21
09/2007;14.671 ;9.490 ;24.161 ;3,82 ;1,94 ;3,02
10/2007;15.091 ;9.671 ;24.762 ;4,01 ;1,79 ;3,07
11/2007;15.618 ;10.059 ;25.677 ;4,18 ;1,76 ;3,15
12/2007;15.947 ;10.299 ;26.246 ;3,75 ;1,57 ;2,82
01/2008;16.398 ;10.410 ;26.809 ;3,90 ;1,65 ;2,95
02/2008;16.757 ;10.694 ;27.451 ;3,83 ;1,58 ;2,87
03/2008;16.967 ;11.269 ;28.236 ;3,72 ;1,40 ;2,72
04/2008;17.348 ;11.778 ;29.125 ;3,92 ;1,31 ;2,78
05/2008;17.875 ;11.981 ;29.856 ;4,44 ;1,37 ;3,10
06/2008;18.524 ;12.411 ;30.934 ;4,22 ;1,35 ;2,97
07/2008;18.866 ;12.700 ;31.565 ;4,20 ;1,49 ;3,02
08/2008;19.215 ;13.095 ;32.310 ;4,43 ;1,81 ;3,28
09/2008;19.715 ;13.529 ;33.244 ;4,07 ;1,88 ;3,11
10/2008;20.089 ;13.813 ;33.903 ;4,34 ;2,10 ;3,35
11/2008;20.390 ;13.938 ;34.328 ;4,57 ;2,24 ;3,54
