Data;7486 - Cesta básica - Goiânia - u.m.c.;13255 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - Goiânia - %;13258 - Índice Nacional de Preços ao Consumidor - variação mensal - Goiânia - %;20114 - Índice de volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos - Goiás - Índice;20120 - Índice de volume de vendas no varejo - Equipamentos e materiais para escritório, informática e comunicação - Goiás - Índice;20123 - Índice de volume de vendas no varejo - Outros artigos de uso pessoal e doméstico - Goiás - Índice;20126 - Índice de volume de vendas no varejo - Material de construção - Goiás - Índice;21941 - Produção Industrial (2012=100) - Geral - Com ajuste sazonal - Goiás - Índice;25384 - Índice de Atividade Econômica Regional - Goiás - com ajuste sazonal - Índice;28041 - PMS - Índice de volume de serviços - Total - Goiás - com ajuste sazonal - Índice;1481 - Índice de volume de vendas no varejo - Total - Goiás - Índice;1494 - Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Goiás - Índice;1507 - Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Goiás - Índice;1533 - Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Goiás - Índice;1559 - Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Goiás - Índice;1572 - Índice de volume de vendas no varejo - Hipermercados e supermercados - Goiás - Índice
01/2000;91,03 ;0,48 ;0,29 ;-;-;-;-;-;-;-;42,90 ;101,20 ;51,40 ;22,90 ;18,90 ;47,30
02/2000;91,42 ;0,11 ;-0,17 ;-;-;-;-;-;-;-;42,00 ;99,50 ;54,10 ;20,30 ;23,60 ;50,00
03/2000;92,55 ;0,20 ;0,13 ;-;-;-;-;-;-;-;46,40 ;102,70 ;60,80 ;22,20 ;23,30 ;54,90
04/2000;91,96 ;0,62 ;0,20 ;-;-;-;-;-;-;-;47,00 ;104,90 ;63,90 ;21,60 ;22,50 ;57,00
05/2000;87,40 ;-0,18 ;-0,16 ;-;-;-;-;-;-;-;50,00 ;113,40 ;60,70 ;26,20 ;24,90 ;55,30
06/2000;85,09 ;0,68 ;0,65 ;-;-;-;-;-;-;-;48,10 ;107,30 ;60,10 ;24,80 ;24,40 ;55,10
07/2000;87,32 ;1,88 ;1,46 ;-;-;-;-;-;-;-;48,50 ;106,50 ;62,00 ;25,70 ;25,80 ;57,00
08/2000;90,78 ;1,55 ;1,39 ;-;-;-;-;-;-;-;47,40 ;96,50 ;58,60 ;29,80 ;28,40 ;54,10
09/2000;91,90 ;-0,07 ;0,26 ;-;-;-;-;-;-;-;46,70 ;104,20 ;58,80 ;26,20 ;25,50 ;53,20
10/2000;93,86 ;0,66 ;1,08 ;-;-;-;-;-;-;-;46,30 ;98,20 ;57,60 ;27,20 ;28,80 ;53,00
11/2000;93,76 ;0,29 ;0,26 ;-;-;-;-;-;-;-;47,00 ;94,90 ;57,10 ;28,70 ;27,30 ;51,20
12/2000;93,28 ;0,35 ;0,14 ;-;-;-;-;-;-;-;60,00 ;95,90 ;72,30 ;41,10 ;28,30 ;67,20
01/2001;99,13 ;0,94 ;0,96 ;-;-;-;-;-;-;-;44,30 ;87,40 ;55,20 ;28,30 ;27,30 ;50,50
02/2001;98,03 ;0,74 ;1,09 ;-;-;-;-;-;-;-;40,00 ;82,00 ;52,60 ;22,00 ;26,90 ;48,90
03/2001;98,42 ;0,20 ;0,44 ;-;-;-;-;-;-;-;45,80 ;88,50 ;59,20 ;26,80 ;36,90 ;54,20
04/2001;102,99 ;0,73 ;0,99 ;-;-;-;-;-;-;-;45,20 ;95,70 ;60,00 ;22,50 ;30,50 ;55,40
05/2001;102,41 ;0,35 ;0,67 ;-;-;-;-;-;-;-;48,20 ;91,10 ;59,90 ;27,10 ;30,70 ;54,00
06/2001;101,08 ;0,40 ;0,23 ;-;-;-;-;-;-;-;45,70 ;91,80 ;58,80 ;23,30 ;27,10 ;53,00
07/2001;101,63 ;1,04 ;0,98 ;-;-;-;-;-;-;-;46,50 ;96,30 ;55,10 ;26,10 ;27,70 ;54,10
08/2001;101,69 ;0,78 ;0,78 ;-;-;-;-;-;-;-;46,10 ;92,90 ;58,30 ;26,10 ;28,80 ;53,80
09/2001;98,44 ;0,40 ;0,72 ;-;-;-;-;-;-;-;45,00 ;94,20 ;59,40 ;23,80 ;23,80 ;55,90
10/2001;103,03 ;1,38 ;1,53 ;-;-;-;-;-;-;-;45,00 ;92,80 ;54,40 ;27,30 ;28,30 ;55,80
11/2001;103,48 ;0,69 ;0,74 ;-;-;-;-;-;-;-;46,80 ;86,90 ;60,00 ;27,60 ;28,10 ;58,00
12/2001;106,16 ;0,57 ;0,63 ;-;-;-;-;-;-;-;61,20 ;88,40 ;74,50 ;43,00 ;28,40 ;72,40
01/2002;109,37 ;0,04 ;0,99 ;-;-;-;-;59,2 ;-;-;45,20 ;92,20 ;56,30 ;29,80 ;31,30 ;54,30
02/2002;109,13 ;0,62 ;0,41 ;-;-;-;-;63,0 ;-;-;41,10 ;87,00 ;53,30 ;22,10 ;27,70 ;51,90
03/2002;107,30 ;0,65 ;0,88 ;-;-;-;-;63,4 ;-;-;46,30 ;94,80 ;61,20 ;24,40 ;32,20 ;60,60
04/2002;108,65 ;0,86 ;0,65 ;-;-;-;-;63,9 ;-;-;43,00 ;88,20 ;54,20 ;25,60 ;33,40 ;52,90
05/2002;107,11 ;0,46 ;0,37 ;-;-;-;-;63,9 ;-;-;45,50 ;90,20 ;55,10 ;28,70 ;31,40 ;56,20
06/2002;108,72 ;0,70 ;0,65 ;-;-;-;-;63,5 ;-;-;42,00 ;84,40 ;51,90 ;24,90 ;27,50 ;52,50
07/2002;113,72 ;1,10 ;1,28 ;-;-;-;-;67,7 ;-;-;46,70 ;97,10 ;57,50 ;24,30 ;32,00 ;54,60
08/2002;116,32 ;0,52 ;0,62 ;-;-;-;-;65,6 ;-;-;46,80 ;99,60 ;59,30 ;27,20 ;30,50 ;55,50
09/2002;116,98 ;0,92 ;1,31 ;-;-;-;-;64,3 ;-;-;45,40 ;96,70 ;59,70 ;24,10 ;28,90 ;58,40
10/2002;121,04 ;1,70 ;1,91 ;-;-;-;-;65,5 ;-;-;47,00 ;93,50 ;59,90 ;27,90 ;28,20 ;59,10
11/2002;130,57 ;3,69 ;4,37 ;-;-;-;-;68,0 ;-;-;45,00 ;89,10 ;56,40 ;26,70 ;24,70 ;55,10
