Data;14013 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas físicas - R$ (milhões);14040 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas jurídicas - R$ (milhões);14067 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Total - R$ (milhões);15872 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas físicas - %;15904 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas jurídicas - %;15936 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Total - %
01/2004;2.971 ;1.571 ;4.542 ;3,14 ;1,65 ;2,59
02/2004;3.069 ;1.599 ;4.668 ;3,20 ;1,71 ;2,66
03/2004;3.111 ;1.595 ;4.706 ;3,16 ;1,64 ;2,61
04/2004;3.223 ;1.603 ;4.826 ;2,99 ;1,62 ;2,51
05/2004;3.282 ;1.621 ;4.904 ;2,56 ;1,68 ;2,25
06/2004;3.296 ;1.674 ;4.970 ;2,46 ;1,57 ;2,14
07/2004;3.325 ;1.696 ;5.022 ;2,44 ;1,59 ;2,13
08/2004;3.470 ;1.752 ;5.222 ;2,27 ;1,61 ;2,03
09/2004;3.590 ;1.837 ;5.427 ;2,31 ;1,62 ;2,06
10/2004;3.682 ;1.883 ;5.565 ;2,36 ;1,31 ;1,98
11/2004;3.848 ;1.954 ;5.802 ;2,23 ;1,27 ;1,89
12/2004;4.006 ;2.044 ;6.050 ;2,10 ;1,52 ;1,89
01/2005;4.115 ;2.103 ;6.218 ;2,20 ;1,48 ;1,94
02/2005;4.189 ;2.167 ;6.356 ;2,25 ;1,39 ;1,94
03/2005;4.271 ;2.255 ;6.526 ;2,30 ;1,51 ;2,01
04/2005;4.375 ;2.324 ;6.699 ;2,28 ;1,64 ;2,05
05/2005;4.433 ;2.268 ;6.702 ;2,36 ;1,77 ;2,15
06/2005;4.426 ;2.275 ;6.701 ;2,41 ;1,75 ;2,17
07/2005;4.441 ;2.351 ;6.792 ;2,56 ;1,88 ;2,31
08/2005;4.490 ;2.493 ;6.982 ;2,74 ;1,84 ;2,40
09/2005;4.624 ;2.467 ;7.091 ;2,86 ;1,76 ;2,46
10/2005;4.726 ;2.486 ;7.212 ;3,13 ;1,82 ;2,65
11/2005;4.879 ;2.539 ;7.419 ;3,20 ;1,80 ;2,69
