Data;1479;21899;21900;28039
01/2000;35,20 ;-;-;-
02/2000;35,60 ;-;-;-
03/2000;39,20 ;-;-;-
04/2000;40,50 ;-;-;-
05/2000;41,60 ;-;-;-
06/2000;40,40 ;-;-;-
07/2000;40,80 ;-;-;-
08/2000;38,70 ;-;-;-
09/2000;37,30 ;-;-;-
10/2000;37,60 ;-;-;-
11/2000;35,60 ;-;-;-
12/2000;47,40 ;-;-;-
01/2001;34,20 ;-;-;-
02/2001;32,20 ;-;-;-
03/2001;38,00 ;-;-;-
04/2001;37,50 ;-;-;-
05/2001;38,80 ;-;-;-
06/2001;35,00 ;-;-;-
07/2001;38,40 ;-;-;-
08/2001;40,20 ;-;-;-
09/2001;38,20 ;-;-;-
10/2001;39,30 ;-;-;-
11/2001;36,00 ;-;-;-
12/2001;46,30 ;-;-;-
01/2002;36,40 ;-;-;-
02/2002;34,00 ;-;-;-
03/2002;39,00 ;-;-;-
04/2002;37,80 ;-;-;-
05/2002;38,90 ;-;-;-
06/2002;35,30 ;-;-;-
07/2002;37,20 ;-;-;-
08/2002;38,10 ;-;-;-
09/2002;35,60 ;-;-;-
10/2002;38,30 ;-;-;-
11/2002;35,60 ;-;-;-
12/2002;45,70 ;-;-;-
01/2003;32,20 ;-;-;-
02/2003;31,60 ;-;-;-
03/2003;35,20 ;-;-;-
04/2003;36,80 ;-;-;-
05/2003;37,50 ;-;-;-
06/2003;34,80 ;-;-;-
07/2003;38,40 ;-;-;-
08/2003;38,10 ;-;-;-
09/2003;37,00 ;-;-;-
10/2003;39,00 ;-;-;-
11/2003;37,30 ;-;-;-
12/2003;49,00 ;-;-;-
01/2004;35,80 ;-;-;-
02/2004;35,30 ;-;-;-
03/2004;40,20 ;-;-;-
04/2004;41,30 ;-;-;-
05/2004;43,90 ;-;-;-
06/2004;41,60 ;-;-;-
07/2004;45,90 ;-;-;-
08/2004;42,30 ;-;-;-
09/2004;42,20 ;-;-;-
10/2004;44,00 ;-;-;-
11/2004;41,30 ;-;-;-
12/2004;56,90 ;-;-;-
01/2005;38,50 ;-;-;-
02/2005;38,50 ;-;-;-
03/2005;45,30 ;-;-;-
04/2005;43,60 ;-;-;-
05/2005;46,20 ;-;-;-
06/2005;44,30 ;-;-;-
07/2005;47,50 ;-;-;-
08/2005;46,50 ;-;-;-
09/2005;46,40 ;-;-;-
10/2005;46,00 ;-;-;-
11/2005;44,10 ;-;-;-
12/2005;61,00 ;-;-;-
01/2006;42,00 ;-;-;-
02/2006;40,20 ;-;-;-
03/2006;44,60 ;-;-;-
04/2006;44,50 ;-;-;-
05/2006;47,80 ;-;-;-
06/2006;45,30 ;-;-;-
07/2006;46,50 ;-;-;-
08/2006;48,50 ;-;-;-
09/2006;47,70 ;-;-;-
10/2006;50,20 ;-;-;-
11/2006;49,30 ;-;-;-
12/2006;64,50 ;-;-;-
01/2007;47,00 ;-;-;-
02/2007;46,80 ;-;-;-
03/2007;51,00 ;-;-;-
04/2007;50,50 ;-;-;-
05/2007;55,00 ;-;-;-
06/2007;51,30 ;-;-;-
07/2007;52,80 ;-;-;-
08/2007;55,30 ;-;-;-
09/2007;54,80 ;-;-;-
10/2007;55,60 ;-;-;-
11/2007;55,30 ;-;-;-
12/2007;72,20 ;-;-;-
01/2008;54,50 ;-;-;-
02/2008;52,10 ;-;-;-
03/2008;56,20 ;-;-;-
04/2008;57,20 ;-;-;-
05/2008;60,80 ;-;-;-
06/2008;56,10 ;-;-;-
07/2008;61,80 ;-;-;-
08/2008;61,60 ;-;-;-
09/2008;59,80 ;-;-;-
10/2008;63,30 ;-;-;-
11/2008;57,70 ;-;-;-
12/2008;77,40 ;-;-;-
01/2009;61,40 ;-;-;-
02/2009;51,90 ;-;-;-
03/2009;57,30 ;-;-;-
04/2009;57,90 ;-;-;-
