Data;14012 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas físicas - R$ (milhões);14039 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas jurídicas - R$ (milhões);14066 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Total - R$ (milhões);15871 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas físicas - %;15903 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas jurídicas - %;15935 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Total - %
01/2004;5.691 ;4.413 ;10.104 ;2,62 ;0,77 ;1,78
02/2004;5.841 ;4.454 ;10.295 ;2,62 ;0,84 ;1,82
03/2004;5.909 ;4.522 ;10.431 ;2,57 ;1,56 ;2,12
04/2004;6.006 ;4.527 ;10.533 ;2,51 ;1,14 ;1,90
05/2004;6.024 ;4.523 ;10.547 ;2,32 ;1,00 ;1,74
06/2004;6.114 ;4.623 ;10.738 ;2,20 ;0,81 ;1,58
07/2004;6.208 ;4.746 ;10.954 ;2,16 ;1,08 ;1,68
08/2004;6.347 ;4.800 ;11.147 ;2,25 ;0,96 ;1,68
09/2004;6.691 ;4.995 ;11.687 ;2,32 ;0,91 ;1,70
10/2004;7.022 ;5.184 ;12.205 ;2,38 ;0,73 ;1,66
11/2004;7.327 ;5.329 ;12.656 ;2,39 ;1,19 ;1,87
12/2004;7.632 ;5.435 ;13.067 ;2,37 ;0,88 ;1,73
01/2005;7.847 ;5.477 ;13.324 ;2,50 ;1,28 ;1,99
02/2005;7.972 ;5.558 ;13.529 ;2,61 ;1,25 ;2,04
03/2005;8.076 ;5.602 ;13.677 ;2,66 ;1,59 ;2,21
04/2005;8.203 ;5.578 ;13.781 ;2,75 ;1,70 ;2,31
05/2005;8.263 ;5.351 ;13.614 ;2,95 ;1,63 ;2,41
06/2005;8.274 ;5.435 ;13.709 ;2,93 ;1,67 ;2,41
07/2005;8.288 ;5.161 ;13.449 ;3,43 ;2,08 ;2,89
08/2005;8.255 ;5.308 ;13.563 ;4,05 ;2,40 ;3,38
09/2005;8.353 ;5.323 ;13.676 ;5,90 ;2,78 ;4,64
10/2005;8.507 ;5.475 ;13.982 ;7,08 ;2,86 ;5,37
11/2005;8.740 ;5.620 ;14.360 ;7,21 ;2,97 ;5,49
12/2005;9.163 ;5.709 ;14.872 ;7,47 ;2,79 ;5,61
01/2006;9.334 ;5.752 ;15.085 ;7,90 ;2,80 ;5,88
02/2006;9.475 ;5.777 ;15.252 ;8,54 ;2,97 ;6,35
03/2006;9.596 ;5.759 ;15.355 ;8,89 ;3,05 ;6,62
04/2006;9.732 ;5.812 ;15.544 ;9,39 ;3,36 ;7,05
05/2006;9.868 ;5.701 ;15.568 ;9,05 ;3,62 ;6,98
06/2006;9.915 ;5.576 ;15.492 ;9,70 ;3,73 ;7,46
07/2006;9.906 ;5.478 ;15.383 ;11,01 ;4,07 ;8,43
08/2006;9.890 ;5.589 ;15.479 ;12,81 ;4,56 ;9,70
09/2006;10.052 ;5.839 ;15.891 ;13,97 ;4,48 ;10,34
10/2006;10.162 ;6.013 ;16.175 ;13,68 ;4,42 ;10,09
11/2006;10.270 ;6.127 ;16.397 ;9,40 ;3,84 ;7,23
12/2006;10.536 ;6.149 ;16.685 ;5,72 ;3,54 ;4,88
01/2007;10.747 ;6.120 ;16.867 ;5,60 ;3,53 ;4,82
02/2007;10.923 ;6.111 ;17.034 ;4,97 ;3,50 ;4,42
03/2007;11.103 ;6.096 ;17.199 ;4,34 ;3,46 ;4,02
04/2007;11.218 ;6.029 ;17.247 ;4,52 ;3,08 ;4,00
05/2007;11.331 ;6.067 ;17.398 ;5,14 ;2,86 ;4,31
06/2007;11.509 ;6.351 ;17.860 ;3,35 ;2,60 ;3,07
07/2007;11.653 ;6.478 ;18.131 ;3,83 ;2,75 ;3,43
08/2007;11.884 ;6.795 ;18.679 ;3,96 ;2,13 ;3,26
09/2007;12.058 ;6.931 ;18.989 ;3,63 ;2,23 ;3,09
10/2007;12.182 ;7.124 ;19.306 ;3,72 ;2,07 ;3,08
11/2007;12.475 ;7.547 ;20.022 ;4,08 ;1,91 ;3,22
12/2007;12.684 ;7.856 ;20.541 ;4,02 ;1,69 ;3,08
01/2008;12.960 ;8.098 ;21.058 ;4,34 ;1,75 ;3,30
02/2008;13.162 ;8.272 ;21.433 ;3,89 ;1,73 ;3,01
03/2008;13.216 ;8.745 ;21.961 ;3,32 ;1,47 ;2,55
04/2008;13.444 ;9.110 ;22.554 ;3,51 ;1,56 ;2,68
05/2008;13.647 ;9.254 ;22.901 ;4,39 ;1,54 ;3,18
06/2008;13.936 ;9.510 ;23.446 ;4,24 ;1,15 ;2,92
07/2008;14.195 ;9.599 ;23.794 ;4,18 ;1,27 ;2,95
08/2008;14.270 ;9.987 ;24.257 ;4,81 ;1,24 ;3,26
09/2008;14.615 ;10.668 ;25.284 ;3,91 ;1,21 ;2,72
10/2008;14.840 ;10.975 ;25.815 ;4,91 ;1,16 ;3,23
11/2008;15.012 ;11.189 ;26.200 ;5,05 ;1,17 ;3,30
12/2008;15.192 ;11.396 ;26.588 ;4,13 ;1,30 ;2,85
01/2009;15.304 ;11.512 ;26.817 ;5,02 ;1,82 ;3,57
02/2009;15.319 ;11.503 ;26.823 ;4,85 ;2,02 ;3,57
03/2009;15.523 ;11.456 ;26.980 ;4,86 ;2,06 ;3,61
04/2009;15.421 ;11.565 ;26.985 ;6,46 ;2,41 ;4,63
05/2009;15.364 ;11.408 ;26.772 ;4,74 ;3,24 ;4,07
06/2009;15.448 ;11.571 ;27.019 ;5,14 ;3,16 ;4,25
07/2009;15.585 ;11.855 ;27.439 ;5,79 ;3,47 ;4,73
08/2009;15.879 ;12.000 ;27.879 ;8,27 ;3,74 ;6,21
09/2009;16.068 ;12.222 ;28.290 ;8,26 ;3,74 ;6,20
10/2009;16.356 ;12.588 ;28.944 ;8,14 ;4,19 ;6,33
11/2009;16.414 ;12.845 ;29.259 ;7,45 ;3,97 ;5,83
12/2009;16.531 ;13.238 ;29.770 ;6,40 ;2,96 ;4,79
01/2010;16.956 ;13.378 ;30.334 ;6,57 ;2,68 ;4,75
02/2010;16.987 ;13.263 ;30.250 ;8,00 ;2,33 ;5,36
03/2010;17.080 ;13.123 ;30.203 ;7,51 ;2,18 ;5,06
04/2010;17.248 ;13.117 ;30.365 ;6,85 ;2,20 ;4,72
05/2010;17.239 ;13.076 ;30.314 ;6,40 ;2,24 ;4,50
06/2010;17.306 ;13.097 ;30.403 ;5,52 ;2,15 ;3,97
07/2010;17.474 ;13.276 ;30.750 ;5,62 ;3,26 ;4,54
08/2010;17.707 ;13.718 ;31.425 ;5,46 ;2,63 ;4,15
09/2010;18.118 ;13.931 ;32.050 ;5,21 ;2,68 ;4,04
10/2010;18.483 ;14.277 ;32.760 ;5,25 ;2,71 ;4,08
11/2010;18.905 ;14.898 ;33.802 ;4,64 ;2,68 ;3,72
12/2010;19.337 ;15.525 ;34.861 ;4,39 ;2,80 ;3,64
01/2011;19.730 ;15.799 ;35.529 ;4,36 ;2,47 ;3,46
02/2011;19.864 ;16.078 ;35.941 ;4,07 ;2,34 ;3,25
