Data;1480 - Índice de volume de vendas no varejo - Total - Mato Grosso - Índice;21938 - Produção Industrial (2012=100) - Geral - Mato Grosso - Índice;28040 - PMS - Índice de volume de serviços - Total - Mato Grosso - com ajuste sazonal - Índice
01/2000;43,90 ;-;-
02/2000;48,00 ;-;-
03/2000;50,50 ;-;-
04/2000;49,50 ;-;-
05/2000;53,20 ;-;-
06/2000;54,50 ;-;-
07/2000;53,30 ;-;-
08/2000;50,70 ;-;-
09/2000;49,70 ;-;-
10/2000;49,00 ;-;-
11/2000;48,60 ;-;-
12/2000;57,40 ;-;-
01/2001;44,10 ;-;-
02/2001;44,80 ;-;-
03/2001;49,50 ;-;-
04/2001;45,10 ;-;-
05/2001;50,20 ;-;-
06/2001;50,70 ;-;-
07/2001;52,50 ;-;-
08/2001;52,00 ;-;-
09/2001;49,10 ;-;-
10/2001;46,20 ;-;-
11/2001;43,00 ;-;-
12/2001;50,00 ;-;-
01/2002;40,50 ;-;-
02/2002;41,30 ;-;-
03/2002;45,70 ;-;-
04/2002;43,70 ;-;-
05/2002;53,40 ;-;-
06/2002;46,10 ;-;-
07/2002;50,40 ;-;-
08/2002;50,70 ;-;-
09/2002;47,70 ;-;-
10/2002;50,00 ;-;-
11/2002;44,30 ;-;-
12/2002;51,50 ;-;-
01/2003;39,60 ;-;-
02/2003;39,80 ;-;-
03/2003;45,80 ;-;-
04/2003;43,20 ;-;-
05/2003;48,70 ;-;-
06/2003;46,40 ;-;-
07/2003;49,10 ;-;-
08/2003;50,60 ;-;-
09/2003;48,70 ;-;-
10/2003;51,80 ;-;-
11/2003;50,40 ;-;-
12/2003;61,50 ;-;-
01/2004;46,50 ;-;-
02/2004;47,90 ;-;-
03/2004;56,10 ;-;-
04/2004;55,80 ;-;-
05/2004;60,70 ;-;-
06/2004;58,60 ;-;-
07/2004;62,70 ;-;-
08/2004;61,40 ;-;-
09/2004;59,30 ;-;-
10/2004;62,10 ;-;-
11/2004;58,70 ;-;-
12/2004;75,00 ;-;-
01/2005;51,90 ;-;-
02/2005;54,80 ;-;-
03/2005;58,50 ;-;-
04/2005;56,80 ;-;-
05/2005;60,70 ;-;-
06/2005;57,70 ;-;-
07/2005;60,00 ;-;-
08/2005;62,10 ;-;-
09/2005;63,10 ;-;-
10/2005;62,40 ;-;-
11/2005;59,00 ;-;-
12/2005;76,70 ;-;-
01/2006;52,70 ;-;-
02/2006;48,20 ;-;-
03/2006;52,10 ;-;-
04/2006;50,30 ;-;-
05/2006;52,20 ;-;-
06/2006;51,90 ;-;-
07/2006;52,10 ;-;-
08/2006;54,20 ;-;-
09/2006;54,10 ;-;-
10/2006;55,90 ;-;-
11/2006;55,60 ;-;-
12/2006;72,70 ;-;-
01/2007;52,60 ;-;-
02/2007;50,80 ;-;-
03/2007;57,80 ;-;-
04/2007;55,90 ;-;-
05/2007;61,00 ;-;-
06/2007;58,40 ;-;-
07/2007;61,60 ;-;-
08/2007;63,40 ;-;-
09/2007;61,40 ;-;-
10/2007;64,30 ;-;-
11/2007;62,10 ;-;-
12/2007;82,60 ;-;-
01/2008;56,00 ;-;-
02/2008;57,60 ;-;-
03/2008;65,60 ;-;-
04/2008;63,40 ;-;-
05/2008;68,90 ;-;-
06/2008;65,80 ;-;-
07/2008;72,20 ;-;-
08/2008;70,20 ;-;-
09/2008;67,80 ;-;-
10/2008;71,60 ;-;-
11/2008;65,90 ;-;-
12/2008;84,40 ;-;-
01/2009;62,00 ;-;-
02/2009;59,60 ;-;-
03/2009;65,80 ;-;-
04/2009;64,00 ;-;-
05/2009;68,50 ;-;-
06/2009;66,70 ;-;-
07/2009;69,80 ;-;-
08/2009;71,00 ;-;-
09/2009;71,60 ;-;-
10/2009;75,90 ;-;-
11/2009;72,40 ;-;-
12/2009;99,40 ;-;-
01/2010;73,30 ;-;-
02/2010;71,90 ;-;-
03/2010;81,50 ;-;-
04/2010;76,70 ;-;-
05/2010;82,40 ;-;-
06/2010;78,40 ;-;-
07/2010;85,30 ;-;-
08/2010;85,50 ;-;-
09/2010;84,20 ;-;-
10/2010;87,50 ;-;-
11/2010;82,00 ;-;-
12/2010;110,30 ;-;-
01/2011;78,50 ;-;76,60
02/2011;77,70 ;-;76,80
03/2011;82,60 ;-;73,40
04/2011;82,30 ;-;74,80
05/2011;83,50 ;-;74,80
06/2011;80,90 ;-;78,10
07/2011;88,10 ;-;76,20
08/2011;87,90 ;-;77,20
09/2011;84,10 ;-;77,50
10/2011;86,90 ;-;73,40
11/2011;87,00 ;-;75,10
12/2011;116,50 ;-;78,80
01/2012;81,70 ;76,6 ;74,20
02/2012;81,00 ;95,1 ;86,80
03/2012;90,40 ;102,6 ;80,80
04/2012;86,70 ;106,3 ;79,00
05/2012;86,80 ;116,9 ;80,30
06/2012;88,20 ;108,8 ;78,70
07/2012;94,40 ;114,2 ;80,60
08/2012;96,50 ;115,0 ;83,20
09/2012;93,60 ;100,2 ;84,60
10/2012;95,20 ;99,4 ;88,90
11/2012;93,10 ;90,1 ;89,60
12/2012;116,30 ;74,7 ;92,90
01/2013;88,50 ;82,1 ;95,50
02/2013;83,50 ;79,2 ;95,20
03/2013;94,30 ;91,8 ;95,00
04/2013;89,70 ;101,0 ;98,20
05/2013;98,20 ;112,6 ;98,10
06/2013;94,70 ;110,1 ;97,40
07/2013;99,00 ;113,1 ;98,50
08/2013;101,40 ;115,0 ;98,20
09/2013;98,20 ;107,5 ;98,30
10/2013;102,20 ;114,2 ;98,00
11/2013;102,10 ;100,4 ;97,70
12/2013;118,60 ;85,4 ;89,20
01/2014;93,10 ;81,7 ;94,00
02/2014;91,80 ;88,1 ;112,20
03/2014;98,30 ;91,2 ;111,60
04/2014;96,60 ;104,3 ;109,90
05/2014;96,60 ;115,8 ;108,20
06/2014;95,70 ;108,7 ;98,70
07/2014;98,70 ;123,8 ;98,30
08/2014;100,30 ;120,4 ;94,90
09/2014;100,50 ;110,2 ;94,40
10/2014;106,80 ;119,1 ;94,20
11/2014;100,20 ;107,3 ;93,10
12/2014;121,50 ;92,2 ;89,80
01/2015;91,20 ;87,0 ;91,50
02/2015;83,60 ;85,3 ;89,70
03/2015;90,10 ;96,3 ;95,50
04/2015;86,40 ;97,3 ;94,50
05/2015;92,40 ;108,4 ;98,50
06/2015;89,50 ;114,7 ;97,60
07/2015;94,30 ;125,1 ;95,70
08/2015;91,30 ;126,1 ;98,20
09/2015;88,60 ;122,6 ;100,10
10/2015;92,80 ;119,1 ;99,10
11/2015;90,10 ;108,7 ;97,60
12/2015;110,50 ;103,4 ;99,40
01/2016;82,70 ;89,2 ;104,80
02/2016;78,90 ;102,8 ;97,00
03/2016;83,10 ;101,8 ;93,60
04/2016;82,00 ;102,4 ;94,40
05/2016;81,70 ;122,5 ;89,10
06/2016;82,50 ;121,7 ;87,20
07/2016;86,60 ;121,6 ;89,20
08/2016;83,70 ;114,0 ;83,70
09/2016;77,80 ;109,7 ;80,50
10/2016;79,50 ;98,5 ;65,40
11/2016;79,40 ;109,2 ;65,10
12/2016;96,80 ;98,8 ;67,40
01/2017;81,50 ;100,9 ;90,60
02/2017;74,00 ;93,6 ;98,40
03/2017;85,00 ;103,0 ;100,20
04/2017;83,50 ;93,6 ;97,40
05/2017;88,60 ;119,8 ;103,10
06/2017;87,70 ;121,3 ;99,90
07/2017;89,60 ;124,1 ;94,20
08/2017;88,60 ;130,6 ;97,40
09/2017;92,10 ;114,7 ;99,00
10/2017;88,50 ;125,9 ;97,70
11/2017;90,60 ;111,8 ;100,20
