Data;1469 - Índice volume de vendas no varejo (2003=100) - Total - Alagoas - Índice;14003 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - R$ (milhões);14030 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas jurídicas - R$ (milhões);14057 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Total - R$ (milhões);15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15894 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas jurídicas - %;15926 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Total - %;28029 - PMS - Índice de volume de serviços - Total - Alagoas - com ajuste sazonal - Índice
01/2000;36,80 ;-;-;-;-;-;-;-
02/2000;35,70 ;-;-;-;-;-;-;-
03/2000;35,60 ;-;-;-;-;-;-;-
04/2000;36,00 ;-;-;-;-;-;-;-
05/2000;39,30 ;-;-;-;-;-;-;-
06/2000;39,80 ;-;-;-;-;-;-;-
07/2000;37,60 ;-;-;-;-;-;-;-
08/2000;38,40 ;-;-;-;-;-;-;-
09/2000;37,80 ;-;-;-;-;-;-;-
10/2000;38,20 ;-;-;-;-;-;-;-
11/2000;40,20 ;-;-;-;-;-;-;-
12/2000;58,90 ;-;-;-;-;-;-;-
01/2001;38,10 ;-;-;-;-;-;-;-
02/2001;35,00 ;-;-;-;-;-;-;-
03/2001;37,00 ;-;-;-;-;-;-;-
04/2001;35,20 ;-;-;-;-;-;-;-
05/2001;37,50 ;-;-;-;-;-;-;-
06/2001;37,00 ;-;-;-;-;-;-;-
07/2001;36,00 ;-;-;-;-;-;-;-
08/2001;35,00 ;-;-;-;-;-;-;-
09/2001;32,90 ;-;-;-;-;-;-;-
10/2001;35,70 ;-;-;-;-;-;-;-
11/2001;36,70 ;-;-;-;-;-;-;-
12/2001;55,30 ;-;-;-;-;-;-;-
01/2002;35,20 ;-;-;-;-;-;-;-
02/2002;31,80 ;-;-;-;-;-;-;-
03/2002;35,70 ;-;-;-;-;-;-;-
04/2002;33,60 ;-;-;-;-;-;-;-
05/2002;37,00 ;-;-;-;-;-;-;-
06/2002;33,70 ;-;-;-;-;-;-;-
07/2002;34,90 ;-;-;-;-;-;-;-
08/2002;36,60 ;-;-;-;-;-;-;-
09/2002;33,00 ;-;-;-;-;-;-;-
10/2002;38,80 ;-;-;-;-;-;-;-
11/2002;37,20 ;-;-;-;-;-;-;-
12/2002;53,50 ;-;-;-;-;-;-;-
01/2003;31,90 ;-;-;-;-;-;-;-
02/2003;31,60 ;-;-;-;-;-;-;-
03/2003;28,80 ;-;-;-;-;-;-;-
04/2003;30,30 ;-;-;-;-;-;-;-
05/2003;31,20 ;-;-;-;-;-;-;-
06/2003;29,90 ;-;-;-;-;-;-;-
07/2003;30,10 ;-;-;-;-;-;-;-
08/2003;31,10 ;-;-;-;-;-;-;-
09/2003;31,20 ;-;-;-;-;-;-;-
10/2003;34,90 ;-;-;-;-;-;-;-
11/2003;36,00 ;-;-;-;-;-;-;-
12/2003;52,90 ;-;-;-;-;-;-;-
01/2004;33,10 ;781 ;1.309 ;2.090 ;8,33 ;2,04 ;3,74 ;-
02/2004;30,00 ;796 ;1.288 ;2.084 ;7,81 ;2,08 ;3,67 ;-
03/2004;34,60 ;818 ;1.259 ;2.076 ;9,48 ;1,85 ;4,03 ;-
04/2004;34,40 ;838 ;1.314 ;2.152 ;9,03 ;2,14 ;4,11 ;-
05/2004;37,30 ;862 ;1.377 ;2.239 ;8,74 ;2,66 ;4,38 ;-
06/2004;35,60 ;888 ;1.399 ;2.287 ;9,08 ;1,31 ;3,53 ;-
07/2004;36,00 ;929 ;1.344 ;2.274 ;8,63 ;1,29 ;3,51 ;-
08/2004;36,50 ;927 ;1.331 ;2.258 ;8,68 ;1,49 ;3,73 ;-
09/2004;34,10 ;952 ;1.434 ;2.386 ;8,84 ;1,54 ;3,78 ;-
10/2004;39,50 ;981 ;1.515 ;2.496 ;8,65 ;1,27 ;3,45 ;-
11/2004;41,10 ;993 ;1.528 ;2.522 ;8,40 ;1,39 ;3,51 ;-
12/2004;59,80 ;1.057 ;1.595 ;2.652 ;7,58 ;1,41 ;3,29 ;-
01/2005;40,80 ;1.108 ;1.535 ;2.643 ;7,47 ;1,51 ;3,39 ;-
02/2005;35,30 ;1.134 ;1.518 ;2.652 ;7,37 ;1,51 ;3,38 ;-
03/2005;42,10 ;1.154 ;1.453 ;2.607 ;7,44 ;3,20 ;4,63 ;-
04/2005;39,00 ;1.196 ;1.346 ;2.542 ;8,19 ;3,39 ;5,12 ;-
05/2005;42,20 ;1.227 ;1.334 ;2.561 ;7,48 ;3,50 ;4,96 ;-
06/2005;41,70 ;1.251 ;1.351 ;2.602 ;7,26 ;4,71 ;5,65 ;-
07/2005;42,70 ;1.293 ;1.410 ;2.703 ;7,24 ;4,52 ;5,51 ;-
08/2005;44,80 ;1.318 ;1.435 ;2.753 ;7,34 ;4,76 ;5,71 ;-
09/2005;41,00 ;1.332 ;1.435 ;2.767 ;7,43 ;4,91 ;5,86 ;-
10/2005;44,10 ;1.357 ;1.505 ;2.861 ;7,71 ;3,89 ;5,30 ;-
11/2005;44,20 ;1.383 ;1.589 ;2.972 ;7,77 ;3,69 ;5,16 ;-
12/2005;66,40 ;1.419 ;1.597 ;3.016 ;7,61 ;3,03 ;4,71 ;-
01/2006;43,40 ;1.470 ;1.601 ;3.071 ;7,75 ;3,03 ;4,78 ;-
02/2006;39,50 ;1.509 ;1.586 ;3.095 ;7,65 ;1,44 ;3,78 ;-
03/2006;45,70 ;1.529 ;1.520 ;3.049 ;7,70 ;1,53 ;3,95 ;-
04/2006;43,60 ;1.579 ;1.528 ;3.106 ;7,69 ;1,58 ;4,01 ;-
05/2006;49,20 ;1.619 ;1.560 ;3.179 ;7,60 ;1,54 ;3,98 ;-
06/2006;45,40 ;1.690 ;1.572 ;3.262 ;7,30 ;1,45 ;3,84 ;-
07/2006;46,80 ;1.740 ;1.583 ;3.323 ;7,33 ;1,44 ;3,89 ;-
08/2006;52,20 ;1.783 ;1.630 ;3.414 ;7,13 ;1,71 ;3,97 ;-
09/2006;50,60 ;1.838 ;1.688 ;3.526 ;7,37 ;1,78 ;4,11 ;-
10/2006;59,10 ;1.859 ;1.745 ;3.604 ;7,48 ;1,71 ;4,09 ;-
11/2006;61,70 ;1.897 ;1.864 ;3.761 ;7,68 ;1,62 ;4,02 ;-
12/2006;85,70 ;1.948 ;1.913 ;3.861 ;6,77 ;1,63 ;3,70 ;-
01/2007;61,10 ;2.015 ;1.908 ;3.923 ;6,75 ;1,82 ;3,83 ;-
02/2007;53,40 ;2.059 ;1.914 ;3.973 ;6,84 ;2,08 ;4,04 ;-
03/2007;58,90 ;2.116 ;1.929 ;4.045 ;6,93 ;2,34 ;4,24 ;-
04/2007;55,30 ;2.102 ;1.899 ;4.002 ;7,11 ;2,46 ;4,44 ;-
05/2007;62,40 ;2.206 ;1.825 ;4.031 ;7,11 ;3,67 ;5,20 ;-
06/2007;56,90 ;2.285 ;1.867 ;4.152 ;6,80 ;3,20 ;4,80 ;-
07/2007;57,00 ;2.359 ;1.883 ;4.242 ;6,73 ;3,23 ;4,81 ;-
08/2007;60,00 ;2.430 ;1.963 ;4.393 ;6,66 ;3,00 ;4,65 ;-
09/2007;58,90 ;2.534 ;2.043 ;4.577 ;6,54 ;3,02 ;4,61 ;-
10/2007;63,10 ;2.610 ;2.127 ;4.737 ;6,25 ;3,32 ;4,65 ;-
11/2007;64,10 ;2.710 ;2.237 ;4.947 ;6,24 ;3,49 ;4,73 ;-
12/2007;91,30 ;2.811 ;2.411 ;5.223 ;6,18 ;3,55 ;4,71 ;-
01/2008;65,70 ;2.905 ;2.467 ;5.372 ;6,24 ;4,11 ;5,05 ;-
02/2008;56,10 ;2.993 ;2.487 ;5.480 ;6,26 ;3,16 ;4,53 ;-
03/2008;64,40 ;3.011 ;2.508 ;5.520 ;6,37 ;4,66 ;5,42 ;-
04/2008;58,80 ;3.109 ;2.547 ;5.656 ;6,47 ;4,27 ;5,27 ;-
05/2008;66,60 ;3.238 ;2.631 ;5.869 ;6,50 ;4,55 ;5,44 ;-
06/2008;59,10 ;3.330 ;2.727 ;6.056 ;6,17 ;3,32 ;4,60 ;-
07/2008;63,30 ;3.428 ;2.780 ;6.208 ;6,30 ;2,61 ;4,28 ;-
08/2008;64,20 ;3.536 ;2.887 ;6.423 ;6,53 ;2,35 ;4,23 ;-
09/2008;62,70 ;3.586 ;3.096 ;6.682 ;6,47 ;2,72 ;4,37 ;-
10/2008;68,10 ;3.710 ;3.051 ;6.761 ;6,64 ;3,33 ;4,80 ;-
11/2008;66,40 ;3.766 ;3.160 ;6.926 ;6,69 ;3,24 ;4,75 ;-
12/2008;90,20 ;3.798 ;3.230 ;7.028 ;6,67 ;4,33 ;5,35 ;-
01/2009;67,60 ;3.864 ;3.265 ;7.129 ;6,94 ;3,86 ;5,20 ;-
02/2009;59,10 ;3.928 ;3.420 ;7.348 ;7,08 ;4,22 ;5,45 ;-
03/2009;65,30 ;3.920 ;3.390 ;7.310 ;7,19 ;5,69 ;6,34 ;-
04/2009;64,40 ;4.004 ;3.340 ;7.344 ;7,10 ;6,12 ;6,56 ;-
05/2009;70,10 ;4.082 ;3.354 ;7.436 ;7,21 ;6,31 ;6,72 ;-
06/2009;63,70 ;4.182 ;3.445 ;7.627 ;7,19 ;3,49 ;5,15 ;-
07/2009;70,00 ;4.287 ;3.517 ;7.804 ;7,16 ;3,62 ;5,22 ;-
08/2009;69,00 ;4.355 ;3.581 ;7.935 ;6,91 ;3,59 ;5,10 ;-
09/2009;67,50 ;4.443 ;3.669 ;8.111 ;6,70 ;3,31 ;4,84 ;-
10/2009;73,60 ;4.543 ;3.726 ;8.270 ;6,72 ;3,26 ;4,84 ;-
11/2009;74,20 ;4.700 ;3.712 ;8.412 ;6,59 ;3,87 ;5,13 ;-
12/2009;105,30 ;4.707 ;3.795 ;8.502 ;6,42 ;3,00 ;4,58 ;-
01/2010;76,10 ;4.971 ;3.739 ;8.711 ;6,37 ;3,02 ;4,58 ;-
02/2010;67,60 ;4.982 ;3.653 ;8.635 ;6,26 ;2,04 ;4,05 ;-
03/2010;77,70 ;4.995 ;3.742 ;8.737 ;6,18 ;3,07 ;4,55 ;-
04/2010;77,00 ;5.133 ;3.833 ;8.967 ;6,00 ;2,89 ;4,37 ;-
05/2010;79,30 ;5.263 ;3.892 ;9.155 ;5,95 ;2,96 ;4,39 ;-
06/2010;70,60 ;5.423 ;4.004 ;9.427 ;5,88 ;3,18 ;4,47 ;-
07/2010;77,50 ;5.504 ;4.201 ;9.704 ;5,78 ;2,72 ;4,16 ;-
08/2010;78,40 ;5.582 ;4.257 ;9.839 ;5,67 ;2,27 ;3,89 ;-
09/2010;74,90 ;5.773 ;4.376 ;10.149 ;5,59 ;4,54 ;5,04 ;-
10/2010;79,40 ;5.918 ;4.518 ;10.436 ;5,71 ;2,69 ;4,12 ;-
11/2010;82,50 ;6.081 ;4.559 ;10.640 ;5,36 ;2,81 ;4,04 ;-
12/2010;115,20 ;6.307 ;4.552 ;10.859 ;5,11 ;2,65 ;3,86 ;-
01/2011;81,10 ;6.479 ;4.558 ;11.037 ;5,10 ;3,20 ;4,15 ;88,00
02/2011;73,80 ;6.561 ;4.472 ;11.034 ;4,50 ;3,20 ;3,86 ;90,00
03/2011;77,20 ;6.608 ;4.435 ;11.043 ;4,57 ;2,39 ;3,50 ;87,20
04/2011;77,80 ;6.738 ;4.564 ;11.302 ;4,72 ;2,37 ;3,56 ;90,30
05/2011;81,70 ;6.853 ;4.452 ;11.305 ;4,77 ;2,35 ;3,61 ;89,40
06/2011;77,10 ;7.036 ;4.544 ;11.579 ;4,66 ;1,51 ;3,15 ;89,90
07/2011;80,50 ;7.221 ;4.675 ;11.896 ;4,82 ;3,46 ;4,17 ;90,80
08/2011;81,40 ;7.345 ;4.819 ;12.164 ;4,83 ;1,39 ;3,19 ;91,70
