Data;1471;1486;1499;1525;1551;7492;13003;13004;14006;14033
07/1989;-;-;-;-;-;-;25,01 ;23,23 ;-;- 
08/1989;-;-;-;-;-;-;33,87 ;33,76 ;-;- 
09/1989;-;-;-;-;-;-;35,93 ;34,33 ;-;- 
10/1989;-;-;-;-;-;-;40,23 ;38,58 ;-;- 
11/1989;-;-;-;-;-;-;49,00 ;47,47 ;-;- 
12/1989;-;-;-;-;-;-;51,19 ;51,16 ;-;- 
01/1990;-;-;-;-;-;-;67,61 ;67,08 ;-;- 
02/1990;-;-;-;-;-;-;81,05 ;76,13 ;-;- 
03/1990;-;-;-;-;-;-;80,62 ;80,37 ;-;- 
04/1990;-;-;-;-;-;-;15,06 ;14,50 ;-;- 
05/1990;-;-;-;-;-;-;8,76 ;8,39 ;-;- 
06/1990;-;-;-;-;-;-;9,82 ;11,35 ;-;- 
07/1990;-;-;-;-;-;-;10,62 ;10,85 ;-;- 
08/1990;-;-;-;-;-;-;12,38 ;10,61 ;-;- 
09/1990;-;-;-;-;-;-;13,95 ;13,72 ;-;- 
10/1990;-;-;-;-;-;-;14,19 ;13,77 ;-;- 
11/1990;-;-;-;-;-;-;18,91 ;16,71 ;-;- 
12/1990;-;-;-;-;-;-;17,15 ;17,58 ;-;- 
01/1991;-;-;-;-;-;-;20,07 ;19,86 ;-;- 
02/1991;-;-;-;-;-;-;19,24 ;20,41 ;-;- 
03/1991;-;-;-;-;-;-;11,34 ;8,69 ;-;- 
04/1991;-;-;-;-;-;-;5,93 ;5,41 ;-;- 
05/1991;-;-;-;-;-;-;6,52 ;5,77 ;-;- 
06/1991;-;-;-;-;-;-;9,81 ;10,88 ;-;- 
07/1991;-;-;-;-;-;-;13,22 ;12,39 ;-;- 
09/1991;-;-;-;-;-;-;15,59 ;16,46 ;-;- 
10/1991;-;-;-;-;-;-;20,83 ;21,18 ;-;- 
11/1991;-;-;-;-;-;-;27,52 ;29,30 ;-;- 
12/1991;-;-;-;-;-;-;25,47 ;25,24 ;-;- 
01/1992;-;-;-;-;-;-;26,10 ;26,03 ;-;- 
