Data;1465;1484;1497;1523;1549;1562;7485;13005;13006;14007;14034;14061;15866;15898;15930;21960;25391;28025
07/1989;-;-;-;-;-;-;-;28,62;28,35 ;-;-;-;-;-;-;-;-;-
08/1989;-;-;-;-;-;-;-;31,82;31,09 ;-;-;-;-;-;-;-;-;-
09/1989;-;-;-;-;-;-;-;36,28;36,22 ;-;-;-;-;-;-;-;-;-
10/1989;-;-;-;-;-;-;-;36,92;36,25 ;-;-;-;-;-;-;-;-;-
11/1989;-;-;-;-;-;-;-;45,95;45,62 ;-;-;-;-;-;-;-;-;-
12/1989;-;-;-;-;-;-;-;51,73;51,57 ;-;-;-;-;-;-;-;-;-
01/1990;-;-;-;-;-;-;-;74,90;76,01 ;-;-;-;-;-;-;-;-;-
02/1990;-;-;-;-;-;-;-;70,32;69,71 ;-;-;-;-;-;-;-;-;-
03/1990;-;-;-;-;-;-;-;82,04;80,83 ;-;-;-;-;-;-;-;-;-
04/1990;-;-;-;-;-;-;-;14,91;14,61 ;-;-;-;-;-;-;-;-;-
05/1990;-;-;-;-;-;-;-;6,66;7,16 ;-;-;-;-;-;-;-;-;-
06/1990;-;-;-;-;-;-;-;11,66;12,63 ;-;-;-;-;-;-;-;-;-
07/1990;-;-;-;-;-;-;-;12,14;12,35 ;-;-;-;-;-;-;-;-;-
08/1990;-;-;-;-;-;-;-;13,57;12,79 ;-;-;-;-;-;-;-;-;-
09/1990;-;-;-;-;-;-;-;14,03;14,09 ;-;-;-;-;-;-;-;-;-
10/1990;-;-;-;-;-;-;-;12,96;13,28 ;-;-;-;-;-;-;-;-;-
11/1990;-;-;-;-;-;-;-;16,79;16,01 ;-;-;-;-;-;-;-;-;-
12/1990;-;-;-;-;-;-;-;17,27;18,45 ;-;-;-;-;-;-;-;-;-
01/1991;-;-;-;-;-;-;-;21,06;21,81 ;-;-;-;-;-;-;-;-;-
02/1991;-;-;-;-;-;-;-;21,23;22,40 ;-;-;-;-;-;-;-;-;-
03/1991;-;-;-;-;-;-;-;12,01;14,56 ;-;-;-;-;-;-;-;-;-
04/1991;-;-;-;-;-;-;-;6,78;6,39 ;-;-;-;-;-;-;-;-;-
05/1991;-;-;-;-;-;-;-;5,14;4,82 ;-;-;-;-;-;-;-;-;-
06/1991;-;-;-;-;-;-;-;11,54;11,56 ;-;-;-;-;-;-;-;-;-
07/1991;-;-;-;-;-;-;-;10,78;10,57 ;-;-;-;-;-;-;-;-;-
09/1991;-;-;-;-;-;-;-;35,43;34,66 ;-;-;-;-;-;-;-;-;-
10/1991;-;-;-;-;-;-;-;20,68;21,23 ;-;-;-;-;-;-;-;-;-
11/1991;-;-;-;-;-;-;-;25,38;25,41 ;-;-;-;-;-;-;-;-;-
12/1991;-;-;-;-;-;-;-;24,98;24,48 ;-;-;-;-;-;-;-;-;-
01/1992;-;-;-;-;-;-;-;28,08;27,71 ;-;-;-;-;-;-;-;-;-
02/1992;-;-;-;-;-;-;-;24,72;25,35 ;-;-;-;-;-;-;-;-;-
03/1992;-;-;-;-;-;-;-;21,56;21,54 ;-;-;-;-;-;-;-;-;-
04/1992;-;-;-;-;-;-;-;18,84;18,79 ;-;-;-;-;-;-;-;-;-
05/1992;-;-;-;-;-;-;-;25,22;24,46 ;-;-;-;-;-;-;-;-;-
06/1992;-;-;-;-;-;-;-;21,06;21,36 ;-;-;-;-;-;-;-;-;-
07/1992;-;-;-;-;-;-;-;20,54;20,78 ;-;-;-;-;-;-;-;-;-
08/1992;-;-;-;-;-;-;-;23,67;23,96 ;-;-;-;-;-;-;-;-;-
09/1992;-;-;-;-;-;-;-;25,74;25,06 ;-;-;-;-;-;-;-;-;-
10/1992;-;-;-;-;-;-;-;25,70;25,46 ;-;-;-;-;-;-;-;-;-
11/1992;-;-;-;-;-;-;-;22,54;22,58 ;-;-;-;-;-;-;-;-;-
12/1992;-;-;-;-;-;-;-;25,68;26,38 ;-;-;-;-;-;-;-;-;-
01/1993;-;-;-;-;-;-;-;32,68;31,53 ;-;-;-;-;-;-;-;-;-
02/1993;-;-;-;-;-;-;-;24,86;24,09 ;-;-;-;-;-;-;-;-;-
03/1993;-;-;-;-;-;-;-;26,12;25,59 ;-;-;-;-;-;-;-;-;-
