Data;14084 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas físicas - R$ (milhões);14089 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas jurídicas - R$ (milhões);14094 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - R$ (milhões);15889 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas físicas - %;15921 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas jurídicas - %;15953 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - %
01/2004;14.818 ;22.886 ;37.704 ;10,50 ;3,57 ;5,66
02/2004;15.066 ;23.076 ;38.142 ;10,20 ;3,46 ;5,51
03/2004;15.427 ;23.032 ;38.459 ;10,31 ;3,10 ;5,32
04/2004;15.679 ;23.646 ;39.325 ;10,09 ;3,00 ;5,18
05/2004;16.019 ;24.380 ;40.399 ;9,66 ;2,75 ;4,85
06/2004;16.433 ;25.002 ;41.435 ;9,77 ;2,62 ;4,81
07/2004;16.937 ;24.807 ;41.743 ;8,81 ;2,58 ;4,52
08/2004;16.889 ;24.834 ;41.722 ;9,15 ;2,58 ;4,66
09/2004;17.248 ;25.264 ;42.512 ;9,68 ;2,54 ;4,83
10/2004;17.858 ;25.164 ;43.022 ;9,55 ;2,47 ;4,78
11/2004;18.096 ;25.409 ;43.504 ;9,20 ;2,40 ;4,67
12/2004;19.131 ;25.705 ;44.837 ;8,76 ;2,34 ;4,52
01/2005;20.039 ;25.633 ;45.672 ;8,62 ;2,39 ;4,53
02/2005;20.593 ;25.610 ;46.203 ;8,46 ;2,60 ;4,65
03/2005;20.961 ;25.385 ;46.346 ;8,37 ;2,59 ;4,66
04/2005;21.687 ;25.540 ;47.227 ;9,48 ;2,81 ;5,23
05/2005;22.166 ;25.954 ;48.120 ;8,56 ;2,71 ;4,83
06/2005;22.537 ;25.937 ;48.474 ;8,12 ;2,68 ;4,68
07/2005;23.221 ;26.133 ;49.354 ;7,98 ;2,62 ;4,60
08/2005;23.615 ;26.548 ;50.163 ;7,97 ;2,61 ;4,61
09/2005;23.812 ;27.116 ;50.928 ;7,95 ;2,44 ;4,50
10/2005;24.321 ;27.493 ;51.814 ;8,13 ;2,46 ;4,59
11/2005;24.951 ;28.195 ;53.146 ;7,92 ;2,49 ;4,53
12/2005;25.754 ;29.051 ;54.806 ;7,75 ;2,37 ;4,39
01/2006;26.706 ;28.505 ;55.210 ;7,97 ;2,43 ;4,57
02/2006;27.538 ;28.955 ;56.493 ;8,06 ;2,46 ;4,64
03/2006;27.977 ;29.815 ;57.792 ;8,27 ;2,55 ;4,77
04/2006;28.763 ;30.362 ;59.125 ;8,33 ;2,62 ;4,84
05/2006;29.360 ;30.936 ;60.296 ;8,38 ;2,70 ;4,93
06/2006;30.418 ;31.387 ;61.805 ;8,18 ;2,66 ;4,83
07/2006;31.178 ;31.721 ;62.899 ;8,06 ;2,65 ;4,80
08/2006;31.865 ;32.410 ;64.275 ;7,94 ;2,69 ;4,79
09/2006;32.720 ;33.014 ;65.734 ;7,84 ;2,64 ;4,72
10/2006;33.234 ;33.020 ;66.253 ;7,92 ;2,82 ;4,90
11/2006;34.296 ;33.771 ;68.067 ;7,54 ;2,90 ;4,78
12/2006;34.991 ;34.353 ;69.344 ;7,16 ;2,79 ;4,58
01/2007;36.253 ;33.802 ;70.055 ;7,09 ;2,86 ;4,64
02/2007;37.188 ;34.143 ;71.331 ;7,00 ;2,78 ;4,56
03/2007;38.184 ;34.325 ;72.508 ;6,90 ;2,70 ;4,49
04/2007;38.171 ;34.699 ;72.870 ;6,96 ;2,66 ;4,52
05/2007;39.818 ;34.852 ;74.671 ;6,98 ;2,75 ;4,60
06/2007;41.202 ;35.250 ;76.452 ;6,61 ;2,65 ;4,40
07/2007;42.367 ;35.793 ;78.159 ;6,84 ;2,59 ;4,49
08/2007;43.633 ;36.658 ;80.291 ;6,73 ;2,56 ;4,43
09/2007;45.111 ;37.637 ;82.748 ;6,59 ;2,41 ;4,29
10/2007;46.154 ;38.823 ;84.977 ;6,67 ;2,45 ;4,35
11/2007;47.794 ;40.645 ;88.439 ;6,72 ;2,39 ;4,34
12/2007;49.569 ;42.691 ;92.260 ;6,66 ;2,23 ;4,20
01/2008;51.172 ;43.136 ;94.309 ;6,71 ;2,30 ;4,28
02/2008;52.666 ;43.466 ;96.131 ;6,72 ;2,21 ;4,25
03/2008;53.351 ;45.025 ;98.376 ;6,72 ;2,19 ;4,23
04/2008;54.800 ;46.050 ;100.850 ;6,82 ;2,12 ;4,25
05/2008;56.824 ;47.110 ;103.934 ;6,97 ;2,11 ;4,33
06/2008;58.451 ;48.601 ;107.053 ;6,74 ;1,97 ;4,14
07/2008;60.114 ;49.429 ;109.543 ;6,78 ;1,96 ;4,17
08/2008;61.872 ;50.979 ;112.851 ;6,86 ;1,94 ;4,18
09/2008;62.798 ;54.333 ;117.131 ;6,72 ;1,90 ;4,05
10/2008;65.148 ;55.707 ;120.855 ;6,83 ;1,93 ;4,11
11/2008;66.257 ;57.919 ;124.177 ;6,90 ;1,84 ;4,05
12/2008;66.915 ;59.622 ;126.537 ;6,76 ;2,01 ;4,07
01/2009;68.031 ;58.916 ;126.947 ;7,27 ;2,18 ;4,41
02/2009;68.886 ;59.613 ;128.498 ;7,40 ;2,51 ;4,65
03/2009;68.755 ;60.491 ;129.246 ;7,45 ;2,64 ;4,74
04/2009;70.012 ;60.227 ;130.240 ;7,44 ;2,86 ;4,89
05/2009;71.259 ;60.026 ;131.285 ;7,48 ;3,03 ;5,04
06/2009;72.762 ;61.334 ;134.095 ;7,42 ;3,16 ;5,08
07/2009;74.362 ;71.708 ;146.069 ;7,43 ;2,61 ;4,63
08/2009;75.537 ;73.749 ;149.286 ;7,36 ;2,68 ;4,63
09/2009;77.043 ;74.382 ;151.424 ;7,22 ;2,68 ;4,59
10/2009;78.859 ;75.957 ;154.815 ;7,18 ;2,70 ;4,59
11/2009;81.430 ;77.708 ;159.138 ;6,98 ;2,84 ;4,59
12/2009;82.238 ;80.329 ;162.566 ;6,65 ;2,62 ;4,32
01/2010;86.180 ;81.077 ;167.257 ;6,73 ;2,65 ;4,36
02/2010;86.179 ;80.545 ;166.724 ;6,58 ;2,63 ;4,30
03/2010;86.522 ;82.270 ;168.792 ;6,38 ;2,52 ;4,16
04/2010;88.624 ;83.443 ;172.067 ;6,27 ;2,50 ;4,10
05/2010;90.564 ;86.432 ;176.995 ;6,17 ;2,39 ;3,99
06/2010;92.778 ;89.074 ;181.852 ;5,94 ;2,30 ;3,82
07/2010;94.183 ;90.560 ;184.744 ;6,25 ;2,28 ;3,94
08/2010;95.238 ;92.773 ;188.011 ;5,95 ;2,10 ;3,72
