Data;1463 - Índice de volume de vendas no varejo - Total - Maranhão - Índice;14011 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas físicas - R$ (milhões);14038 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas jurídicas - R$ (milhões);14065 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Total - R$ (milhões);15870 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas físicas - %;15902 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas jurídicas - %;15934 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Total - %;28023 - PMS - Índice de volume de serviços - Total - Maranhão - com ajuste sazonal - Índice
01/2000;29,10 ;-;-;-;-;-;-;-
02/2000;28,00 ;-;-;-;-;-;-;-
03/2000;27,10 ;-;-;-;-;-;-;-
04/2000;26,40 ;-;-;-;-;-;-;-
05/2000;28,90 ;-;-;-;-;-;-;-
06/2000;28,50 ;-;-;-;-;-;-;-
07/2000;30,80 ;-;-;-;-;-;-;-
08/2000;29,40 ;-;-;-;-;-;-;-
09/2000;27,90 ;-;-;-;-;-;-;-
10/2000;28,20 ;-;-;-;-;-;-;-
11/2000;29,00 ;-;-;-;-;-;-;-
12/2000;41,90 ;-;-;-;-;-;-;-
01/2001;27,20 ;-;-;-;-;-;-;-
02/2001;23,70 ;-;-;-;-;-;-;-
03/2001;26,00 ;-;-;-;-;-;-;-
04/2001;24,90 ;-;-;-;-;-;-;-
05/2001;30,00 ;-;-;-;-;-;-;-
06/2001;27,50 ;-;-;-;-;-;-;-
07/2001;29,10 ;-;-;-;-;-;-;-
08/2001;28,40 ;-;-;-;-;-;-;-
09/2001;26,00 ;-;-;-;-;-;-;-
10/2001;28,80 ;-;-;-;-;-;-;-
11/2001;28,30 ;-;-;-;-;-;-;-
12/2001;40,70 ;-;-;-;-;-;-;-
01/2002;28,10 ;-;-;-;-;-;-;-
02/2002;24,10 ;-;-;-;-;-;-;-
03/2002;28,40 ;-;-;-;-;-;-;-
04/2002;28,70 ;-;-;-;-;-;-;-
05/2002;29,90 ;-;-;-;-;-;-;-
06/2002;27,60 ;-;-;-;-;-;-;-
07/2002;30,80 ;-;-;-;-;-;-;-
08/2002;30,00 ;-;-;-;-;-;-;-
09/2002;27,40 ;-;-;-;-;-;-;-
10/2002;29,40 ;-;-;-;-;-;-;-
11/2002;29,60 ;-;-;-;-;-;-;-
12/2002;40,10 ;-;-;-;-;-;-;-
01/2003;26,20 ;-;-;-;-;-;-;-
02/2003;23,10 ;-;-;-;-;-;-;-
03/2003;23,00 ;-;-;-;-;-;-;-
04/2003;24,60 ;-;-;-;-;-;-;-
05/2003;26,50 ;-;-;-;-;-;-;-
06/2003;25,50 ;-;-;-;-;-;-;-
07/2003;29,60 ;-;-;-;-;-;-;-
08/2003;29,10 ;-;-;-;-;-;-;-
09/2003;27,80 ;-;-;-;-;-;-;-
10/2003;29,40 ;-;-;-;-;-;-;-
11/2003;29,50 ;-;-;-;-;-;-;-
12/2003;43,70 ;-;-;-;-;-;-;-
01/2004;28,60 ;1.363 ;1.047 ;2.410 ;8,84 ;16,76 ;13,15 ;-
02/2004;25,90 ;1.394 ;1.051 ;2.445 ;8,36 ;16,50 ;12,74 ;-
03/2004;29,00 ;1.439 ;1.051 ;2.491 ;8,32 ;11,44 ;9,97 ;-
04/2004;29,20 ;1.462 ;1.062 ;2.523 ;8,14 ;11,08 ;9,69 ;-
05/2004;32,30 ;1.495 ;1.034 ;2.529 ;7,93 ;8,16 ;8,05 ;-
06/2004;31,60 ;1.579 ;1.057 ;2.636 ;12,85 ;9,65 ;11,24 ;-
07/2004;35,50 ;1.621 ;1.055 ;2.676 ;12,68 ;9,89 ;11,29 ;-
08/2004;32,20 ;1.611 ;1.039 ;2.650 ;12,21 ;8,17 ;10,24 ;-
09/2004;30,80 ;1.619 ;1.035 ;2.654 ;12,65 ;8,02 ;10,41 ;-
10/2004;32,60 ;1.694 ;1.065 ;2.760 ;12,14 ;9,77 ;11,00 ;-
11/2004;31,90 ;1.716 ;1.088 ;2.804 ;11,64 ;9,28 ;10,51 ;-
12/2004;50,30 ;1.816 ;1.082 ;2.898 ;11,29 ;9,34 ;10,39 ;-
