Data;1467 - Índice volume de vendas no varejo (2003=100) - Total - Paraíba - Índice;7487 - Cesta básica - João Pessoa - u.m.c.;14016 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas físicas - R$ (milhões);14043 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas jurídicas - R$ (milhões);14070 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Total - R$ (milhões);15875 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas físicas - %;15907 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas jurídicas - %;15939 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Total - %;28027 - PMS - Índice de volume de serviços - Total - Paraíba - com ajuste sazonal - Índice
01/1998;-;72,56 ;-;-;-;-;-;-;-
02/1998;-;76,37 ;-;-;-;-;-;-;-
03/1998;-;81,06 ;-;-;-;-;-;-;-
04/1998;-;87,06 ;-;-;-;-;-;-;-
05/1998;-;95,74 ;-;-;-;-;-;-;-
06/1998;-;93,45 ;-;-;-;-;-;-;-
07/1998;-;89,89 ;-;-;-;-;-;-;-
08/1998;-;83,03 ;-;-;-;-;-;-;-
09/1998;-;82,52 ;-;-;-;-;-;-;-
10/1998;-;81,08 ;-;-;-;-;-;-;-
11/1998;-;80,24 ;-;-;-;-;-;-;-
12/1998;-;82,16 ;-;-;-;-;-;-;-
01/1999;-;83,69 ;-;-;-;-;-;-;-
02/1999;-;87,07 ;-;-;-;-;-;-;-
03/1999;-;90,74 ;-;-;-;-;-;-;-
04/1999;-;88,25 ;-;-;-;-;-;-;-
05/1999;-;88,86 ;-;-;-;-;-;-;-
06/1999;-;88,42 ;-;-;-;-;-;-;-
07/1999;-;87,88 ;-;-;-;-;-;-;-
08/1999;-;89,21 ;-;-;-;-;-;-;-
09/1999;-;84,59 ;-;-;-;-;-;-;-
10/1999;-;87,98 ;-;-;-;-;-;-;-
11/1999;-;88,46 ;-;-;-;-;-;-;-
12/1999;-;90,33 ;-;-;-;-;-;-;-
01/2000;34,90 ;95,12 ;-;-;-;-;-;-;-
02/2000;32,70 ;99,96 ;-;-;-;-;-;-;-
03/2000;30,70 ;101,85 ;-;-;-;-;-;-;-
04/2000;31,80 ;95,71 ;-;-;-;-;-;-;-
05/2000;35,00 ;88,07 ;-;-;-;-;-;-;-
06/2000;35,70 ;84,33 ;-;-;-;-;-;-;-
07/2000;35,60 ;86,09 ;-;-;-;-;-;-;-
08/2000;36,10 ;87,60 ;-;-;-;-;-;-;-
09/2000;34,80 ;90,57 ;-;-;-;-;-;-;-
10/2000;35,50 ;90,86 ;-;-;-;-;-;-;-
11/2000;38,20 ;89,92 ;-;-;-;-;-;-;-
12/2000;53,80 ;90,96 ;-;-;-;-;-;-;-
