Data;1468;1485;1498;1524;1550;1563;7490;12675;12676;14018;14045;14072;15877;15909;15941;25418;28028
07/1989;-;-;-;-;-;-;-;27,58;27,11 ;-;-;-;-;-;-;-;-
08/1989;-;-;-;-;-;-;-;35,19;33,85 ;-;-;-;-;-;-;-;-
09/1989;-;-;-;-;-;-;-;36,21;35,10 ;-;-;-;-;-;-;-;-
10/1989;-;-;-;-;-;-;-;36,06;34,48 ;-;-;-;-;-;-;-;-
11/1989;-;-;-;-;-;-;-;48,39;49,29 ;-;-;-;-;-;-;-;-
12/1989;-;-;-;-;-;-;-;52,53;51,72 ;-;-;-;-;-;-;-;-
01/1990;-;-;-;-;-;-;-;74,24;71,73 ;-;-;-;-;-;-;-;-
02/1990;-;-;-;-;-;-;-;76,46;74,82 ;-;-;-;-;-;-;-;-
03/1990;-;-;-;-;-;-;-;82,24;82,37 ;-;-;-;-;-;-;-;-
04/1990;-;-;-;-;-;-;-;15,63;15,77 ;-;-;-;-;-;-;-;-
05/1990;-;-;-;-;-;-;-;9,04;9,02 ;-;-;-;-;-;-;-;-
06/1990;-;-;-;-;-;-;-;12,23;12,23 ;-;-;-;-;-;-;-;-
07/1990;-;-;-;-;-;-;-;14,60;14,06 ;-;-;-;-;-;-;-;-
08/1990;-;-;-;-;-;-;-;11,90;11,28 ;-;-;-;-;-;-;-;-
09/1990;-;-;-;-;-;-;-;14,58;14,81 ;-;-;-;-;-;-;-;-
10/1990;-;-;-;-;-;-;-;14,12;13,46 ;-;-;-;-;-;-;-;-
11/1990;-;-;-;-;-;-;-;17,37;17,64 ;-;-;-;-;-;-;-;-
12/1990;-;-;-;-;-;-;-;18,96;18,15 ;-;-;-;-;-;-;-;-
01/1991;-;-;-;-;-;-;-;22,64;24,13 ;-;-;-;-;-;-;-;-
02/1991;-;-;-;-;-;-;-;23,47;24,49 ;-;-;-;-;-;-;-;-
03/1991;-;-;-;-;-;-;-;14,08;17,39 ;-;-;-;-;-;-;-;-
04/1991;-;-;-;-;-;-;-;5,90;6,42 ;-;-;-;-;-;-;-;-
05/1991;-;-;-;-;-;-;-;8,40;7,03 ;-;-;-;-;-;-;-;-
06/1991;-;-;-;-;-;-;-;8,49;8,29 ;-;-;-;-;-;-;-;-
07/1991;-;-;-;-;-;-;-;13,52;13,52 ;-;-;-;-;-;-;-;-
09/1991;-;-;-;-;-;-;-;32,38;31,32 ;-;-;-;-;-;-;-;-
10/1991;-;-;-;-;-;-;-;21,30;20,30 ;-;-;-;-;-;-;-;-
11/1991;-;-;-;-;-;-;-;27,73;27,69 ;-;-;-;-;-;-;-;-
12/1991;-;-;-;-;-;-;-;22,16;21,80 ;-;-;-;-;-;-;-;-
01/1992;-;-;-;-;-;-;-;23,91;24,66 ;-;-;-;-;-;-;-;-
02/1992;-;-;-;-;-;-;-;26,06;25,57 ;-;-;-;-;-;-;-;-
03/1992;-;-;-;-;-;-;-;22,15;22,74 ;-;-;-;-;-;-;-;-
04/1992;-;-;-;-;-;-;-;18,72;18,37 ;-;-;-;-;-;-;-;-
05/1992;-;-;-;-;-;-;-;22,51;22,12 ;-;-;-;-;-;-;-;-
06/1992;-;-;-;-;-;-;-;20,21;20,85 ;-;-;-;-;-;-;-;-
07/1992;-;-;-;-;-;-;-;21,83;22,08 ;-;-;-;-;-;-;-;-
08/1992;-;-;-;-;-;-;-;20,24;21,24 ;-;-;-;-;-;-;-;-
09/1992;-;-;-;-;-;-;-;23,36;23,85 ;-;-;-;-;-;-;-;-
10/1992;-;-;-;-;-;-;-;26,59;27,72 ;-;-;-;-;-;-;-;-
11/1992;-;-;-;-;-;-;-;21,37;21,92 ;-;-;-;-;-;-;-;-
12/1992;-;-;-;-;-;-;-;23,68;22,86 ;-;-;-;-;-;-;-;-
01/1993;-;-;-;-;-;-;-;29,27;28,52 ;-;-;-;-;-;-;-;-
02/1993;-;-;-;-;-;-;-;25,70;25,14 ;-;-;-;-;-;-;-;-
03/1993;-;-;-;-;-;-;-;27,42;28,16 ;-;-;-;-;-;-;-;-
04/1993;-;-;-;-;-;-;-;26,75;27,29 ;-;-;-;-;-;-;-;-
05/1993;-;-;-;-;-;-;-;27,69;26,78 ;-;-;-;-;-;-;-;-
06/1993;-;-;-;-;-;-;-;30,07;30,37 ;-;-;-;-;-;-;-;-
07/1993;-;-;-;-;-;-;-;28,37;27,42 ;-;-;-;-;-;-;-;-
08/1993;-;-;-;-;-;-;-;34,52;34,82 ;-;-;-;-;-;-;-;-
09/1993;-;-;-;-;-;-;-;36,03;35,86 ;-;-;-;-;-;-;-;-
10/1993;-;-;-;-;-;-;-;35,53;34,91 ;-;-;-;-;-;-;-;-
11/1993;-;-;-;-;-;-;-;36,82;36,91 ;-;-;-;-;-;-;-;-
12/1993;-;-;-;-;-;-;-;36,38;37,44 ;-;-;-;-;-;-;-;-
01/1994;-;-;-;-;-;-;-;41,53;42,30 ;-;-;-;-;-;-;-;-
02/1994;-;-;-;-;-;-;-;41,33;41,94 ;-;-;-;-;-;-;-;-
03/1994;-;-;-;-;-;-;-;40,26;40,42 ;-;-;-;-;-;-;-;-
04/1994;-;-;-;-;-;-;-;41,48;42,81 ;-;-;-;-;-;-;-;-
05/1994;-;-;-;-;-;-;-;41,55;40,61 ;-;-;-;-;-;-;-;-
06/1994;-;-;-;-;-;-;-;48,01;48,29 ;-;-;-;-;-;-;-;-
07/1994;-;-;-;-;-;-;-;7,06;7,71 ;-;-;-;-;-;-;-;-
08/1994;-;-;-;-;-;-;-;1,18;1,09 ;-;-;-;-;-;-;-;-
09/1994;-;-;-;-;-;-;-;1,32;1,08 ;-;-;-;-;-;-;-;-
10/1994;-;-;-;-;-;-;-;2,91;3,14 ;-;-;-;-;-;-;-;-
11/1994;-;-;-;-;-;-;-;3,16;3,34 ;-;-;-;-;-;-;-;-
12/1994;-;-;-;-;-;-;-;1,81;1,62 ;-;-;-;-;-;-;-;-
01/1995;-;-;-;-;-;-;-;2,02;1,94 ;-;-;-;-;-;-;-;-
02/1995;-;-;-;-;-;-;-;1,16;1,23 ;-;-;-;-;-;-;-;-
03/1995;-;-;-;-;-;-;-;2,08;2,22 ;-;-;-;-;-;-;-;-
04/1995;-;-;-;-;-;-;-;1,97;2,33 ;-;-;-;-;-;-;-;-
05/1995;-;-;-;-;-;-;-;2,69;2,26 ;-;-;-;-;-;-;-;-
06/1995;-;-;-;-;-;-;-;1,59;1,28 ;-;-;-;-;-;-;-;-
07/1995;-;-;-;-;-;-;-;2,95;3,20 ;-;-;-;-;-;-;-;-
08/1995;-;-;-;-;-;-;-;1,17;1,09 ;-;-;-;-;-;-;-;-
09/1995;-;-;-;-;-;-;-;0,40;0,26 ;-;-;-;-;-;-;-;-
10/1995;-;-;-;-;-;-;-;1,04;0,81 ;-;-;-;-;-;-;-;-
11/1995;-;-;-;-;-;-;-;1,22;1,42 ;-;-;-;-;-;-;-;-
12/1995;-;-;-;-;-;-;-;1,86;1,70 ;-;-;-;-;-;-;-;-
01/1996;-;-;-;-;-;-;-;1,92;1,83 ;-;-;-;-;-;-;-;-
02/1996;-;-;-;-;-;-;-;1,10;0,34 ;-;-;-;-;-;-;-;-
03/1996;-;-;-;-;-;-;-;0,30;0,06 ;-;-;-;-;-;-;-;-
04/1996;-;-;-;-;-;-;-;1,10;0,99 ;-;-;-;-;-;-;-;-
05/1996;-;-;-;-;-;-;-;1,11;1,23 ;-;-;-;-;-;-;-;-
06/1996;-;-;-;-;-;-;-;0,43;0,55 ;-;-;-;-;-;-;-;-
07/1996;-;-;-;-;-;-;-;1,42;1,39 ;-;-;-;-;-;-;-;-
08/1996;-;-;-;-;-;-;-;0,71;0,82 ;-;-;-;-;-;-;-;-
09/1996;-;-;-;-;-;-;-;-0,25;-0,30 ;-;-;-;-;-;-;-;-
10/1996;-;-;-;-;-;-;-;0,33;0,32 ;-;-;-;-;-;-;-;-
11/1996;-;-;-;-;-;-;-;0,32;0,19 ;-;-;-;-;-;-;-;-
12/1996;-;-;-;-;-;-;-;0,89;0,89 ;-;-;-;-;-;-;-;-
01/1997;-;-;-;-;-;-;-;0,52;0,18 ;-;-;-;-;-;-;-;-
02/1997;-;-;-;-;-;-;-;0,49;0,35 ;-;-;-;-;-;-;-;-
03/1997;-;-;-;-;-;-;-;0,21;0,26 ;-;-;-;-;-;-;-;-
04/1997;-;-;-;-;-;-;-;0,30;-0,16 ;-;-;-;-;-;-;-;-
05/1997;-;-;-;-;-;-;-;0,35;0,02 ;-;-;-;-;-;-;-;-
06/1997;-;-;-;-;-;-;-;0,14;-0,12 ;-;-;-;-;-;-;-;-
07/1997;-;-;-;-;-;-;-;-0,17;-0,37 ;-;-;-;-;-;-;-;-
08/1997;-;-;-;-;-;-;-;-0,08;-0,14 ;-;-;-;-;-;-;-;-
09/1997;-;-;-;-;-;-;-;-0,22;0,00 ;-;-;-;-;-;-;-;-
10/1997;-;-;-;-;-;-;-;0,01;0,07 ;-;-;-;-;-;-;-;-
11/1997;-;-;-;-;-;-;-;0,02;-0,09 ;-;-;-;-;-;-;-;-
12/1997;-;-;-;-;-;-;-;1,68;2,03 ;-;-;-;-;-;-;-;-
01/1998;-;-;-;-;-;-;75,98 ;1,17;1,38 ;-;-;-;-;-;-;-;-
02/1998;-;-;-;-;-;-;76,79 ;0,58;0,59 ;-;-;-;-;-;-;-;-
03/1998;-;-;-;-;-;-;80,08 ;0,81;1,03 ;-;-;-;-;-;-;-;-
04/1998;-;-;-;-;-;-;85,86 ;0,55;0,83 ;-;-;-;-;-;-;-;-
05/1998;-;-;-;-;-;-;91,97 ;0,69;1,46 ;-;-;-;-;-;-;-;-
06/1998;-;-;-;-;-;-;92,74 ;-0,16;0,04 ;-;-;-;-;-;-;-;-
07/1998;-;-;-;-;-;-;83,88 ;-0,72;-1,09 ;-;-;-;-;-;-;-;-
08/1998;-;-;-;-;-;-;82,00 ;-0,44;-0,50 ;-;-;-;-;-;-;-;-
09/1998;-;-;-;-;-;-;81,49 ;-0,49;-0,59 ;-;-;-;-;-;-;-;-
10/1998;-;-;-;-;-;-;80,33 ;0,16;0,16 ;-;-;-;-;-;-;-;-
11/1998;-;-;-;-;-;-;78,75 ;-0,26;-0,30 ;-;-;-;-;-;-;-;-
12/1998;-;-;-;-;-;-;79,96 ;0,69;0,60 ;-;-;-;-;-;-;-;-
01/1999;-;-;-;-;-;-;85,31 ;0,62;0,65 ;-;-;-;-;-;-;-;-
02/1999;-;-;-;-;-;-;84,29 ;1,45;1,69 ;-;-;-;-;-;-;-;-
03/1999;-;-;-;-;-;-;83,28 ;0,78;0,80 ;-;-;-;-;-;-;-;-
04/1999;-;-;-;-;-;-;85,21 ;0,45;0,51 ;-;-;-;-;-;-;-;-
05/1999;-;-;-;-;-;-;87,63 ;-0,05;-0,37 ;-;-;-;-;-;-;-;-
06/1999;-;-;-;-;-;-;88,68 ;0,71;0,59 ;-;-;-;-;-;-;-;-
07/1999;-;-;-;-;-;-;84,19 ;0,90;0,63 ;-;-;-;-;-;-;-;-
08/1999;-;-;-;-;-;-;79,33 ;0,48;0,50 ;-;-;-;-;-;-;-;-
09/1999;-;-;-;-;-;-;85,30 ;0,22;0,16 ;-;-;-;-;-;-;-;-
10/1999;-;-;-;-;-;-;84,38 ;1,10;0,89 ;-;-;-;-;-;-;-;-
11/1999;-;-;-;-;-;-;85,02 ;0,72;0,76 ;-;-;-;-;-;-;-;-
12/1999;-;-;-;-;-;-;90,21 ;0,79;0,97 ;-;-;-;-;-;-;-;-
01/2000;46,30 ;61,20 ;64,80 ;17,30 ;44,40 ;64,70 ;89,02 ;0,43;0,51 ;-;-;-;-;-;-;-;-
02/2000;45,00 ;59,30 ;62,90 ;15,00 ;48,20 ;62,70 ;95,67 ;0,31;0,16 ;-;-;-;-;-;-;-;-
03/2000;44,30 ;60,40 ;67,20 ;14,90 ;43,60 ;67,10 ;100,10 ;0,05;-0,20 ;-;-;-;-;-;-;-;-
04/2000;44,20 ;54,50 ;67,40 ;14,40 ;45,50 ;67,30 ;95,48 ;0,07;-0,30 ;-;-;-;-;-;-;-;-
05/2000;47,20 ;59,10 ;65,70 ;17,50 ;47,40 ;65,50 ;89,36 ;-0,12;-0,12 ;-;-;-;-;-;-;-;-
06/2000;47,20 ;55,50 ;69,00 ;16,20 ;41,60 ;68,90 ;90,48 ;0,34;0,10 ;-;-;-;-;-;-;-;-
07/2000;45,10 ;55,10 ;66,60 ;18,20 ;49,10 ;66,80 ;91,52 ;1,09;0,83 ;-;-;-;-;-;-;-;-
08/2000;47,30 ;57,40 ;67,90 ;18,40 ;46,90 ;68,10 ;93,69 ;1,27;1,29 ;-;-;-;-;-;-;-;-
09/2000;45,00 ;54,80 ;69,10 ;16,90 ;43,10 ;69,30 ;97,07 ;0,87;1,03 ;-;-;-;-;-;-;-;-
10/2000;44,60 ;56,50 ;64,80 ;16,60 ;43,90 ;64,90 ;97,55 ;0,07;0,23 ;-;-;-;-;-;-;-;-
