Data;1464;14019;14046;14073;15878;15910;15942;27985;28024
01/2000;47,60 ;-;-;-;-;-;-;-;-
02/2000;44,30 ;-;-;-;-;-;-;-;-
03/2000;36,70 ;-;-;-;-;-;-;-;-
04/2000;34,80 ;-;-;-;-;-;-;-;-
05/2000;39,00 ;-;-;-;-;-;-;-;-
06/2000;37,70 ;-;-;-;-;-;-;-;-
07/2000;39,00 ;-;-;-;-;-;-;-;-
08/2000;37,10 ;-;-;-;-;-;-;-;-
09/2000;36,40 ;-;-;-;-;-;-;-;-
10/2000;36,70 ;-;-;-;-;-;-;-;-
11/2000;37,20 ;-;-;-;-;-;-;-;-
12/2000;56,00 ;-;-;-;-;-;-;-;-
01/2001;50,60 ;-;-;-;-;-;-;-;-
02/2001;42,00 ;-;-;-;-;-;-;-;-
03/2001;39,00 ;-;-;-;-;-;-;-;-
04/2001;34,20 ;-;-;-;-;-;-;-;-
05/2001;39,40 ;-;-;-;-;-;-;-;-
06/2001;37,70 ;-;-;-;-;-;-;-;-
07/2001;39,20 ;-;-;-;-;-;-;-;-
08/2001;40,20 ;-;-;-;-;-;-;-;-
09/2001;37,00 ;-;-;-;-;-;-;-;-
10/2001;39,70 ;-;-;-;-;-;-;-;-
11/2001;39,10 ;-;-;-;-;-;-;-;-
12/2001;58,80 ;-;-;-;-;-;-;-;-
01/2002;54,10 ;-;-;-;-;-;-;-;-
02/2002;45,50 ;-;-;-;-;-;-;-;-
03/2002;41,20 ;-;-;-;-;-;-;-;-
04/2002;41,90 ;-;-;-;-;-;-;-;-
05/2002;45,10 ;-;-;-;-;-;-;-;-
06/2002;41,70 ;-;-;-;-;-;-;-;-
07/2002;46,50 ;-;-;-;-;-;-;-;-
08/2002;46,80 ;-;-;-;-;-;-;-;-
09/2002;43,30 ;-;-;-;-;-;-;-;-
10/2002;44,40 ;-;-;-;-;-;-;-;-
11/2002;44,70 ;-;-;-;-;-;-;-;-
12/2002;64,10 ;-;-;-;-;-;-;-;-
01/2003;57,20 ;-;-;-;-;-;-;-;-
02/2003;48,80 ;-;-;-;-;-;-;-;-
03/2003;39,60 ;-;-;-;-;-;-;-;-
04/2003;39,20 ;-;-;-;-;-;-;-;-
05/2003;43,00 ;-;-;-;-;-;-;-;-
06/2003;41,10 ;-;-;-;-;-;-;-;-
07/2003;45,50 ;-;-;-;-;-;-;-;-
08/2003;45,00 ;-;-;-;-;-;-;-;-
09/2003;45,40 ;-;-;-;-;-;-;-;-
10/2003;44,90 ;-;-;-;-;-;-;-;-
11/2003;43,50 ;-;-;-;-;-;-;-;-
12/2003;66,50 ;-;-;-;-;-;-;-;-
01/2004;47,90 ;730 ;505 ;1.235 ;13,95 ;4,47 ;8,94 ;-;-
02/2004;43,30 ;741 ;510 ;1.251 ;13,91 ;4,18 ;8,78 ;-;-
03/2004;47,40 ;757 ;515 ;1.272 ;13,42 ;3,54 ;8,23 ;-;-
04/2004;44,10 ;765 ;523 ;1.288 ;12,60 ;3,62 ;7,87 ;-;-
05/2004;47,50 ;768 ;602 ;1.369 ;10,44 ;2,90 ;6,20 ;-;-
06/2004;45,40 ;796 ;626 ;1.422 ;10,22 ;3,14 ;6,25 ;-;-
07/2004;50,00 ;816 ;637 ;1.453 ;9,59 ;3,19 ;5,99 ;-;-
08/2004;45,60 ;819 ;641 ;1.460 ;9,29 ;3,17 ;5,89 ;-;-
09/2004;44,90 ;858 ;655 ;1.513 ;10,46 ;3,29 ;6,56 ;-;-
10/2004;47,00 ;877 ;672 ;1.549 ;10,61 ;3,17 ;6,53 ;-;-
11/2004;46,90 ;892 ;688 ;1.581 ;9,75 ;3,01 ;6,07 ;-;-
12/2004;67,40 ;939 ;691 ;1.629 ;9,65 ;3,10 ;6,13 ;-;-
01/2005;50,30 ;977 ;689 ;1.666 ;9,28 ;3,10 ;5,99 ;-;-
02/2005;49,00 ;1.006 ;697 ;1.702 ;8,99 ;3,08 ;5,86 ;-;-
03/2005;54,00 ;1.023 ;694 ;1.717 ;8,61 ;3,18 ;5,78 ;-;-
04/2005;52,50 ;1.071 ;705 ;1.776 ;11,63 ;3,32 ;7,37 ;-;-
05/2005;56,40 ;1.083 ;702 ;1.785 ;8,47 ;3,06 ;5,69 ;-;-
06/2005;56,70 ;1.105 ;716 ;1.820 ;7,66 ;2,95 ;5,25 ;-;-
07/2005;60,20 ;1.133 ;721 ;1.854 ;7,24 ;2,76 ;4,96 ;-;-
08/2005;61,50 ;1.152 ;729 ;1.881 ;7,60 ;2,99 ;5,26 ;-;-
09/2005;57,40 ;1.164 ;759 ;1.923 ;7,62 ;2,85 ;5,19 ;-;-
10/2005;57,50 ;1.185 ;789 ;1.973 ;7,93 ;2,91 ;5,34 ;-;-
11/2005;59,90 ;1.218 ;805 ;2.023 ;8,03 ;3,16 ;5,53 ;-;-
12/2005;90,40 ;1.251 ;805 ;2.057 ;8,38 ;5,46 ;6,90 ;-;-
01/2006;64,70 ;1.296 ;795 ;2.091 ;8,38 ;3,77 ;6,09 ;-;-
02/2006;55,50 ;1.335 ;811 ;2.146 ;8,38 ;4,13 ;6,28 ;-;-
03/2006;60,80 ;1.360 ;837 ;2.197 ;8,52 ;4,42 ;6,49 ;-;-
04/2006;56,30 ;1.398 ;856 ;2.254 ;8,46 ;3,83 ;6,17 ;-;-
05/2006;66,30 ;1.431 ;865 ;2.297 ;8,24 ;3,72 ;6,02 ;-;-
06/2006;62,90 ;1.476 ;883 ;2.359 ;7,90 ;3,61 ;5,79 ;-;-
07/2006;66,80 ;1.513 ;897 ;2.410 ;7,86 ;3,55 ;5,76 ;-;-
08/2006;68,10 ;1.563 ;916 ;2.480 ;7,96 ;3,53 ;5,81 ;-;-
09/2006;65,20 ;1.613 ;929 ;2.542 ;8,05 ;3,54 ;5,88 ;-;-
10/2006;61,50 ;1.640 ;954 ;2.595 ;8,04 ;3,98 ;6,09 ;-;-
11/2006;64,00 ;1.686 ;988 ;2.675 ;7,80 ;4,18 ;6,05 ;-;-
12/2006;86,80 ;1.723 ;996 ;2.719 ;7,80 ;4,05 ;6,01 ;-;-
01/2007;64,50 ;1.788 ;1.000 ;2.787 ;7,70 ;4,30 ;6,09 ;-;-
02/2007;55,20 ;1.834 ;1.009 ;2.843 ;7,60 ;4,42 ;6,11 ;-;-
03/2007;61,70 ;1.877 ;1.016 ;2.893 ;7,50 ;4,55 ;6,13 ;-;-
04/2007;58,50 ;1.896 ;1.034 ;2.930 ;7,02 ;4,46 ;5,84 ;-;-
05/2007;65,90 ;1.970 ;1.040 ;3.010 ;6,93 ;4,37 ;5,77 ;-;-
06/2007;62,50 ;2.040 ;1.081 ;3.120 ;6,64 ;4,38 ;5,61 ;-;-
07/2007;64,10 ;2.092 ;1.084 ;3.175 ;6,44 ;4,09 ;5,38 ;-;-
08/2007;65,90 ;2.156 ;1.110 ;3.265 ;6,17 ;3,95 ;5,18 ;-;-
09/2007;63,80 ;2.217 ;1.126 ;3.343 ;6,21 ;3,81 ;5,15 ;-;-
10/2007;65,40 ;2.264 ;1.171 ;3.435 ;6,58 ;3,77 ;5,32 ;-;-
11/2007;65,30 ;2.344 ;1.223 ;3.567 ;6,48 ;3,13 ;4,98 ;-;-
12/2007;91,00 ;2.431 ;1.253 ;3.683 ;6,38 ;2,98 ;4,87 ;-;-
01/2008;72,70 ;2.506 ;1.273 ;3.779 ;6,39 ;3,17 ;4,96 ;-;-
02/2008;60,20 ;2.578 ;1.287 ;3.865 ;6,34 ;3,10 ;4,92 ;-;-
03/2008;64,50 ;2.628 ;1.314 ;3.941 ;6,44 ;3,22 ;5,03 ;-;-
04/2008;63,80 ;2.706 ;1.333 ;4.039 ;6,44 ;3,16 ;5,02 ;-;-
05/2008;70,80 ;2.806 ;1.360 ;4.166 ;6,50 ;3,10 ;5,04 ;-;-
06/2008;66,40 ;2.898 ;1.420 ;4.318 ;6,28 ;2,93 ;4,83 ;-;-
07/2008;71,60 ;2.994 ;1.474 ;4.468 ;6,24 ;2,82 ;4,76 ;-;-
08/2008;69,50 ;3.097 ;1.512 ;4.608 ;6,14 ;2,79 ;4,70 ;-;-
09/2008;70,50 ;3.151 ;1.576 ;4.728 ;6,08 ;2,69 ;4,61 ;-;-
10/2008;70,20 ;3.245 ;1.617 ;4.862 ;6,40 ;2,69 ;4,77 ;-;-
11/2008;73,30 ;3.241 ;1.642 ;4.883 ;6,69 ;2,54 ;4,83 ;-;-
12/2008;94,90 ;3.357 ;1.617 ;4.975 ;6,32 ;4,45 ;5,51 ;-;-
01/2009;73,80 ;3.425 ;1.631 ;5.055 ;6,58 ;4,74 ;5,79 ;-;-
02/2009;64,50 ;3.479 ;1.641 ;5.120 ;6,70 ;4,93 ;5,94 ;-;-
03/2009;70,00 ;3.499 ;1.672 ;5.172 ;6,84 ;4,89 ;6,01 ;-;-
04/2009;69,70 ;3.559 ;1.699 ;5.258 ;6,88 ;5,78 ;6,41 ;-;-
05/2009;78,80 ;3.627 ;1.705 ;5.332 ;7,06 ;6,49 ;6,82 ;-;-
06/2009;79,20 ;3.716 ;1.767 ;5.483 ;7,07 ;4,63 ;6,04 ;-;-
07/2009;85,80 ;3.819 ;1.954 ;5.773 ;7,13 ;4,38 ;5,92 ;-;-
08/2009;85,80 ;3.906 ;2.000 ;5.906 ;7,21 ;4,50 ;6,03 ;-;-
09/2009;80,10 ;4.004 ;2.097 ;6.102 ;7,12 ;5,14 ;6,25 ;-;-
10/2009;81,40 ;4.111 ;2.155 ;6.267 ;7,15 ;4,50 ;5,98 ;-;-
11/2009;79,40 ;4.226 ;2.203 ;6.429 ;6,98 ;4,28 ;5,79 ;-;-
12/2009;112,50 ;4.276 ;2.477 ;6.753 ;6,93 ;3,72 ;5,45 ;-;-
01/2010;80,20 ;4.443 ;2.477 ;6.919 ;7,10 ;4,71 ;6,00 ;-;-
02/2010;72,00 ;4.464 ;2.478 ;6.942 ;6,88 ;4,46 ;5,77 ;-;-
03/2010;83,20 ;4.504 ;2.636 ;7.140 ;6,69 ;4,19 ;5,52 ;-;-
04/2010;72,30 ;4.602 ;2.757 ;7.359 ;6,51 ;3,99 ;5,31 ;-;-
05/2010;82,30 ;4.692 ;2.888 ;7.579 ;6,42 ;3,90 ;5,20 ;-;-
06/2010;77,60 ;4.792 ;2.972 ;7.763 ;5,97 ;3,79 ;4,91 ;-;-
07/2010;85,20 ;4.880 ;3.024 ;7.904 ;5,77 ;3,41 ;4,63 ;-;-
08/2010;85,80 ;4.945 ;3.130 ;8.075 ;5,64 ;3,58 ;4,64 ;-;-
09/2010;85,20 ;5.078 ;3.197 ;8.276 ;5,48 ;2,69 ;4,13 ;-;-
10/2010;81,40 ;5.181 ;3.271 ;8.452 ;5,61 ;2,72 ;4,20 ;-;-
11/2010;80,70 ;5.293 ;3.332 ;8.625 ;5,33 ;2,73 ;4,08 ;-;-
12/2010;116,50 ;5.450 ;3.370 ;8.820 ;5,08 ;2,81 ;4,00 ;-;-
01/2011;84,10 ;5.573 ;3.392 ;8.965 ;5,15 ;2,93 ;4,09 ;94,90 ;94,30
02/2011;77,00 ;5.625 ;3.428 ;9.053 ;4,65 ;2,93 ;3,83 ;93,00 ;98,10
03/2011;81,40 ;5.686 ;3.462 ;9.147 ;4,74 ;2,93 ;3,88 ;93,90 ;97,60
04/2011;80,00 ;5.793 ;3.479 ;9.271 ;4,95 ;2,51 ;3,80 ;101,40 ;104,40
05/2011;87,30 ;5.864 ;3.488 ;9.352 ;5,16 ;2,88 ;4,09 ;102,00 ;101,60
06/2011;85,10 ;5.926 ;3.482 ;9.407 ;5,11 ;2,21 ;3,75 ;101,10 ;99,90
07/2011;90,70 ;6.058 ;3.530 ;9.588 ;5,26 ;2,53 ;3,99 ;103,20 ;100,10
08/2011;90,10 ;6.133 ;3.545 ;9.678 ;5,35 ;2,62 ;4,09 ;103,30 ;101,00
09/2011;85,20 ;6.283 ;3.672 ;9.955 ;5,63 ;2,65 ;4,24 ;100,50 ;101,50
10/2011;83,30 ;6.370 ;3.690 ;10.060 ;6,12 ;2,52 ;4,45 ;98,80 ;97,70
11/2011;87,90 ;6.479 ;3.909 ;10.388 ;6,86 ;2,57 ;4,83 ;103,40 ;103,10
12/2011;120,60 ;6.628 ;3.946 ;10.574 ;6,88 ;2,56 ;4,85 ;103,90 ;100,00
01/2012;92,30 ;6.470 ;3.925 ;10.395 ;5,92 ;2,54 ;4,53 ;103,10 ;102,40
02/2012;87,20 ;6.530 ;3.952 ;10.482 ;6,33 ;2,26 ;4,69 ;93,30 ;101,90
03/2012;93,40 ;6.653 ;3.982 ;10.635 ;6,32 ;2,37 ;4,75 ;102,90 ;103,40
04/2012;85,30 ;6.777 ;4.010 ;10.786 ;6,19 ;2,45 ;4,80 ;97,60 ;100,60
05/2012;96,40 ;6.895 ;4.121 ;11.017 ;6,20 ;2,31 ;4,74 ;98,70 ;98,30
06/2012;89,80 ;7.030 ;4.054 ;11.085 ;6,06 ;2,27 ;4,67 ;103,70 ;102,80
07/2012;93,80 ;7.110 ;4.073 ;11.183 ;5,93 ;2,19 ;4,57 ;103,60 ;100,50
08/2012;93,70 ;7.231 ;4.116 ;11.347 ;5,83 ;2,49 ;4,62 ;100,10 ;97,70
09/2012;88,20 ;7.277 ;4.174 ;11.450 ;5,72 ;2,43 ;4,52 ;96,40 ;97,10
10/2012;92,80 ;7.353 ;4.249 ;11.602 ;5,70 ;2,36 ;4,48 ;101,10 ;99,80
11/2012;93,50 ;7.490 ;4.353 ;11.843 ;5,45 ;2,33 ;4,30 ;97,40 ;97,20
12/2012;120,10 ;7.630 ;4.562 ;12.192 ;5,63 ;2,41 ;4,42 ;104,00 ;100,20
01/2013;93,60 ;7.725 ;4.572 ;12.297 ;5,52 ;2,46 ;4,38 ;100,50 ;100,00
02/2013;83,60 ;7.773 ;4.593 ;12.365 ;5,43 ;2,48 ;4,33 ;90,40 ;98,60
