Data;1457 - Índice de volume de vendas no varejo - Total - Acre - Índice;14002 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - R$ (milhões);14029 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas jurídicas - R$ (milhões);14056 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Total - R$ (milhões);15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15893 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas jurídicas - %;15925 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Total - %;24003 - PMS - Índice de volume de serviços - Total - Acre - Índice;27968 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - Rio Branco - %
01/2004;26,30 ;188 ;134 ;322 ;4,98 ;1,43 ;3,15 ;-;-
02/2004;25,00 ;195 ;133 ;327 ;5,31 ;1,61 ;3,45 ;-;-
03/2004;28,60 ;200 ;133 ;333 ;5,03 ;1,52 ;3,29 ;-;-
04/2004;27,70 ;208 ;134 ;343 ;5,20 ;1,58 ;3,44 ;-;-
05/2004;31,10 ;215 ;135 ;350 ;5,00 ;1,73 ;3,44 ;-;-
06/2004;30,30 ;221 ;141 ;362 ;4,63 ;1,73 ;3,24 ;-;-
07/2004;31,20 ;230 ;146 ;376 ;4,56 ;1,69 ;3,19 ;-;-
08/2004;31,00 ;235 ;148 ;383 ;4,32 ;1,60 ;3,04 ;-;-
09/2004;30,30 ;236 ;151 ;388 ;4,44 ;1,66 ;3,12 ;-;-
10/2004;33,10 ;247 ;154 ;401 ;4,70 ;1,67 ;3,28 ;-;-
11/2004;27,60 ;259 ;157 ;417 ;4,84 ;1,79 ;3,45 ;-;-
12/2004;44,70 ;270 ;155 ;425 ;4,55 ;1,75 ;3,30 ;-;-
01/2005;28,50 ;283 ;156 ;439 ;4,56 ;1,69 ;3,30 ;-;-
02/2005;31,40 ;293 ;161 ;454 ;4,47 ;2,36 ;3,55 ;-;-
03/2005;37,70 ;300 ;163 ;463 ;4,22 ;2,03 ;3,27 ;-;-
04/2005;38,00 ;313 ;168 ;481 ;3,93 ;2,22 ;3,20 ;-;-
05/2005;38,60 ;321 ;171 ;492 ;4,22 ;2,22 ;3,36 ;-;-
06/2005;38,30 ;328 ;227 ;555 ;4,01 ;1,73 ;2,89 ;-;-
07/2005;35,80 ;341 ;230 ;572 ;3,89 ;1,75 ;2,85 ;-;-
08/2005;36,90 ;344 ;230 ;574 ;4,17 ;1,78 ;3,01 ;-;-
09/2005;36,00 ;347 ;235 ;581 ;4,53 ;1,76 ;3,18 ;-;-
10/2005;38,40 ;353 ;239 ;592 ;4,76 ;1,93 ;3,38 ;-;-
11/2005;35,80 ;362 ;245 ;606 ;4,86 ;2,03 ;3,48 ;-;-
12/2005;49,90 ;374 ;276 ;650 ;4,60 ;2,21 ;3,38 ;-;-
01/2006;34,10 ;388 ;276 ;664 ;4,70 ;2,34 ;3,52 ;-;-
02/2006;38,90 ;403 ;288 ;691 ;4,71 ;2,35 ;3,53 ;-;-
03/2006;42,00 ;411 ;287 ;698 ;5,05 ;2,37 ;3,73 ;-;-
04/2006;42,30 ;425 ;295 ;720 ;5,13 ;2,42 ;3,80 ;-;-
05/2006;47,90 ;437 ;328 ;764 ;5,52 ;2,31 ;3,88 ;-;-
06/2006;43,50 ;458 ;328 ;786 ;5,49 ;2,34 ;3,91 ;-;-
07/2006;45,70 ;474 ;337 ;811 ;5,56 ;2,03 ;3,81 ;-;-
08/2006;50,50 ;493 ;349 ;841 ;5,28 ;1,96 ;3,64 ;-;-
09/2006;52,00 ;514 ;351 ;865 ;4,60 ;1,86 ;3,27 ;-;-
10/2006;52,20 ;525 ;366 ;892 ;4,38 ;1,80 ;3,12 ;-;-
